signal_id	autoresolve_status	extracted_source_url	evidence_location	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
LIMEN-SIGNAL-007B09815DD788EB	unresolved_needs_parent_source_extraction		/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md:177-193	country_gap_or_score_placeholder	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md	185	Row points to a country profile or aggregate score surface that names a topic gap or lead but not a concrete source to promote directly.	Only indicates a review target, adjacent lead, or aggregate placeholder; not a stable direct-source example yet.	Extract a named official/regulator source from adjacent local source-pack material before any promotion.
LIMEN-SIGNAL-020E38A2779174A7	unresolved_needs_parent_source_extraction		/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv:1-10	country_gap_or_score_placeholder	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv	2	Row points to a country profile, research queue, or aggregate score surface that names a topic gap but not a concrete source to promote directly.	Only indicates a review target or aggregate gap placeholder, not a direct-source example.	Extract a named official/regulator source from adjacent local source-pack material before any promotion.
LIMEN-SIGNAL-0274D84E084707BD	unresolved_needs_parent_source_extraction		/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-054/table-patch.md:6-22	wrapper_or_aggregate_pointer	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-054/table-patch.md	14	Row is a wrapper, source-pack proxy, country profile, aggregate matrix, or adjacent artifact that points toward a source but does not itself expose a clean named reviewable surface.	Only indicates a review target, adjacent lead, or aggregate placeholder; not a stable direct-source example yet.	Extract the underlying named official/regulator source from adjacent local material before any promotion.
LIMEN-SIGNAL-028375CD0C629A29	unresolved_needs_parent_source_extraction		/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md:1509-1525	country_gap_or_score_placeholder	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md	1517	Row points to a country profile or aggregate score surface that names a topic gap or lead but not a concrete source to promote directly.	Only indicates a review target, adjacent lead, or aggregate placeholder; not a stable direct-source example yet.	Extract a named official/regulator source from adjacent local source-pack material before any promotion.
LIMEN-SIGNAL-0332904E4B7745F4	unresolved_needs_parent_source_extraction		/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv:1-14	country_gap_or_score_placeholder	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	6	Row points to a country profile or aggregate score surface that names a topic gap or lead but not a concrete source to promote directly.	Only indicates a review target, adjacent lead, or aggregate placeholder; not a stable direct-source example yet.	Extract a named official/regulator source from adjacent local source-pack material before any promotion.
LIMEN-SIGNAL-03E443422259A440	unresolved_needs_parent_source_extraction		/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv:44-60	country_gap_or_score_placeholder	P1_official_or_regulator_review	public-sector	procurement AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv	52	Row points to a country profile or aggregate score surface that names a topic gap or lead but not a concrete source to promote directly.	Only indicates a review target, adjacent lead, or aggregate placeholder; not a stable direct-source example yet.	Extract a named official/regulator source from adjacent local source-pack material before any promotion.
LIMEN-SIGNAL-03EE5223FE6F1171	unresolved_needs_parent_source_extraction		/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_10_COUNTRY_SCORE_DELTA.csv:46-62	wrapper_or_aggregate_pointer	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_10_COUNTRY_SCORE_DELTA.csv	54	Row is a wrapper, source-pack proxy, country profile, aggregate matrix, or adjacent artifact that points toward a source but does not itself expose a clean named reviewable surface.	Only indicates a review target, adjacent lead, or aggregate placeholder; not a stable direct-source example yet.	Extract the underlying named official/regulator source from adjacent local material before any promotion.
LIMEN-SIGNAL-05C89C1B79476F63	unresolved_needs_parent_source_extraction		/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv:4-20	country_gap_or_score_placeholder	P1_official_or_regulator_review	public-sector	procurement AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv	12	Row points to a country profile or aggregate score surface that names a topic gap or lead but not a concrete source to promote directly.	Only indicates a review target, adjacent lead, or aggregate placeholder; not a stable direct-source example yet.	Extract a named official/regulator source from adjacent local source-pack material before any promotion.
LIMEN-SIGNAL-06371C9DF456B47B	unresolved_needs_parent_source_extraction		/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv:25-41	country_gap_or_score_placeholder	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv	33	Row points to a country profile or aggregate score surface that names a topic gap or lead but not a concrete source to promote directly.	Only indicates a review target, adjacent lead, or aggregate placeholder; not a stable direct-source example yet.	Extract a named official/regulator source from adjacent local source-pack material before any promotion.
LIMEN-SIGNAL-094DB8C474CE5B1E	unresolved_needs_parent_source_extraction		/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv:87-103	proxy_or_wrapper_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv	95	Country hardening summary points toward Ethiopian sources but does not expose one reviewable surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named source
