queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action	batch_id	review_priority	source_review_role	shards	queries	source_path	source_line
BPSE-00001	LIMEN-SIGNAL-007B09815DD788EB	country_gap_no_parent_source		Barbados country profile / FSC Regulatory Sandbox mention	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md:180-185	Country profile source-example line names a sandbox lead but exposes no parent URL.	processing-state only; no source claim	Resolve from Barbados source pack before promotion.	20260616T120552Z-lane1-13fcb125	P1_official_or_regulator_review	country_gap_or_score_placeholder	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md	185
BPSE-00002	LIMEN-SIGNAL-020E38A2779174A7	country_gap_no_parent_source		Andorra readiness matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv:1-2	Aggregate country matrix gap row; no source URL in local row.	processing-state only; no source claim	Resolve from Andorra source pack before promotion.	20260616T120552Z-lane1-13fcb125	P1_official_or_regulator_review	country_gap_or_score_placeholder	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv	2
BPSE-00004	LIMEN-SIGNAL-028375CD0C629A29	country_gap_no_parent_source		Pakistan country profile / SECP Regulatory Sandbox mention	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md:1512-1517	Country profile source-example line names a sandbox lead but exposes no parent URL.	processing-state only; no source claim	Resolve from Pakistan source pack before promotion.	20260616T120552Z-lane1-13fcb125	P1_official_or_regulator_review	country_gap_or_score_placeholder	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md	1517
BPSE-00005	LIMEN-SIGNAL-0332904E4B7745F4	country_gap_no_parent_source		United Kingdom observability index row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv:1-5	Aggregate country score row; source examples are truncated and not the requested sandbox parent URL.	processing-state only; no source claim	Resolve from UK source pack before promotion.	20260616T120552Z-lane1-13fcb125	P1_official_or_regulator_review	country_gap_or_score_placeholder	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	6
BPSE-00006	LIMEN-SIGNAL-03E443422259A440	country_gap_no_parent_source		Guernsey world country matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv:47-52	Aggregate country matrix row names procurement gap; no concrete procurement-AI parent URL.	processing-state only; no source claim	Resolve from Guernsey source pack before promotion.	20260616T120552Z-lane1-13fcb125	P1_official_or_regulator_review	country_gap_or_score_placeholder	public-sector	procurement AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv	52
BPSE-00008	LIMEN-SIGNAL-05C89C1B79476F63	country_gap_no_parent_source		Gibraltar readiness matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv:10-12	Aggregate country matrix gap row; no concrete procurement-AI parent URL.	processing-state only; no source claim	Resolve from Gibraltar source pack before promotion.	20260616T120552Z-lane1-13fcb125	P1_official_or_regulator_review	country_gap_or_score_placeholder	public-sector	procurement AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv	12
BPSE-00009	LIMEN-SIGNAL-06371C9DF456B47B	country_gap_no_parent_source		Kosovo readiness matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv:30-33	Aggregate country matrix gap row; no algorithm-register parent URL.	processing-state only; no source claim	Resolve from Kosovo source pack before promotion.	20260616T120552Z-lane1-13fcb125	P1_official_or_regulator_review	country_gap_or_score_placeholder	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_COUNTRY_MATRIX.csv	33
BPSE-00023	LIMEN-SIGNAL-196DAAE1BE3A5F21	country_gap_no_parent_source		Nepal observability matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv:121-124	Aggregate country matrix row names an algorithm-register gap; no concrete parent URL for the requested source.	processing-state only; no source claim	Resolve from Nepal source pack before promotion.	20260616T120552Z-lane1-13fcb125	P1_official_or_regulator_review	country_gap_or_score_placeholder	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv	126
BPSE-00025	LIMEN-SIGNAL-19E66CECC9F323E3	country_gap_no_parent_source		Ukraine readiness country-matrix gap row	PALLAS_READINESS_SPRINT_1_COUNTRY_MATRIX.csv:39	Country/profile score row has no URL or isolated parent source.	Processing-state gap only; no direct-source or case claim.	Extract source from source pack before review.	20260616T120552Z-lane2-825cc2e5	P1_official_or_regulator_review	country_gap_or_score_placeholder	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_COUNTRY_MATRIX.csv	39
BPSE-00026	LIMEN-SIGNAL-1A6CFF3CA4C7E4F1	country_gap_no_parent_source		Guatemala readiness country-matrix gap row	PALLAS_READINESS_SPRINT_3_COUNTRY_MATRIX.csv:24	Country/profile score row has no URL or isolated parent source.	Processing-state gap only; no direct-source or case claim.	Extract source from source pack before review.	20260616T120552Z-lane2-825cc2e5	P1_official_or_regulator_review	country_gap_or_score_placeholder	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_COUNTRY_MATRIX.csv	24
