row_id	signal_id	translation_review_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
TH-00030	LIMEN-SIGNAL-0FA19807DCF5FE72	candidate_for_url_extraction	en	https://moitt.gov.pk/Detail/ZWUzMjIyN2UtMWQ3Yi00Y2M1LTgxYTctY2QxMmUzOTdhNjVj	Pakistan Ministry of IT and Telecom AI Policy material	Local factory record names source URL and title but fetch/local content is absent or failed (URLError(OSError(101, 'Network is unreachable).	translation-safe source review only; no legal or policy conclusion from machine translation	extract_named_url_and_capture_original_source_surface
TH-00031	LIMEN-SIGNAL-0FA558FD523379BA	candidate_for_url_extraction	pt	https://www.gov.br/anpd/pt-br/assuntos/projetos-acoes-iniciativas/sandbox/por-que-inteligencia-artificial	ANPD sandbox regulatório: Por que Inteligência Artificial?	local lane record names same ANPD Portuguese sandbox URL but has no fetched content	source locator only; no sandbox/legal claim	deduplicate with other ANPD rows then extract/stage URL
TH-00038	LIMEN-SIGNAL-12DFAB428240D351	reject_noise	en	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/submission-preprint-packages/atlas-preprint-package-20260606T050415Z/manuscript.md:18	Tyche Thesis Atlas manuscript markdown abstract	internal manuscript abstract, not an external original-language source locator	internal-method text only; no external source claim	exclude from translation-source promotion
TH-00088	LIMEN-SIGNAL-2F6DC936BED52522	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Algorithm Register of the Dutch government (Datamask)	public-ai-registry derived artifact; English auto-translation from Dutch; local record NL-ALG-REC-93184465; route upstream/dedupe rather than LIMEN promotion.	translation-safe source review only; no legal or policy conclusion from machine translation	Route to public-ai-registry upstream translation/source review and deduplicate repeated Dutch Algorithm Register artifacts.
TH-00104	LIMEN-SIGNAL-34F19B81CEEB4934	cross_project_duplicate	en	https://egov-ai.e.gov.ph/developers/chat-ai	Chat AI / eGovAI API	GAIA fact row restates archived eGovAI developer-document evidence as issue-spotting hook	GAIA issue-spotting/source-surface only; no automated-decision claim	deduplicate with other GAIA eGovAI rows
TH-00133	LIMEN-SIGNAL-43FF33C05AE5F9D0	candidate_for_url_extraction	en	https://www.mcit.gov.qa/wp-content/uploads/sites/4/2025/02/national_artificial_intelligence_strategy_for_qatar_2019_en.pdf	Qatar National Artificial Intelligence Strategy	Local factory record names source URL and title but fetch/local content is absent or failed (<HTTPError 500: 'Internal Server Error'>).	translation-safe source review only; no legal or policy conclusion from machine translation	extract_named_url_and_capture_original_source_surface
TH-00134	LIMEN-SIGNAL-443DA798D860B8BC	cross_project_duplicate	es/local English summary	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json:4038	UN Guatemala Spanish AI Sprint page via GAIA digest	GAIA digest English summary is derived and human-review-needed; route upstream rather than promote in LIMEN	GAIA governance-radar context only; no named-agent or regulatory claim	deduplicate with TH-00089 and review upstream Spanish source if needed
TH-00138	LIMEN-SIGNAL-46671D763C633DAC	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Algorithm Register of the Dutch government (Datamask)	public-ai-registry derived artifact; English auto-translation from Dutch; local record NL-ALG-REC-93184465; route upstream/dedupe rather than LIMEN promotion.	translation-safe source review only; no legal or policy conclusion from machine translation	Route to public-ai-registry upstream translation/source review and deduplicate repeated Dutch Algorithm Register artifacts.
TH-00211	LIMEN-SIGNAL-70F79662D94099D5	translation_source_reviewed	ru	http://publication.pravo.gov.ru/Document/View/0001202004240030	Federal Law No. 123-FZ on the Moscow AI experimental legal regime	GAIA digest names Russian official-law source URL, reader target, language, and human-review-needed boundary.	translation-safe source review only; no legal or policy conclusion from machine translation	review original Russian legal source before quotation; keep as issue-spotting only
TH-00236	LIMEN-SIGNAL-7DCFB65BEF05D102	cross_project_duplicate	en	https://ico.org.uk/for-organisations/advice-and-services/regulatory-sandbox/	UK ICO Regulatory Sandbox	Staged package source-ledger duplicate of ICO source reviewed at TH-00147.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate into TH-00147 source-review record
TH-00250	LIMEN-SIGNAL-862187D5C52707DB	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/mnre1153/33698247/zylab-disclosure-support	Algorithm Register of the Dutch government	Derived public-ai-registry artifact with Dutch Algorithm Register auto-translation context; route upstream/deduplicate rather than promote here.	translation-safe source review only; no legal or policy conclusion from machine translation	Deduplicate against public-ai-registry and, if needed, perform original Dutch source review upstream.
TH-00253	LIMEN-SIGNAL-87C730379D41D629	cross_project_duplicate	language_not_resolved	path:/srv/tyche/atlas/tyche-thesis-atlas-factory/results/submission-preprint-packages/atlas-preprint-package-20260606T050050Z/manuscript.md#L18	Tyche Thesis Atlas preprint abstract	Atlas package abstract is an internal cross-project research-object statement, not an original language source.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to Atlas manuscript/source-ledger hardening; do not promote as LIMEN source
TH-00274	LIMEN-SIGNAL-94AC565178D464AE	cross_project_duplicate	language_not_resolved	path:/srv/tyche/atlas/tyche-thesis-atlas-factory/results/submission-preprint-packages/atlas-preprint-package-20260606T050415Z/source-draft.md#L8	Tyche Thesis Atlas source draft abstract	Atlas source draft repeats internal abstract language, not an external translation source.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to Atlas manuscript hardening
TH-00283	LIMEN-SIGNAL-979D7D04C0CC995C	cross_project_duplicate	Dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Algorithm Register of the Dutch government	Derived public-ai-registry record/table with named Dutch Algorithm Register locator and English auto-translation; deduplicate upstream.	translation-safe source review only; no legal or policy conclusion from machine translation	Route to public-ai-registry translation/source review or deduplication; do not promote as a LIMEN-reviewed source.
TH-00299	LIMEN-SIGNAL-A0BF64CA450C662C	reject_noise	ar; en; fr	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-007/readiness-negative-route-protocol-v0.1.md:21	Bahrain readiness negative-route protocol row	Protocol table row describes planned search scope, not an original-language source surface.	translation-safe source review only; no legal or policy conclusion from machine translation	Do not promote; execute URL extraction/source search for Bahrain if still needed.
TH-00324	LIMEN-SIGNAL-AC005735B19FC013	translation_source_reviewed	english	https://knowledge4policy.ec.europa.eu/sites/default/files/cyprus_ai_strategy.pdf	Cyprus National Artificial Intelligence Strategy transparency language	Named official strategy PDF locator and local transparency/traceability excerpt are reviewable.	translation-safe source review only; no legal or policy conclusion from machine translation	Use as strategy transparency language only, not proof of an operational register.
TH-00333	LIMEN-SIGNAL-AFE92F6ED26F8514	candidate_for_url_extraction	chinese	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-confidence-burden-typology-v0.1.csv:11	China confidence-burden row	Row explicitly notes CAC/MIIT exact permalinks need harvest; local context is not the source surface.	translation-safe source review only; no legal or policy conclusion from machine translation	Extract CAC/MIIT permalinks before translation-source review.
TH-00354	LIMEN-SIGNAL-BB2516034848A100	needs_original_language_source	Finnish	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-010/taxonomy-threshold-next-move-board.tsv:7	Finnish broadcaster-backed procedural-hallucination lineage	Threshold board says Finnish lineage lacks official corroboration and gives no source URL.	translation-safe source review only; no legal or policy conclusion from machine translation	locate authoritative Finnish police/court/ministry companion
TH-00360	LIMEN-SIGNAL-BC9C0628BE6670F6	cross_project_duplicate	Dutch	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Algorithm Register of the Dutch government	Derived public-ai-registry record/table with named Dutch Algorithm Register locator and English auto-translation; deduplicate upstream.	translation-safe source review only; no legal or policy conclusion from machine translation	Route to public-ai-registry translation/source review or deduplication; do not promote as a LIMEN-reviewed source.
TH-00364	LIMEN-SIGNAL-BF8B9AF60B9DA210	cross_project_duplicate	ms	/srv/tyche/pallas/pallas-ai-agent-observatory/results/pallas-gaia-bridge/paper-claim-signals.md:29	AISHAH AI Chatbot bridge signal	Pallas-GAIA bridge claim-signal row is derived review metadata, not a Malaysian source surface.	translation-safe source review only; no legal or policy conclusion from machine translation	Route upstream to Pallas/GAIA packet and extract exact Malay/official locators there.
TH-00374	LIMEN-SIGNAL-C621EDF4DFF6BF35	machine_translation_hold	Spanish	https://guatemala.un.org/es/311127-evaluaci%C3%B3n-de-ia-en-guatemala ; local digest line 4047	UN Guatemala: Evaluación de IA en Guatemala	Only GAIA notable-point summary is present at this row; original Spanish text was not reviewed.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe with Guatemala rows and review original Spanish source
TH-00452	LIMEN-SIGNAL-E4D5264CBC40D5D6	cross_project_duplicate	Dutch via English auto-translation local artifact	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	Algorithm Register of the Dutch government / public-ai-registry artifact	Derived public-ai-registry record/gap artifact already names Dutch Algorithm Register auto-translation; route upstream rather than promote here.	translation-safe source review only; no legal or policy conclusion from machine translation	deduplicate against public-ai-registry source record and keep translation hold unless original Dutch page is reviewed upstream
TH-00453	LIMEN-SIGNAL-E4FDA23C59B0F182	translation_source_reviewed	local_context_language_not_resolved	https://mocti.gov.sl/	MoCTI/DSTI/NatCA/NCRA public portals	Named Sierra Leone official portals and MoCTI locator support only bounded negative source-surface review.	translation-safe source review only; no legal or policy conclusion from machine translation	retain bounded locator and limitation text
TH-00467	LIMEN-SIGNAL-ED17ABFB9F71E2BC	candidate_for_url_extraction	en	https://aiweek.pakistan.gov.pk/about	Pakistan official Indus AI Week platform	local metadata names aiweek.pakistan.gov.pk/about but fetch failed with network unreachable	source locator only; no programme claim	extract or stage named URL and verify content locally
TH-00515	LIMEN-SIGNAL-ED9EDB3BC8DE6AD0	cross_project_duplicate	chinese	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1635EEST/daily/gaia-foreign-language-digest-latest.json:7636	cross_project_atlas_or_gaia	local metadata identifies a derived cross-project language artifact	translation-safe source review only; no legal or policy conclusion from machine translation	route_upstream_or_deduplicate
TH-00516	LIMEN-SIGNAL-EE05DE6FC2491F9C	cross_project_duplicate	language_not_resolved	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl:45	global_agent_atlas	local metadata identifies a derived cross-project language artifact	translation-safe source review only; no legal or policy conclusion from machine translation	route_upstream_or_deduplicate
