cluster_id	source_cluster_key	candidate_packet_rows	signal_ids	source_lanes	source_url_or_locator	normalized_source_url	source_host	source_name	queries	case_hardening_status	case_claim_ceiling_candidate	required_before_reviewed_core	required_before_obscure_ai	boundary
RCCQ-00001	https://api.github.com/repos/langchain-ai/langchain/security-advisories/GHSA-pjwx-r37v-7724	1	LIMEN-SIGNAL-E8CE49A64F1C3638	bulk_named_source_autoresolve	https://api.github.com/repos/langchain-ai/langchain/security-advisories/GHSA-pjwx-r37v-7724	https://api.github.com/repos/langchain-ai/langchain/security-advisories/GHSA-pjwx-r37v-7724	api.github.com	api.github.com	prompt injection	case_extraction_candidate_needs_source_hardening	GitHub advisory GHSA-pjwx-r37v-7724 states LangChain runtime paths could deserialize attacker-controlled LangChain objects through overly broad load() allowlists, with affected langchain-core ranges and patched versions listed.	Verify advisory text, affected versions, patched versions, and dedupe against existing reviewed-core vulnerability cases before promotion.	Only after reviewed-core acceptance; preserve advisory caveats and avoid exploitability beyond stated conditions.	Case-extraction candidate only; no reviewed-core promotion or ObscureAI addition occurred.
RCCQ-00002	https://arxiv.org/abs/2603.26983	3	LIMEN-SIGNAL-2A91635CA5308374; LIMEN-SIGNAL-53CAE8499E1B8869; LIMEN-SIGNAL-D6D2CEDA5080EACF	bulk_named_source_autoresolve	https://arxiv.org/abs/2603.26983	https://arxiv.org/abs/2603.26983	arxiv.org	arxiv.org	C2PA; content provenance	case_extraction_candidate_needs_source_hardening	An arXiv preprint claims that, in diagnostic use cases such as automated fact-checking pipelines, iterative editorial workflows and non-deterministic LLM outputs make provenance tracking infeasible under simple post-hoc labeling approaches.	Retrieve and quote original paper text around diagnostic use cases; record method limits; preserve preprint-only evidence tier; avoid legal compliance conclusion.	Only consider after reviewed-core hardening with exact quotes and independent reviewer confirmation; no ObscureAI addition now.	Case-extraction candidate only; no reviewed-core promotion or ObscureAI addition occurred.
RCCQ-00003	https://crfm.stanford.edu/2023/03/13/alpaca.html	1	LIMEN-SIGNAL-676F1390E18321D1	bulk_parent_source_extraction	https://crfm.stanford.edu/2023/03/13/alpaca.html	https://crfm.stanford.edu/2023/03/13/alpaca.html	crfm.stanford.edu	Stanford CRFM Alpaca page	retraction	case_extraction_candidate_needs_source_hardening	Stanford CRFM stated on the Alpaca release page that the public demo was disabled because the research-access goal was mostly achieved and, given hosting costs and inadequacies of content filters, the team brought down the demo.	Archive/quote the exact update passage; capture page date/version and any linked code/license context needed to bound the claim.	Only consider after reviewed-core acceptance; add independent corroboration/archival capture if available within allowed sources.	Case-extraction candidate only; no reviewed-core promotion or ObscureAI addition occurred.
RCCQ-00004	https://innovationisrael.org.il/en/press_release/personalized-education-tech	1	LIMEN-SIGNAL-B99A381ECD41A9B2	bulk_named_source_autoresolve	https://innovationisrael.org.il/en/press_release/personalized-education-tech/	https://innovationisrael.org.il/en/press_release/personalized-education-tech	innovationisrael.org.il	innovationisrael.org.il	regulatory sandbox	case_extraction_candidate_needs_source_hardening	Israel Innovation Authority and Ministry of Education announced a government-funded AI education sandbox to let companies test personalized AI learning solutions in public school classrooms.	Archive exact page text, capture issuing bodies/date/funding, and separate announced intent from verified implementation.	Only consider after reviewed-core hardening; require evidence of why the bounded public-school AI sandbox case is obscure and review-worthy.	Case-extraction candidate only; no reviewed-core promotion or ObscureAI addition occurred.
RCCQ-00005	https://intic.gov.mz/itu-aprova-apoio-ao-estabelecimento-do-sandbox-regulatorio-de-inteligencia-artificial-em-mocambique	1	LIMEN-SIGNAL-973E3156BFB001C3	bulk_translation_parent_source_extraction	https://intic.gov.mz/itu-aprova-apoio-ao-estabelecimento-do-sandbox-regulatorio-de-inteligencia-artificial-em-mocambique/	https://intic.gov.mz/itu-aprova-apoio-ao-estabelecimento-do-sandbox-regulatorio-de-inteligencia-artificial-em-mocambique	intic.gov.mz	ITU aprova apoio ao estabelecimento do Sandbox Regulatorio de Inteligencia Artificial em Mocambique — INTIC	regulatory sandbox	case_extraction_candidate_needs_source_hardening	INTIC reported that the ITU approved support for establishing an Artificial Intelligence regulatory sandbox in Mozambique.	Archive page text, translate key passages, verify actors/date/action, and distinguish support approval from implementation.	Only consider after reviewed-core acceptance and evidence that this bounded AI-sandbox support action is obscure/relevant.	Case-extraction candidate only; no reviewed-core promotion or ObscureAI addition occurred.
RCCQ-00006	https://irs.gov/about-irs/using-voice-and-chat-bots-to-improve-the-collection-taxpayer-experience	3	LIMEN-SIGNAL-0CC0F825CDC5A9E3; LIMEN-SIGNAL-1F3DC866548B8C6F; LIMEN-SIGNAL-6B41ACCB9624CD0D	bulk_named_source_autoresolve	https://www.irs.gov/about-irs/using-voice-and-chat-bots-to-improve-the-collection-taxpayer-experience	https://irs.gov/about-irs/using-voice-and-chat-bots-to-improve-the-collection-taxpayer-experience	irs.gov	irs.gov	procurement AI	case_extraction_candidate_needs_source_hardening	IRS official article says the agency was implementing voice and chat bots to improve the collection taxpayer experience.	Capture exact passages on bot functionality, datePosted/page status, and whether the source explicitly characterizes the bots as AI.	Only consider after reviewed-core acceptance; require careful AI-characterization and obscurity evidence.	Case-extraction candidate only; no reviewed-core promotion or ObscureAI addition occurred.
RCCQ-00007	https://link.springer.com/article/10.1007/s11192-024-05172-3	1	LIMEN-SIGNAL-E8A8B89D1A725F43	bulk_named_source_autoresolve	https://link.springer.com/article/10.1007/s11192-024-05172-3	https://link.springer.com/article/10.1007/s11192-024-05172-3	link.springer.com	link.springer.com	retraction	case_extraction_candidate_needs_source_hardening	A 2024 Scientometrics article reports a cross-sectional characterization of global retractions due to randomly generated content using Retraction Watch data.	Capture article abstract/methods/results passages, dataset scope, definitions of randomly generated content, and any named limits before reviewed-core consideration.	Only consider ObscureAI after reviewed-core acceptance and after separating SCIgen/random-generation evidence from unsupported modern-LLM claims.	Case-extraction candidate only; no reviewed-core promotion or ObscureAI addition occurred.
RCCQ-00008	https://linkedin.com/posts/grischa-liebel-13802181_new-citation-scam-in-town-at-least-we-hadnt-activity-7422731222784823296-LeNL	1	LIMEN-SIGNAL-F73AE7BE9942EF65	bulk_named_source_autoresolve	https://www.linkedin.com/posts/grischa-liebel-13802181_new-citation-scam-in-town-at-least-we-hadnt-activity-7422731222784823296-LeNL/	https://linkedin.com/posts/grischa-liebel-13802181_new-citation-scam-in-town-at-least-we-hadnt-activity-7422731222784823296-LeNL	linkedin.com	linkedin.com	retraction	case_extraction_candidate_needs_source_hardening	A public LinkedIn post by Grischa Liebel describes finding an SSRN paper that appeared similar to the authors' preprint and alleges a citation-scam pattern involving indexed citations to boost metrics.	Need original source text, direct passages, dates, actors, and corroborating official/primary records before reviewed-core consideration.	Not ObscureAI material unless hardening verifies bounded claim and reviewed-core accepts it.	Case-extraction candidate only; no reviewed-core promotion or ObscureAI addition occurred.
RCCQ-00009	https://news.microsoft.com/source/asia/features/with-help-from-next-generation-ai-indian-villagers-gain-easier-access-to-government-services	1	LIMEN-SIGNAL-5EB61C72A4F8914B	bulk_named_source_autoresolve	https://news.microsoft.com/source/asia/features/with-help-from-next-generation-ai-indian-villagers-gain-easier-access-to-government-services/	https://news.microsoft.com/source/asia/features/with-help-from-next-generation-ai-indian-villagers-gain-easier-access-to-government-services	news.microsoft.com	news.microsoft.com	automated decision	case_extraction_candidate_needs_source_hardening	Microsoft Source Asia reports that villagers in Biwan, Haryana used Jugalbandi, a generative-AI-driven mobile chatbot, to retrieve government-assistance information in multiple languages.	Archive article; extract exact passages; corroborate with project/government/nonvendor source; document system role as information retrieval not decision-making unless proven.	After reviewed-core acceptance, assess obscurity, public-sector dependency, multilingual/voice interface risks, and evidence limits.	Case-extraction candidate only; no reviewed-core promotion or ObscureAI addition occurred.
RCCQ-00010	https://osf.io/preprints/metaarxiv/26zag_v1	1	LIMEN-SIGNAL-EB9FF0D400F8136B	bulk_parent_source_extraction	https://osf.io/preprints/metaarxiv/26zag_v1	https://osf.io/preprints/metaarxiv/26zag_v1	osf.io	MetaArXiv OSF preprint 26zag_v1	retraction	case_extraction_candidate_needs_source_hardening	OSF API/index for a public MetaArXiv preprint reports a finding that Retraction Watch records through May 2026 show computer-generated-content-tagged retractions persisted after the 2023 Hindawi cleanup, with 2025 share reported as 23.6%.	Fetch/quote full preprint text or PDF, capture methods/data provenance, verify Retraction Watch basis, and bound to preprint claim before reviewed-core review.	Only after reviewed-core acceptance; likely research-integrity case candidate, not direct ObscureAI until hardened.	Case-extraction candidate only; no reviewed-core promotion or ObscureAI addition occurred.
