cluster_id	hardening_verdict	reviewed_core_candidate_status	obscure_ai_candidate_status	official_source_verified	source_url	source_host	source_language	source_record_date	jurisdiction	official_title	proposed_case_title	proposed_evidence_tier	proposed_limen_categories	bounded_claim_candidate	claim_ceiling	forbidden_overread	required_before_reviewed_core	required_before_obscure_ai	source_support_note
RCCQ-00001	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	not_obscure_ai_ready_until_reviewed_core_acceptance	yes	https://arxiv.org/abs/2603.26983	arxiv.org		2026-03-27	European Union	arxiv.org	EU AI Act Article 50 provenance-tracking gap in iterative fact-checking workflows	scholarly_preprint	content_provenance; AI_transparency; legal_technical_mismatch	An arXiv preprint claims that, in diagnostic use cases such as automated fact-checking pipelines, iterative editorial workflows and non-deterministic LLM outputs make provenance tracking infeasible under simple post-hoc labeling approaches.	Preprint-level claim about architectural/provenance feasibility constraints in stated diagnostic workflows only.	Do not claim EU AI Act noncompliance, legal violation, deployment prevalence, safety harm, or that all C2PA/provenance systems fail.	Retrieve and quote original paper text around diagnostic use cases; record method limits; preserve preprint-only evidence tier; avoid legal compliance conclusion.	Only consider after reviewed-core hardening with exact quotes and independent reviewer confirmation; no ObscureAI addition now.	Fetched exact public source and found supporting terms for extracted candidate. Final URL: https://arxiv.org/abs/2603.26983
RCCQ-00002	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	not_obscure_ai_ready_until_reviewed_core_acceptance	yes	https://crfm.stanford.edu/2023/03/13/alpaca.html	crfm.stanford.edu		2023-03-13	United States; California	Stanford CRFM Alpaca page	Stanford CRFM disables Alpaca public demo citing hosting costs and inadequate content filters	official_primary_source	model_release_demo_governance; content_filter_limitations; academic_llm_release	Stanford CRFM stated on the Alpaca release page that the public demo was disabled because the research-access goal was mostly achieved and, given hosting costs and inadequacies of content filters, the team brought down the demo.	Official self-described demo-disabling action and stated reasons on the CRFM page only.	Do not claim legal breach, unsafe deployment, actual user harm, prevalence, model misuse, or that content filters failed in a measured incident.	Archive/quote the exact update passage; capture page date/version and any linked code/license context needed to bound the claim.	Only consider after reviewed-core acceptance; add independent corroboration/archival capture if available within allowed sources.	Fetched exact public source and found supporting terms for extracted candidate. Final URL: https://crfm.stanford.edu/2023/03/13/alpaca.html
RCCQ-00003	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	not_obscure_ai_ready_until_reviewed_core_acceptance	yes	https://innovationisrael.org.il/en/press_release/personalized-education-tech/	innovationisrael.org.il		2025-07-22	Israel	innovationisrael.org.il	Israel announces AI education sandbox for personalized learning in public schools	official_government_press_release	regulatory_sandbox;education;public_sector_ai	Israel Innovation Authority and Ministry of Education announced a government-funded AI education sandbox to let companies test personalized AI learning solutions in public school classrooms.	Official announcement of a sandbox/pilot program and stated intended classroom testing.	Do not claim actual deployments occurred, products were safe/effective, students were affected, legality/compliance was established, or outcomes were measured.	Archive exact page text, capture issuing bodies/date/funding, and separate announced intent from verified implementation.	Only consider after reviewed-core hardening; require evidence of why the bounded public-school AI sandbox case is obscure and review-worthy.	Fetched exact public source and found supporting terms for extracted candidate. Final URL: https://innovationisrael.org.il/en/press_release/personalized-education-tech/
RCCQ-00004	case_candidate_source_fetch_or_support_gap	not_ready	not_ready	no	https://intic.gov.mz/itu-aprova-apoio-ao-estabelecimento-do-sandbox-regulatorio-de-inteligencia-artificial-em-mocambique/	intic.gov.mz		2026-05-15	Mozambique	ITU aprova apoio ao estabelecimento do Sandbox Regulatorio de Inteligencia Artificial em Mocambique — INTIC	Mozambique INTIC reports ITU support for establishing an AI regulatory sandbox	official_government_news	regulatory_sandbox;ai_governance;capacity_building	INTIC reported that the ITU approved support for establishing an Artificial Intelligence regulatory sandbox in Mozambique.	Official report of approved support to establish a sandbox, not proof of an operational sandbox or tested systems.	Do not claim the sandbox is operational, that AI systems were tested, or that any legal/safety/compliance findings exist.	Archive page text, translate key passages, verify actors/date/action, and distinguish support approval from implementation.	Only consider after reviewed-core acceptance and evidence that this bounded AI-sandbox support action is obscure/relevant.	fetch failed: <urlopen error [Errno 113] No route to host>
RCCQ-00005	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	not_obscure_ai_ready_until_reviewed_core_acceptance	yes	https://www.irs.gov/about-irs/using-voice-and-chat-bots-to-improve-the-collection-taxpayer-experience	irs.gov		2022-09-28	United States	irs.gov	IRS describes voice and chat bots for collection taxpayer experience	official_government_article	public_administration;tax;chatbot;voicebot	IRS official article says the agency was implementing voice and chat bots to improve the collection taxpayer experience.	Official description of IRS bot implementation for taxpayer collection support.	Do not claim AI model type, automated legal determinations, taxpayer harm, compliance findings, safety findings, or prevalence beyond the article.	Capture exact passages on bot functionality, datePosted/page status, and whether the source explicitly characterizes the bots as AI.	Only consider after reviewed-core acceptance; require careful AI-characterization and obscurity evidence.	Fetched exact public source and found supporting terms for extracted candidate. Final URL: https://www.irs.gov/about-irs/using-voice-and-chat-bots-to-improve-the-collection-taxpayer-experience
RCCQ-00006	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	not_obscure_ai_ready_until_reviewed_core_acceptance	yes	https://link.springer.com/article/10.1007/s11192-024-05172-3	link.springer.com		2024	global / scholarly publishing	link.springer.com	Scientometrics study characterizes retractions due to randomly generated content	scholarly_secondary	AI-generated or randomly generated scholarly content; publication-integrity; retraction evidence	A 2024 Scientometrics article reports a cross-sectional characterization of global retractions due to randomly generated content using Retraction Watch data.	Scholarly characterization only; does not establish misconduct, AI use in any specific paper, legal liability, safety impact, compliance breach, or prevalence beyond the studied retraction dataset.	Do not claim all retractions involved modern AI, that named authors were guilty, that the rate represents all literature, or that a regulator made a finding.	Capture article abstract/methods/results passages, dataset scope, definitions of randomly generated content, and any named limits before reviewed-core consideration.	Only consider ObscureAI after reviewed-core acceptance and after separating SCIgen/random-generation evidence from unsupported modern-LLM claims.	Fetched exact public source and found supporting terms for extracted candidate. Final URL: https://link.springer.com/article/10.1007/s11192-024-05172-3?error=cookies_not_supported&code=c97a75d3-e393-4184-a960-61d2a2c17bab
RCCQ-00007	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	not_obscure_ai_ready_until_reviewed_core_acceptance	yes	https://news.microsoft.com/source/asia/features/with-help-from-next-generation-ai-indian-villagers-gain-easier-access-to-government-services/	news.microsoft.com		2023-05-23	India	news.microsoft.com	Jugalbandi generative AI chatbot for Indian village government-service access	vendor_public_report	public-services-ai; government-benefits-chatbot; multilingual-voice-chatbot	Microsoft Source Asia reports that villagers in Biwan, Haryana used Jugalbandi, a generative-AI-driven mobile chatbot, to retrieve government-assistance information in multiple languages.	Vendor-reported public-service access example only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim. Do not claim eligibility decisions, benefit approvals/denials, official adoption scope, accuracy, safety, or population impact.	Archive article; extract exact passages; corroborate with project/government/nonvendor source; document system role as information retrieval not decision-making unless proven.	After reviewed-core acceptance, assess obscurity, public-sector dependency, multilingual/voice interface risks, and evidence limits.	Fetched exact public source and found supporting terms for extracted candidate. Final URL: https://news.microsoft.com/source/asia/features/with-help-from-next-generation-ai-indian-villagers-gain-easier-access-to-government-services/
RCCQ-00008	case_candidate_source_fetch_or_support_gap	not_ready	not_ready	partial	https://osf.io/preprints/metaarxiv/26zag_v1	osf.io		2026-05-28	global scholarly publishing	MetaArXiv OSF preprint 26zag_v1	OSF MetaArXiv preprint on computer-generated content as a cause of journal retractions	T3_preprint_index_abstract	research_integrity; ai_generated_content; retractions	OSF API/index for a public MetaArXiv preprint reports a finding that Retraction Watch records through May 2026 show computer-generated-content-tagged retractions persisted after the 2023 Hindawi cleanup, with 2025 share reported as 23.6%.	Preprint-reported aggregate finding only; not independent truth or publisher-specific adjudication.	Do not treat as verified prevalence, misconduct, legal/safety/compliance finding, or proof about any individual paper/publisher beyond the preprint claim.	Fetch/quote full preprint text or PDF, capture methods/data provenance, verify Retraction Watch basis, and bound to preprint claim before reviewed-core review.	Only after reviewed-core acceptance; likely research-integrity case candidate, not direct ObscureAI until hardened.	source fetched, but support terms were insufficient for automatic hardening
RCCQ-00009	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	not_obscure_ai_ready_until_reviewed_core_acceptance	yes	https://www.proto.cx/resource/namibias-government-to-launch-ai-agents-for-citizen-support-and-complaint-resolution	proto.cx		2025-12	Namibia	proto.cx	Vendor-reported Namibia ConsumerConnect AI-agent pilot for citizen support and complaint resolution	vendor_news_page	public-sector AI agent; complaint resolution; consumer protection	Proto reports that the Bank of Namibia and the Communications Regulatory Authority of Namibia launched a ConsumerConnect pilot using an integrated AI-agent network for citizen support and complaint resolution.	Vendor-reported pilot/launch claim only.	Do not assert official deployment status, effectiveness, safety, legality, regulatory findings, prevalence, or harm.	Obtain official BON/CRAN/NAMFISA or procurement/project documentation and archive exact source text; confirm date, agencies, scope, and whether pilot is live.	After official-source hardening, decide if the public-sector complaint-resolution AI-agent pattern is obscure enough and evidence-supported.	Fetched exact public source and found supporting terms for extracted candidate. Final URL: https://www.proto.cx/resource/namibias-government-to-launch-ai-agents-for-citizen-support-and-complaint-resolution
RCCQ-00010	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	not_obscure_ai_ready_until_reviewed_core_acceptance	yes	https://sakana.ai/ai-scientist-first-publication/	sakana.ai		2025-03-12	International / ICLR workshop / Japan vendor	sakana.ai	Sakana AI Scientist-v2 paper passed an ICLR workshop peer-review process	primary_vendor_public_statement	ai_research_automation; peer_review_boundary; disclosure_governance	Sakana AI stated that a paper produced by The AI Scientist-v2 passed peer review at an ICLR 2025 workshop, with stated cooperation from ICLR/workshop organizers and UBC IRB approval.	May claim a vendor-reported AI-generated paper peer-review experiment; do not claim independent validation, paper quality, legality, general acceptance of AI papers, or undisclosed reviewer behavior.	No claim of scientific merit, benchmark superiority, misconduct, deception, legal compliance, safety finding, prevalence, or ranking.	Capture exact source passages; verify workshop identity, paper title/ID, technical report, disclosure/IRB statements, and any independent conference/workshop record.	Only consider after reviewed-core acceptance and corroboration; maintain narrow peer-review-boundary framing.	Fetched exact public source and found supporting terms for extracted candidate. Final URL: https://sakana.ai/ai-scientist-first-publication/
RCCQ-00011	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	not_obscure_ai_ready_until_reviewed_core_acceptance	yes	https://skillsmin.gov.lk/blog/2025/11/06/launch-of-sri-lankas-first-fully-ai-based-government-service-delivery-web-chatbot/	skillsmin.gov.lk		2025-11-08	Sri Lanka	skillsmin.gov.lk	Sri Lanka vocational education ministry launches AI service-delivery chatbot	P2_official_public_agency_source	public-sector; government-service-chatbot; AI evidence	The ministry page says the Vocational Education Sector launched a fully AI-based government service-delivery chatbot integrated with Hotline 1966 and supporting Sinhala, Tamil, English, and Singlish.	Official-source launch/deployment description only.	No claim of safety, legality, compliance, usage, accuracy, procurement validity, national uniqueness beyond the page wording, or real-world outcomes.	Archive page; extract exact quoted passages; verify date discrepancy between URL 2025-11-06 and page publication 2025-11-08; identify whether any independent or technical source exists.	Only consider after reviewed-core hardening; do not treat as harm, failure, or obscure AI without additional case evidence.	Fetched exact public source and found supporting terms for extracted candidate. Final URL: https://skillsmin.gov.lk/blog/2025/11/06/launch-of-sri-lankas-first-fully-ai-based-government-service-delivery-web-chatbot/
