cluster_id	source_host	source_url	hardening_verdict	reviewed_core_candidate_status	existing_final_decision	existing_reviewed_core_action	existing_obscure_ai_action	autoreview_decision	effective_decision	reviewed_core_recommendation	obscure_ai_recommendation	confidence	rule_ids	matched_existing_case_ids	matched_existing_source_urls	paid_token_required	human_acceptance_required	proposed_case_title	proposed_evidence_tier	bounded_claim_candidate	claim_ceiling	forbidden_overread	rationale	next_action	boundary
RCCQ-00001	api.github.com	https://api.github.com/repos/langchain-ai/langchain/security-advisories/GHSA-pjwx-r37v-7724	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	hold_source_gap	no_new_row	no_new_obscure_ai_case	auto_close_duplicate_existing_core	hold_source_gap	no_new_row_duplicate_existing_core	no_new_obscure_ai_case	high	duplicate_by_exact_source_url_or_public_id;already_final_adjudicated	LIMEN-000008	https://raw.githubusercontent.com/CVEProject/cvelistV5/main/cves/2026/44xxx/CVE-2026-44843.json	no	no	LangChain GHSA advisory for overly broad load() allowlists	official_vendor_security_advisory	GitHub advisory GHSA-pjwx-r37v-7724 states LangChain runtime paths could deserialize attacker-controlled LangChain objects through overly broad load() allowlists, with affected langchain-core ranges and patched versions listed.	Public advisory/vulnerability record only; exposure limited to applications meeting the advisory conditions.	No legality/safety/compliance/deployment/prevalence/guilt/ranking claim.	The source URL or public identifier already appears in reviewed-core data.	none; final adjudication ledger already covers this row	Token-free autoreview only; no reviewed-core or ObscureAI promotion occurred.
RCCQ-00002	arxiv.org	https://arxiv.org/abs/2603.26983	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	duplicate_existing_core	no_new_row	no_new_obscure_ai_case	auto_hold_scholarly_or_preprint_source_only	duplicate_existing_core	no_new_row_hold	no_new_obscure_ai_case	high	scholarly_or_preprint_source_only;already_final_adjudicated			no	no	EU AI Act Article 50 provenance-tracking gap in iterative fact-checking workflows	scholarly_preprint	An arXiv preprint claims that, in diagnostic use cases such as automated fact-checking pipelines, iterative editorial workflows and non-deterministic LLM outputs make provenance tracking infeasible under simple post-hoc labeling approaches.	Preprint-level claim about architectural/provenance feasibility constraints in stated diagnostic workflows only.	Do not claim EU AI Act noncompliance, legal violation, deployment prevalence, safety harm, or that all C2PA/provenance systems fail.	The row is useful as research/source surface, but not a bounded real-world case by itself.	none; final adjudication ledger already covers this row	Token-free autoreview only; no reviewed-core or ObscureAI promotion occurred.
RCCQ-00003	crfm.stanford.edu	https://crfm.stanford.edu/2023/03/13/alpaca.html	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	hold_source_only	no_new_row	no_new_obscure_ai_case	auto_close_duplicate_existing_core	hold_source_only	no_new_row_duplicate_existing_core	no_new_obscure_ai_case	high	duplicate_by_exact_source_url_or_public_id;already_final_adjudicated	LIMEN-WEB5-001	https://crfm.stanford.edu/2023/03/13/alpaca.html	no	no	Stanford CRFM disables Alpaca public demo citing hosting costs and inadequate content filters	official_primary_source	Stanford CRFM stated on the Alpaca release page that the public demo was disabled because the research-access goal was mostly achieved and, given hosting costs and inadequacies of content filters, the team brought down the demo.	Official self-described demo-disabling action and stated reasons on the CRFM page only.	Do not claim legal breach, unsafe deployment, actual user harm, prevalence, model misuse, or that content filters failed in a measured incident.	The source URL or public identifier already appears in reviewed-core data.	none; final adjudication ledger already covers this row	Token-free autoreview only; no reviewed-core or ObscureAI promotion occurred.
RCCQ-00004	innovationisrael.org.il	https://innovationisrael.org.il/en/press_release/personalized-education-tech/	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	promoted_to_reviewed_core	promoted_to_batch5	promoted_after_reviewed_core	auto_hold_announcement_or_pilot_needs_corroboration	promoted_to_reviewed_core	no_new_row_hold	no_new_obscure_ai_case	medium	announcement_or_pilot_not_case;already_final_adjudicated			no	no	Israel announces AI education sandbox for personalized learning in public schools	official_government_press_release	Israel Innovation Authority and Ministry of Education announced a government-funded AI education sandbox to let companies test personalized AI learning solutions in public school classrooms.	Official announcement of a sandbox/pilot program and stated intended classroom testing.	Do not claim actual deployments occurred, products were safe/effective, students were affected, legality/compliance was established, or outcomes were measured.	The row appears to be an announcement, pilot, or program surface rather than verified case outcome.	none; final adjudication ledger already covers this row	Token-free autoreview only; no reviewed-core or ObscureAI promotion occurred.
RCCQ-00005	intic.gov.mz	https://intic.gov.mz/itu-aprova-apoio-ao-estabelecimento-do-sandbox-regulatorio-de-inteligencia-artificial-em-mocambique/	case_candidate_source_fetch_or_support_gap	not_ready	hold_source_only	no_new_row	no_new_obscure_ai_case	auto_hold_source_gap	hold_source_only	no_new_row_hold	no_new_obscure_ai_case	high	not_source_verified_or_not_ready;already_final_adjudicated			no	no	Mozambique INTIC reports ITU support for establishing an AI regulatory sandbox	official_government_news	INTIC reported that the ITU approved support for establishing an Artificial Intelligence regulatory sandbox in Mozambique.	Official report of approved support to establish a sandbox, not proof of an operational sandbox or tested systems.	Do not claim the sandbox is operational, that AI systems were tested, or that any legal/safety/compliance findings exist.	The hardened row is not source-verified and ready for acceptance.	none; final adjudication ledger already covers this row	Token-free autoreview only; no reviewed-core or ObscureAI promotion occurred.
RCCQ-00006	irs.gov	https://www.irs.gov/about-irs/using-voice-and-chat-bots-to-improve-the-collection-taxpayer-experience	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	hold_source_gap	no_new_row	no_new_obscure_ai_case	token_free_promote_candidate_needs_human_acceptance	hold_source_gap	promote_candidate_after_human_acceptance	candidate_after_reviewed_core_acceptance	medium	source_verified_authoritative_with_claim_ceiling;already_final_adjudicated			no	no	IRS describes voice and chat bots for collection taxpayer experience	official_government_article	IRS official article says the agency was implementing voice and chat bots to improve the collection taxpayer experience.	Official description of IRS bot implementation for taxpayer collection support.	Do not claim AI model type, automated legal determinations, taxpayer harm, compliance findings, safety findings, or prevalence beyond the article.	The row is source-verified and has bounded claim text; deterministic review can queue it for human acceptance without LLM tokens.	none; final adjudication ledger already covers this row	Token-free autoreview only; no reviewed-core or ObscureAI promotion occurred.
RCCQ-00007	link.springer.com	https://link.springer.com/article/10.1007/s11192-024-05172-3	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	hold_source_only	no_new_row	no_new_obscure_ai_case	auto_hold_scholarly_or_preprint_source_only	hold_source_only	no_new_row_hold	no_new_obscure_ai_case	high	scholarly_or_preprint_source_only;already_final_adjudicated			no	no	Scientometrics study characterizes retractions due to randomly generated content	scholarly_secondary	A 2024 Scientometrics article reports a cross-sectional characterization of global retractions due to randomly generated content using Retraction Watch data.	Scholarly characterization only; does not establish misconduct, AI use in any specific paper, legal liability, safety impact, compliance breach, or prevalence beyond the studied retraction dataset.	Do not claim all retractions involved modern AI, that named authors were guilty, that the rate represents all literature, or that a regulator made a finding.	The row is useful as research/source surface, but not a bounded real-world case by itself.	none; final adjudication ledger already covers this row	Token-free autoreview only; no reviewed-core or ObscureAI promotion occurred.
RCCQ-00008	linkedin.com	https://www.linkedin.com/posts/grischa-liebel-13802181_new-citation-scam-in-town-at-least-we-hadnt-activity-7422731222784823296-LeNL/	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	hold_source_only	no_new_row	no_new_obscure_ai_case	auto_hold_social_or_allegation_needs_primary	hold_source_only	no_new_row_hold	no_new_obscure_ai_case	high	weak_or_allegation_source;already_final_adjudicated			no	no	LinkedIn post alleges SSRN citation-scam pattern involving a similar paper and artificial citation boosting	public first-person social post; needs original source corroboration	A public LinkedIn post by Grischa Liebel describes finding an SSRN paper that appeared similar to the authors' preprint and alleges a citation-scam pattern involving indexed citations to boost metrics.	Bounded to what the LinkedIn post alleges; treat as allegation/source lead, not verified misconduct or AI-generated paper finding.	Do not assert guilt, retraction, legal violation, AI authorship, journal acceptance, prevalence, or verified citation fraud.	The row is grounded in a social/allegation source and needs primary-source corroboration.	none; final adjudication ledger already covers this row	Token-free autoreview only; no reviewed-core or ObscureAI promotion occurred.
RCCQ-00009	news.microsoft.com	https://news.microsoft.com/source/asia/features/with-help-from-next-generation-ai-indian-villagers-gain-easier-access-to-government-services/	source_verified_case_candidate_needs_acceptance	ready_for_human_acceptance_not_promoted	hold_low_evidence	no_new_row	no_new_obscure_ai_case	auto_hold_announcement_or_pilot_needs_corroboration	hold_low_evidence	no_new_row_hold	no_new_obscure_ai_case	medium	announcement_or_pilot_not_case;already_final_adjudicated			no	no	Jugalbandi generative AI chatbot for Indian village government-service access	vendor_public_report	Microsoft Source Asia reports that villagers in Biwan, Haryana used Jugalbandi, a generative-AI-driven mobile chatbot, to retrieve government-assistance information in multiple languages.	Vendor-reported public-service access example only.	No legality, safety, compliance, deployment-scale, prevalence, intent, guilt, or impact claim. Do not claim eligibility decisions, benefit approvals/denials, official adoption scope, accuracy, safety, or population impact.	The row appears to be an announcement, pilot, or program surface rather than verified case outcome.	none; final adjudication ledger already covers this row	Token-free autoreview only; no reviewed-core or ObscureAI promotion occurred.
RCCQ-00010	osf.io	https://osf.io/preprints/metaarxiv/26zag_v1	case_candidate_source_fetch_or_support_gap	not_ready	hold_source_only	no_new_row	no_new_obscure_ai_case	auto_hold_source_gap	hold_source_only	no_new_row_hold	no_new_obscure_ai_case	high	not_source_verified_or_not_ready;already_final_adjudicated			no	no	OSF MetaArXiv preprint on computer-generated content as a cause of journal retractions	T3_preprint_index_abstract	OSF API/index for a public MetaArXiv preprint reports a finding that Retraction Watch records through May 2026 show computer-generated-content-tagged retractions persisted after the 2023 Hindawi cleanup, with 2025 share reported as 23.6%.	Preprint-reported aggregate finding only; not independent truth or publisher-specific adjudication.	Do not treat as verified prevalence, misconduct, legal/safety/compliance finding, or proof about any individual paper/publisher beyond the preprint claim.	The hardened row is not source-verified and ready for acceptance.	none; final adjudication ledger already covers this row	Token-free autoreview only; no reviewed-core or ObscureAI promotion occurred.
