claim_id	case_id	source_id	claim_scope	anchor_or_support	publication_surface	claim_ceiling	blocked_or_ready	caution_note	observatory_hook
LIMEN-C-010	package	results/authoritative-scout/authoritative-anchor-priority-matrix-v0.1.tsv	Authoritative-package document support is heterogeneous and must be split between selective-anchor-ready rows and blocked court-depth rows.	The current package has eight selective-anchor-ready rows (LIMEN-000001, LIMEN-000003, LIMEN-000004, LIMEN-000006, LIMEN-000007, LIMEN-000008, LIMEN-000010, LIMEN-000011), one missing-court-text blocker (LIMEN-000002), and one normalization-limited captured-document row (LIMEN-000005).	claims.md; draft/preprint.md; methods/results sections	Supports a methods/results claim about evidence-depth heterogeneity, not a stronger case-count or merits claim.	ready	Do not treat the package as one flat authoritative class or imply that blocked court/public-record rows are quote-ready.	authority_anchor_panel; document_depth_facet; blocker_class_dashboard
LIMEN-C-011	LIMEN-000001	SRC-AUTH-0001	Italian regulator-order anchor	"The Garante order states ""la misura della limitazione provvisoria del trattamento"" and separately lists lack of user notice, lack of suitable legal basis, inaccuracy risk, and absence of age verification."	claims.md; draft/preprint.md; privacy-enforcement table	Supports narrow wording that the regulator imposed a provisional limitation and listed those concern types in the order text.	ready	Keep the Italian original alongside any paraphrase and do not overread the provisional measure as a final illegality finding.	authority_anchor_panel; privacy_enforcement_table; jurisdiction_language_map
LIMEN-C-012	LIMEN-000003	SRC-AUTH-0008	UK workplace-biometric notice anchor	The notice states that Serco processed biometric data for employee attendance monitoring at 38 facilities and ties the action to Articles 5(1)(a), 6, and 9 UK GDPR with cease-processing and data-destruction remedies.	claims.md; draft/preprint.md; biometric-governance table	Supports direct notice-text wording on scope, cited provisions, and remedy posture.	ready	Stay within the notice text and do not generalize one case into sector prevalence or broader legality conclusions.	authority_anchor_panel; biometric_governance_table; remedy_type_matrix
LIMEN-C-013	LIMEN-000004	SRC-AUTH-0009	UK school-biometric reprimand anchor	The reprimand states that Article 35(1) required a prior DPIA, that facial recognition was introduced in March 2023, and that assumed opt-out consent from March to November 2023 would not have been valid or lawful.	claims.md; draft/preprint.md; minors/public-interest comparison	Supports narrow wording on process failure and consent posture in the reprimand text.	ready_with_context_caution	Keep schoolchild context metadata-first and avoid unnecessary factual expansion beyond the reprimand.	authority_anchor_panel; minors_public_interest_table; consent_failure_matrix
LIMEN-C-014	LIMEN-000006	SRC-AUTH-0013	Settled SEC Delphia order anchor	The SEC order states that Delphia claimed to use AI and machine learning on retail clients' spending and social-media data for investment advice when no such data was being used in its investment process, and orders a $225,000 civil money penalty.	claims.md; draft/preprint.md; settled AI-washing table	Supports narrow wording on misstatement substance plus exact sanction amount in a settled regulator-order posture.	ready	Keep settlement-order posture explicit and do not present the order as independent judicial fact-finding or cross-sector prevalence evidence.	authority_anchor_panel; settled_ai_washing_table; sanctions_matrix
LIMEN-C-015	LIMEN-000007	SRC-AUTH-0015	Settled SEC Global Predictions order anchor	The SEC order states that Global Predictions made false and misleading claims about its AI use, its claimed status as the first regulated AI financial advisor, and the services it offered, and orders a $175,000 civil money penalty.	claims.md; draft/preprint.md; settled AI-washing table	Supports narrow wording on the marketing-claim substance plus exact sanction amount in a settled regulator-order posture.	ready	Keep settlement-order posture explicit and avoid generalizing beyond the named respondent or turning one enforcement package into wider market prevalence.	authority_anchor_panel; settled_ai_washing_table; sanctions_matrix
LIMEN-C-016	LIMEN-000005	SRC-AUTH-0010	Charging-stage hidden-human Nate anchor	The DOJ summary supports accusation-stage wording that Saniger was charged over alleged misstatements about nate's AI capabilities and that nate relied heavily on human workers, while also stating that the charges are accusations only.	claims.md; draft/preprint.md; AI-washing posture ladder	Supports accusation-stage and presumption-of-innocence wording only while caption normalization remains incomplete.	partially_ready	Do not treat the matter as adjudicated fact and do not invent unread docket-caption metadata from the captured indictment PDF.	charging_vs_settled_panel; court_normalization_methods_table; blocker_class_dashboard
LIMEN-C-017	LIMEN-000008	SRC-AUTH-0017	FCC deepfake robocall enforcement anchor	The FCC order states that Lingo Telecom entered into a Consent Decree to resolve the investigation, agreed to implement a robust compliance plan, and agreed to pay a $1,000,000 civil penalty in connection with STIR/SHAKEN attestation violations tied to spoofed robocalls.	claims.md; draft/preprint.md; synthetic-identity enforcement table	Supports narrow wording on the disposition-stage penalty and compliance-plan posture in a telecom/deepfake enforcement case.	ready	Keep the consent-decree posture explicit and separate from the earlier apparent-liability proposal; do not generalize one FCC action into broad election-deepfake prevalence claims.	authority_anchor_panel; synthetic_identity_enforcement_table; telecom_authentication_lifecycle
LIMEN-C-018	LIMEN-000011	SRC-AUTH-0022; SRC-AUTH-0023	FTC detector-governance official-core anchor	The FTC complaint states that Workado advertised 98.3 percent detector accuracy and alleges weaker real-world support for ordinary user text, while the FTC final order bars misleading or unsubstantiated detector-effectiveness claims and imposes recordkeeping and customer-notice duties.	claims.md; draft/preprint.md; detector-governance panel; AI-claim authority-depth table	Supports narrow regulator-document wording on one detector-governance and false-capability official row inside the shared authoritative core, not a general scientific verdict on detectors.	ready_with_guardrails	Keep complaint-stage allegations distinct from final-order duties and do not generalize beyond the named product, representations, and FTC posture.	detector_governance_core_badge; authority_depth_funnel; ai_claims_and_market_representation_heatmap
LIMEN-C-019	LIMEN-000010	SRC-AUTH-0020; SRC-AUTH-0021	FTC DoNotPay official-core anchor	The FTC complaint states that DoNotPay marketed itself as the world's first robot lawyer and an AI lawyer capable of drafting demand letters, contracts, and small-claims complaints, while the FTC final order bars covered representations that a product or service operates like a human lawyer by applying law to a subscriber's particular facts and orders USD 193000 in monetary relief.	claims.md; draft/preprint.md; non-finance AI-claim table; legal-service-substitution comparator	Supports narrow regulator-document wording on one non-finance official AI-claim row inside the shared authoritative core, while keeping complaint allegations distinct from final-order prohibitions and relief.	ready_with_guardrails	Do not convert the FTC package into a judicial unauthorized-practice finding or a general verdict on legal AI tools.	nonfinance_official_ai_claim_anchor; authority_depth_funnel; legal_service_substitution_comparator
