case_id	title	package_role	record_status	jurisdictions	languages	source_count	authority_depth_bucket	severity	confidence	priority_band	next_smallest_publishability_move	observatory_hook	evidence_refs
LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	shared_authoritative_core	authoritative	Italy	it	1	document_grade_regulator_or_court_text	high	high	hold_or_reuse	hold; reuse for privacy-enforcement timeline and compare only if a later official order or court stage appears	Feeds regulator-action timeline, jurisdiction map, and privacy/data-protection enforcement matrix for generative AI cases.	SRC-AUTH-0001
LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	shared_authoritative_core	authoritative	United States	en	2	agency_summary_only_or_press_release	high	high	priority_1_open_court_depth	capture one genuinely open court-facing complaint, decree, docket, or judicial-order surface	Feeds workplace/HR enforcement matrix, algorithmic-discrimination case table, and regulator-to-court escalation view. | Feeds regulator-to-settlement escalation matrix, HR enforcement lifecycle view, and contestability/remediation timeline for automated hiring cases.	SRC-AUTH-0002; SRC-AUTH-0005
LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	shared_authoritative_core	authoritative	United Kingdom	en	3	document_grade_regulator_or_court_text	high	high	hold_or_reuse	hold; reuse direct ICO notice text and reopen only for later appeal or follow-through record	Feeds biometric-surveillance enforcement matrix, public-service provider oversight timeline, and workplace biometric proportionality figure. | Feeds regulator-action detail table, biometric workplace scale note, and regulator-to-public-record escalation matrix.	SRC-AUTH-0003; SRC-AUTH-0006; SRC-AUTH-0008
LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	shared_authoritative_core	authoritative	United Kingdom	en	3	document_grade_regulator_or_court_text	medium	high	hold_or_reuse	hold; reuse direct ICO reprimand text and reopen only for later appeal or follow-through record	Feeds children/school biometric governance matrix and dashboard filters for public-interest technology use involving minors. | Feeds school-biometric governance matrix, public-record type facet, and regulator-to-public-record escalation matrix.	SRC-AUTH-0004; SRC-AUTH-0007; SRC-AUTH-0009
LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	shared_authoritative_core	authoritative_charging_stage	United States	en	2	charging_document_with_partial_caption_normalization	high	medium	priority_2_caption_normalization	recover exact case-number suffix only from a materially different public caption or better original	Feeds charge-stage court/enforcement facet, AI-washing versus hidden-human posture table, and regulator-to-court source-family saturation view. | Feeds court-record presence facet, document-depth ladder, and source-family saturation update for official charging documents.	SRC-AUTH-0010; SRC-AUTH-0011
LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	shared_authoritative_core	authoritative	United States	en	2	document_grade_regulator_or_court_text	medium	high	hold_or_reuse	hold; reuse SEC order text as settled AI-washing exemplar unless a later court-facing document appears	Feeds posture-aware AI-washing matrix, regulator-final enforcement table, and finance-sector misstatement comparator view. | Feeds direct-order-text facet, settled AI-washing sanctions table, and reviewer-safe regulated-finance exemplar panel.	SRC-AUTH-0012; SRC-AUTH-0013
LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	shared_authoritative_core	authoritative	United States	en	2	document_grade_regulator_or_court_text	medium	high	hold_or_reuse	hold; reuse SEC order text as settled AI-washing exemplar unless a later court-facing document appears	Feeds posture-aware AI-washing matrix, regulator-final enforcement table, and finance-sector misstatement comparator view. | Feeds direct-order-text facet, settled AI-washing sanctions table, and reviewer-safe regulated-finance exemplar panel.	SRC-AUTH-0014; SRC-AUTH-0015
LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	shared_authoritative_core	authoritative	United States	en	3	document_grade_regulator_or_court_text	high	high	hold_or_reuse	hold; reuse FCC allegation-to-consent-decree lifecycle and reopen only for later court-facing or carrier follow-through	Feeds deepfake/synthetic-identity enforcement panel, telecom-authentication lifecycle table, election-interference authority slice, and authority-depth dashboard view. | Feeds deepfake/synthetic-identity enforcement panel, telecom-authentication lifecycle table, election-interference authority slice, and authority-depth dashboard view.	SRC-AUTH-0016; SRC-AUTH-0017; SRC-AUTH-0018
LIMEN-000009	Slovenian police ORION page describes AI-assisted border-management pilot with encrypted-biometric-processing language	shared_authoritative_core	authoritative_follow_through	Slovenia	sl; en	4	official_companion_pair_follow_through	medium	medium_high	priority_3_non_us_non_uk_depth_frontier	seek ORION-specific procurement, audit, technical, evaluation, or other official document-grade companion beyond the Slovenian police page plus CORDIS HTML/XML/PDF chain	Feeds jurisdiction/language map, public-sector AI deployment panel, policing/border-control topology, biometric/privacy tension matrix, authority-depth geography diversification view, and machine-readable participant-chain ingest.	SRC-AUTH-0019; SRC-AUTH-0033; SRC-AUTH-0037; SRC-AUTH-0038
LIMEN-000010	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	shared_authoritative_core	authoritative	United States	en	2	document_grade_regulator_or_court_text	medium	high	hold_or_reuse	hold; reuse complaint-plus-final-order text as bounded non-finance official AI-claim exemplar	nonfinance_official_ai_claim_anchor; posture-aware AI-washing panel; legal-service-substitution comparator | nonfinance_official_ai_claim_anchor; authority-depth funnel; legal-service-substitution comparator	SRC-AUTH-0020; SRC-AUTH-0021
