case_id	title	jurisdiction	language	record_status	limen_categories	source_count	source_ids	source_types	document_depth_surface	authority_posture	publication_role	claim_ceiling_now	figure_or_table_route	dashboard_priority_view	next_smallest_publishability_move	reviewer_limitation_note
LIMEN-000001	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	Italy	it	authoritative	legal_procedural_contamination; normative_or_moral_outlier	1	SRC-AUTH-0001	data protection authority order	document_text_on_regulator_site	regulator_order_text	document-grade regulator benchmark	Direct Italian DPA order supports the provisional limitation and listed concerns; use order-bounded language only.	jurisdiction/language map; authority-depth table; privacy-enforcement timeline	authority_posture x jurisdiction x harm_type	Add selective human-reviewed Italian anchor extraction for article-ready claim-support rows.	Avoid pan-EU legality or final-merits language beyond the order text.
LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	United States	en	authoritative	education_workplace_or_hr; unlawful_or_allegedly_unlawful_use	2	SRC-AUTH-0002; SRC-AUTH-0005	federal agency lawsuit press release || federal agency settlement press release	agency_press_release_summary; agency_settlement_summary	agency_summary_escalation_only	court-escalation limitation exemplar	EEOC pages support filing and settlement/decree summaries plus Civil Action No. 1:22-cv-02565, but not court-text quotations.	escalation-ladder figure; court-gap methods table; HR discrimination authority-depth comparison	claim_ceiling x blocker_class x source_family	Capture one open complaint, decree, docket entry, or judicial order from a court-facing or clearly labeled open-mirror source.	Do not convert agency allegations or settlement summary into court-verified findings.
LIMEN-000003	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	United Kingdom	en	authoritative	education_workplace_or_hr; surveillance_biometrics_or_policing; public_sector_misuse_or_gap	3	SRC-AUTH-0003; SRC-AUTH-0006; SRC-AUTH-0008	ICO enforcement notice PDF || ICO enforcement-action record || data protection authority enforcement news page	notice_pdf_text_present; regulator_enforcement_record_summary; regulator_newsroom_summary	regulator_notice_pdf	document-grade biometric workplace exemplar	ICO notice PDF supports legal basis, cited UK GDPR provisions, attendance-monitoring posture, and remedy steps.	biometric-governance table; remedy-type matrix; workplace enforcement timeline	document_depth x remedy_type x affected_domain	Extract a small set of publication-useful notice anchors and remedy clauses.	Avoid sector-prevalence or broader legality conclusions beyond the notice text.
LIMEN-000004	UK ICO reprimands Essex school over facial-recognition canteen payments	United Kingdom	en	authoritative	surveillance_biometrics_or_policing; public_sector_misuse_or_gap; education_workplace_or_hr; normative_or_moral_outlier	3	SRC-AUTH-0004; SRC-AUTH-0007; SRC-AUTH-0009	ICO enforcement-action record || ICO reprimand PDF || data protection authority reprimand news page	regulator_enforcement_record_summary; regulator_newsroom_summary; reprimand_pdf_text_present	regulator_reprimand_pdf	document-grade minors/public-interest exemplar	ICO reprimand PDF supports the Article 35(1) DPIA failure, deployment timing, and invalid opt-out consent framing.	children/public-interest governance panel; action-type table; public-service biometric comparison	minors_flag x action_type x evidence_tier	Extract a compact anchor set while preserving student-context caution.	Avoid sector-wide prevalence claims and keep schoolchild context metadata-first.
LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	United States	en	authoritative_charging_stage	ai_washing_or_false_ai_claim; unlawful_or_allegedly_unlawful_use	2	SRC-AUTH-0010; SRC-AUTH-0011	DOJ-linked indictment PDF || federal prosecutor press release	charging_stage_summary_with_linked_indictment; indictment_pdf_captured	charging_stage_plus_captured_pdf	normalization-limited court-record exemplar	DOJ summary supports accusation-stage wording and the package has a captured indictment PDF, but exact caption metadata remains partially unread.	court-normalization methods table; charge-stage vs settled-order comparison; AI-washing/hidden-human posture panel	normalization_stage x authority_posture x source_family	Use a materially different OCR stack or another exact-caption public source before promoting case-number metadata.	Do not treat the matter as adjudicated fact or invent missing caption fields.
LIMEN-000006	SEC settlement with Delphia over false and misleading statements about AI and machine learning use	United States	en	authoritative	ai_washing_or_false_ai_claim; finance_insurance_or_market	2	SRC-AUTH-0012; SRC-AUTH-0013	SEC administrative order || federal regulator settlement press release	administrative_order_pdf_text_present; agency_press_release_summary	settled_regulator_administrative_order	settled AI-washing sanctions exemplar	SEC order supports settlement-order findings about false and misleading AI/machine-learning statements and the USD 225000 penalty.	sanctions table; regulated-finance posture panel; settled-order comparison against charge-stage rows	authority_posture x sanction_amount x ai_washing_subtype	Add selective order anchors for the most publication-useful misstatement and remedy passages.	Do not overread settlement posture as independent judicial fact-finding or sector prevalence.
LIMEN-000007	SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	United States	en	authoritative	ai_washing_or_false_ai_claim; finance_insurance_or_market	2	SRC-AUTH-0014; SRC-AUTH-0015	SEC administrative order || federal regulator settlement press release	administrative_order_pdf_text_present; agency_press_release_summary	settled_regulator_administrative_order	settled AI-washing comparator exemplar	SEC order supports settlement-order findings about false and misleading AI claims and the USD 175000 penalty.	sanctions table; finance comparator panel; authority-posture dashboard slice	authority_posture x sanction_amount x ai_washing_subtype	Add selective order anchors for the most publication-useful marketing-claim passages.	Do not generalize one SEC settlement package into wider market prevalence or merits adjudication.
LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	United States	en	authoritative	deepfake_or_synthetic_identity; unlawful_or_allegedly_unlawful_use; public_sector_misuse_or_gap	3	SRC-AUTH-0016; SRC-AUTH-0017; SRC-AUTH-0018	FCC notice of apparent liability || FCC consent-decree order || FCC media release	allegation_stage_document_text_present; consent_decree_order_text_present; agency_release_summary	fcc_enforcement_lifecycle_with_document_text	document-grade deepfake/telecom enforcement exemplar	FCC documents support narrow wording on spoofed deepfake robocalls, STIR/SHAKEN attestation posture, proposed and settled penalty stages, and compliance-plan terms.	synthetic-identity enforcement table; telecom-authentication lifecycle; election-interference authority-depth panel	authority_posture x harm_type x source_family	Extract a compact anchor set that keeps the May apparent-liability stage distinct from the August consent-decree resolution stage.	Do not overread one FCC enforcement lifecycle into broad election-deepfake prevalence or final judicial findings.
LIMEN-000009	Slovenian police ORION page describes AI-assisted border-management pilot with encrypted-biometric-processing language	Slovenia	sl; en	authoritative_follow_through	surveillance_biometrics_or_policing; public_sector_misuse_or_gap; normative_or_moral_outlier	4	SRC-AUTH-0019; SRC-AUTH-0033; SRC-AUTH-0037; SRC-AUTH-0038	official police project page || EU project fact sheet || EU project XML record || EU project fact-sheet PDF export	official_project_page_text_present; official_eu_project_fact_sheet_text_present; official_eu_project_xml_record_text_present; official_pdf_export_text_present	official_project_page_plus_eu_companion_chain	non-U.S./non-UK official follow-through exemplar	The Slovenian police page plus official EU CORDIS fact-sheet HTML/XML/PDF companions support narrow project-existence, pilot-stage, funding-line, participant-chain, and structured objective-metadata wording only; they do not support legality, production deployment, procurement outcome, or effectiveness claims.	jurisdiction/language map; public-sector deployment panel; policing/border-control topology; biometric/privacy tension matrix	authority_posture x jurisdiction x language x claim_ceiling	If more depth is needed, target one genuinely different partner, procurement, audit, evaluation, or project-document surface; otherwise reuse this as the bounded geography-diversification exemplar with a four-surface official companion chain.	Keep translation caution explicit and avoid treating the police page plus CORDIS metadata/PDF chain as enforcement, adjudication, procurement proof, external validation, or independent compliance review.
LIMEN-000011	FTC final order and complaint package on Workado / Content at Scale AI detector accuracy claims	United States	en	authoritative	ai_washing_or_false_ai_claim; education_workplace_or_hr	2	SRC-AUTH-0022; SRC-AUTH-0023	FTC administrative complaint || FTC final decision and order	complaint_pdf_text_present; final_order_pdf_text_present	ftc_final_order_plus_complaint_text	document-grade detector-governance official exemplar	FTC complaint and final order support bounded wording on advertised 98.3% detector-accuracy claims, alleged testing gaps, and final-order substantiation, recordkeeping, and customer-notice duties.	detector-governance panel; AI-claim authority-depth table; education/workplace integrity comparator	authority_posture x harm_type x claim_ceiling	Add a compact shared claim-support row that preserves complaint-versus-final-order posture and avoids scientific-validity overread.	Do not generalize this FTC package into a scientific verdict on detectors, a cross-sector prevalence statement, or a hidden-human final-authority closure.
LIMEN-000010	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims	United States	en	authoritative	ai_washing_or_false_ai_claim; legal_procedural_contamination	2	SRC-AUTH-0020; SRC-AUTH-0021	FTC administrative complaint || FTC final decision and order	complaint_pdf_text_present; final_order_pdf_text_present	ftc_final_order_plus_complaint_text	document-grade non-finance official AI-claim exemplar	FTC complaint and final order support bounded wording on AI-lawyer / robot-lawyer marketing claims, the order's prohibition on human-lawyer-equivalence representations, and USD 193000 in monetary relief.	AI-claim authority-depth table; legal-service-substitution comparator; non-finance regulator-order panel	authority_posture x sector x claim_type	Add one compact claim-support row that keeps complaint allegations distinct from final-order prohibitions and monetary relief.	Do not convert this FTC package into a judicial unauthorized-practice finding or a general verdict on legal AI tools.
LIMEN-000012	Datatilsynet opinion on AI-supported screening of disability-allowance documentation in Danish student-aid administration	Denmark	da	authoritative_candidate	public_sector_misuse_or_gap; education_workplace_or_hr	1	SRC-AUTH-0024	data protection authority decision page	regulator_decision_page_text_present	regulator_decision_page_with_translation_caution	rare-language public-sector governance anchor	The Danish regulator page supports narrow legal-basis, governance-boundary, and initial-screening wording only; it does not support harm, deployment-success, or enforcement findings.	jurisdiction/language map; public-sector governance table; legal-basis ceiling comparator	jurisdiction x language x authority_posture x public_sector_governance	Add one compact routing-linked claim-support row preserving Danish-original phrasing and translation caution.	Do not treat a governance/legal-basis page as proof of harm, illegality, production deployment, or compliance clearance.
LIMEN-000013	FTC Rytr complaint-final-order-set-aside chronology on AI-generated reviews, retained as a complex-posture negative result	United States	en	authoritative_candidate_hold_complex_posture	unlawful_or_allegedly_unlawful_use; finance_insurance_or_market	3	SRC-AUTH-0025; SRC-AUTH-0026; SRC-AUTH-0029	FTC administrative complaint || FTC final decision and order || FTC order reopening and setting aside final order	complaint_pdf_text_present; final_order_pdf_text_present; reopening_set_aside_order_pdf_text_present	ftc_reversibility_chronology_with_set_aside_order	complex-posture reversibility negative-result exemplar	The public FTC document chain supports a bounded chronology: complaint allegations, a 2024 final order, and a 2025 order reopening and setting aside that final order; use it as a reversibility example rather than a stable current-order exemplar.	chronology/reversibility appendix; consumer-protection posture ladder; limitations table	authority_posture x chronology_stability x claim_ceiling	Add one compact chronology row for manuscript/dashboard reuse that preserves the set-aside outcome as the current posture.	Do not cite the vacated 2024 FTC final order as if it were still an operative stable enforcement endpoint.
LIMEN-000014	FTC Air AI complaint-TRO-stipulated-order package on conversational-AI business-opportunity marketing, now disposition-backed but kept non-core	United States	en	authoritative_candidate_settled_noncore	ai_washing_or_false_ai_claim; finance_insurance_or_market	3	SRC-AUTH-0027; SRC-AUTH-0028; SRC-AUTH-0030	FTC federal court complaint || FTC motion for temporary restraining order || stipulated order for permanent injunction, monetary judgment, and other relief	complaint_pdf_text_present; motion_pdf_text_present; stipulated_order_pdf_text_present	ftc_court_settlement_sidecar_with_disposition_text	bounded non-core settlement-sidecar exemplar	The complaint, TRO motion, and stipulated order support bounded wording on business-opportunity and conversational-AI marketing posture, permanent injunction, and judgment structure while preserving the order's non-admission clause.	settlement-sidecar appendix; conversational-AI business-opportunity panel; authority-depth ladder	authority_posture x settlement_sidecar x claim_type	Add one compact claim-support row that keeps complaint allegations, TRO procedure, and stipulated-order relief distinct.	Do not convert this stipulated-order package into a broader technical-capability finding, hidden-human finding, or core-denominator default row.
LIMEN-000015	CNIL warns sports club over proposed facial-recognition checks for commercial stadium bans	France	fr	authoritative_candidate	surveillance_biometrics_or_policing; unlawful_or_allegedly_unlawful_use	1	SRC-AUTH-0031	data protection authority warning page	regulator_warning_page_text_present	regulator_warning_page_with_translation_caution	warning-page-depth biometric-governance sidecar	The CNIL warning page supports narrow French-original wording on the proposed facial-recognition system, the absence of a sufficient legislative or regulatory basis, and the bounded warning posture only.	biometric-governance ladder; jurisdiction/language map; non-U.S./non-UK authority-depth panel	jurisdiction x language x biometric_governance x authority_depth	Reuse the corrected chronology/discoverability bundle and add one shared claim-support row without implying sanction-record or court-facing depth.	Do not infer actual deployment, final sanction, or document-grade enforcement depth from the warning page alone.
