as_of_utc	cell_id	cell_family	dim_a	dim_b	scope	value	member_ids	interpretation	reviewer_safe_use	blocked_overread	observatory_hook
2026-06-07T15:00:19Z	AUTHOBS1-001	jurisdiction_authority_band	Italy	high_document_grade	live_authoritative_and_candidate_rows	1	LIMEN-000001	Jurisdiction Italy currently contributes 1 case(s) to authority band high_document_grade.	Authority-depth geography panel; reviewer-safe jurisdiction concentration note; methods/limitations funnel.	Do not read jurisdiction counts as prevalence, country ranking, or completeness; they only describe current support depth inside the lane package.	jurisdiction_language_map; authority_depth_funnel; geography_concentration_panel
2026-06-07T15:00:19Z	AUTHOBS1-002	jurisdiction_authority_band	Slovenia	bounded_follow_through	live_authoritative_and_candidate_rows	1	LIMEN-000009	Jurisdiction Slovenia currently contributes 1 case(s) to authority band bounded_follow_through.	Authority-depth geography panel; reviewer-safe jurisdiction concentration note; methods/limitations funnel.	Do not read jurisdiction counts as prevalence, country ranking, or completeness; they only describe current support depth inside the lane package.	jurisdiction_language_map; authority_depth_funnel; geography_concentration_panel
2026-06-07T15:00:19Z	AUTHOBS1-003	jurisdiction_authority_band	United Kingdom	high_document_grade	live_authoritative_and_candidate_rows	2	LIMEN-000003;LIMEN-000004	Jurisdiction United Kingdom currently contributes 2 case(s) to authority band high_document_grade.	Authority-depth geography panel; reviewer-safe jurisdiction concentration note; methods/limitations funnel.	Do not read jurisdiction counts as prevalence, country ranking, or completeness; they only describe current support depth inside the lane package.	jurisdiction_language_map; authority_depth_funnel; geography_concentration_panel
2026-06-08T01:06:59Z	AUTHOBS1-005	jurisdiction_authority_band	United States	high_document_grade	live_authoritative_and_candidate_rows	5	LIMEN-000006;LIMEN-000007;LIMEN-000008;LIMEN-000010;LIMEN-000011	Jurisdiction United States currently contributes 5 case(s) to authority band high_document_grade.	Authority-depth geography panel; reviewer-safe jurisdiction concentration note; methods/limitations funnel.	Do not read jurisdiction counts as prevalence, country ranking, or completeness; they only describe current support depth inside the lane package.	jurisdiction_language_map; authority_depth_funnel; geography_concentration_panel
2026-06-07T15:00:19Z	AUTHOBS1-006	jurisdiction_authority_band	United States	normalization_limited	live_authoritative_and_candidate_rows	1	LIMEN-000005	Jurisdiction United States currently contributes 1 case(s) to authority band normalization_limited.	Authority-depth geography panel; reviewer-safe jurisdiction concentration note; methods/limitations funnel.	Do not read jurisdiction counts as prevalence, country ranking, or completeness; they only describe current support depth inside the lane package.	jurisdiction_language_map; authority_depth_funnel; geography_concentration_panel
2026-06-07T15:00:19Z	AUTHOBS1-007	jurisdiction_authority_band	United States	summary_gap	live_authoritative_and_candidate_rows	1	LIMEN-000002	Jurisdiction United States currently contributes 1 case(s) to authority band summary_gap.	Authority-depth geography panel; reviewer-safe jurisdiction concentration note; methods/limitations funnel.	Do not read jurisdiction counts as prevalence, country ranking, or completeness; they only describe current support depth inside the lane package.	jurisdiction_language_map; authority_depth_funnel; geography_concentration_panel
2026-06-07T15:00:19Z	AUTHOBS2-001	authority_posture_package_state	agency_summary_escalation_only	shared_authoritative_package	live_authoritative_and_candidate_rows	1	LIMEN-000002	Authority posture agency_summary_escalation_only currently contributes 1 case(s) to package state shared_authoritative_package.	Reviewer-facing table on which authority postures are already in the shared package versus still waiting in the promotion frontier.	Package state is an editorial-routing signal, not a truth guarantee, merits finding, or harm-severity measure.	authority_posture_ladder; promotion_frontier_panel; table1a_table1c_route_guardrail
2026-06-07T15:00:19Z	AUTHOBS2-002	authority_posture_package_state	charging_stage_plus_captured_pdf	shared_authoritative_package	live_authoritative_and_candidate_rows	1	LIMEN-000005	Authority posture charging_stage_plus_captured_pdf currently contributes 1 case(s) to package state shared_authoritative_package.	Reviewer-facing table on which authority postures are already in the shared package versus still waiting in the promotion frontier.	Package state is an editorial-routing signal, not a truth guarantee, merits finding, or harm-severity measure.	authority_posture_ladder; promotion_frontier_panel; table1a_table1c_route_guardrail
2026-06-07T15:00:19Z	AUTHOBS2-003	authority_posture_package_state	fcc_enforcement_lifecycle_with_document_text	shared_authoritative_package	live_authoritative_and_candidate_rows	1	LIMEN-000008	Authority posture fcc_enforcement_lifecycle_with_document_text currently contributes 1 case(s) to package state shared_authoritative_package.	Reviewer-facing table on which authority postures are already in the shared package versus still waiting in the promotion frontier.	Package state is an editorial-routing signal, not a truth guarantee, merits finding, or harm-severity measure.	authority_posture_ladder; promotion_frontier_panel; table1a_table1c_route_guardrail
2026-06-08T01:06:59Z	AUTHOBS2-003A	authority_posture_package_state	ftc_final_order_plus_complaint_text	shared_authoritative_package	live_authoritative_and_candidate_rows	2	LIMEN-000010;LIMEN-000011	Authority posture ftc_final_order_plus_complaint_text currently contributes 2 case(s) to package state shared_authoritative_package.	Reviewer-facing table on which authority postures are already in the shared package versus still waiting in the promotion frontier.	Package state is an editorial-routing signal, not a truth guarantee, merits finding, or harm-severity measure.	authority_posture_ladder; promotion_frontier_panel; table1a_table1c_route_guardrail
2026-06-08T20:30:50Z	AUTHOBS2-005	authority_posture_package_state	official_project_page_plus_official_eu_companion_chain	shared_authoritative_package	live_authoritative_and_candidate_rows	1	LIMEN-000009	Authority posture official_project_page_plus_official_eu_companion_chain currently contributes 1 case(s) to package state shared_authoritative_package.	Reviewer-facing table on which authority postures are already in the shared package versus still waiting in the promotion frontier.	Package state is an editorial-routing signal, not a truth guarantee, merits finding, or harm-severity measure.	authority_posture_ladder; promotion_frontier_panel; table1a_table1c_route_guardrail
2026-06-07T15:00:19Z	AUTHOBS2-006	authority_posture_package_state	regulator_notice_pdf	shared_authoritative_package	live_authoritative_and_candidate_rows	1	LIMEN-000003	Authority posture regulator_notice_pdf currently contributes 1 case(s) to package state shared_authoritative_package.	Reviewer-facing table on which authority postures are already in the shared package versus still waiting in the promotion frontier.	Package state is an editorial-routing signal, not a truth guarantee, merits finding, or harm-severity measure.	authority_posture_ladder; promotion_frontier_panel; table1a_table1c_route_guardrail
2026-06-07T15:00:19Z	AUTHOBS2-007	authority_posture_package_state	regulator_order_text	shared_authoritative_package	live_authoritative_and_candidate_rows	1	LIMEN-000001	Authority posture regulator_order_text currently contributes 1 case(s) to package state shared_authoritative_package.	Reviewer-facing table on which authority postures are already in the shared package versus still waiting in the promotion frontier.	Package state is an editorial-routing signal, not a truth guarantee, merits finding, or harm-severity measure.	authority_posture_ladder; promotion_frontier_panel; table1a_table1c_route_guardrail
2026-06-07T15:00:19Z	AUTHOBS2-008	authority_posture_package_state	regulator_reprimand_pdf	shared_authoritative_package	live_authoritative_and_candidate_rows	1	LIMEN-000004	Authority posture regulator_reprimand_pdf currently contributes 1 case(s) to package state shared_authoritative_package.	Reviewer-facing table on which authority postures are already in the shared package versus still waiting in the promotion frontier.	Package state is an editorial-routing signal, not a truth guarantee, merits finding, or harm-severity measure.	authority_posture_ladder; promotion_frontier_panel; table1a_table1c_route_guardrail
2026-06-07T15:00:19Z	AUTHOBS2-009	authority_posture_package_state	settled_regulator_administrative_order	shared_authoritative_package	live_authoritative_and_candidate_rows	2	LIMEN-000006;LIMEN-000007	Authority posture settled_regulator_administrative_order currently contributes 2 case(s) to package state shared_authoritative_package.	Reviewer-facing table on which authority postures are already in the shared package versus still waiting in the promotion frontier.	Package state is an editorial-routing signal, not a truth guarantee, merits finding, or harm-severity measure.	authority_posture_ladder; promotion_frontier_panel; table1a_table1c_route_guardrail
2026-06-08T01:06:59Z	AUTHOBS3-002	theme_cluster_authority_band	ai_claims_and_market_representation	high_document_grade	live_authoritative_and_candidate_rows	4	LIMEN-000006;LIMEN-000007;LIMEN-000010;LIMEN-000011	Theme cluster ai_claims_and_market_representation currently contributes 4 case(s) to authority band high_document_grade.	Theme-by-support-depth heatmap for manuscript, dashboard, or thesis reuse.	Theme clusters are bounded analytical groupings for route selection and figure logic; they are not exhaustive ontology claims or prevalence estimates.	theme_cluster_heatmap; source_depth_theme_matrix; publication_route_selector
2026-06-07T15:00:19Z	AUTHOBS3-003	theme_cluster_authority_band	ai_claims_and_market_representation	normalization_limited	live_authoritative_and_candidate_rows	1	LIMEN-000005	Theme cluster ai_claims_and_market_representation currently contributes 1 case(s) to authority band normalization_limited.	Theme-by-support-depth heatmap for manuscript, dashboard, or thesis reuse.	Theme clusters are bounded analytical groupings for route selection and figure logic; they are not exhaustive ontology claims or prevalence estimates.	theme_cluster_heatmap; source_depth_theme_matrix; publication_route_selector
2026-06-07T15:00:19Z	AUTHOBS3-004	theme_cluster_authority_band	deepfake_telecom_election_enforcement	high_document_grade	live_authoritative_and_candidate_rows	1	LIMEN-000008	Theme cluster deepfake_telecom_election_enforcement currently contributes 1 case(s) to authority band high_document_grade.	Theme-by-support-depth heatmap for manuscript, dashboard, or thesis reuse.	Theme clusters are bounded analytical groupings for route selection and figure logic; they are not exhaustive ontology claims or prevalence estimates.	theme_cluster_heatmap; source_depth_theme_matrix; publication_route_selector
2026-06-07T15:00:19Z	AUTHOBS3-005	theme_cluster_authority_band	employment_discrimination_escalation	summary_gap	live_authoritative_and_candidate_rows	1	LIMEN-000002	Theme cluster employment_discrimination_escalation currently contributes 1 case(s) to authority band summary_gap.	Theme-by-support-depth heatmap for manuscript, dashboard, or thesis reuse.	Theme clusters are bounded analytical groupings for route selection and figure logic; they are not exhaustive ontology claims or prevalence estimates.	theme_cluster_heatmap; source_depth_theme_matrix; publication_route_selector
2026-06-07T15:00:19Z	AUTHOBS3-006	theme_cluster_authority_band	privacy_data_protection_order	high_document_grade	live_authoritative_and_candidate_rows	1	LIMEN-000001	Theme cluster privacy_data_protection_order currently contributes 1 case(s) to authority band high_document_grade.	Theme-by-support-depth heatmap for manuscript, dashboard, or thesis reuse.	Theme clusters are bounded analytical groupings for route selection and figure logic; they are not exhaustive ontology claims or prevalence estimates.	theme_cluster_heatmap; source_depth_theme_matrix; publication_route_selector
2026-06-07T15:00:19Z	AUTHOBS3-007	theme_cluster_authority_band	public_sector_biometrics_and_border	bounded_follow_through	live_authoritative_and_candidate_rows	1	LIMEN-000009	Theme cluster public_sector_biometrics_and_border currently contributes 1 case(s) to authority band bounded_follow_through.	Theme-by-support-depth heatmap for manuscript, dashboard, or thesis reuse.	Theme clusters are bounded analytical groupings for route selection and figure logic; they are not exhaustive ontology claims or prevalence estimates.	theme_cluster_heatmap; source_depth_theme_matrix; publication_route_selector
2026-06-07T15:00:19Z	AUTHOBS3-008	theme_cluster_authority_band	public_sector_biometrics_and_border	high_document_grade	live_authoritative_and_candidate_rows	2	LIMEN-000003;LIMEN-000004	Theme cluster public_sector_biometrics_and_border currently contributes 2 case(s) to authority band high_document_grade.	Theme-by-support-depth heatmap for manuscript, dashboard, or thesis reuse.	Theme clusters are bounded analytical groupings for route selection and figure logic; they are not exhaustive ontology claims or prevalence estimates.	theme_cluster_heatmap; source_depth_theme_matrix; publication_route_selector
2026-06-08T01:06:59Z	AUTHOBS4-002	language_package_state	en	shared_authoritative_package	live_authoritative_and_candidate_rows	9	LIMEN-000002;LIMEN-000003;LIMEN-000004;LIMEN-000005;LIMEN-000006;LIMEN-000007;LIMEN-000008;LIMEN-000010;LIMEN-000011	Language en currently contributes 9 case(s) to package state shared_authoritative_package.	Language coverage sidecar showing where the authoritative package is already shared versus still frontier-only.	Language/package counts do not imply linguistic completeness, translation sufficiency, or cross-language comparability of legal claims.	language_coverage_sidecar; rare_language_follow_through; authoritative_package_map
2026-06-07T15:00:19Z	AUTHOBS4-003	language_package_state	it	shared_authoritative_package	live_authoritative_and_candidate_rows	1	LIMEN-000001	Language it currently contributes 1 case(s) to package state shared_authoritative_package.	Language coverage sidecar showing where the authoritative package is already shared versus still frontier-only.	Language/package counts do not imply linguistic completeness, translation sufficiency, or cross-language comparability of legal claims.	language_coverage_sidecar; rare_language_follow_through; authoritative_package_map
2026-06-07T15:00:19Z	AUTHOBS4-004	language_package_state	sl	shared_authoritative_package	live_authoritative_and_candidate_rows	1	LIMEN-000009	Language sl currently contributes 1 case(s) to package state shared_authoritative_package.	Language coverage sidecar showing where the authoritative package is already shared versus still frontier-only.	Language/package counts do not imply linguistic completeness, translation sufficiency, or cross-language comparability of legal claims.	language_coverage_sidecar; rare_language_follow_through; authoritative_package_map
2026-06-08T11:44:46+02:00	AUTHOBS1-008	jurisdiction_authority_band	Denmark	bounded_shared_sidecar	live_authoritative_and_candidate_rows	1	LIMEN-000012	Jurisdiction Denmark currently contributes 1 case(s) to authority band bounded_shared_sidecar via a rare-language regulator governance sidecar.	Authority-depth geography panel; reviewer-safe jurisdiction concentration note; methods/limitations funnel.	Do not read jurisdiction counts as prevalence, country ranking, completeness, enforcement intensity, or core authoritative depth; this row is a governance-sidecar anchor only.	jurisdiction_language_map; authority_depth_funnel; geography_concentration_panel
2026-06-08T11:44:46+02:00	AUTHOBS2-010	authority_posture_package_state	public_sector_regulator_decision_page_with_translation_caution	bounded_shared_sidecar	live_authoritative_and_candidate_rows	1	LIMEN-000012	Authority posture public_sector_regulator_decision_page_with_translation_caution currently contributes 1 case(s) to package state bounded_shared_sidecar.	Reviewer-facing table on which authority postures are already in the shared package versus still waiting in the promotion frontier.	Package state is an editorial-routing signal, not a truth guarantee, harm finding, or compliance label.	authority_posture_ladder; promotion_frontier_panel; table1a_table1c_route_guardrail
2026-06-08T11:44:46+02:00	AUTHOBS3-009	theme_cluster_authority_band	public_sector_decision_support_governance	bounded_shared_sidecar	live_authoritative_and_candidate_rows	1	LIMEN-000012	Theme cluster public_sector_decision_support_governance currently contributes 1 case(s) to authority band bounded_shared_sidecar.	Theme-by-support-depth heatmap for manuscript, dashboard, or thesis reuse.	Theme clusters are bounded analytical groupings for route selection and figure logic; they are not exhaustive ontology claims or prevalence estimates.	theme_cluster_heatmap; source_depth_theme_matrix; publication_route_selector
