audit_id	as_of_utc	artifact_path	surface_type	visual_scope	state_class	live_control_or_rule	verification_basis	qa_result	paper_thesis_use	next_safe_route
CCPA-048-001	2026-06-07T10:03:42Z	results/dashboard-paper/caption-control-register-v0.1.tsv	shared_live_registry	Figure 5	active	CCR-005	Live shared caption register row for Figure 5 plus shared namespace audit	aligned_live_control	Canonical reviewer-safe caption rule for the publication-safe evidence-tier funnel	Reuse Figure 5 only through CCR-005 unless the live shared registry is reassigned.
CCPA-048-002	2026-06-07T10:03:42Z	results/dashboard-paper/caption-control-register-v0.1.tsv	shared_live_registry	Figure 7	active	CCR-014	Live shared caption register row for Figure 7 plus shared namespace audit	aligned_live_control	Canonical reviewer-safe caption rule for the authority-balance composition panel	Reuse Figure 7 only through CCR-014 unless the live shared registry is reassigned.
CCPA-048-003	2026-06-07T10:03:42Z	results/dashboard-paper/caption-control-register-v0.1.tsv	shared_live_registry	Table 1A	active	CCR-009	Live shared caption register row for Table 1A plus shared namespace audit	aligned_live_control	Canonical reviewer-safe caption rule for authoritative document-depth heterogeneity	Reuse Table 1A only through CCR-009 unless the live shared registry is reassigned.
CCPA-048-004	2026-06-07T10:03:42Z	results/dashboard-paper/figure-table-priority-register-v0.1.tsv	shared_live_registry	Figure 5 / Figure 7 / Table 1A	active	CCR-005 / CCR-014 / CCR-009	Current priority rows for LIMEN-VIS-005, LIMEN-VIS-010, and LIMEN-VIS-007	aligned_live_control	Keeps manuscript and dashboard planning tied to the live caption controls	Treat the priority register as a live consumer of the shared caption register, not as an independent source of truth.
CCPA-048-005	2026-06-07T10:03:42Z	results/boost/limen-boost-024/canonical-figure-table-registry.tsv	canonical_live_registry	Figure 5 / Figure 7 / Table 1A	active	CCR-005 / CCR-014 / CCR-009	Current canonical rows for LIMEN-VIS-005, LIMEN-VIS-010, and LIMEN-VIS-007	aligned_live_control	Keeps the canonical visual spine synchronized for article, dashboard, and thesis reuse	Treat the canonical registry as the live slot map, but inherit caption semantics from the shared caption register.
CCPA-048-006	2026-06-07T10:03:42Z	results/boost/limen-continuous-experiments/shared-caption-namespace-audit-v0.1.tsv	shared_live_qa	Figure 5 / Figure 7 / Table 1A	active	CCR-005 / CCR-014 / CCR-009	Rows SCNA-001, SCNA-003, and Figure-7 namespace row confirm current live namespace	aligned_live_control	Machine-readable QA surface showing which ids are currently canonical	Use this audit first when historical boost notes disagree about ids.
CCPA-048-007	2026-06-07T10:03:42Z	draft/preprint.md ; papers/article-architecture-v0.1.md ; dashboard/limen-dashboard-spec-v0.1.md	shared_active_prose	Figure 5 / Figure 7 / Table 1A	active	Role-aligned to CCR-005 / CCR-014 / CCR-009	Current prose reads align with the shared caption register, shared namespace audit, and dashboard-paper status note	aligned_live_prose	Reviewer-facing manuscript and thesis prose now follows the live control map rather than earlier transitional ids	If a future prose patch introduces literal control references, verify them against the live namespace audit before reuse.
CCPA-048-008	2026-06-07T10:03:42Z	results/boost/limen-boost-047/shared-surface-sync.tsv	historical_audit	Figure 5 / Figure 7	historical	Transitional CCR-007 and CCR-005 usage	Historical lane artifact records an intermediate repair stage before the final namespace stabilized	provenance_only_not_live_instruction	Useful for reconstructing repair history in methods/thesis appendices	Do not cite this file as the current live control source; route reuse through the shared namespace audit and caption register.
CCPA-048-009	2026-06-07T10:03:42Z	results/boost/limen-boost-049/shared-caption-sync-audit.tsv	historical_audit	Figure 7	historical	Transitional CCR-007 usage	Historical lane artifact captures a pre-final Figure 7 key that has since been superseded by the live namespace	provenance_only_not_live_instruction	Useful as provenance for why Figure 7 id drift happened	Do not reuse as current instruction; use CCR-014 from the live shared registry instead.
CCPA-048-010	2026-06-07T10:03:42Z	results/boost/limen-boost-039/authoritative-document-depth-drift-register.tsv	historical_audit	Table 1A	historical	Transitional CCR-008 usage	Historical Table 1A repair note predates the final separation of Figure 1 and Table 1A caption ids	provenance_only_not_live_instruction	Useful for reproducing the repair path that widened Table 1A to the seven-row live package	Do not reuse as current instruction; use CCR-009 from the live shared registry instead.
CCPA-048-011	2026-06-07T10:03:42Z	results/boost/limen-boost-048/shared-visual-control-repair.tsv	lane_local_historical_audit	Figure 7 / Table 1A	historical	Transitional CCR-007 / CCR-008 wording inside the earlier lane note	This lane's first-cycle audit captured an intermediate namespace state before later shared-surface cleanup stabilized the live ids	provenance_only_not_live_instruction	Preserves exact local repair history for thesis reproducibility and QA narratives	Keep this older lane note as provenance; treat the new provenance audit plus the shared namespace audit as the live handoff.
