as_of_utc	artifact_id	shared_slot	recommended_publication_role	readiness_state	verified_current_state	caption_control_ids	source_path	paper_use	claim_ceiling	primary_blocker	next_smallest_publishability_move	dashboard_hook
2026-06-07T19:58:09Z	LIMEN-VIS-001	Figure 1	A:core/B:context_only/C:not_needed	ready_now	15 source families (seeded=13; planned=2; grounded_now=13)	Use `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-008`; keep thin-family blockers sf08, sf09, sf11, sf13, and appendix-only/manual-overlay sf06 visible, do not imply corpus completeness, prevalence, or equal evidentiary depth, and when Figure 1 is reused with Table 1 or methods prose carry the blocked-source register, ranked Route-B blocker register, and route-friction overlay so exact blocker forms and host-friction distinctions stay visible.	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	Bounded claim about declared source-family coverage, readiness classes, blocker concentration, and the distinction between blocked routes and reachable-but-still-thin families rather than flat maturity.	Bounded claim about declared source-family coverage, blocker concentration, and observability boundaries.	Do not narrate seeded families as completeness, equal authority, or publication-ready parity.	Patch this row together with the staged source-family coverage export and CCR-008 whenever another family changes state, and keep the blocked-source register, typed claim-ceiling table, ranked Route-B blocker register, and route-friction overlay attached whenever Figure 1 / Table 1 wording is refreshed.	Source-family saturation map; observability-boundary panel; blocker legend; route-friction sidecar
2026-06-07T19:58:09Z	LIMEN-VIS-002	Figure 2	A:core/B:context_only/C:not_needed	ready_now_live_refreshed_source	15 taxonomy rows; refreshed support split 11 authority-backed / 1 candidate-only / 3 zero-seed on 35 visible / 27 lineage bundle; overlay-ready frontier slices remain explicitly bounded at security=7/23, ai_misstatement=3/23, and biometric=2/23	Use `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-001`; keep zero-seed rows as current local evidence gaps rather than real-world absence, preserve the overlay-ready versus queue-only/singleton-watch frontier split through `CCR-002`, and carry shard-058 fragility logic so recurrent-but-fragile rows are not mistaken for equally mature seeded categories.	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv	Bounded claim about uneven local support, visible gaps, residual-pressure routing, and explicit recurrence-versus-maturity fragility ceilings, not incidence, absence, or flat subtype maturity.	Bounded claim about uneven category support, explicit zero-seed local gaps, residual-pressure routing, and fragility-aware seeded support rather than flat maturity.	Do not read refreshed Figure 2 counts as prevalence, completeness, or proof that zero-seed rows mark real-world absence, and do not flatten overlay-ready slices together with queue-only or singleton-watch families.	Keep zero-seed caption logic attached, route Figure 2 reuse through `CCR-001`, `CCR-002`, the live `7/23`, `3/23`, and `2/23` frontier split, and `results/boost/limen-boost-058/taxonomy-authority-fragility-matrix.tsv` while the staged heatmap source still awaits regeneration.	Taxonomy heatmap; local gap panel; residual-pressure frontier overlay; fragility-sidecar tooltip bundle
2026-06-07T19:58:09Z	LIMEN-VIS-003	Figure 3	A:core/B:supporting/C:context_only	ready_now	15 category rows (High=10; Medium=5)	Use as stronger-source-needs control surface, not as a legal conclusion engine.	results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv	Bounded claim that LIMEN encodes stronger-source needs and legal/normative caution explicitly.	Bounded claim that stronger-source needs and legal/normative caution are encoded explicitly.	Do not use as a legal conclusion engine, compliance classifier, or high-risk score.	Add direct framework-text anchors row by row where available, but keep the current figure limitations-forward.	Hostile-reviewer legal/normative control panel
2026-06-08T15:53:22Z	LIMEN-VIS-004	Figure 4	A:core/B:supporting/C:not_needed	ready_now	25 reviewed graph edges; 14 identifier-collision blockers; 11 reviewed-not-duplicate edges; the graph now materializes every graph-eligible reviewed package in the live duplicate-control ledger	Use `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-018`; never narrate stable duplicate clusters as recurrence; keep graph-versus-ledger scope explicit even though the residual graph-gap register is now empty.	results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv	Bounded claim about join safety, namespace risk, and overcount prevention.	Bounded claim about join safety, namespace risk, and overcount prevention.	Do not narrate the graph as recurrence evidence, collapse edge classes, or treat the graph alone as the whole duplicate ledger.	Keep the repaired 25-edge graph tied to CCR-018 and the live duplicate ledger so future prose does not slide from quality-control graph into recurrence rhetoric.	Duplicate-control graph; join-safety QA panel; graph-completeness caveat badge
2026-06-07T19:58:09Z	LIMEN-VIS-005	Figure 5	A:core/B:core/C:context_only	ready_now_but_keep_caution_overlay	21 publication-safe lineages (T3=14; T3_direct_url_resolved=1; T1=6; confidence caps high=15 medium=0 low=6)	Use the refreshed 21-lineage safe funnel, not the older 17-record staged funnel; keep confidence-cap overlay visible.	results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv	Bounded maturity claim under normalized lineage-safe joins only, not completeness or flat equivalence across rows.	Bounded claim about evidence maturity under publication-safe joins and confidence caps.	Do not revert to the older staged funnel or hide the confidence-cap overlay.	Treat the older staged funnel as provenance/appendix only and keep the singleton-ahead-of-review caveat explicit.	Evidence-tier funnel; denominator-control legend
2026-06-07T19:58:09Z	LIMEN-VIS-006	Figure 6	A:supporting/B:core/C:context_only	usable_but_bounded	10 staged jurisdiction-language rows plus 6 translation-dependent safe lineages in the 21-lineage aggregate	Pair with results/multilingual/multilingual-publication-routing-matrix-v0.1.tsv and mark six-of-six translation-review-required caution.	results/boost/limen-dashboard-paper-forge/jurisdiction-language-coverage.tsv	Bounded visibility and language-bias claim only; not stable country ranking or geographic prevalence.	Bounded visibility claim about where multilingual public evidence is surfaced and how translation caution constrains reuse.	Do not use as a country ranking, prevalence surface, or resolved substantive geography map.	Keep unresolved multilingual rows off default substantive views and preserve the 1/2/3 publication-bucket split in legends.	Jurisdiction/language visibility map; translation-pressure overlay
2026-06-08T08:45:01Z	LIMEN-VIS-007	Table 1A	A:core/B:supporting/C:core	ready_now	10 rows (document_grade=7; follow_through_grade=1; partial_document_grade=1; summary_grade=1)	Use `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-009`; keep the 7 direct-document rows, the 1 bounded ORION follow-through row, the 1 normalization-limited Nate charging-stage row, and the 1 summary-only EEOC row visibly separate.	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv	Bounded claim about document-depth heterogeneity inside authoritative support, posture-aware reuse, and next-upgrade needs.	Bounded claim that authoritative support is procedurally heterogeneous and should not be flattened into one class, with the default Table 1A facet remaining narrower than the wider 11-row package-state core.	Do not imply that follow-through, charging-stage, or summary-only rows are equivalent to direct-document rows, and do not silently treat Workado as already part of the default facet.	Keep Table 1A tied to `CCR-009`, preserve the seven direct-document rows plus the bounded Slovenian follow-through row as distinct from the Nate and EEOC ceilings, and target one court-facing complaint/decree/order capture plus one cleaner Nate caption source before stronger court-depth rhetoric.	Authoritative depth facet; court/regulator document-depth panel
2026-06-08T09:53:02Z	LIMEN-VIS-008	Table 1B	A:supporting/B:core/C:context_only	ready_now	6 rows across 4 surface classes: public_ai_register_entry=2; regulator_enforcement_package=2; official_project_page=1; regulator_decision_page_governance_anchor=1; Helsinki has a family-level same-buyer procurement companion, Amsterdam now has exact-row current+history CSV exports plus exact-name procurement non-hit and a threshold-neutral same-buyer Azure/Public Cloud family bridge, and Denmark adds a rare-language governance sidecar without buyer-side traceability	Use `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-015`; keep Helsinki family-level rather than exact row-linked proof, keep Amsterdam below exact buyer-side or public-companion proof despite the visible family bridge, and keep package-level denominator rhetoric tied to Figure 7 controls.	results/boost/limen-continuous-experiments/public-sector-disclosure-comparison-v0.1.tsv	Bounded claim that disclosure surfaces expose different reconstruction fields and claim ceilings.	Bounded claim that disclosure surfaces expose different reconstruction fields, governance anchors, and claim ceilings across register, regulator-package, and project-page routes.	Do not treat Helsinki as exact row-linked procurement proof, Amsterdam as buyer-side resolved, or the table as a procurement-transparency ranking or package-level denominator surface.	Reuse this slot only through `CCR-015` and add one exact row-linked procurement or public impact-assessment companion before stronger transparency rhetoric.	Public-sector disclosure completeness panel; surface-class comparator
2026-06-07T19:58:09Z	LIMEN-VIS-009	Table 1C	A:not_scored/B:not_scored/C:not_scored	ready_now	4 rows (settled SEC=2; charging-stage hidden-human row=1; explicit queue row=1)	Keep settled regulator-order rows, the Nate charging-stage row, and the explicit queue row visibly separate.	results/dashboard-paper/ai-washing-posture-table-v0.1.tsv	Bounded claim about procedural posture and sanction visibility within one subtype package.	Bounded claim about procedural posture and sanction visibility within one subtype package.		Preserve accusation-stage caution and queue-row visibility until a regulator-final or adjudicated hidden-human exemplar exists.	Posture-aware exemplar ladder; settled-vs-accusation panel
2026-06-07T19:58:09Z	LIMEN-VIS-010	Figure 7	A:supporting/B:bounded_companion/C:context_only	usable_but_bounded_legacy_single_state	21-lineage bounded legacy single-state panel; authority_anchor=7; technical_authority=7; translation_caution_authority=1; provisional_or_limitations_only=6; keep explicit that the live multistate-safe publication projection is 23 and the broader duplicate/taxonomy family is 25 until singleton-plus-collision metadata can travel together for LIMEN-000008 and LIMEN-000009	Use `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-014` as denominator-control and composition legend; do not rank social importance or severity by authority class, and keep the omitted singleton-plus-collision rows explicit.	results/boost/limen-boost-011/source-authority-balance.tsv	Bounded claim that current lineages are compositionally heterogeneous and should not be narratively flattened, but only as a legacy single-state panel rather than the live final authority distribution.	Bounded claim that current lineages are compositionally heterogeneous by authority role under a legacy single-state export, not the final live atlas-wide authority distribution.	Do not restate Figure 7 as the live 23-lineage authority distribution, do not fold the broader 25-lineage package into this panel, and do not imply omitted singleton-plus-collision rows are already synchronized.	Reuse Figure 7 only with `CCR-014`, keep the legacy-single-state warning attached, and do not promote the panel to live-denominator prose until a multistate-safe export or sidecar validator materializes.	Authority-balance composition panel; caption-control legend; denominator-risk badge
