as_of_utc	travel_id	surface_path	surface_id_or_slot	role_in_package	confirmed_live_state	must_travel_with	paper_thesis_use	dashboard_hook	caution_or_remaining_gate
2026-06-07T15:23:05Z	F2T2-TK-048-001	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv	LIMEN-VIS-002 staged source	active mechanical Figure 2 / Table 2 source	15 taxonomy rows remain on the last synchronized staged contract: 11 authority-backed / 1 candidate-only / 3 zero-seed over 31_visible_rows/23_lineages; the file is not yet recomputed against the live 33_visible_rows/25_lineages duplicate/taxonomy layer	results/boost/limen-continuous-experiments/taxonomy-denominator-reconciliation-v0.1.tsv ; results/boost/limen-boost-058/taxonomy-authority-fragility-matrix.tsv ; results/boost/limen-boost-022/zero-seed-differentiation-matrix.tsv ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-001 ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-002	Root source for Figure 2 and Table 2 in the first LIMEN paper and thesis taxonomy/methods chapter.	Taxonomy heatmap source; local-gap panel; fragility-aware legend/tooltip base.	Do not narrate this TSV as already live-synchronized to 33/25, and do not strip zero-seed or fragility controls when reusing it.
2026-06-07T15:23:05Z	F2T2-TK-048-002	results/dashboard-paper/figure-table-priority-register-v0.1.tsv	LIMEN-VIS-002	shared figure/table planning row	Current row is safe because it still states the staged 11 / 1 / 3 support split, 15 category rows, and the 31/23 scope explicitly.	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv ; results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-005 ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-001 ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-002	Canonical shared planning sentence for manuscript, dashboard, and thesis coordination.	Figure/Table priority card and route-selection manifest row.	Patch only in the same bundle that refreshes the staged heatmap source; prose-only advancement would silently outrun mechanics.
2026-06-07T15:23:05Z	F2T2-TK-048-003	results/dashboard-paper/caption-control-register-v0.1.tsv	CCR-001 + CCR-002	shared overread-control rows	Caption controls already encode local-gap language, residual-pressure routing, and non-prevalence / non-completeness guardrails for Figure 2 and Table 2.	results/boost/limen-boost-010/taxonomy-visual-guardrails.tsv ; results/boost/limen-boost-034/taxonomy-promotion-frontier.tsv ; results/boost/limen-boost-058/taxonomy-authority-fragility-matrix.tsv	Keeps article/thesis captions and dashboard legends reviewer-safe even while the source remains staged.	Caption-safe legend, tooltip bundle, and Table 2 maturity-control layer.	Do not let a future refresh remove zero-seed-as-local-gap wording or collapse overlay-ready versus queue-only pressures.
2026-06-07T15:23:05Z	F2T2-TK-048-004	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv	exp-005	intended shared dashboard export stub	ready_but_not_promoted; current stub correctly points back to the boost-local heatmap and keeps CCR-001/CCR-002 plus frontier/fragility sidecars attached while results/dashboard writes remain blocked on this host	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-001 ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-002 ; results/boost/limen-boost-034/taxonomy-promotion-frontier.tsv ; results/boost/limen-boost-058/taxonomy-authority-fragility-matrix.tsv	Makes dashboard-path references reviewer-safe without claiming that results/dashboard/taxonomy-heatmap.tsv already exists on disk.	Shared export stub and blocked-promotion badge for Figure 2 / Table 2 consumers.	Do not treat the intended shared path as a materialized file, and do not upgrade denominator language independently of source refresh.
2026-06-07T15:23:05Z	F2T2-TK-048-005	dashboard/limen-dashboard-spec-v0.1.md	Figure 2 taxonomy view contract	dashboard prose bridge	Dashboard prose is currently safe because it distinguishes live duplicate/taxonomy control 33/25 from the last synchronized Figure 2 routing bundle 31/23 instead of flattening them.	results/boost/limen-continuous-experiments/taxonomy-denominator-reconciliation-v0.1.tsv ; results/boost/limen-boost-022/taxonomy-refresh-fragility-propagation.tsv ; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-002	Supports dashboard-spec language, thesis reproducibility notes, and reviewer-facing denominator explanations.	Taxonomy view contract; fragility filter note; denominator-drift explainer.	After the heatmap refresh lands, patch this prose in the same bundle so it moves from drift disclosure to synchronized live-routing language without dropping fragility cues.
2026-06-07T15:23:05Z	F2T2-TK-048-006	papers/article-architecture-v0.1.md	Figure 2 and Table 2 blocks	manuscript prose bridge	Article architecture is currently safe because it keeps live 33/25 control, staged 31/23 Figure 2 routing, and the separate 30/21 publication-safe aggregate visibly distinct.	results/boost/limen-continuous-experiments/taxonomy-denominator-reconciliation-v0.1.tsv ; results/boost/limen-boost-058/taxonomy-authority-fragility-matrix.tsv ; results/boost/limen-boost-060/figure2-refresh-bundle-contract.tsv	Supports the first article package and thesis chapter on taxonomy/governance method.	Figure 2 paragraph; Table 2 support-state clause; overlay explanation.	Do not convert overlay-ready security, AI-misstatement, or biometric slices into prevalence, category inflation, or balanced cross-jurisdiction rhetoric.
2026-06-07T15:23:05Z	F2T2-TK-048-007	results/boost/limen-continuous-experiments/taxonomy-denominator-reconciliation-v0.1.tsv	row-level preflight	count-reconciliation sidecar	This is the current row-level proof that only three Figure 2 rows drift against the live duplicate-collapsed package: legal_procedural_contamination 2->3, education_workplace_or_hr 4->5, ai_washing_or_false_ai_claim 4->6; the other twelve rows are count-stable.	results/taxonomy/taxonomy-delta-v0.1.md ; results/clusters/status.md ; results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv	Gives the paper and thesis one machine-readable explanation of why a refresh is needed and why the problem is not a generic counting error.	Figure 2 refresh preflight; Table 2 row-delta sidecar; reviewer-response evidence note.	Carry this sidecar whenever denominator drift is discussed; without it, the staged/live split is easy to misread as unexplained inconsistency.
2026-06-07T15:23:05Z	F2T2-TK-048-008	results/boost/limen-boost-058/taxonomy-authority-fragility-matrix.tsv	fragility sidecar	authority-and-fragility control layer	Current matrix keeps recurrent slices reviewer-safe by showing why overlay-ready rows still differ in authority mix, translation burden, sector concentration, and singleton pressure even when counts look stable.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-001 ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-002 ; results/boost/limen-boost-034/taxonomy-promotion-frontier.tsv	Lets manuscript, dashboard, and thesis consumers separate recurrence from maturity.	Fragility-aware badge/tooltip layer for Figure 2 / Table 2.	Do not drop this sidecar when refreshing counts; otherwise recurrent slices can be overread as equally mature evidence families.
2026-06-07T15:23:05Z	F2T2-TK-048-009	results/boost/limen-boost-022/zero-seed-differentiation-matrix.tsv	three zero-seed rows	zero-seed interpretation sidecar	Current matrix distinguishes true local absence, locally non-empty shadow package, and methods-only guardrail across health_medical_or_mental_health, research_integrity, and residual_unclassified.	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-001 ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-002	Protects the first paper and thesis from flattening all zero-seed rows into one meaning.	Zero-seed legend, tooltip copy, and methods appendix sidecar.	Keep zero counts unchanged unless a real seeded row lands; this artifact refines interpretation, not denominator size.
2026-06-07T15:23:05Z	F2T2-TK-048-010	results/boost/limen-boost-060/open-visual-blocker-register.tsv	VB-060-001	open-blocker route selector	Figure 2 staged-source refresh remains the highest-value open visual blocker and already names the minimum synchronized bundle: staged heatmap source, LIMEN-VIS-002, exp-005, dashboard spec, and manuscript Figure 2 / Table 2 prose.	results/boost/limen-boost-060/figure2-refresh-bundle-contract.tsv ; next.md ; results/dashboard-paper/status.md	Turns scattered readiness notes into one explicit next-action gate for paper/dashboard/thesis work.	Open-blocker card and bundle trigger for the next shard-012 refresh cycle.	Do not reopen generic route debate; the next real publishability move is the synchronized Figure 2 / Table 2 refresh bundle.
