row_type	case_or_gap_id	cve_or_dimension	platform_or_scope	mechanism_family	record_status	evidence_tier	publication_bucket	avid_join_state	avid_ids	atlas_anchor_class	atlas_case_ids	atlas_technique_count	comparator_route_class	reviewer_safe_comparator_reading	visual_or_dashboard_hook	next_smallest_publishability_move	claim_boundary_note
case	LIMEN-000001	CVE-2023-37274	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	unsafe_code_execution	authoritative	T3_authoritative_source	1_core_results	explicit_no_direct_match_placeholder		indirect_generalized_case_context_plus_techniques	AML.CS0052	3	avid_negative_placeholder; atlas_generalized_case_context; authoritative_security_row	Generalized ATLAS case-study context is present, but it remains a framework-level analogue rather than a CVE-specific direct case-study join.	core security comparator inset; Figure 5 funnel companion; Figure 7 authority-balance companion	Keep ATLAS use at generalized case-context plus technique level unless a defensible exact case-study ID for this row is found.	Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.
case	LIMEN-000002	CVE-2024-37014	Langflow custom_component endpoint allows public candidate record for remote code execution risk	unsafe_code_execution	candidate	T1_single_public_source	3_limitations_queue_only	canonical_direct_id	AVID-2026-R1495	indirect_generalized_case_context_plus_techniques	AML.CS0052	1	exact_avid_direct_join; atlas_generalized_case_context; candidate_notice_ceiling	Generalized ATLAS case-study context is present, but it remains a framework-level analogue rather than a CVE-specific direct case-study join.	limitations matrix; interoperability asymmetry card	Keep ATLAS use at generalized case-context plus technique level unless a defensible exact case-study ID for this row is found.	Current row carries one canonical AVID report ID that can be shown as a direct local security-row join.
case	LIMEN-000003	CVE-2025-55284	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	exfiltration_or_credential_exposure	authoritative	T3_authoritative_source	1_core_results	explicit_no_direct_match_placeholder		no_direct_case_study_plus_technique_taxonomy	not_applicable	2	avid_negative_placeholder; atlas_technique_only; authoritative_security_row	No direct ATLAS case-study ID is recorded, but exact ATLAS technique IDs are available for technique-level clustering and comparison.	core security comparator inset; Figure 5 funnel companion; Figure 7 authority-balance companion	Use technique IDs for graph/taxonomy work only; add a direct case-study join only if an exact match becomes defensible.	Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.
case	LIMEN-000004	CVE-2026-2285	CrewAI JSON loader allowed arbitrary local file read on the server	exfiltration_or_credential_exposure	authoritative	T3_authoritative_source	2_appendix_supporting_results	explicit_no_direct_match_placeholder		no_direct_case_study_plus_technique_taxonomy	not_applicable	1	avid_negative_placeholder; atlas_technique_only; authoritative_security_row	No direct ATLAS case-study ID is recorded, but exact ATLAS technique IDs are available for technique-level clustering and comparison.	appendix security comparator table; technique-versus-authority asymmetry panel	Use technique IDs for graph/taxonomy work only; add a direct case-study join only if an exact match becomes defensible.	Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.
case	LIMEN-000005	CVE-2026-2286	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	exfiltration_or_credential_exposure	authoritative	T3_authoritative_source	2_appendix_supporting_results	explicit_no_direct_match_placeholder		no_direct_case_study_plus_technique_taxonomy	not_applicable	1	avid_negative_placeholder; atlas_technique_only; authoritative_security_row	No direct ATLAS case-study ID is recorded, but exact ATLAS technique IDs are available for technique-level clustering and comparison.	appendix security comparator table; technique-versus-authority asymmetry panel	Use technique IDs for graph/taxonomy work only; add a direct case-study join only if an exact match becomes defensible.	Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.
case	LIMEN-000006	CVE-2023-29374	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	unsafe_code_execution	authoritative	T3_authoritative_source	2_appendix_supporting_results	explicit_no_direct_match_placeholder		no_direct_case_study_plus_technique_taxonomy	not_applicable	2	avid_negative_placeholder; atlas_technique_only; authoritative_security_row	No direct ATLAS case-study ID is recorded, but exact ATLAS technique IDs are available for technique-level clustering and comparison.	appendix security comparator table; technique-versus-authority asymmetry panel	Use technique IDs for graph/taxonomy work only; add a direct case-study join only if an exact match becomes defensible.	Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.
case	LIMEN-000007	CVE-2024-3271	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	unsafe_code_execution	authoritative	T3_authoritative_source	2_appendix_supporting_results	explicit_no_direct_match_placeholder		no_direct_case_study_plus_technique_taxonomy	not_applicable	2	avid_negative_placeholder; atlas_technique_only; authoritative_security_row	No direct ATLAS case-study ID is recorded, but exact ATLAS technique IDs are available for technique-level clustering and comparison.	appendix security comparator table; technique-versus-authority asymmetry panel	Use technique IDs for graph/taxonomy work only; add a direct case-study join only if an exact match becomes defensible.	Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.
case	LIMEN-000008	CVE-2026-44843	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	memory_state_contamination	authoritative	T3_authoritative_source	1_core_results	explicit_no_direct_match_placeholder		no_direct_case_study_plus_cautious_context_only	not_applicable	0	avid_negative_placeholder; atlas_cautious_context_only; authoritative_security_row	No direct ATLAS case-study ID is recorded; only cautious technique-context wording is available for this failure mode.	core security comparator inset; Figure 5 funnel companion; Figure 7 authority-balance companion	Preserve cautious wording and seek a better independent framework anchor before any stronger ATLAS linkage claim.	Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.
case	LIMEN-000009	CVE-2026-47413	PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse	identity_boundary_abuse	authoritative	T3_authoritative_source	2_appendix_supporting_results	explicit_no_direct_match_placeholder		no_direct_case_study_plus_cautious_context_only	not_applicable	0	avid_negative_placeholder; atlas_cautious_context_only; authoritative_security_row	No direct ATLAS case-study ID is recorded; only cautious technique-context wording is available for this failure mode.	appendix security comparator table; technique-versus-authority asymmetry panel	Preserve cautious wording and seek a better independent framework anchor before any stronger ATLAS linkage claim.	Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.
case	LIMEN-000012	CVE-2025-9611	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	supply_chain_or_plugin_extension	authoritative	T3_authoritative_source	2_appendix_supporting_results	explicit_no_direct_match_placeholder		no_direct_case_study_plus_cautious_context_only	not_applicable	0	avid_negative_placeholder; atlas_cautious_context_only; release_note_qualified_trust_boundary_row	No direct ATLAS case-study ID is recorded; only cautious technique-context wording is available for this MCP/browser-control trust-boundary failure mode.	appendix security comparator table; technique-versus-authority asymmetry panel	Look for a direct external interoperability join only if a canonical AVID or exact ATLAS case later appears; otherwise keep the row release-note-qualified rather than advisory-grade.	No direct local AVID report or exact ATLAS case-study link was verified in the bounded pass; keep the row grounded in the public vulnerability record plus vendor release note, and do not narrate the case as realized exploitation in the wild or as broad MCP ecosystem prevalence.
