row_id	signal_id	translation_hold_class	review_priority	shards	queries	language_hint	source_path_family	source_url	source_path	source_line	title_or_snippet	claim_ceiling	next_action	forbidden_overread
TH-00265	LIMEN-SIGNAL-9034A790C0365149	registry_auto_translation	P1_official_or_regulator_review	public-sector	automated decision	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	/srv/tyche/projects/public-ai-registry/data/registry-gap-map-v0.2.csv	9	GM-REC-NL-ALG-REC-33698247,NL-ALG-REC-33698247,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00267	LIMEN-SIGNAL-9076791143E7EC5D	registry_auto_translation	P1_official_or_regulator_review	public-sector	automated decision	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/gm1735/931	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-gap-map-v0.2.preview.csv	10	GM-REC-NL-ALG-REC-93184465,NL-ALG-REC-93184465,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/gm1735/931	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00270	LIMEN-SIGNAL-924AFEB37FA05AB2	registry_auto_translation	P1_official_or_regulator_review	public-sector	automated decision	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	/srv/tyche/projects/public-ai-registry/data/registry-sample-records-v0.2.csv	4	NL-ALG-REC-93184465,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask,2026-06-05,Datamask,Municipality of Hof van Twente,yes,ye	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00275	LIMEN-SIGNAL-94E557A751200898	registry_auto_translation	P1_official_or_regulator_review	public-sector	automated decision	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-gap-map-v0.2.csv	9	GM-REC-NL-ALG-REC-33698247,NL-ALG-REC-33698247,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00280	LIMEN-SIGNAL-965AE5EAEEF0739A	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/gm1735/931	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050050Z/tables/registry-gap-map-v0.2.preview.csv	10	GM-REC-NL-ALG-REC-93184465,NL-ALG-REC-93184465,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/gm1735/931	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00283	LIMEN-SIGNAL-979D7D04C0CC995C	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/field-support-normalized-v0.1.csv	16	NL-ALG-REC-93184465,NL-ALG-REG,Dutch national Algorithm Register,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask,2026-06-05,Datamask,ind	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00288	LIMEN-SIGNAL-9876F0E06FAEBB5F	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-gap-map-v0.2.preview.csv	9	GM-REC-NL-ALG-REC-33698247,NL-ALG-REC-33698247,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00290	LIMEN-SIGNAL-99D47080DFEC9AD6	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algorit	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050159Z/manuscript.md	138	| NL-ALG-REC-83985427 | NL-ALG-REG | Algorithm Register of the Dutch government | Netherlands | Netherlands | English auto-translation from Dutch | https://algoritmes.overheid.nl/en/algorit... | 2026-06-05 |	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00291	LIMEN-SIGNAL-9A030904C1596186	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-sample-records-v0.2.preview.csv	4	NL-ALG-REC-93184465,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask,2026-06-05,Datamask,Municipality of Hof van Twente,yes,ye	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00294	LIMEN-SIGNAL-9DC38754F4774E4B	registry_auto_translation	P1_official_or_regulator_review	public-sector	algorithm register	dutch	other_tyche_project	https://algoritmes.overheid.nl/en/algoritme/mnre1045/8	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-gap-map-v0.2.csv	8	GM-REC-NL-ALG-REC-83985427,NL-ALG-REC-83985427,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1045/8	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
