view_id	view_title	scope	row_dimension	row_key	column_dimension	column_key	cell_count	member_ids	safe_reading	paper_thesis_use	dashboard_hook	blocking_note	access_date
ML-OBS-001	Language by publication bucket	live_case_rows_only	language	et	publication_bucket	limitations_queue_only	1	LMWCS-20260606-006	language=et and publication_bucket=limitations_queue_only currently intersect in 1 multilingual row in the live six-row package.	Table 1D sidecar or multilingual package heatmap showing where each language currently sits in the substantive/appendix/limitations ladder.	multilingual_observatory_cells; view=language_x_publication_bucket	Editorial routing is an evidence-quality signal, not country prevalence or language readiness ranking.	2026-06-07
ML-OBS-001	Language by publication bucket	live_case_rows_only	language	fi	publication_bucket	bounded_appendix_row	1	LMWCS-20260606-001	language=fi and publication_bucket=bounded_appendix_row currently intersect in 1 multilingual row in the live six-row package.	Table 1D sidecar or multilingual package heatmap showing where each language currently sits in the substantive/appendix/limitations ladder.	multilingual_observatory_cells; view=language_x_publication_bucket	Editorial routing is an evidence-quality signal, not country prevalence or language readiness ranking.	2026-06-07
ML-OBS-001	Language by publication bucket	live_case_rows_only	language	fi	publication_bucket	limitations_queue_only	1	LMWCS-20260606-002	language=fi and publication_bucket=limitations_queue_only currently intersect in 1 multilingual row in the live six-row package.	Table 1D sidecar or multilingual package heatmap showing where each language currently sits in the substantive/appendix/limitations ladder.	multilingual_observatory_cells; view=language_x_publication_bucket	Editorial routing is an evidence-quality signal, not country prevalence or language readiness ranking.	2026-06-07
ML-OBS-001	Language by publication bucket	live_case_rows_only	language	lt	publication_bucket	limitations_queue_only	1	LMWCS-20260606-003	language=lt and publication_bucket=limitations_queue_only currently intersect in 1 multilingual row in the live six-row package.	Table 1D sidecar or multilingual package heatmap showing where each language currently sits in the substantive/appendix/limitations ladder.	multilingual_observatory_cells; view=language_x_publication_bucket	Editorial routing is an evidence-quality signal, not country prevalence or language readiness ranking.	2026-06-07
ML-OBS-001	Language by publication bucket	live_case_rows_only	language	sl	publication_bucket	bounded_appendix_row	1	LMWCS-20260606-005	language=sl and publication_bucket=bounded_appendix_row currently intersect in 1 multilingual row in the live six-row package.	Table 1D sidecar or multilingual package heatmap showing where each language currently sits in the substantive/appendix/limitations ladder.	multilingual_observatory_cells; view=language_x_publication_bucket	Editorial routing is an evidence-quality signal, not country prevalence or language readiness ranking.	2026-06-07
ML-OBS-001	Language by publication bucket	live_case_rows_only	language	sl	publication_bucket	bounded_substantive_row	1	LMWCS-20260606-004	language=sl and publication_bucket=bounded_substantive_row currently intersect in 1 multilingual row in the live six-row package.	Table 1D sidecar or multilingual package heatmap showing where each language currently sits in the substantive/appendix/limitations ladder.	multilingual_observatory_cells; view=language_x_publication_bucket	Editorial routing is an evidence-quality signal, not country prevalence or language readiness ranking.	2026-06-07
ML-OBS-002	Rare-language priority by support state	live_case_rows_only	rare_language_priority	high_undercovered	direct_source_class	queue_only_unresolved	2	LMWCS-20260606-003; LMWCS-20260606-006	rare_language_priority=high_undercovered and direct_source_class=queue_only_unresolved currently intersect in 2 multilingual rows in the live six-row package.	Rare-language methods/limitations panel showing that the highest-undercovered rows remain unresolved while medium-undercovered rows carry the current resolved evidence.	multilingual_observatory_cells; view=priority_x_support_state	High-undercovered queue rows are negative-evidence route blockers, not proof of absence or lower policy importance.	2026-06-07
ML-OBS-002	Rare-language priority by support state	live_case_rows_only	rare_language_priority	medium_undercovered	direct_source_class	direct_non_official	2	LMWCS-20260606-001; LMWCS-20260606-005	rare_language_priority=medium_undercovered and direct_source_class=direct_non_official currently intersect in 2 multilingual rows in the live six-row package.	Rare-language methods/limitations panel showing that the highest-undercovered rows remain unresolved while medium-undercovered rows carry the current resolved evidence.	multilingual_observatory_cells; view=priority_x_support_state	High-undercovered queue rows are negative-evidence route blockers, not proof of absence or lower policy importance.	2026-06-07
ML-OBS-002	Rare-language priority by support state	live_case_rows_only	rare_language_priority	medium_undercovered	direct_source_class	direct_official	1	LMWCS-20260606-004	rare_language_priority=medium_undercovered and direct_source_class=direct_official currently intersect in 1 multilingual row in the live six-row package.	Rare-language methods/limitations panel showing that the highest-undercovered rows remain unresolved while medium-undercovered rows carry the current resolved evidence.	multilingual_observatory_cells; view=priority_x_support_state	High-undercovered queue rows are negative-evidence route blockers, not proof of absence or lower policy importance.	2026-06-07
ML-OBS-002	Rare-language priority by support state	live_case_rows_only	rare_language_priority	medium_undercovered	direct_source_class	queue_only_unresolved	1	LMWCS-20260606-002	rare_language_priority=medium_undercovered and direct_source_class=queue_only_unresolved currently intersect in 1 multilingual row in the live six-row package.	Rare-language methods/limitations panel showing that the highest-undercovered rows remain unresolved while medium-undercovered rows carry the current resolved evidence.	multilingual_observatory_cells; view=priority_x_support_state	High-undercovered queue rows are negative-evidence route blockers, not proof of absence or lower policy importance.	2026-06-07
