lane_id	shard_theme	language_cluster	script	representative_jurisdictions	priority_reason	source_family_priority	evidence_goal	translation_risk	paper_thesis_use	visualization_hook	status	next_smallest_move
limen-boost-005	multilingual weird cases and under-covered languages	Baltic	Latin	Lithuania; Latvia	EU/EEA coverage is likely to be distorted by English-only discovery; local-language public-sector and regulator records may expose edge-case evidence gaps.	Public-sector registers and procurement; Regulator and enforcement sources; News and investigative reporting	Find T0/T1 leads on public-sector AI incidents, disclosure gaps, or institutionally strange deployments.	Medium: machine translation can miss legal nuance; human review needed before legal interpretation.	Supports LIMEN method/limitations section on language-conditioned observability and future Atlas/GAIA multilingual dashboards.	Country-language-source-family heatmap; lead funnel by evidence tier	queued	Probe official AI/register/procurement and regulator surfaces before general news expansion.
limen-boost-005	multilingual weird cases and under-covered languages	Finno-Ugric	Latin	Finland; Estonia; Hungary	Smaller-language official documentation may reveal cases not mirrored into English and may clarify public-sector deployment oddities.	Public-sector registers and procurement; Court and tribunal records; Regulator and enforcement sources	Find authoritative or quasi-authoritative traces of procedural contamination, public-sector misuse/gap, or institutional absurdity.	Medium	Strengthens reviewer-facing claim that LIMEN measures source visibility rather than incident frequency.	Language-aware evidence-tier matrix	queued	Start with official/public authority pages and record language plus source authority.
limen-boost-005	multilingual weird cases and under-covered languages	Balkan smaller-state languages	Latin and Cyrillic	Slovenia; Croatia; Serbia; Bosnia and Herzegovina; Montenegro; North Macedonia	Regional reporting and administrative records may contain under-indexed cases around education, public administration, and synthetic identity confusion.	Regulator and enforcement sources; Court and tribunal records; News and investigative reporting	Collect lead-quality evidence and blocked-source notes for long-tail cases that do not enter large English incident databases.	High: cross-border reporting chains may duplicate one another.	Feeds residual-case examples for claims.md hypothesis on crosswalk gaps.	Map-ready jurisdiction/language coverage layer	queued	Record dedupe risk explicitly when the same event appears across regional language variants.
limen-boost-005	multilingual weird cases and under-covered languages	Caucasus	Armenian; Georgian	Armenia; Georgia	Likely under-covered in English AI governance corpora; useful for detecting unusual governance and public-institution edge cases.	Public-sector registers and procurement; News and investigative reporting; Company and platform notices	Identify whether public evidence surfaces are sparse, blocked, or productive; negative results are still useful.	High	Useful as a methods/limitations note on uneven geographic discoverability.	Coverage-gap table with blocked-source annotations	queued	Prefer source-family audit notes if case retrieval remains thin.
limen-boost-005	multilingual weird cases and under-covered languages	Central Asian	Cyrillic and Latin	Kazakhstan; Kyrgyzstan; Uzbekistan	May expose non-English public-sector AI adoption oddities, fraud, or surveillance-related cases not visible in EU/US narratives.	Regulator and enforcement sources; Public-sector registers and procurement; News and investigative reporting	Generate candidate leads with explicit language, jurisdiction, and translation-confidence fields.	High	Can support future comparative section on multilingual observability asymmetry.	Jurisdiction-language-source-family Sankey or matrix	queued	Keep legal status conservative unless an authoritative source is clear.
limen-boost-005	multilingual weird cases and under-covered languages	Smaller EU official languages	Latin	Slovak Republic; Czech Republic; Romania; Bulgaria	These jurisdictions often publish official materials locally first; may yield procurement or administrative absurdity cases earlier than English sources.	Public-sector registers and procurement; Regulator and enforcement sources; Court and tribunal records	Find public authority records that can later be crosswalked to LIMEN categories.	Medium	Improves venue-fit for a European governance/policy audience.	EU language coverage panel for dashboard	queued	Prefer authoritative records over media summaries where possible.
limen-boost-005	multilingual weird cases and under-covered languages	Arabic local-authority subset	Arabic	Jordan; Morocco; Tunisia	Locally authoritative Arabic reporting may surface public-sector or platform-governance cases missing from English corpora.	Regulator and enforcement sources; Company and platform notices; News and investigative reporting	Test whether non-English local authority sources change case classification or merely add color.	High	Supports limitation language about translation and source authority stratification.	Authority-tier by language chart	queued	Do not make final legal or policy claims from translation alone.
limen-boost-005	multilingual weird cases and under-covered languages	Hebrew	Hebrew	Israel	High local reporting density and institutional specificity may reveal synthetic identity, deepfake, or procedural contamination cases overlooked in English-only scans.	Court and tribunal records; Regulator and enforcement sources; News and investigative reporting	Capture leads with careful distinction between allegation, procedural posture, and authoritative finding.	High	Useful for case-study appendix if authoritative support emerges.	Case-pipeline funnel by evidence tier and language	queued	Record whether English coverage appears only after local-language escalation.
limen-boost-005	multilingual weird cases and under-covered languages	Slavic regional languages	Cyrillic and Latin	Ukraine; Poland; Bulgaria	Conflict, disinformation, and institutional stress conditions may create edge cases around provenance confusion and synthetic identity, but evidence quality will vary sharply.	Regulator and enforcement sources; Security research and advisories; News and investigative reporting	Separate security-relevant lead capture from legally stronger authority-backed cases.	High	May supply residual examples for deepfake/provenance-confusion and legal-procedural contamination clusters.	Category-by-language bubble plot	queued	Avoid over-reading wartime or crisis reporting without corroboration.
limen-boost-005	multilingual weird cases and under-covered languages	Indigenous or minority European languages	Mixed	Basque; Welsh; Sami contexts	Likely low-volume but methodologically important for demonstrating coverage boundaries and institutional discoverability gaps.	Public-sector registers and procurement; News and investigative reporting	Document whether meaningful public AI edge-case evidence exists or whether discoverability itself is the finding.	High	Strong negative-evidence artifact for methods and limitations sections.	Coverage-presence/absence table with authority flags	queued	Treat null findings as publishable evidence about observability constraints.
