row_id	signal_id	translation_review_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
TH-00253	LIMEN-SIGNAL-87C730379D41D629	cross_project_duplicate	language_not_resolved	path:/srv/tyche/atlas/tyche-thesis-atlas-factory/results/submission-preprint-packages/atlas-preprint-package-20260606T050050Z/manuscript.md#L18	Tyche Thesis Atlas preprint abstract	Atlas package abstract is an internal cross-project research-object statement, not an original language source.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to Atlas manuscript/source-ledger hardening; do not promote as LIMEN source
TH-00268	LIMEN-SIGNAL-90E397054DE4F46F	cross_project_duplicate	language_not_resolved	path:/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-20260605T192332Z/claim-support-curated.json#L1020	Atlas claim-support curated excerpt	Curated claim-support row repeats Atlas abstract text from another project.	translation-safe source review only; no legal or policy conclusion from machine translation	route upstream to Atlas claim-support dedupe
TH-00272	LIMEN-SIGNAL-9351A6674A860E0F	machine_translation_hold	Spanish	https://guatemala.un.org/es/311127-evaluaci%C3%B3n-de-ia-en-guatemala ; local snapshot data/global-agent-atlas-v0.1/snapshots/cycle344-guatemala-7eec788197d3eeca.html	UN Guatemala: Evaluación de IA en Guatemala	Local GAIA digest has Spanish locator and English summary with human_review_needed; no original excerpt was reviewed here.	translation-safe source review only; no legal or policy conclusion from machine translation	extract/review original Spanish snapshot before any claim promotion
TH-00274	LIMEN-SIGNAL-94AC565178D464AE	cross_project_duplicate	language_not_resolved	path:/srv/tyche/atlas/tyche-thesis-atlas-factory/results/submission-preprint-packages/atlas-preprint-package-20260606T050415Z/source-draft.md#L8	Tyche Thesis Atlas source draft abstract	Atlas source draft repeats internal abstract language, not an external translation source.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to Atlas manuscript hardening
TH-00277	LIMEN-SIGNAL-956B9DD2F9297080	cross_project_duplicate	language_not_resolved	path:/srv/tyche/atlas/tyche-thesis-atlas-factory/results/submission-preprint-packages/atlas-preprint-package-20260606T050050Z/source-draft.md#L8	Tyche Thesis Atlas source draft abstract	Duplicate Atlas package abstract from another package path.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to Atlas manuscript hardening
TH-00284	LIMEN-SIGNAL-97CC44D83C1A0235	cross_project_duplicate	English/local metadata	https://egov-ai.e.gov.ph/developers/chat-ai	Chat AI / eGovAI API	Global Agent Atlas fact row with developer-docs locator belongs upstream; LIMEN should not promote the derived fact.	translation-safe source review only; no legal or policy conclusion from machine translation	route to Global Agent Atlas source verification/dedupe
TH-00287	LIMEN-SIGNAL-9844A5B3E77F9310	cross_project_duplicate	language_not_resolved	path:/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T193210Z/claim-support-curated.json#L344	Atlas claim-language patch excerpt	Claim-support artifact repeats Atlas abstract/patch language, not an original source.	translation-safe source review only; no legal or policy conclusion from machine translation	route upstream to Atlas claim-language dedupe
TH-00292	LIMEN-SIGNAL-9C7419FDEFED9D67	translation_source_reviewed	Danish	https://www.datatilsynet.dk/regler-og-vejledning/kunstig-intelligens	Datatilsynet: Kunstig intelligens	Local multilingual matrix provides named Danish regulator locator, title, language, and candidate-primary-source status.	translation-safe source review only; no legal or policy conclusion from machine translation	perform bounded original Danish source review if this comparator is retained
TH-00293	LIMEN-SIGNAL-9D9A3963A65937C8	machine_translation_hold	Russian	http://publication.pravo.gov.ru/Document/View/0001202004240030	Federal Law No. 123-FZ on the Moscow AI experimental legal regime	GAIA digest supplies Russian official-law locator and English summary with human_review_needed; legacy access not reconstructed.	translation-safe source review only; no legal or policy conclusion from machine translation	extract/review original Russian legal text before any LIMEN use
TH-00295	LIMEN-SIGNAL-9DEC4D585FBAF93C	cross_project_duplicate	language_not_resolved	path:/srv/tyche/atlas/tyche-thesis-atlas-factory/results/papergrade-preprints/atlas-papergrade-preprint-20260606T053048Z/sources/srv_tyche_atlas_tyche-thesis-atlas-factory_draft_preprint.md#L8	Tyche Thesis Atlas papergrade source copy	Papergrade package copy repeats Atlas abstract and is not an independent source.	translation-safe source review only; no legal or policy conclusion from machine translation	dedupe to Atlas papergrade package source ledger
