queue_id	signal_id	bulk_translation_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
BTR-00545	LIMEN-SIGNAL-712EA77D2A7BAE72	needs_original_language_source	French metadata only	https://www.economie.gouv.fr/daj/commande-publique	Commande publique	Official French procurement locator is concrete, but local row notes automated 403 and no PM AI procurement policy found.	source-surface locator only; no AI procurement or policy claim	obtain readable original-language capture before any extraction
BTR-00546	LIMEN-SIGNAL-72AA977658F1936D	source_surface_only_no_case	Portuguese metadata reviewed	https://www.nosi.cv/web/guest/plataformas	NOSi platforms page - IGRP monitoring/audit capability	Local metadata describes platform monitoring/audit infrastructure and explicitly says not a public algorithm register.	context surface only; no algorithm-register or edge-case claim	retain as Cape Verde digital-government context only
BTR-00547	LIMEN-SIGNAL-73BB9E2B68292ADD	candidate_for_parent_source_extraction	Spanish timeline metadata reviewed	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/trace-x/cases/es-bosco/timeline.md.bundle/timeline.md:17	Civio public BOSCO dossier / automated decisions page	Timeline row names a Spanish civil-society BOSCO dossier with primary litigation-document links; source text was not locally resolved in this batch.	parent-source extraction candidate only; no substantive BOSCO finding from this row	resolve local extracted-text path or recapture dossier before case-level use
BTR-00548	LIMEN-SIGNAL-74EE7B2A3AB556C5	source_surface_only_no_case	French metadata reviewed	https://www.marches-publics.gouv.fr/	Accueil - Portail des marchés publics	Official French e-procurement portal is concrete, but notes say Saint Martin AI-procurement usage is not evidenced.	procurement-infrastructure surface only; no AI-procurement case claim	retain as procurement context unless a specific AI tender is found locally
BTR-00549	LIMEN-SIGNAL-757CD12F8CF7CEBA	source_surface_only_no_case	Dutch metadata reviewed	https://www.dna.sr/wetgeving/surinaamse-wetten/wetten-na-2005/wet-elektronische-uitgifte-staats-en-advertentieblad/	Wet Elektronische Uitgifte Staats- en Advertentieblad	Official Suriname law page supports electronic gazette publication infrastructure, not AI evidence lifecycle.	legal-publication infrastructure context only; no AI-evidence claim	retain as adjacent context or drop from AI-evidence queue
BTR-00550	LIMEN-SIGNAL-7757DAFECF9C1BF0	source_surface_only_no_case	English aggregator metadata reviewed	https://www.wipo.int/wipolex/en/legislation/details/14725	Law on Software Industry of the Democratic People's Republic of Korea	WIPO Lex software-law locator is adjacent and local notes explicitly say it is not procurement-governance evidence.	weak adjacent/negative source surface only	do not extract for AI procurement absent direct procurement controls
BTR-00551	LIMEN-SIGNAL-77686F26A174F0A5	candidate_for_parent_source_extraction	Malay/English portal snippet reviewed	https://www.malaysia.gov.my/en/my-initiative/whole-government-digital-services/tadbir-urus/national-guidelines-on-artificial-intelligence-governance-and-ethics-aige	National Guidelines on Artificial Intelligence Governance and Ethics (AIGE)	Official Malaysia AI-governance guideline locator is concrete with translation-needed flag; local snippet is mostly portal chrome.	official guideline source-surface only pending original-language extraction	extract readable guideline text and deduplicate with BTR-00556
BTR-00552	LIMEN-SIGNAL-778F0B509BDBDD34	source_surface_only_no_case	Spanish metadata reviewed	https://www.transparencia.gob.sv/	Transparencia	Official El Salvador transparency portal is general infrastructure; local notes say no algorithm register found.	general transparency-infrastructure context only	retain as negative/context evidence, not a case source
BTR-00553	LIMEN-SIGNAL-77B8FBDA92FD4996	translation_source_reviewed	Spanish metadata reviewed	https://aesia.digital.gob.es/es/guias	AESIA guides from Spanish AI regulatory sandbox pilot	Local Spanish metadata explicitly identifies regulator guides developed under the AI sandbox pilot.	source-surface support for sandbox-guide existence only; no legal or safety finding	candidate for bounded parent-source extraction if original text is needed
BTR-00554	LIMEN-SIGNAL-77FD35105748C7FB	source_surface_only_no_case	Belarusian/Russian site metadata reviewed	https://gias.by/gias/	GIAS public portal	Official/public portal is JavaScript-heavy and was checked only as transparency/data-register infrastructure; no algorithm register identified.	public digital portal locator only; no algorithm-register claim	second-pass browser/API review only if Belarus context is needed
BTR-00555	LIMEN-SIGNAL-7870C982A4D33A43	translation_source_reviewed	Norwegian metadata reviewed	https://data.norge.no/kunstig-intelligens	Kunstig intelligens	Official data.norge.no AI catalogue endpoint is concrete, but static retrieval warning says not to label it mandatory algorithm register.	AI catalogue endpoint existence only; no mandatory-register or coverage claim	pair with Digdir launch note before any stronger extraction
BTR-00556	LIMEN-SIGNAL-78C5B15AA772C1E1	cross_project_duplicate	Malay/English portal snippet reviewed	https://www.malaysia.gov.my/en/my-initiative/whole-government-digital-services/tadbir-urus/national-guidelines-on-artificial-intelligence-governance-and-ethics-aige	National Guidelines on Artificial Intelligence Governance and Ethics (AIGE)	Same Malaysia AIGE official locator and translation-needed source family as BTR-00551, with a different crawl record.	duplicate source-surface only	merge with BTR-00551 extraction path; keep one canonical record
BTR-00557	LIMEN-SIGNAL-78C66F213498101C	source_surface_only_no_case	Spanish metadata reviewed	https://portalunico.iaip.gob.hn/	Portal Único de Transparencia	Honduras transparency portal is indirect publication-practice context; local notes say no AI lifecycle mechanism found.	general transparency portal context only; no AI evidence-lifecycle claim	retain as negative/context evidence only
BTR-00558	LIMEN-SIGNAL-7AF3DD18D74273FF	candidate_for_parent_source_extraction	Finnish metadata reviewed	https://www.kela.fi/tekoalyrekisteri	Kelan tekoälyrekisteri ja vastuullisen tekoälyn käytön periaatteet	Official Finnish AI-register source is concrete and local fact describes Kela-Kelpo chatbot placement.	source-surface and register-entry extraction candidate; no broader performance or compliance claim	extract original Finnish register entry with bounded translation notes
BTR-00559	LIMEN-SIGNAL-7B48A3EF742DB0B1	candidate_for_parent_source_extraction	Portuguese snippet reviewed	https://www.gov.br/anpd/pt-br/assuntos/projetos-acoes-iniciativas/sandbox/por-que-inteligencia-artificial	Por que Inteligência Artificial?	Brazil ANPD page is official, Portuguese, and snippet explicitly frames an AI regulatory sandbox.	official sandbox-source extraction candidate; no compliance or impact finding	extract original Portuguese source text and record translation caveats
BTR-00560	LIMEN-SIGNAL-7D1C1A9032379197	translation_source_reviewed	Japanese/English metadata reviewed	https://www.soumu.go.jp/menu_news/s-news/01ryutsu20_02000001_00010.html	AI Business Guidelines Version 1.0 publication	Official Japanese ministry publication locator supports guideline existence; local notes say no national public algorithm-register equivalent was found.	official guideline-publication surface only; no algorithm-register claim	retain as guideline context with translation-aware extraction if needed
