bridge_row_id	local_object_id	local_object_count	local_example_case_id	mit_primary_anchor_id	mit_primary_anchor_label	mit_primary_anchor_level	mit_repo_risk_share	mit_repo_document_share	mapping_confidence	paper_use	observatory_hook	claim_ceiling	provenance_artifacts	access_date
MITAIR-BRIDGE-001	security_risk	11	LIMEN-000001	MITAIR-S2-2	2.2 AI system security vulnerabilities and attacks	subdomain	0.07	0.34	high	Reviewer-safe contrast between live LIMEN category occupancy and MIT repository taxonomy prominence; suitable for appendix table, dashboard annotation, and methods prose.	taxonomy contrast row for security_risk with local_count, MIT primary anchor, MIT repo risk share, and MIT repo document share	Concept-layer taxonomy contrast only; MIT repository percentages do not measure LIMEN prevalence, legality, severity, or event equivalence.	results/crosswalks/mit-ai-risk-local-taxonomy-bridge-v0.1.tsv:MITAIR-BRIDGE-001 ; results/crosswalks/mit-ai-risk-domain-taxonomy-statistics-workbook-slice-v0.1.tsv:MITAIR-S2-2	2026-06-08
MITAIR-BRIDGE-002	agentic_control_failure	11	LIMEN-000001	MITAIR-S7-6	7.6 Multi-agent risks	subdomain	0.03	0.07	medium	Reviewer-safe contrast between live LIMEN category occupancy and MIT repository taxonomy prominence; suitable for appendix table, dashboard annotation, and methods prose.	taxonomy contrast row for agentic_control_failure with local_count, MIT primary anchor, MIT repo risk share, and MIT repo document share	Concept-layer taxonomy contrast only; MIT repository percentages do not measure LIMEN prevalence, legality, severity, or event equivalence.	results/crosswalks/mit-ai-risk-local-taxonomy-bridge-v0.1.tsv:MITAIR-BRIDGE-002 ; results/crosswalks/mit-ai-risk-domain-taxonomy-statistics-workbook-slice-v0.1.tsv:MITAIR-S7-6	2026-06-08
MITAIR-BRIDGE-003	public_sector_misuse_or_gap	8	LIMEN-000009	MITAIR-S6-5	6.5 Governance failure	subdomain	0.04	0.27	medium	Reviewer-safe contrast between live LIMEN category occupancy and MIT repository taxonomy prominence; suitable for appendix table, dashboard annotation, and methods prose.	taxonomy contrast row for public_sector_misuse_or_gap with local_count, MIT primary anchor, MIT repo risk share, and MIT repo document share	Concept-layer taxonomy contrast only; MIT repository percentages do not measure LIMEN prevalence, legality, severity, or event equivalence.	results/crosswalks/mit-ai-risk-local-taxonomy-bridge-v0.1.tsv:MITAIR-BRIDGE-003 ; results/crosswalks/mit-ai-risk-domain-taxonomy-statistics-workbook-slice-v0.1.tsv:MITAIR-S6-5	2026-06-08
MITAIR-BRIDGE-004	ai_washing_or_false_ai_claim	6	LIMEN-000010	MITAIR-S3-1	3.1 False or misleading information	subdomain	0.03	0.37	high	Reviewer-safe contrast between live LIMEN category occupancy and MIT repository taxonomy prominence; suitable for appendix table, dashboard annotation, and methods prose.	taxonomy contrast row for ai_washing_or_false_ai_claim with local_count, MIT primary anchor, MIT repo risk share, and MIT repo document share	Concept-layer taxonomy contrast only; MIT repository percentages do not measure LIMEN prevalence, legality, severity, or event equivalence.	results/crosswalks/mit-ai-risk-local-taxonomy-bridge-v0.1.tsv:MITAIR-BRIDGE-004 ; results/crosswalks/mit-ai-risk-domain-taxonomy-statistics-workbook-slice-v0.1.tsv:MITAIR-S3-1	2026-06-08
MITAIR-BRIDGE-005	education_workplace_or_hr	6	LIMEN-000002	MITAIR-S1-1	1.1 Unfair discrimination and misrepresentation	subdomain	0.06	0.63	high	Reviewer-safe contrast between live LIMEN category occupancy and MIT repository taxonomy prominence; suitable for appendix table, dashboard annotation, and methods prose.	taxonomy contrast row for education_workplace_or_hr with local_count, MIT primary anchor, MIT repo risk share, and MIT repo document share	Concept-layer taxonomy contrast only; MIT repository percentages do not measure LIMEN prevalence, legality, severity, or event equivalence.	results/crosswalks/mit-ai-risk-local-taxonomy-bridge-v0.1.tsv:MITAIR-BRIDGE-005 ; results/crosswalks/mit-ai-risk-domain-taxonomy-statistics-workbook-slice-v0.1.tsv:MITAIR-S1-1	2026-06-08
MITAIR-BRIDGE-006	normative_or_moral_outlier	5	LIMEN-000001	MITAIR-S6-5	6.5 Governance failure	subdomain	0.04	0.27	medium	Reviewer-safe contrast between live LIMEN category occupancy and MIT repository taxonomy prominence; suitable for appendix table, dashboard annotation, and methods prose.	taxonomy contrast row for normative_or_moral_outlier with local_count, MIT primary anchor, MIT repo risk share, and MIT repo document share	Concept-layer taxonomy contrast only; MIT repository percentages do not measure LIMEN prevalence, legality, severity, or event equivalence.	results/crosswalks/mit-ai-risk-local-taxonomy-bridge-v0.1.tsv:MITAIR-BRIDGE-006 ; results/crosswalks/mit-ai-risk-domain-taxonomy-statistics-workbook-slice-v0.1.tsv:MITAIR-S6-5	2026-06-08
MITAIR-BRIDGE-007	deepfake_or_synthetic_identity	3	LIMEN-000008	MITAIR-S3-1	3.1 False or misleading information	subdomain	0.03	0.37	medium	Reviewer-safe contrast between live LIMEN category occupancy and MIT repository taxonomy prominence; suitable for appendix table, dashboard annotation, and methods prose.	taxonomy contrast row for deepfake_or_synthetic_identity with local_count, MIT primary anchor, MIT repo risk share, and MIT repo document share	Concept-layer taxonomy contrast only; MIT repository percentages do not measure LIMEN prevalence, legality, severity, or event equivalence.	results/crosswalks/mit-ai-risk-local-taxonomy-bridge-v0.1.tsv:MITAIR-BRIDGE-007 ; results/crosswalks/mit-ai-risk-domain-taxonomy-statistics-workbook-slice-v0.1.tsv:MITAIR-S3-1	2026-06-08
MITAIR-BRIDGE-008	surveillance_biometrics_or_policing	4	LIMEN-000003	MITAIR-S2-1	2.1 Compromise of privacy by obtaining, leaking or correctly inferring sensitive information	subdomain	0.05	0.56	medium	Reviewer-safe contrast between live LIMEN category occupancy and MIT repository taxonomy prominence; suitable for appendix table, dashboard annotation, and methods prose.	taxonomy contrast row for surveillance_biometrics_or_policing with local_count, MIT primary anchor, MIT repo risk share, and MIT repo document share	Concept-layer taxonomy contrast only; MIT repository percentages do not measure LIMEN prevalence, legality, severity, or event equivalence.	results/crosswalks/mit-ai-risk-local-taxonomy-bridge-v0.1.tsv:MITAIR-BRIDGE-008 ; results/crosswalks/mit-ai-risk-domain-taxonomy-statistics-workbook-slice-v0.1.tsv:MITAIR-S2-1	2026-06-08
MITAIR-BRIDGE-009	institutional_absurdity	3	LMWCS-20260606-001	MITAIR-S6-5	6.5 Governance failure	subdomain	0.04	0.27	medium	Reviewer-safe contrast between live LIMEN category occupancy and MIT repository taxonomy prominence; suitable for appendix table, dashboard annotation, and methods prose.	taxonomy contrast row for institutional_absurdity with local_count, MIT primary anchor, MIT repo risk share, and MIT repo document share	Concept-layer taxonomy contrast only; MIT repository percentages do not measure LIMEN prevalence, legality, severity, or event equivalence.	results/crosswalks/mit-ai-risk-local-taxonomy-bridge-v0.1.tsv:MITAIR-BRIDGE-009 ; results/crosswalks/mit-ai-risk-domain-taxonomy-statistics-workbook-slice-v0.1.tsv:MITAIR-S6-5	2026-06-08
MITAIR-BRIDGE-010	finance_insurance_or_market	2	LIMEN-000006	MITAIR-S4-3	4.3 Fraud, scams, and targeted manipulation	subdomain	0.05	0.37	medium	Reviewer-safe contrast between live LIMEN category occupancy and MIT repository taxonomy prominence; suitable for appendix table, dashboard annotation, and methods prose.	taxonomy contrast row for finance_insurance_or_market with local_count, MIT primary anchor, MIT repo risk share, and MIT repo document share	Concept-layer taxonomy contrast only; MIT repository percentages do not measure LIMEN prevalence, legality, severity, or event equivalence.	results/crosswalks/mit-ai-risk-local-taxonomy-bridge-v0.1.tsv:MITAIR-BRIDGE-010 ; results/crosswalks/mit-ai-risk-domain-taxonomy-statistics-workbook-slice-v0.1.tsv:MITAIR-S4-3	2026-06-08
MITAIR-BRIDGE-011	legal_procedural_contamination	3	LIMEN-000001	MITAIR-S6-5	6.5 Governance failure	subdomain	0.04	0.27	medium	Reviewer-safe contrast between live LIMEN category occupancy and MIT repository taxonomy prominence; suitable for appendix table, dashboard annotation, and methods prose.	taxonomy contrast row for legal_procedural_contamination with local_count, MIT primary anchor, MIT repo risk share, and MIT repo document share	Concept-layer taxonomy contrast only; MIT repository percentages do not measure LIMEN prevalence, legality, severity, or event equivalence.	results/crosswalks/mit-ai-risk-local-taxonomy-bridge-v0.1.tsv:MITAIR-BRIDGE-011 ; results/crosswalks/mit-ai-risk-domain-taxonomy-statistics-workbook-slice-v0.1.tsv:MITAIR-S6-5	2026-06-08
