anchor_id	anchor_level	visible_label	workbook_label	label_match_after_normalization	visible_description	workbook_description	description_match_after_normalization	comparison_note	visible_retrieved_at_utc	workbook_retrieved_at_utc	workbook_sheet_updated_note	source_url	export_url
MITAIR-D01	domain	1. Discrimination & Toxicity	1.0 Discrimination & Toxicity	no	Risks related to unfair treatment, harmful content exposure, and unequal AI performance across different groups and individuals.		yes	label_drift_only	2026-06-07T09:06:39Z	2026-06-08T11:03:05Z	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx
MITAIR-D02	domain	2. Privacy & Security	2.0 Privacy & Security	no	Risks related to unauthorized access to sensitive information and vulnerabilities in AI systems that can be exploited by malicious actors.		yes	label_drift_only	2026-06-07T09:06:39Z	2026-06-08T11:03:05Z	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx
MITAIR-D03	domain	3. Misinformation	3.0 Misinformation	no	Risks related to AI systems generating or spreading false information that can mislead users and undermine shared understanding of reality.		yes	label_drift_only	2026-06-07T09:06:39Z	2026-06-08T11:03:05Z	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx
MITAIR-D04	domain	4. Malicious Actors	4.0 Malicious actors	no	Risks related to intentional misuse of AI systems by bad actors for harmful purposes including disinformation, cyberattacks, and fraud.		yes	label_drift_only	2026-06-07T09:06:39Z	2026-06-08T11:03:05Z	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx
MITAIR-D05	domain	5. Human-Computer Interaction	5.0 Human- Computer Interaction	no	Risks related to problematic relationships between humans and AI systems, including overreliance and loss of human agency.		yes	label_drift_only	2026-06-07T09:06:39Z	2026-06-08T11:03:05Z	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx
MITAIR-D06	domain	6. Socioeconomic & Environmental	6.0 Socioeconomic & Environmental	no	Risks related to AI's impact on society, economy, governance, and the environment, including inequality and resource concentration.		yes	label_drift_only	2026-06-07T09:06:39Z	2026-06-08T11:03:05Z	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx
MITAIR-D07	domain	7. AI System Safety, Failures, & Limitations	7.0 AI system safety, failures, & limitations	no	Risks related to AI systems that fail to operate safely, pursue misaligned goals, lack robustness, or possess dangerous capabilities.		yes	label_drift_only	2026-06-07T09:06:39Z	2026-06-08T11:03:05Z	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx
MITAIR-S1-1	subdomain	1.1 Unfair discrimination and misrepresentation	1.1 Unfair discrimination and misrepresentation	yes	Unequal treatment of individuals or groups by AI, often based on race, gender, or other sensitive characteristics, resulting in unfair outcomes and representation of those groups.	Unequal treatment of individuals or groups by AI, often based on race, gender, or other sensitive characteristics, resulting in unfair outcomes and representation of those groups.	yes	exact_match_after_normalization	2026-06-07T09:06:39Z	2026-06-08T11:03:05Z	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx
MITAIR-S1-2	subdomain	1.2 Exposure to toxic content	1.2 Exposure to toxic content	yes	AI exposing users to harmful, abusive, unsafe or inappropriate content. May involve AI creating, describing, providing advice, or encouraging action. Examples of toxic content include hate-speech, violence, extremism, illegal acts, child sexual abuse material, as well as content that violates community norms such as profanity, inflammatory political speech, or pornography.	AI exposing users to harmful, abusive, unsafe or inappropriate content. May involve AI creating, describing, providing advice, or encouraging action. Examples of toxic content include hate-speech, violence, extremism, illegal acts, child sexual abuse material, as well as content that violates community norms such as profanity, inflammatory political speech, or pornography.	yes	exact_match_after_normalization	2026-06-07T09:06:39Z	2026-06-08T11:03:05Z	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx
MITAIR-S1-3	subdomain	1.3 Unequal performance across groups	1.3 Unequal performance across groups	yes	Accuracy and effectiveness of AI decisions and actions is dependent on group membership, where decisions in AI system design and biased training data lead to unequal outcomes, reduced benefits, increased effort, and alienation of users.	Accuracy and effectiveness of AI decisions and actions is dependent on group membership, where decisions in AI system design and biased training data lead to unequal outcomes, reduced benefits, increased effort, and alienation of users.	yes	exact_match_after_normalization	2026-06-07T09:06:39Z	2026-06-08T11:03:05Z	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx
