frontier_priority_rank_now	category_code	category_label	review_priority	frontier_bucket_now	seed_case_count	sample_case_review_count_now	language_review_case_count_now	framework_anchor_profile_now	claim_ceiling_bucket_now	review_owner_now	minimum_stronger_source_needed_now	next_smallest_publishability_move_now	frontier_priority_reason_now	observatory_hook
1	public_sector_misuse_or_gap	Public-sector misuse or evidence gap	High	public_authority_document_needed	8	4	1	nist+oecd	mixed_authority_context_insufficient	Lawyer/regulator/source-authority review	procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement	procurement file or register entry; DPIA/FRIA-equivalent or project specification; official deployment statement; technical audit or official correction outside regulated-finance enforcement	One public-authority companion can strengthen dashboard, public-sector, and legal-basis prose at once.	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison
2	surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	High	public_authority_document_needed	4	4	1	oecd	authority_led_but_context_insufficient	Lawyer/regulator review	underlying notice/reprimand text, legal basis, technical specification, or official audit/procurement document	procurement file or register entry; DPIA/FRIA-equivalent or project specification; official deployment statement; technical audit or official correction outside regulated-finance enforcement	One public-authority companion or one stronger legality-document surface can strengthen dashboard, public-sector, and legal-basis prose at once without flattening the French CNIL warning-page sidecar into deployment or sanction depth.	Fundamental-rights review queue, public-authority map, and disclosure-comparison companion table
3	ai_washing_or_false_ai_claim	AI washing or false AI claim	Medium	public_authority_document_needed	6	4	0	oecd	mixed_authority_context_insufficient	Lawyer/procurement review	non-finance procurement challenge, contract text, technical audit, official correction, regulator document, or later public disposition	procurement file or register entry; DPIA/FRIA-equivalent or project specification; official deployment statement; technical audit or official correction outside regulated-finance enforcement	One public-authority companion can strengthen dashboard, public-sector, and legal-basis prose at once.	AI-washing typology for procurement and market-facing visuals
4	education_workplace_or_hr	Education, workplace, or HR	High	document_grade_legal_authority_needed	6	4	1	unesco	mixed_authority_context_insufficient	Lawyer/regulator review	court complaint/decree, school/employer policy, official redress record, or regulator notice text	court complaint/decree or regulator notice text; police/court/platform authority source; forensics/contract record tying the public event to a legal process; institutional correction notice from a second document-grade family	Document-grade court/order/decree text is the cleanest route to narrow actor role and procedural status.	Employment/education decision-flow matrix
5	unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	High	document_grade_legal_authority_needed	5	4	1	unesco	mixed_authority_context_insufficient	Lawyer/source-authority review	court complaint/decree, regulator notice text, police/court/platform authority source, or forensics/contract record tying the public event to a legal process	court complaint/decree or regulator notice text; police/court/platform authority source; forensics/contract record tying the public event to a legal process; institutional correction notice from a second document-grade family	Document-grade court/order/decree text is the cleanest route to narrow actor role and procedural status.	Legal-risk heatmap by category and evidence tier
6	legal_procedural_contamination	Legal/procedural contamination	High	document_grade_legal_authority_needed	3	3	2	nist+oecd	mixed_authority_context_insufficient	Lawyer/institutional-process review	court filing/order, institutional correction notice, or official process-integrity statement from a second document-grade family	court complaint/decree or regulator notice text; police/court/platform authority source; forensics/contract record tying the public event to a legal process; institutional correction notice from a second document-grade family	Document-grade court/order/decree text is the cleanest route to narrow actor role and procedural status.	Process-contamination typology for justice/admin case tables
7	deepfake_or_synthetic_identity	Deepfake or synthetic identity	High	document_grade_legal_authority_needed	3	2	1	eu_ai_act+oecd	direct_legal_anchor_but_case_applicability_unresolved	Lawyer/source-authority review	authoritative police/court/platform source, election-authority notice, securities/consumer record, or forensics/contract record tying provenance to a legal process	court complaint/decree or regulator notice text; police/court/platform authority source; forensics/contract record tying the public event to a legal process; institutional correction notice from a second document-grade family	Document-grade court/order/decree text is the cleanest route to narrow actor role and procedural status.	Synthetic-identity topology linking media, provenance evidence, and harm types
8	agentic_control_failure	Agentic control failure	High	stronger_authority_or_postmortem_needed	10	4	0	nist	mixed_authority_context_insufficient	Technical + legal review	deployment-context incident report, architectural postmortem, formal vendor bulletin keyed to the exact failing control path, or reproducible public test	provider/deployer incident report or formal vendor bulletin keyed to the exact CVE; deployment-context incident report or architectural postmortem; transaction-specific technical audit or formal consumer/securities disposition	The category is seeded but still needs provider/deployer postmortem or stronger authority depth before sharper legal prose.	Agentic-control matrix linking case type to oversight evidence needs
9	security_risk	Security risk	High	stronger_authority_or_postmortem_needed	10	4	0	nist	mixed_authority_context_insufficient	Technical + legal review	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	provider/deployer incident report or formal vendor bulletin keyed to the exact CVE; deployment-context incident report or architectural postmortem; transaction-specific technical audit or formal consumer/securities disposition	The category is seeded but still needs provider/deployer postmortem or stronger authority depth before sharper legal prose.	Security-to-governance edge list for graph/table views
10	normative_or_moral_outlier	Normative or moral outlier	Medium	stronger_authority_or_postmortem_needed	5	4	3	oecd	mixed_authority_context_insufficient	Mixed human review	stronger regulator/court/institutional record or explicit governance/postmortem document that narrows framework fit	provider/deployer incident report or formal vendor bulletin keyed to the exact CVE; deployment-context incident report or architectural postmortem; transaction-specific technical audit or formal consumer/securities disposition	The category is seeded but still needs provider/deployer postmortem or stronger authority depth before sharper legal prose.	Normative-anomaly gallery with explicit uncertainty coding
11	finance_insurance_or_market	Finance, insurance, or market	Medium	stronger_authority_or_postmortem_needed	2	2	0	oecd	authority_led_but_context_insufficient	Lawyer/source-authority review; Lawyer/procurement review	court/regulator record, formal consumer/securities disposition, provider/deployer postmortem, or transaction-specific technical audit	provider/deployer incident report or formal vendor bulletin keyed to the exact CVE; deployment-context incident report or architectural postmortem; transaction-specific technical audit or formal consumer/securities disposition	The category is seeded but still needs provider/deployer postmortem or stronger authority depth before sharper legal prose.	Sectoral harm matrix across finance/insurance/market records
12	research_integrity	Research integrity	Medium	stronger_authority_or_postmortem_needed	0	1	0	unesco	zero_seed_but_locally_non_empty_shadow_package	Mixed human review	publisher/institutional correction or retraction notice, investigation record, dataset/version provenance package, formal postmortem, or application of the bounded seed-admission rule to one authority-scored exemplar	apply the explicit bounded seed-admission rule to one authority-scored exemplar (best current candidates: LCPQ-032-006 or LCPQ-032-007); or add an institutional investigation / dataset-provenance / postmortem record	The category remains zero-seed in the legal board even though one archived NEJM direct notice plus two Springer direct notices already make it a real methods/source-depth asset. This cycle changes the blocker from missing admission logic to a narrower choice: apply the new bounded seed-admission rule to one exemplar or bring stronger institutional evidence.	Research-integrity dashboard slice and methods-paper examples
13	institutional_absurdity	Institutional absurdity	Medium	direct_source_capture_needed	3	1	1	unesco	non_authoritative_public_reporting_only	Mixed human review	official institutional response, underlying administrative record, or additional direct-source capture for the unresolved lead	official institutional response, underlying administrative record, or additional direct-source capture for unresolved leads	Direct-source recovery can upgrade interpretability without pretending doctrinal closure.	Public-sector absurdity typology and dashboard filter
14	health_medical_or_mental_health	Health, medical, or mental-health misuse	High	sector_specific_health_law_review	0	0	0	unesco	zero_seed_placeholder	Lawyer/domain-expert review	official safety notice, clinical guidance, court/regulator record, or provider documentation with intended-use detail	official safety notice, clinical guidance, court/regulator record, or provider documentation with intended-use detail	The row stays visible as a zero-seed health-law caution until a first authoritative case lands.	Sector split for health-related LIMEN cases with uncertainty flags
15	residual_unclassified	Residual/unclassified	High	taxonomy_or_framework_review	0	0	0	no_direct_framework_anchor	no_framework_anchor_visible	Mixed human review	taxonomy review memo plus a stronger authoritative source package for the first residual case admitted to the matrix	taxonomy review memo plus a stronger authoritative source package for the first residual case admitted to the matrix	Residual mismatch is a real methods limit and should remain explicit until a first authoritative residual case exists.	Gap queue feeding taxonomy evolution and future figure on framework residuals
