anchor_id	anchor_code	anchor_level	anchor_label	proportion_of_risks_in_ai_risk_database	proportion_of_documents_in_ai_risk_database	workbook_tab_name	workbook_updated_note	source_url	export_url	retrieval_timestamp	language	jurisdiction_scope	source_name	rights_notes	route_notes
MITAIR-D01	1.0	domain	Discrimination & Toxicity	0.14	0.7	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:50:23Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; percentages are taxonomy/distribution metadata, not incident evidence.	Anonymous Google Sheets XLSX export; one bounded statistics tab materialized without implying row-level event equivalence or blanket workbook mirroring.
MITAIR-S1-1	1.1	subdomain	Unfair discrimination and misrepresentation	0.06	0.63	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:50:23Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; percentages are taxonomy/distribution metadata, not incident evidence.	Anonymous Google Sheets XLSX export; one bounded statistics tab materialized without implying row-level event equivalence or blanket workbook mirroring.
MITAIR-S1-2	1.2	subdomain	Exposure to toxic content	0.08	0.33	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:50:23Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; percentages are taxonomy/distribution metadata, not incident evidence.	Anonymous Google Sheets XLSX export; one bounded statistics tab materialized without implying row-level event equivalence or blanket workbook mirroring.
MITAIR-S1-3	1.3	subdomain	Unequal performance across groups	0.01	0.16	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:50:23Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; percentages are taxonomy/distribution metadata, not incident evidence.	Anonymous Google Sheets XLSX export; one bounded statistics tab materialized without implying row-level event equivalence or blanket workbook mirroring.
MITAIR-D02	2.0	domain	Privacy & Security	0.13	0.67	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:50:23Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; percentages are taxonomy/distribution metadata, not incident evidence.	Anonymous Google Sheets XLSX export; one bounded statistics tab materialized without implying row-level event equivalence or blanket workbook mirroring.
MITAIR-S2-1	2.1	subdomain	Compromise of privacy by obtaining, leaking or correctly inferring sensitive information	0.05	0.56	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:50:23Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; percentages are taxonomy/distribution metadata, not incident evidence.	Anonymous Google Sheets XLSX export; one bounded statistics tab materialized without implying row-level event equivalence or blanket workbook mirroring.
MITAIR-S2-2	2.2	subdomain	AI system security vulnerabilities and attacks	0.07	0.34	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:50:23Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; percentages are taxonomy/distribution metadata, not incident evidence.	Anonymous Google Sheets XLSX export; one bounded statistics tab materialized without implying row-level event equivalence or blanket workbook mirroring.
MITAIR-D03	3.0	domain	Misinformation	0.05	0.47	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:50:23Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; percentages are taxonomy/distribution metadata, not incident evidence.	Anonymous Google Sheets XLSX export; one bounded statistics tab materialized without implying row-level event equivalence or blanket workbook mirroring.
MITAIR-S3-1	3.1	subdomain	False or misleading information	0.03	0.37	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:50:23Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; percentages are taxonomy/distribution metadata, not incident evidence.	Anonymous Google Sheets XLSX export; one bounded statistics tab materialized without implying row-level event equivalence or blanket workbook mirroring.
MITAIR-S3-2	3.2	subdomain	Pollution of information ecosystem and loss of consensus reality	0.01	0.16	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:50:23Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; percentages are taxonomy/distribution metadata, not incident evidence.	Anonymous Google Sheets XLSX export; one bounded statistics tab materialized without implying row-level event equivalence or blanket workbook mirroring.
MITAIR-D04	4.0	domain	Malicious actors	0.16	0.73	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:50:23Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; percentages are taxonomy/distribution metadata, not incident evidence.	Anonymous Google Sheets XLSX export; one bounded statistics tab materialized without implying row-level event equivalence or blanket workbook mirroring.
MITAIR-S4-1	4.1	subdomain	Disinformation, surveillance, and influence at scale	0.06	0.51	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:50:23Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; percentages are taxonomy/distribution metadata, not incident evidence.	Anonymous Google Sheets XLSX export; one bounded statistics tab materialized without implying row-level event equivalence or blanket workbook mirroring.
