quote_id	framework_family	source_ref	anchor_scope	anchor_locator	excerpt	quote_type	local_crosswalk_categories	cautious_use_note	paper_use_now	retrieval_or_capture_note	excerpt_sha256
LFQR-001	eu_ai_act	sources/sources.md:LIMEN-S-011	article_title	Article 50	Transparency obligations for providers and deployers of certain AI systems	title	deepfake_or_synthetic_identity	Use as a narrow doctrinal locator only; title text does not resolve case applicability or duty-holder identity.	table footnote / legal-anchor appendix / dashboard tooltip	Live EUR-Lex OJ English HTML checked 2026-06-08 from the public page route already logged in LIMEN-S-011.	ece98d591ea33d4c7c647ac0f7b0ef048499cc1d44e1e5e0d070c2dedcdb3dd4
LFQR-002	eu_ai_act	sources/sources.md:LIMEN-S-011	article_text	Article 50(2)	shall ensure that the outputs of the AI system are marked in a machine-readable format and detectable as artificially generated or manipulated.	sentence_fragment	deepfake_or_synthetic_identity	Supports transparency/provenance anchoring only; do not convert this text into a claim that any sampled case satisfies Article 50 or falls inside a final legal category.	bounded legal-anchor quotation / methods note / claim-support row	Live EUR-Lex OJ English HTML checked 2026-06-08 from the public page route already logged in LIMEN-S-011.	8805130ea3b6d165efd212059d255cc15324116c0814a333e104916faca1f384
LFQR-003	eu_ai_act	sources/sources.md:LIMEN-S-011	recital_or_explanatory_text	deep fake disclosure passage surfaced on EUR-Lex OJ page	should also clearly and distinguishably disclose that the content has been artificially created or manipulated by labelling the AI output accordingly and disclosing its artificial origin.	sentence_fragment	deepfake_or_synthetic_identity; unlawful_or_allegedly_unlawful_use	Useful for bounded transparency-language comparison only; keep recital/explanatory text separate from final case-level applicability or violation claims.	appendix note / reviewer-response boundary clarification	Live EUR-Lex OJ English HTML checked 2026-06-08 from the public page route already logged in LIMEN-S-011.	fc5eac12c7f3a57c5c65d30f9afcac27e3c3b08119d46290465569d03765b5cb
LFQR-004	nist_ai_rmf	sources/sources.md:LIMEN-S-030	function_structure	Executive Summary / Figure 5 sentence in NIST AI 100-1 PDF text extraction	Functions organize AI risk management activities at their highest level to govern, map, measure, and manage AI risks.	sentence	security_risk; agentic_control_failure; public_sector_misuse_or_gap; legal_procedural_contamination	Supports governance-function mapping only; it does not supply case-specific legal standards, compliance proof, or duty-holder allocation.	framework appendix / route-justification footnote / dashboard legend	Public NIST PDF downloaded and converted with pdftotext on 2026-06-08 from the route already logged in LIMEN-S-030.	7487ebc1f1ef1776202d97d8eb0e98d3e01d0027a953363389efb181afd877d6
LFQR-005	nist_ai_rmf	sources/sources.md:LIMEN-S-030	trustworthiness_characteristics	Table-of-contents style trustworthiness list in NIST AI 100-1 PDF text extraction	3.1 Valid and Reliable 3.2 Safe 3.3 Secure and Resilient 3.4 Accountable and Transparent	heading_list_fragment	security_risk; agentic_control_failure; public_sector_misuse_or_gap; legal_procedural_contamination	Use as a bounded vocabulary anchor for LIMEN governance language, not as proof that any specific system met or failed those characteristics.	glossary / framework-family panel / tooltip text	Public NIST PDF downloaded and converted with pdftotext on 2026-06-08 from the route already logged in LIMEN-S-030.	3282ced267203e9e1c3224f616510651d0b78d2a0f8279d4f3f1d1f026ee20d2
LFQR-006	oecd_ai_principles	sources/sources.md:LIMEN-S-031	principle_heading	OECD AI Principles overview card heading	Transparency and explainability	heading	public_sector_misuse_or_gap; deepfake_or_synthetic_identity; ai_washing_or_false_ai_claim; surveillance_biometrics_or_policing; finance_insurance_or_market; normative_or_moral_outlier; legal_procedural_contamination	Heading-level anchor only from the overview page; use to justify bounded terminology, not to infer case-specific legality or compliance.	framework-family legend / ethics-policy appendix / dashboard filter label	Live OECD AI Principles overview HTML checked 2026-06-08 from the public page route already logged in LIMEN-S-031.	4fdc913eea03481fc98779d68daf7b90bb2ebf8af578352305b8991b9996a786
LFQR-007	oecd_ai_principles	sources/sources.md:LIMEN-S-031	principle_heading	OECD AI Principles overview card heading	Robustness, security and safety	heading	security_risk; agentic_control_failure; public_sector_misuse_or_gap; surveillance_biometrics_or_policing; finance_insurance_or_market; normative_or_moral_outlier	Heading-level anchor only from the overview page; useful for consistent policy vocabulary but not for incident-threshold or liability claims.	framework-family legend / security-governance bridge panel	Live OECD AI Principles overview HTML checked 2026-06-08 from the public page route already logged in LIMEN-S-031.	0f20d9d2cbc7315ccd94c17032a7536d81e2f160d610b85252b8735868473342
LFQR-008	unesco_recommendation	sources/sources.md:LIMEN-S-040	principle_heading_plus_sentence	UNESCO Recommendation paragraph 28 heading and first sentence	AI actors should promote social justice and safeguard fairness and non-discrimination of any kind in compliance with international law.	sentence	education_workplace_or_hr; unlawful_or_allegedly_unlawful_use; health_medical_or_mental_health; institutional_absurdity; research_integrity	Supports ethics-language anchoring only; do not translate this principle text into a final discrimination or legality finding for any sampled case.	ethics appendix / methods caveat / table note	Live UNESCO legal-instrument HTML checked 2026-06-08 from the public page route already logged in LIMEN-S-040.	3d6c29b4164a88dcca0df50c882fbc134ce3b140b07ae9d0c51dafb45ed58793
LFQR-009	unesco_recommendation	sources/sources.md:LIMEN-S-040	principle_heading_plus_sentence	UNESCO Recommendation paragraph 37 heading and first sentence	The transparency and explainability of AI systems are often essential preconditions to ensure the respect, protection and promotion of human rights, fundamental freedoms and ethical principles.	sentence	education_workplace_or_hr; unlawful_or_allegedly_unlawful_use; health_medical_or_mental_health; institutional_absurdity; research_integrity	Supports explanatory ethics/governance framing only; it does not resolve actor role, legal basis, or AI Act applicability in any row.	ethics appendix / legal-uncertainty note / dashboard tooltip	Live UNESCO legal-instrument HTML checked 2026-06-08 from the public page route already logged in LIMEN-S-040.	1d5069cbee8d750f65c8cc9d91f17686a4e42c28a8d3a5b541adf1c3d61b9453
LFQR-010	iso_42001_overview	sources/sources.md:LIMEN-S-048	standard_overview_definition	ISO overview local HTML capture FAQ text	ISO/IEC 42001 specifies the requirements and provides guidance for establishing, implementing, maintaining and continually improving an AI management system within the context of an organization.	sentence	all_rows_management_system_bridge	Overview-level management-system bridge only; do not use this overview text as evidence of certification, compliance, or case-specific control implementation.	management-system caveat / appendix footnote / dashboard legend	Local HTML capture path and hash already logged in LIMEN-S-048; snippet re-read locally on 2026-06-08.	b915bef597928df7f1ebbcbcaa18f2b55266707fbea058d54598d8547f344a20
