category_code	category_label	review_priority_now	category_case_rows	unique_sampled_case_refs	document_grade_rows	partial_document_grade_rows	official_companion_rows	summary_only_rows	no_local_authority_rows	highest_depth_available_now	frontier_interpretation_now	example_case_refs_now	dominant_review_queues_now	observatory_hook_now	updated_at
agentic_control_failure	Agentic control failure	High	4	4	0	0	0	4	0	summary_only	Sampled rows now all carry direct public vulnerability/advisory text, but the category still lacks provider/deployer postmortem or deployment-context depth needed for sharper legal prose.	data/cases/security-agentic-candidates.jsonl:LIMEN-000001; data/cases/security-agentic-candidates.jsonl:LIMEN-000002; data/cases/security-agentic-candidates.jsonl:LIMEN-000003; data/cases/security-agentic-candidates.jsonl:LIMEN-000012	LQ-006	Agentic-control matrix linking case type to oversight evidence needs	2026-06-08T17:51:42Z
ai_washing_or_false_ai_claim	AI washing or false AI claim	Medium	4	4	3	1	0	0	0	document_grade_present	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	data/cases/authoritative-candidates.jsonl:LIMEN-000005; data/cases/authoritative-candidates.jsonl:LIMEN-000006; data/cases/authoritative-candidates.jsonl:LIMEN-000010	LQ-008; LQ-009	AI-washing typology for procurement and market-facing visuals	2026-06-08T12:57:42+02:00
deepfake_or_synthetic_identity	Deepfake or synthetic identity	High	2	2	1	0	0	0	1	document_grade_present	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	data/cases/authoritative-candidates.jsonl:LIMEN-000008; data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	LQ-005	Synthetic-identity topology linking media, provenance evidence, and harm types	2026-06-08T12:57:42+02:00
education_workplace_or_hr	Education, workplace, or HR	High	4	4	2	0	0	2	0	document_grade_present	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	data/cases/authoritative-candidates.jsonl:LIMEN-000003; data/cases/authoritative-candidates.jsonl:LIMEN-000002; data/cases/authoritative-candidates.jsonl:LIMEN-000011	LQ-004	Employment/education decision-flow matrix	2026-06-08T12:57:42+02:00
finance_insurance_or_market	Finance, insurance, or market	Medium	2	2	2	0	0	0	0	document_grade_present	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	data/cases/authoritative-candidates.jsonl:LIMEN-000006; data/cases/authoritative-candidates.jsonl:LIMEN-000007	LQ-005; LQ-008	Sectoral harm matrix across finance/insurance/market records	2026-06-08T12:57:42+02:00
institutional_absurdity	Institutional absurdity	Medium	1	1	0	0	0	0	1	no_local_authority_refs	Current sampled rows still lack local authoritative document depth; stronger legal prose would require one authoritative public record or official companion surface.	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	LQ-001; LQ-004; LQ-009	Public-sector absurdity typology and dashboard filter	2026-06-08T12:57:42+02:00
legal_procedural_contamination	Legal/procedural contamination	High	3	3	2	0	0	0	1	document_grade_present	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	data/cases/authoritative-candidates.jsonl:LIMEN-000001; data/cases/authoritative-candidates.jsonl:LIMEN-000010; data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	LQ-007	Process-contamination typology for justice/admin case tables	2026-06-08T12:57:42+02:00
normative_or_moral_outlier	Normative or moral outlier	Medium	4	4	2	0	1	0	1	document_grade_present	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	data/cases/authoritative-candidates.jsonl:LIMEN-000001; data/cases/authoritative-candidates.jsonl:LIMEN-000004; data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	LQ-009	Normative-anomaly gallery with explicit uncertainty coding	2026-06-08T12:57:42+02:00
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	High	4	4	3	0	0	1	0	document_grade_present	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	data/cases/authoritative-candidates.jsonl:LIMEN-000003; data/cases/authoritative-candidates.jsonl:LIMEN-000004; data/cases/authoritative-candidates.jsonl:LIMEN-000008	LQ-001; LQ-002	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison	2026-06-08T12:57:42+02:00
security_risk	Security risk	High	4	4	0	0	0	4	0	summary_only	Sampled rows now all carry direct public vulnerability/advisory text, but the category still lacks provider/deployer postmortem or deployment-context depth needed for sharper legal prose.	data/cases/security-agentic-candidates.jsonl:LIMEN-000001; data/cases/security-agentic-candidates.jsonl:LIMEN-000002; data/cases/security-agentic-candidates.jsonl:LIMEN-000003; data/cases/security-agentic-candidates.jsonl:LIMEN-000012	LQ-006	Security-to-governance edge list for graph/table views	2026-06-08T17:51:42Z
surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	High	4	4	2	0	1	1	0	document_grade_present	At least one sampled case already has direct public document text, but the category now also carries one bounded French CNIL warning-page legality sidecar that should remain separate from document-grade and official-companion depths.	data/cases/authoritative-candidates.jsonl:LIMEN-000003; data/cases/authoritative-candidates.jsonl:LIMEN-000004; data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004; data/cases/authoritative-candidates.jsonl:LIMEN-000015	LQ-002	Fundamental-rights review queue, public-authority map, and disclosure-comparison companion table	2026-06-08T19:20:16Z
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	High	4	4	1	1	0	1	1	document_grade_present	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	data/cases/authoritative-candidates.jsonl:LIMEN-000005; data/cases/authoritative-candidates.jsonl:LIMEN-000002; data/cases/authoritative-candidates.jsonl:LIMEN-000008	LQ-005; LQ-008	Legal-risk heatmap by category and evidence tier	2026-06-08T12:57:42+02:00
