category_code	category_label	seed_case_count	local_support_profile	local_authoritative_seed_count	local_non_authoritative_seed_count	eu_ai_act_anchor_status	nist_ai_rmf_functions	iso_42001_management_evidence	oecd_unesco_ethics_concepts	framework_anchor_refs_now	framework_anchor_depth_now	strongest_local_support_surface	next_stronger_source_needed	observatory_hook
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	5	mixed_tier_authority_led	3	2	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	govern; map; measure; manage	incident intake and escalation procedure; role allocation; documented legal/regulatory review gate; evidence retention and traceability direct official ISO/IEC 42001 overview anchor now recorded via sources/sources.md:LIMEN-S-048 for AIMS scope, requirements, and continual-improvement framing; row-level fit remains interpretive.	accountability; rule of law; human rights; responsibility; direct official UNESCO Recommendation anchor now recorded via sources/sources.md:LIMEN-S-040 for human rights, rule of law, accountability, and transparency/explainability concepts; row fit remains interpretive	sources/sources.md:LIMEN-S-040	direct_official_unesco_recommendation_text_anchor	EEOC lawsuit/settlement package, DOJ charging-stage Nate package with captured indictment PDF, FCC Lingo Telecom allegation/disposition package, plus two multilingual fraud/deepfake leads	court complaint/decree text, police or election-authority notice, or platform/police enforcement rationale that narrows actor role and legal threshold	Legal-risk heatmap by category and evidence tier
security_risk	Security risk	10	mixed_tier_authority_led	9	1	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	govern; map; measure; manage; direct official NIST AI RMF 1.0 anchor now recorded in LIMEN-S-030 for Govern/Map/Measure/Manage and trustworthiness characteristics relevant to bounded governance interpretation	risk register; secure development/change control evidence; incident response record; supplier/control traceability direct official ISO/IEC 42001 overview anchor now recorded via sources/sources.md:LIMEN-S-048 for AIMS scope, requirements, and continual-improvement framing; row-level fit remains interpretive.	robustness; safety; security; accountability	sources/sources.md:LIMEN-S-030	nist_direct_only	Ten CVE/advisory-linked rows now span 3 direct vendor-advisory rows (Auto-GPT, Claude Code, LangChain `CVE-2026-44843`), 2 CERT/CC-coordination-plus-release-note rows (CrewAI), 2 independent-lab public-advisory rows (LangChain `CVE-2023-29374`; LlamaIndex `CVE-2024-3271`), 1 repo-issue-only row (Langflow), 1 GitHub security-advisory identity-boundary row (PraisonAI), and 1 NVD-plus-release-note MCP trust-boundary row (Playwright MCP `CVE-2025-9611`).	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	Security-to-governance edge list for graph/table views
agentic_control_failure	Agentic control failure	10	mixed_tier_authority_led	9	1	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	govern; map; measure; manage; direct official NIST AI RMF 1.0 anchor now recorded in LIMEN-S-030 for Govern/Map/Measure/Manage and trustworthiness characteristics relevant to bounded governance interpretation	defined human oversight controls; tool authorization boundaries; logging and rollback evidence; corrective-action workflow direct official ISO/IEC 42001 overview anchor now recorded via sources/sources.md:LIMEN-S-048 for AIMS scope, requirements, and continual-improvement framing; row-level fit remains interpretive.	accountability; safety; human oversight; contestability	sources/sources.md:LIMEN-S-030	nist_direct_only	Ten CVE/advisory-linked rows now span approval-bypass, local-file-read, SSRF, prompt-injection-to-code-execution, command-injection, memory/state contamination, identity/authorization-boundary abuse, and one MCP/browser-control trust-boundary row with mixed vendor, coordination, independent-lab, repo-issue, GitHub-security-advisory, and NVD-plus-release-note notice depth.	deployment-context incident report, architectural postmortem, or provider/deployer documentation of the failing control path	Agentic-control matrix linking case type to oversight evidence needs
institutional_absurdity	Institutional absurdity	3	candidate_only_public_reporting	0	3	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	govern; map; manage	decision-rights record; procurement/governance rationale; escalation and redress path; documentation of human review direct official ISO/IEC 42001 overview anchor now recorded via sources/sources.md:LIMEN-S-048 for AIMS scope, requirements, and continual-improvement framing; row-level fit remains interpretive.	fairness; accountability; human-centered values; proportionality; direct official UNESCO Recommendation anchor now recorded via sources/sources.md:LIMEN-S-040 for human dignity, human oversight, accountability, and proportionality/do-no-harm concepts; row fit remains interpretive	sources/sources.md:LIMEN-S-040	direct_official_unesco_recommendation_text_anchor	one direct-source-resolved Finnish public-broadcaster row plus two unresolved non-English public-reporting leads	official institutional response, underlying administrative record, or additional direct-source capture for the unresolved leads	Public-sector absurdity typology and dashboard filter
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	8	mixed_tier_authority_led	5	3	no direct local AI Act primary-text anchor verified in this lane package; public-authority routing remains conceptually relevant but still needs primary-text anchoring	govern; map; manage; direct official NIST AI RMF 1.0 anchor now recorded in LIMEN-S-030 for Govern/Map/Measure/Manage and trustworthiness characteristics relevant to bounded governance interpretation	public documentation inventory; procurement traceability; impact-assessment existence check; record-retention evidence direct official ISO/IEC 42001 overview anchor now recorded via sources/sources.md:LIMEN-S-048 for AIMS scope, requirements, and continual-improvement framing; row-level fit remains interpretive.	transparency; accountability; democratic participation; human rights; direct official OECD AI Principles anchor now recorded in LIMEN-S-031 for transparency/explainability, accountability, fairness/privacy, and robustness/security/safety as interpretive policy concepts	sources/sources.md:LIMEN-S-030; sources/sources.md:LIMEN-S-031	nist_direct_plus_oecd_direct_policy_anchor	Two ICO regulator-record packages, one FCC Lingo Telecom election-protection enforcement/disposition package, one Danish Datatilsynet public-authority opinion page, one direct official Slovenian police project page, and three weaker public-reporting leads	procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement that narrows public-authority role and legal basis	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison
deepfake_or_synthetic_identity	Deepfake or synthetic identity	3	mixed_tier_authority_led	1	2	direct_primary_anchor_verified_for_Article_50_2_and_50_4_via_EUR-Lex; case applicability still unresolved	govern; map; measure; manage	content provenance workflow; labeling/disclosure evidence; complaint handling; source integrity and chain-of-custody notes direct official ISO/IEC 42001 overview anchor now recorded via sources/sources.md:LIMEN-S-048 for AIMS scope, requirements, and continual-improvement framing; row-level fit remains interpretive.	authenticity; transparency; dignity; autonomy; direct official OECD AI Principles anchor now recorded in LIMEN-S-031 for transparency/explainability, accountability, fairness/privacy, and robustness/security/safety as interpretive policy concepts	sources/sources.md:LIMEN-S-011; sources/sources.md:LIMEN-S-031	eu_ai_act_direct_plus_oecd_direct_policy_anchor	FCC allegation-to-consent-decree package for Lingo Telecom plus two multilingual title-level Finnish/Lithuanian deepfake or AI-deception leads	authoritative police/court/platform source for the Finnish or Lithuanian leads, election-authority notice, or forensics/contract record tying content provenance to a legal process	Synthetic-identity topology linking media, provenance evidence, and harm types
legal_procedural_contamination	Legal/procedural contamination	3	mixed_tier_authority_led	2	1	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	govern; map; measure; manage; direct official NIST AI RMF 1.0 anchor now recorded in LIMEN-S-030 for Govern/Map/Measure/Manage and trustworthiness characteristics relevant to bounded governance interpretation	documented review workflow; approval checkpoints; record correction procedure; provenance of generated text direct official ISO/IEC 42001 overview anchor now recorded via sources/sources.md:LIMEN-S-048 for AIMS scope, requirements, and continual-improvement framing; row-level fit remains interpretive.	fairness; accountability; due process; reliability; direct official OECD AI Principles anchor now recorded in LIMEN-S-031 for transparency/explainability, accountability, fairness/privacy, and robustness/security/safety as interpretive policy concepts	sources/sources.md:LIMEN-S-030; sources/sources.md:LIMEN-S-031	nist_direct_plus_oecd_direct_policy_anchor	Italian DPA regulator order text, FTC complaint-plus-final-order DoNotPay package, and one direct-source-resolved Finnish public-broadcaster extraction	court filing/order, institutional correction notice, or official Finnish police/court process-integrity statement for a second document-grade family	Process-contamination typology for justice/admin case tables
health_medical_or_mental_health	Health, medical, or mental-health misuse	0	zero_seed_placeholder	0	0	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	govern; map; measure; manage	intended-use documentation; clinical/governance review evidence; human escalation path; adverse-event handling direct official ISO/IEC 42001 overview anchor now recorded via sources/sources.md:LIMEN-S-048 for AIMS scope, requirements, and continual-improvement framing; row-level fit remains interpretive.	safety; do-no-harm; privacy; human rights; direct official UNESCO Recommendation anchor now recorded via sources/sources.md:LIMEN-S-040 for proportionality/do-no-harm, safety, privacy, and human-oversight concepts; row fit remains interpretive	sources/sources.md:LIMEN-S-040	direct_official_unesco_recommendation_text_anchor	no seeded cases yet	official safety notice, clinical guidance, court/regulator record, or provider documentation with intended-use detail	Sector split for health-related LIMEN cases with uncertainty flags
education_workplace_or_hr	Education, workplace, or HR	6	mixed_tier_authority_led	5	1	no direct local AI Act primary-text anchor verified in this lane package; current support is authoritative enforcement-source-led	govern; map; measure; manage	impact/risk review record; contestation or appeal process; data-quality and oversight evidence direct official ISO/IEC 42001 overview anchor now recorded via sources/sources.md:LIMEN-S-048 for AIMS scope, requirements, and continual-improvement framing; row-level fit remains interpretive.	fairness; non-discrimination; accountability; transparency; direct official UNESCO Recommendation anchor now recorded via sources/sources.md:LIMEN-S-040 for fairness/non-discrimination, accountability, transparency/explainability, and human-oversight concepts; row fit remains interpretive	sources/sources.md:LIMEN-S-040	direct_official_unesco_recommendation_text_anchor	One EEOC agency-to-court progression package, two ICO regulator-record packages, one FTC final-order/complaint detector-claims package, one Danish Datatilsynet public-authority opinion page, and one Estonian title-level lead	court complaint/decree, school/employer policy, official redress record, or regulator notice text	Employment/education decision-flow matrix
finance_insurance_or_market	Finance, insurance, or market	2	authority_only_seeded	2	0	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	govern; map; measure; manage	decision traceability; control testing; complaint and remediation workflow; third-party model governance direct official ISO/IEC 42001 overview anchor now recorded via sources/sources.md:LIMEN-S-048 for AIMS scope, requirements, and continual-improvement framing; row-level fit remains interpretive.	fairness; consumer protection; accountability; transparency; direct official OECD AI Principles anchor now recorded in LIMEN-S-031 for transparency/explainability, accountability, fairness/privacy, and robustness/security/safety as interpretive policy concepts	sources/sources.md:LIMEN-S-031	oecd_direct_policy_anchor_only	two SEC settlement/order packages with direct findings about AI-related marketing claims	consumer-complaint record, contract/prospectus text, or non-SEC sectoral comparator before generalizing beyond regulated finance	Sectoral harm matrix across finance/insurance/market records
