category_code	category_label	review_priority	seed_case_count	framework_anchor_profile_now	claim_ceiling_bucket_now	manuscript_safe_claim_now	hostile_reviewer_blocker_now	minimum_stronger_source_needed_now	primary_review_route_now	linked_review_queue_ids	observatory_hook	paper_use_hint	canonical_crosswalk_row_ref	provenance_basis	updated_at
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	High	5	unesco	mixed_authority_context_insufficient	The matrix can state that unlawful or allegedly unlawful use has a mixed but authority-led public evidence package in LIMEN and maps to governance/framework concepts, while case-specific legal conclusions remain out of scope on the current record.	Current blocker: court complaint/decree text, police or election-authority notice, or platform/police enforcement rationale that narrows actor role and legal threshold. Current caution ceiling: Impossible to conclude illegality or AI Act breach from media allegations alone	court complaint/decree, regulator notice text, police/court/platform authority source, or forensics/contract record tying the public event to a legal process	document_grade_legal_authority_needed	LQ-005; LQ-008	Legal-risk heatmap by category and evidence tier	legal uncertainty matrix / review frontier / dashboard filter	results/crosswalks/legal-normative-crosswalk-v0.1.tsv:unlawful_or_allegedly_unlawful_use	Derived mechanically from the canonical LIMEN legal/normative crosswalk plus the legal review frontier package; no new external retrieval in this cycle.	2026-06-08T05:52:27+02:00
security_risk	Security risk	High	10	nist	mixed_authority_context_insufficient	The matrix can state that security risk has a mixed but authority-led public evidence package in LIMEN and maps to governance/framework concepts, while case-specific legal conclusions remain out of scope on the current record.	Current blocker: provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem. Current caution ceiling: Public evidence often cannot show whether duty-to-report thresholds or formal security obligations were triggered	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	stronger_authority_or_postmortem_needed	LQ-006	Security-to-governance edge list for graph/table views	legal uncertainty matrix / review frontier / dashboard filter	results/crosswalks/legal-normative-crosswalk-v0.1.tsv:security_risk	Derived mechanically from the canonical LIMEN legal/normative crosswalk plus the legal review frontier package; no new external retrieval in this cycle.	2026-06-08T05:52:27+02:00
agentic_control_failure	Agentic control failure	High	10	nist	mixed_authority_context_insufficient	The matrix can state that agentic control failure has a mixed but authority-led public evidence package in LIMEN and maps to governance/framework concepts, while case-specific legal conclusions remain out of scope on the current record.	Current blocker: deployment-context incident report, architectural postmortem, or provider/deployer documentation of the failing control path. Current caution ceiling: Cannot infer non-compliance or defective oversight solely from anecdotal demonstrations	deployment-context incident report, architectural postmortem, formal vendor bulletin keyed to the exact failing control path, or reproducible public test	stronger_authority_or_postmortem_needed	LQ-006	Agentic-control matrix linking case type to oversight evidence needs	legal uncertainty matrix / review frontier / dashboard filter	results/crosswalks/legal-normative-crosswalk-v0.1.tsv:agentic_control_failure	Derived mechanically from the canonical LIMEN legal/normative crosswalk plus the legal review frontier package; no new external retrieval in this cycle.	2026-06-08T05:52:27+02:00
institutional_absurdity	Institutional absurdity	Medium	3	unesco	non_authoritative_public_reporting_only	The matrix can state that public reporting makes institutional absurdity normatively visible in LIMEN, but the current package is still too weak for strong doctrinal or compliance-oriented prose.	Current blocker: official institutional response, underlying administrative record, or additional direct-source capture for the unresolved leads. Current caution ceiling: Often impossible to separate organizational dysfunction from AI-specific legal significance using public evidence alone	official institutional response, underlying administrative record, or additional direct-source capture for the unresolved lead	direct_source_capture_needed	LQ-001; LQ-004; LQ-009	Public-sector absurdity typology and dashboard filter	legal uncertainty matrix / review frontier / dashboard filter	results/crosswalks/legal-normative-crosswalk-v0.1.tsv:institutional_absurdity	Derived mechanically from the canonical LIMEN legal/normative crosswalk plus the legal review frontier package; no new external retrieval in this cycle.	2026-06-08T05:52:27+02:00
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	High	8	nist+oecd	mixed_authority_context_insufficient	The matrix can state that public-sector misuse or evidence gap has a mixed but authority-led public evidence package in LIMEN and maps to governance/framework concepts, while case-specific legal conclusions remain out of scope on the current record.	Current blocker: procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement that narrows public-authority role and legal basis. Current caution ceiling: Public silence or incomplete procurement records cannot by themselves establish hidden prohibited or high-risk use	procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement	public_authority_document_needed	LQ-001; LQ-002	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison	legal uncertainty matrix / review frontier / dashboard filter	results/crosswalks/legal-normative-crosswalk-v0.1.tsv:public_sector_misuse_or_gap	Derived mechanically from the canonical LIMEN legal/normative crosswalk plus the legal review frontier package; no new external retrieval in this cycle.	2026-06-08T05:52:27+02:00
deepfake_or_synthetic_identity	Deepfake or synthetic identity	High	3	eu_ai_act+oecd	direct_legal_anchor_but_case_applicability_unresolved	The matrix can state that deepfake or synthetic identity has a mixed but authority-led public evidence package in LIMEN and maps to governance/framework concepts, while case-specific legal conclusions remain out of scope on the current record.	Current blocker: authoritative police/court/platform source for the Finnish or Lithuanian leads, election-authority notice, or forensics/contract record tying content provenance to a legal process. Current caution ceiling: Legal characterization often depends on context, intent, target, and applicable speech/privacy/fraud law beyond public evidence	authoritative police/court/platform source, election-authority notice, securities/consumer record, or forensics/contract record tying provenance to a legal process	document_grade_legal_authority_needed	LQ-005	Synthetic-identity topology linking media, provenance evidence, and harm types	legal uncertainty matrix / review frontier / dashboard filter	results/crosswalks/legal-normative-crosswalk-v0.1.tsv:deepfake_or_synthetic_identity	Derived mechanically from the canonical LIMEN legal/normative crosswalk plus the legal review frontier package; no new external retrieval in this cycle.	2026-06-08T05:52:27+02:00
legal_procedural_contamination	Legal/procedural contamination	High	3	nist+oecd	mixed_authority_context_insufficient	The matrix can state that legal/procedural contamination has a mixed but authority-led public evidence package in LIMEN and maps to governance/framework concepts, while case-specific legal conclusions remain out of scope on the current record.	Current blocker: court filing/order, institutional correction notice, or official Finnish police/court process-integrity statement for a second document-grade family. Current caution ceiling: Public examples rarely show whether contamination came from user misuse, vendor design, or institutional process failure	court filing/order, institutional correction notice, or official process-integrity statement from a second document-grade family	document_grade_legal_authority_needed	LQ-007	Process-contamination typology for justice/admin case tables	legal uncertainty matrix / review frontier / dashboard filter	results/crosswalks/legal-normative-crosswalk-v0.1.tsv:legal_procedural_contamination	Derived mechanically from the canonical LIMEN legal/normative crosswalk plus the legal review frontier package; no new external retrieval in this cycle.	2026-06-08T05:52:27+02:00
health_medical_or_mental_health	Health, medical, or mental-health misuse	High	0	unesco	zero_seed_placeholder	The matrix can state that health, medical, or mental-health misuse remains a visible framework-relevant category gap in LIMEN, but current local evidence contains no seeded case rows for descriptive or legal inference.	Current blocker: official safety notice, clinical guidance, court/regulator record, or provider documentation with intended-use detail. Current caution ceiling: Impossible to infer certification, standard-of-care breach, or high-risk status from weak public evidence	official safety notice, clinical guidance, court/regulator record, or provider documentation with intended-use detail	sector_specific_health_law_review	LQ-003	Sector split for health-related LIMEN cases with uncertainty flags	legal uncertainty matrix / review frontier / dashboard filter	results/crosswalks/legal-normative-crosswalk-v0.1.tsv:health_medical_or_mental_health	Derived mechanically from the canonical LIMEN legal/normative crosswalk plus the legal review frontier package; no new external retrieval in this cycle.	2026-06-08T05:52:27+02:00
education_workplace_or_hr	Education, workplace, or HR	High	6	unesco	mixed_authority_context_insufficient	The matrix can state that education, workplace, or hr has a mixed but authority-led public evidence package in LIMEN and maps to governance/framework concepts, while case-specific legal conclusions remain out of scope on the current record.	Current blocker: court complaint/decree, school/employer policy, official redress record, or regulator notice text. Current caution ceiling: Public reporting usually lacks sufficient data on model function, decision authority, and comparator treatment	court complaint/decree, school/employer policy, official redress record, or regulator notice text	document_grade_legal_authority_needed	LQ-004	Employment/education decision-flow matrix	legal uncertainty matrix / review frontier / dashboard filter	results/crosswalks/legal-normative-crosswalk-v0.1.tsv:education_workplace_or_hr	Derived mechanically from the canonical LIMEN legal/normative crosswalk plus the legal review frontier package; no new external retrieval in this cycle.	2026-06-08T05:52:27+02:00
finance_insurance_or_market	Finance, insurance, or market	Medium	2	oecd	authority_led_but_context_insufficient	The matrix can state that finance, insurance, or market has authority-backed public examples in LIMEN and maps to governance/framework concepts, but category-level mapping still does not establish case-specific illegality, compliance status, or duty allocation.	Current blocker: consumer-complaint record, contract/prospectus text, or non-SEC sectoral comparator before generalizing beyond regulated finance. Current caution ceiling: Cannot infer regulatory breach, discriminatory effect, or regulated-system scope from anecdotal market stories alone	court/regulator record, formal consumer/securities disposition, provider/deployer postmortem, or transaction-specific technical audit	stronger_authority_or_postmortem_needed	LQ-005; LQ-008	Sectoral harm matrix across finance/insurance/market records	legal uncertainty matrix / review frontier / dashboard filter	results/crosswalks/legal-normative-crosswalk-v0.1.tsv:finance_insurance_or_market	Derived mechanically from the canonical LIMEN legal/normative crosswalk plus the legal review frontier package; no new external retrieval in this cycle.	2026-06-08T05:52:27+02:00
