category_code	category_label	review_priority	framework_anchor_profile_now	framework_anchor_count_now	eu_ai_act_anchor_status	claim_ceiling_bucket_now	sample_case_review_count_now	review_route_rank_now	document_grade_local_text_present_count	authority_summary_only_count	no_local_authority_refs_in_case_board_row_count	direct_legal_anchor_present_now	primary_review_route_now	minimum_stronger_source_needed_now	next_smallest_publishability_move_now	observatory_hook	status_front_door_contract_now	updated_at
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	High	unesco	1	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	mixed_authority_context_insufficient	4	2	1	2	1	no	document_grade_legal_authority_needed	court complaint/decree, regulator notice text, police/court/platform authority source, or forensics/contract record tying the public event to a legal process	court complaint/decree or regulator notice text; police/court/platform authority source; forensics/contract record tying the public event to a legal process; institutional correction notice from a second document-grade family	Legal-risk heatmap by category and evidence tier	results/crosswalks/legal-framework-anchor-pressure-board-v0.1.tsv + results/crosswalks/legal-document-depth-board-v0.1.tsv + results/crosswalks/legal-case-review-board-v0.1.tsv	2026-06-08T06:00:45Z
security_risk	Security risk	High	nist	1	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	mixed_authority_context_insufficient	4	1	0	3	1	no	stronger_authority_or_postmortem_needed	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	provider/deployer incident report or formal vendor bulletin keyed to the exact CVE; deployment-context incident report or architectural postmortem; transaction-specific technical audit or formal consumer/securities disposition	Security-to-governance edge list for graph/table views	results/crosswalks/legal-framework-anchor-pressure-board-v0.1.tsv + results/crosswalks/legal-document-depth-board-v0.1.tsv + results/crosswalks/legal-case-review-board-v0.1.tsv	2026-06-08T12:53:33Z
agentic_control_failure	Agentic control failure	High	nist	1	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	mixed_authority_context_insufficient	4	1	0	3	1	no	stronger_authority_or_postmortem_needed	deployment-context incident report, architectural postmortem, formal vendor bulletin keyed to the exact failing control path, or reproducible public test	provider/deployer incident report or formal vendor bulletin keyed to the exact CVE; deployment-context incident report or architectural postmortem; transaction-specific technical audit or formal consumer/securities disposition	Agentic-control matrix linking case type to oversight evidence needs	results/crosswalks/legal-framework-anchor-pressure-board-v0.1.tsv + results/crosswalks/legal-document-depth-board-v0.1.tsv + results/crosswalks/legal-case-review-board-v0.1.tsv	2026-06-08T12:53:33Z
institutional_absurdity	Institutional absurdity	Medium	unesco	1	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	non_authoritative_public_reporting_only	1	4	0	0	1	no	direct_source_capture_needed	official institutional response, underlying administrative record, phenomenon-specific Finnish police/court/ombudsman/ministry companion, or additional direct-source capture for unresolved leads	official institutional response, underlying administrative record, or additional direct-source capture for unresolved leads, while keeping the Finland row at mixed broadcaster-plus-indirect-official-context depth rather than broadcaster-only shorthand	Public-sector absurdity typology and dashboard filter	results/crosswalks/legal-framework-anchor-pressure-board-v0.1.tsv + results/crosswalks/legal-document-depth-board-v0.1.tsv + results/crosswalks/legal-case-review-board-v0.1.tsv	2026-06-08T14:08:00Z
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	High	nist+oecd	2	no direct local AI Act primary-text anchor verified in this lane package; public-authority routing remains conceptually relevant but still needs primary-text anchoring	mixed_authority_context_insufficient	4	3	2	2	0	no	public_authority_document_needed	procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement beyond the current Denmark/ORION sidecars	procurement file or register entry; DPIA/FRIA-equivalent or project specification; official deployment statement; technical audit or official correction outside regulated-finance enforcement, with ORION and Denmark already kept at police-plus-CORDIS-plus-partner and regulator-plus-legal-basis-plus-official-planning depth	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison	results/crosswalks/legal-framework-anchor-pressure-board-v0.1.tsv + results/crosswalks/legal-document-depth-board-v0.1.tsv + results/crosswalks/legal-case-review-board-v0.1.tsv	2026-06-08T14:08:00Z
deepfake_or_synthetic_identity	Deepfake or synthetic identity	High	eu_ai_act+oecd	2	direct_primary_anchor_verified_for_Article_50_2_and_50_4_via_EUR-Lex; case applicability still unresolved	direct_legal_anchor_but_case_applicability_unresolved	2	2	0	1	1	yes	document_grade_legal_authority_needed	authoritative police/court/platform source, election-authority notice, securities/consumer record, or forensics/contract record tying provenance to a legal process	court complaint/decree or regulator notice text; police/court/platform authority source; forensics/contract record tying the public event to a legal process; institutional correction notice from a second document-grade family	Synthetic-identity topology linking media, provenance evidence, and harm types	results/crosswalks/legal-framework-anchor-pressure-board-v0.1.tsv + results/crosswalks/legal-document-depth-board-v0.1.tsv + results/crosswalks/legal-case-review-board-v0.1.tsv	2026-06-08T06:00:45Z
legal_procedural_contamination	Legal/procedural contamination	High	nist+oecd	2	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	mixed_authority_context_insufficient	3	2	1	1	1	no	document_grade_legal_authority_needed	court filing/order, institutional correction notice, or official process-integrity statement from a second document-grade family	court complaint/decree or regulator notice text; police/court/platform authority source; forensics/contract record tying the public event to a legal process; institutional correction notice from a second document-grade family	Process-contamination typology for justice/admin case tables	results/crosswalks/legal-framework-anchor-pressure-board-v0.1.tsv + results/crosswalks/legal-document-depth-board-v0.1.tsv + results/crosswalks/legal-case-review-board-v0.1.tsv	2026-06-08T06:00:45Z
health_medical_or_mental_health	Health, medical, or mental-health misuse	High	unesco	1	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	zero_seed_placeholder	0	5	0	0	0	no	sector_specific_health_law_review	official safety notice, clinical guidance, court/regulator record, or provider documentation with intended-use detail	official safety notice, clinical guidance, court/regulator record, or provider documentation with intended-use detail	Sector split for health-related LIMEN cases with uncertainty flags	results/crosswalks/legal-framework-anchor-pressure-board-v0.1.tsv + results/crosswalks/legal-document-depth-board-v0.1.tsv + results/crosswalks/legal-case-review-board-v0.1.tsv	2026-06-08T06:00:45Z
education_workplace_or_hr	Education, workplace, or HR	High	unesco	1	no direct local AI Act primary-text anchor verified in this lane package; current support is authoritative enforcement-source-led	mixed_authority_context_insufficient	4	2	1	3	0	no	document_grade_legal_authority_needed	court complaint/decree, school/employer policy, official redress record, regulator notice text, or later operational/DPIA/procurement/evaluation evidence for the Danish AI-SU row	court complaint/decree or regulator notice text; police/court/platform authority source; forensics/contract record tying the public event to a legal process; institutional correction notice from a second document-grade family, while preserving the Danish regulator-plus-legal-basis-plus-official-planning sidecar	Employment/education decision-flow matrix	results/crosswalks/legal-framework-anchor-pressure-board-v0.1.tsv + results/crosswalks/legal-document-depth-board-v0.1.tsv + results/crosswalks/legal-case-review-board-v0.1.tsv	2026-06-08T14:08:00Z
finance_insurance_or_market	Finance, insurance, or market	Medium	oecd	1	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	authority_led_but_context_insufficient	2	1	2	0	0	no	stronger_authority_or_postmortem_needed	court/regulator record, formal consumer/securities disposition, provider/deployer postmortem, or transaction-specific technical audit	provider/deployer incident report or formal vendor bulletin keyed to the exact CVE; deployment-context incident report or architectural postmortem; transaction-specific technical audit or formal consumer/securities disposition	Sectoral harm matrix across finance/insurance/market records	results/crosswalks/legal-framework-anchor-pressure-board-v0.1.tsv + results/crosswalks/legal-document-depth-board-v0.1.tsv + results/crosswalks/legal-case-review-board-v0.1.tsv	2026-06-08T06:00:45Z
surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	High	oecd	1	no direct local AI Act primary-text anchor verified in this lane package; local support is authoritative regulator-action led and should route to later legal-text anchoring	authority_led_but_context_insufficient	4	3	2	1	1	no	public_authority_document_needed	underlying notice/reprimand text, legal basis, technical specification, or official audit/procurement document beyond the current ORION police-plus-CORDIS-plus-partner chain and CNIL warning-page legality sidecar	procurement file or register entry; DPIA/FRIA-equivalent or project specification; official deployment statement; technical audit or official correction outside regulated-finance enforcement, with ORION preserved above police-only shorthand and the CNIL row preserved below deployment proof	Fundamental-rights review queue, public-authority map, and disclosure-comparison companion table	results/crosswalks/legal-framework-anchor-pressure-board-v0.1.tsv + results/crosswalks/legal-document-depth-board-v0.1.tsv + results/crosswalks/legal-case-review-board-v0.1.tsv	2026-06-08T19:20:16Z
research_integrity	Research integrity	Medium	unesco	1	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	zero_seed_but_locally_non_empty_shadow_package	1	1	0	0	0	no	stronger_authority_or_postmortem_needed	shared-seed-worthy authority-scored research-integrity row, institutional investigation record, dataset/version provenance package, or formal postmortem	synchronize one bounded direct-notice exemplar into the legal front door under an explicit admission rule; or add an institutional investigation / dataset-provenance / postmortem record	Research-integrity dashboard slice and methods-paper examples	results/crosswalks/legal-framework-anchor-pressure-board-v0.1.tsv + results/crosswalks/legal-document-depth-board-v0.1.tsv + results/crosswalks/legal-case-review-board-v0.1.tsv	2026-06-08T19:59:37Z
ai_washing_or_false_ai_claim	AI washing or false AI claim	Medium	oecd	1	no direct local AI Act primary-text anchor verified for this subtype; current support is enforcement-source-led and analogy-limited	mixed_authority_context_insufficient	4	3	2	2	0	no	public_authority_document_needed	non-finance procurement challenge, contract text, technical audit, official correction, regulator document, or later public disposition	procurement file or register entry; DPIA/FRIA-equivalent or project specification; official deployment statement; technical audit or official correction outside regulated-finance enforcement	AI-washing typology for procurement and market-facing visuals	results/crosswalks/legal-framework-anchor-pressure-board-v0.1.tsv + results/crosswalks/legal-document-depth-board-v0.1.tsv + results/crosswalks/legal-case-review-board-v0.1.tsv	2026-06-08T06:00:45Z
