category_code	category_label	review_priority	linked_review_queue_ids	seed_case_count	local_support_profile	local_authoritative_seed_count	local_non_authoritative_seed_count	framework_anchor_depth_now	eu_ai_act_anchor_status	primary_anchor_refs	framework_anchor_refs_now	strongest_local_support_surface	next_stronger_source_needed	review_route	observatory_hook	paper_use_hint
deepfake_or_synthetic_identity	Deepfake or synthetic identity	High	LQ-005	3	mixed_tier_authority_led	1	2	eu_ai_act_direct_plus_oecd_direct_policy_anchor	direct_primary_anchor_verified_for_Article_50_2_and_50_4_via_EUR-Lex; case applicability still unresolved	sources/sources.md:LIMEN-S-011; data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002; LMWCS-20260606-003; sources/sources.md:LIMEN-S-031	sources/sources.md:LIMEN-S-011; sources/sources.md:LIMEN-S-031	FCC allegation-to-consent-decree package for Lingo Telecom plus two multilingual title-level Finnish/Lithuanian deepfake or AI-deception leads	authoritative police/court/platform source for the Finnish or Lithuanian leads, election-authority notice, or forensics/contract record tying content provenance to a legal process	document_grade_legal_authority_needed	Synthetic-identity topology linking media, provenance evidence, and harm types	legal uncertainty matrix / review frontier / dashboard filter
agentic_control_failure	Agentic control failure	High	LQ-006	10	mixed_tier_authority_led	9	1	nist_direct_only	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	data/cases/security-agentic-candidates.jsonl:LIMEN-000001..000009; data/cases/security-agentic-candidates.jsonl:LIMEN-000012; results/security/security-agentic-evidence-role-matrix-v0.1.tsv; results/security/security-agentic-claim-ceiling-matrix-v0.1.tsv; results/security/security-agentic-mitigation-visibility-v0.1.tsv; sources/sources.md:LIMEN-S-030	sources/sources.md:LIMEN-S-030	Ten CVE/advisory-linked rows now span approval-bypass, local-file-read, SSRF, prompt-injection-to-code-execution, command-injection, memory/state contamination, identity/authorization-boundary abuse, and one MCP/browser-control trust-boundary row with mixed vendor, coordination, independent-lab, repo-issue, GitHub-security-advisory, and NVD-plus-release-note notice depth.	deployment-context incident report, architectural postmortem, or provider/deployer documentation of the failing control path	stronger_authority_or_postmortem_needed	Agentic-control matrix linking case type to oversight evidence needs	legal uncertainty matrix / review frontier / dashboard filter
security_risk	Security risk	High	LQ-006	10	mixed_tier_authority_led	9	1	nist_direct_only	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	data/cases/security-agentic-candidates.jsonl:LIMEN-000001..000009; data/cases/security-agentic-candidates.jsonl:LIMEN-000012; results/security/security-agentic-evidence-role-matrix-v0.1.tsv; results/security/security-agentic-claim-ceiling-matrix-v0.1.tsv; results/security/security-agentic-mitigation-visibility-v0.1.tsv; sources/sources.md:LIMEN-S-030	sources/sources.md:LIMEN-S-030	Ten CVE/advisory-linked rows now span 3 direct vendor-advisory rows (Auto-GPT, Claude Code, LangChain `CVE-2026-44843`), 2 CERT/CC-coordination-plus-release-note rows (CrewAI), 2 independent-lab public-advisory rows (LangChain `CVE-2023-29374`; LlamaIndex `CVE-2024-3271`), 1 repo-issue-only row (Langflow), 1 GitHub security-advisory identity-boundary row (PraisonAI), and 1 NVD-plus-release-note MCP trust-boundary row (Playwright MCP `CVE-2025-9611`).	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	stronger_authority_or_postmortem_needed	Security-to-governance edge list for graph/table views	legal uncertainty matrix / review frontier / dashboard filter
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	High	LQ-001; LQ-002	8	mixed_tier_authority_led	5	3	nist_direct_plus_oecd_direct_policy_anchor	no direct local AI Act primary-text anchor verified in this lane package; public-authority routing remains conceptually relevant but still needs primary-text anchoring	data/cases/authoritative-candidates.jsonl:LIMEN-000003; LIMEN-000004; LIMEN-000012; data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004; sources/sources.md:LIMEN-S-030; sources/sources.md:LIMEN-S-031	sources/sources.md:LIMEN-S-030; sources/sources.md:LIMEN-S-031	Two ICO regulator-record packages, one FCC Lingo Telecom election-protection enforcement/disposition package, one Danish Datatilsynet public-authority opinion page plus one official UFS taskforce/planning PDF sidecar, one direct official Slovenian police project page plus CORDIS plus partner-public chain, and three weaker public-reporting leads	procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement that narrows public-authority role and legal basis beyond the current Denmark/ORION sidecars	public_authority_document_needed	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison	legal uncertainty matrix / review frontier / dashboard filter
education_workplace_or_hr	Education, workplace, or HR	High	LQ-004	6	mixed_tier_authority_led	5	1	direct_official_unesco_recommendation_text_anchor	no direct local AI Act primary-text anchor verified in this lane package; current support is authoritative enforcement-source-led	data/cases/authoritative-candidates.jsonl:LIMEN-000002; LIMEN-000003; LIMEN-000004; LIMEN-000011; LIMEN-000012; results/authoritative-scout/regulator-court-escalation-matrix.tsv	sources/sources.md:LIMEN-S-040	One EEOC agency-to-court progression package, two ICO regulator-record packages, one FTC final-order/complaint detector-claims package, one Danish Datatilsynet public-authority opinion page plus one official UFS taskforce/planning PDF sidecar, and one Estonian title-level lead	court complaint/decree, school/employer policy, official redress record, regulator notice text, or later operational/DPIA/procurement/evaluation evidence for the Danish AI-SU row	document_grade_legal_authority_needed	Employment/education decision-flow matrix	legal uncertainty matrix / review frontier / dashboard filter
surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	High	LQ-002	4	authority_only_seeded	4	0	oecd_direct_policy_anchor_only	no direct local AI Act primary-text anchor verified in this lane package; local support is authoritative regulator-action led and should route to later legal-text anchoring	data/cases/authoritative-candidates.jsonl:LIMEN-000003; LIMEN-000004; data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004; data/cases/authoritative-candidates.jsonl:LIMEN-000015; sources/sources.md:LIMEN-S-031	sources/sources.md:LIMEN-S-031	two ICO regulator-record packages plus one direct official Slovenian police project page with CORDIS and partner-public companions, plus one French CNIL warning-page legality sidecar	underlying notice/reprimand text, legal basis, technical specification, or official audit/procurement document that narrows ORION deployment/proportionality posture and the CNIL warning-page legality posture beyond the current police-plus-CORDIS-plus-partner and warning-page state	public_authority_document_needed	Fundamental-rights review queue, public-authority map, and disclosure-comparison companion table	legal uncertainty matrix / review frontier / dashboard filter
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	High	LQ-005; LQ-008	5	mixed_tier_authority_led	3	2	direct_official_unesco_recommendation_text_anchor	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	data/cases/authoritative-candidates.jsonl:LIMEN-000002; data/cases/authoritative-candidates.jsonl:LIMEN-000005; results/crosswalks/legal-uncertainty-queue.md:LQ-005; results/crosswalks/legal-uncertainty-queue.md:LQ-008	sources/sources.md:LIMEN-S-040	EEOC lawsuit/settlement package, DOJ charging-stage Nate package with captured indictment PDF, FCC Lingo Telecom allegation/disposition package, plus two multilingual fraud/deepfake leads	court complaint/decree text, police or election-authority notice, or platform/police enforcement rationale that narrows actor role and legal threshold	document_grade_legal_authority_needed	Legal-risk heatmap by category and evidence tier	legal uncertainty matrix / review frontier / dashboard filter
legal_procedural_contamination	Legal/procedural contamination	High	LQ-007	3	mixed_tier_authority_led	2	1	nist_direct_plus_oecd_direct_policy_anchor	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	data/cases/authoritative-candidates.jsonl:LIMEN-000001; data/cases/authoritative-candidates.jsonl:LIMEN-000010; sources/sources.md:LIMEN-S-030; sources/sources.md:LIMEN-S-031	sources/sources.md:LIMEN-S-030; sources/sources.md:LIMEN-S-031	Italian DPA regulator order text, FTC complaint-plus-final-order DoNotPay package, and one direct-source-resolved Finnish public-broadcaster extraction	court filing/order, institutional correction notice, or official Finnish police/court process-integrity statement for a second document-grade family	document_grade_legal_authority_needed	Process-contamination typology for justice/admin case tables	legal uncertainty matrix / review frontier / dashboard filter
health_medical_or_mental_health	Health, medical, or mental-health misuse	High	LQ-003	0	zero_seed_placeholder	0	0	direct_official_unesco_recommendation_text_anchor	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	none	sources/sources.md:LIMEN-S-040	no seeded cases yet	official safety notice, clinical guidance, court/regulator record, or provider documentation with intended-use detail	sector_specific_health_law_review	Sector split for health-related LIMEN cases with uncertainty flags	legal uncertainty matrix / review frontier / dashboard filter
residual_unclassified	Residual/unclassified	High	LQ-009	0	zero_seed_placeholder	0	0	no_direct_framework_text_anchor_in_row_package	conceptual mapping only in current local package; no direct local primary-text anchor yet verified for this category	none	none	no seeded cases yet	taxonomy review memo plus a stronger authoritative source package for the first residual case admitted to the matrix	taxonomy_or_framework_review	Gap queue feeding taxonomy evolution and future figure on framework residuals	legal uncertainty matrix / review frontier / dashboard filter
