category_code	category_label	review_priority	seed_case_count	framework_anchor_depth_now	eu_ai_act_direct_anchor_now	nist_direct_anchor_now	iso_42001_overview_anchor_now	oecd_direct_policy_anchor_now	unesco_direct_text_anchor_now	direct_framework_family_count_now	direct_framework_family_list_now	non_iso_direct_framework_family_count_now	non_iso_direct_framework_family_list_now	exclusive_anchor_gap_now	frontier_bucket_now	review_route_now	next_stronger_source_needed_now	observatory_hook
agentic_control_failure	Agentic control failure	High	10	nist_direct_only	no	yes	yes	no	no	2	nist_ai_rmf; iso_42001_overview	1	nist_ai_rmf	single_non_iso_direct_family:nist_ai_rmf	stronger_authority_or_postmortem_needed	stronger_authority_or_postmortem_needed	deployment-context incident report, architectural postmortem, formal vendor bulletin keyed to the exact failing control path, or reproducible public test	Agentic-control matrix linking case type to oversight evidence needs
security_risk	Security risk	High	10	nist_direct_only	no	yes	yes	no	no	2	nist_ai_rmf; iso_42001_overview	1	nist_ai_rmf	single_non_iso_direct_family:nist_ai_rmf	stronger_authority_or_postmortem_needed	stronger_authority_or_postmortem_needed	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	Security-to-governance edge list for graph/table views
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	High	8	nist_direct_plus_oecd_direct_policy_anchor	no	yes	yes	yes	no	3	nist_ai_rmf; iso_42001_overview; oecd_ai_principles	2	nist_ai_rmf; oecd_ai_principles	multi_non_iso_direct_family	public_authority_document_needed	public_authority_document_needed	procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement	Map-ready country/authority evidence-gap matrix plus public-sector disclosure comparison
education_workplace_or_hr	Education, workplace, or HR	High	6	direct_official_unesco_recommendation_text_anchor	no	no	yes	no	yes	2	iso_42001_overview; unesco_recommendation	1	unesco_recommendation	single_non_iso_direct_family:unesco_recommendation	document_grade_legal_authority_needed	document_grade_legal_authority_needed	court complaint/decree, school/employer policy, official redress record, or regulator notice text	Employment/education decision-flow matrix
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	High	5	direct_official_unesco_recommendation_text_anchor	no	no	yes	no	yes	2	iso_42001_overview; unesco_recommendation	1	unesco_recommendation	single_non_iso_direct_family:unesco_recommendation	document_grade_legal_authority_needed	document_grade_legal_authority_needed	court complaint/decree, regulator notice text, police/court/platform authority source, or forensics/contract record tying the public event to a legal process	Legal-risk heatmap by category and evidence tier
deepfake_or_synthetic_identity	Deepfake or synthetic identity	High	3	eu_ai_act_direct_plus_oecd_direct_policy_anchor	yes	no	yes	yes	no	3	eu_ai_act; iso_42001_overview; oecd_ai_principles	2	eu_ai_act; oecd_ai_principles	multi_non_iso_direct_family	document_grade_legal_authority_needed	document_grade_legal_authority_needed	authoritative police/court/platform source, election-authority notice, securities/consumer record, or forensics/contract record tying provenance to a legal process	Synthetic-identity topology linking media, provenance evidence, and harm types
legal_procedural_contamination	Legal/procedural contamination	High	3	nist_direct_plus_oecd_direct_policy_anchor	no	yes	yes	yes	no	3	nist_ai_rmf; iso_42001_overview; oecd_ai_principles	2	nist_ai_rmf; oecd_ai_principles	multi_non_iso_direct_family	document_grade_legal_authority_needed	document_grade_legal_authority_needed	court filing/order, institutional correction notice, or official process-integrity statement from a second document-grade family	Process-contamination typology for justice/admin case tables
surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	High	4	oecd_direct_policy_anchor_only	no	no	yes	yes	no	2	iso_42001_overview; oecd_ai_principles	1	oecd_ai_principles	single_non_iso_direct_family:oecd_ai_principles	public_authority_document_needed	public_authority_document_needed	underlying notice/reprimand text, legal basis, technical specification, or official audit/procurement document	Fundamental-rights review queue, public-authority map, and disclosure-comparison companion table
health_medical_or_mental_health	Health, medical, or mental-health misuse	High	0	direct_official_unesco_recommendation_text_anchor	no	no	yes	no	yes	2	iso_42001_overview; unesco_recommendation	1	unesco_recommendation	single_non_iso_direct_family:unesco_recommendation	sector_specific_health_law_review	sector_specific_health_law_review	official safety notice, clinical guidance, court/regulator record, or provider documentation with intended-use detail	Sector split for health-related LIMEN cases with uncertainty flags
residual_unclassified	Residual/unclassified	High	0	no_direct_framework_text_anchor_in_row_package	no	no	yes	no	no	1	iso_42001_overview	0	none	iso_overview_only_no_non_iso_direct_family	taxonomy_or_framework_review	taxonomy_or_framework_review	taxonomy review memo plus a stronger authoritative source package for the first residual case admitted to the matrix	Gap queue feeding taxonomy evolution and future figure on framework residuals
ai_washing_or_false_ai_claim	AI washing or false AI claim	Medium	6	oecd_direct_policy_anchor_only	no	no	yes	yes	no	2	iso_42001_overview; oecd_ai_principles	1	oecd_ai_principles	single_non_iso_direct_family:oecd_ai_principles	public_authority_document_needed	public_authority_document_needed	non-finance procurement challenge, contract text, technical audit, official correction, regulator document, or later public disposition	AI-washing typology for procurement and market-facing visuals
normative_or_moral_outlier	Normative or moral outlier	Medium	5	oecd_direct_policy_anchor_only	no	no	yes	yes	no	2	iso_42001_overview; oecd_ai_principles	1	oecd_ai_principles	single_non_iso_direct_family:oecd_ai_principles	stronger_authority_or_postmortem_needed	stronger_authority_or_postmortem_needed	stronger regulator/court/institutional record or explicit governance/postmortem document that narrows framework fit	Normative-anomaly gallery with explicit uncertainty coding
institutional_absurdity	Institutional absurdity	Medium	3	direct_official_unesco_recommendation_text_anchor	no	no	yes	no	yes	2	iso_42001_overview; unesco_recommendation	1	unesco_recommendation	single_non_iso_direct_family:unesco_recommendation	direct_source_capture_needed	direct_source_capture_needed	official institutional response, underlying administrative record, or additional direct-source capture for the unresolved lead	Public-sector absurdity typology and dashboard filter
finance_insurance_or_market	Finance, insurance, or market	Medium	2	oecd_direct_policy_anchor_only	no	no	yes	yes	no	2	iso_42001_overview; oecd_ai_principles	1	oecd_ai_principles	single_non_iso_direct_family:oecd_ai_principles	stronger_authority_or_postmortem_needed	stronger_authority_or_postmortem_needed	court/regulator record, formal consumer/securities disposition, provider/deployer postmortem, or transaction-specific technical audit	Sectoral harm matrix across finance/insurance/market records
research_integrity	Research integrity	Medium	0	direct_official_unesco_recommendation_text_anchor	no	no	yes	no	yes	2	iso_42001_overview; unesco_recommendation	1	unesco_recommendation	single_non_iso_direct_family:unesco_recommendation	stronger_authority_or_postmortem_needed	stronger_authority_or_postmortem_needed	publisher/institutional correction or retraction notice, investigation record, dataset/version provenance package, or formal postmortem	Research-integrity dashboard slice and methods-paper examples
