stats_anchor_id	stats_level	parent_anchor_id	domain_or_subdomain_code	domain_or_subdomain_label	proportion_of_risks	proportion_of_documents	sheet_name	sheet_updated_note	source_url	export_url	retrieved_at_utc	language	jurisdiction_scope	source_family	rights_note	evidence_surface	claim_ceiling	limen_use_now
MITAIR-STAT-D01	domain	not_applicable	1.0	Discrimination & Toxicity	0.14	0.7	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S1.1	subdomain	MITAIR-D01	1.1	Unfair discrimination and misrepresentation	0.06	0.63	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S1.2	subdomain	MITAIR-D01	1.2	Exposure to toxic content	0.08	0.33	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S1.3	subdomain	MITAIR-D01	1.3	Unequal performance across groups	0.01	0.16	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-D02	domain	not_applicable	2.0	Privacy & Security	0.13	0.67	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S2.1	subdomain	MITAIR-D02	2.1	Compromise of privacy by obtaining, leaking or correctly inferring sensitive information	0.05	0.56	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S2.2	subdomain	MITAIR-D02	2.2	AI system security vulnerabilities and attacks	0.07	0.34	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-D03	domain	not_applicable	3.0	Misinformation	0.05	0.47	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S3.1	subdomain	MITAIR-D03	3.1	False or misleading information	0.03	0.37	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S3.2	subdomain	MITAIR-D03	3.2	Pollution of information ecosystem and loss of consensus reality	0.01	0.16	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-D04	domain	not_applicable	4.0	Malicious actors & Misuse	0.16	0.73	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S4.1	subdomain	MITAIR-D04	4.1	Disinformation, surveillance, and influence at scale	0.06	0.51	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S4.2	subdomain	MITAIR-D04	4.2	Cyberattacks, weapon development or use, and mass harm	0.05	0.6	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S4.3	subdomain	MITAIR-D04	4.3	Fraud, scams, and targeted manipulation	0.05	0.37	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-D05	domain	not_applicable	5.0	Human-Computer Interaction	0.07	0.52	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S5.1	subdomain	MITAIR-D05	5.1	Overreliance and unsafe use	0.04	0.33	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S5.2	subdomain	MITAIR-D05	5.2	Loss of human agency and autonomy	0.03	0.34	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-D06	domain	not_applicable	6.0	Socioeconomic & Environmental	0.19	0.77	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S6.1	subdomain	MITAIR-D06	6.1	Power centralization and unfair distribution of benefits	0.04	0.41	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S6.2	subdomain	MITAIR-D06	6.2	Increased inequality and decline in employment quality	0.04	0.44	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S6.3	subdomain	MITAIR-D06	6.3	Economic and cultural devaluation of human effort	0.02	0.32	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S6.4	subdomain	MITAIR-D06	6.4	Competitive dynamics	0.01	0.21	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S6.5	subdomain	MITAIR-D06	6.5	Governance failure	0.04	0.27	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S6.6	subdomain	MITAIR-D06	6.6	Environmental harm	0.04	0.38	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-D07	domain	not_applicable	7.0	AI system safety, failures, & limitations	0.26	0.78	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
MITAIR-STAT-S7.1	subdomain	MITAIR-D07	7.1	AI pursuing its own goals in conflict with human goals or values	0.07	0.49	Domain Taxonomy statistics	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T17:57:24Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread statistics rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy statistics	descriptive taxonomy-statistics slice only	methods appendix / taxonomy heatmap calibration / reviewer-safe prevalence-context sidecar
