case_id	cve_id	title	record_status	evidence_tier	avid_slot_raw	link_state	canonical_avid_id	reviewer_safe_interpretation	observatory_bucket
LIMEN-000001	CVE-2023-37274	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	authoritative	T3_authoritative_source	no_direct_local_avid_report | local analyst-review CSV trace only | not a canonical AVID incident ID	explicit_no_direct_match_placeholder		Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.	placeholder_control_panel
LIMEN-000002	CVE-2024-37014	Langflow custom_component endpoint allows public candidate record for remote code execution risk	candidate	T1_single_public_source	AVID-2026-R1495	canonical_direct_id	AVID-2026-R1495	Current row carries one canonical AVID report ID that can be shown as a direct local security-row join.	direct_join_panel
LIMEN-000003	CVE-2025-55284	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	authoritative	T3_authoritative_source	no_direct_local_avid_report	explicit_no_direct_match_placeholder		Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.	placeholder_control_panel
LIMEN-000004	CVE-2026-2285	CrewAI JSON loader allowed arbitrary local file read on the server	authoritative	T3_authoritative_source	no_direct_local_avid_report	explicit_no_direct_match_placeholder		Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.	placeholder_control_panel
LIMEN-000005	CVE-2026-2286	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	authoritative	T3_authoritative_source	no_direct_local_avid_report	explicit_no_direct_match_placeholder		Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.	placeholder_control_panel
LIMEN-000006	CVE-2023-29374	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk	authoritative	T3_authoritative_source	no_direct_local_avid_report	explicit_no_direct_match_placeholder		Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.	placeholder_control_panel
LIMEN-000007	CVE-2024-3271	LlamaIndex safe_eval command injection enabled LLM-generated code to execute OS commands on the host	authoritative	T3_authoritative_source	no_direct_local_avid_report	explicit_no_direct_match_placeholder		Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.	placeholder_control_panel
LIMEN-000008	CVE-2026-44843	LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	authoritative	T3_authoritative_source	no_direct_local_avid_report	explicit_no_direct_match_placeholder		Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.	placeholder_control_panel
LIMEN-000009	CVE-2026-47413	PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse	authoritative	T3_authoritative_source	no_direct_local_avid_report	explicit_no_direct_match_placeholder		Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.	placeholder_control_panel
LIMEN-000012	CVE-2025-9611	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	authoritative	T3_authoritative_source	no_direct_local_avid_report	explicit_no_direct_match_placeholder		Non-empty slot records an explicit local no-direct-match state and should not be counted as an external AVID join.	placeholder_control_panel
LIMEN-000016	CVE-2025-47274	ToolHive MCP deployment utility stored secrets in run config files before 0.0.33, exposing local secret material	authoritative	T3_authoritative_source	AVID-2026-R1707	canonical_direct_id	AVID-2026-R1707	Current row carries one canonical AVID report ID that can be shown as a direct local security-row join.	direct_join_panel
