anchor_id	anchor_level	parent_anchor_id	domain_code	domain_label	subdomain_code	subdomain_label	description	sheet_name	sheet_updated_note	source_url	export_url	retrieved_at_utc	language	jurisdiction_scope	source_family	rights_note	evidence_surface	claim_ceiling	limen_use_now
MITAIR-D01	domain	not_applicable	1.0	Discrimination & Toxicity				Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S1-1	subdomain	MITAIR-D01	1.0	Discrimination & Toxicity	1.1	Unfair discrimination and misrepresentation	Unequal treatment of individuals or groups by AI, often based on race, gender, or other sensitive characteristics, resulting in unfair outcomes and representation of those groups.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S1-2	subdomain	MITAIR-D01	1.0	Discrimination & Toxicity	1.2	Exposure to toxic content	AI exposing users to harmful, abusive, unsafe or inappropriate content. May involve AI creating, describing, providing advice, or encouraging action. Examples of toxic content include hate-speech, violence, extremism, illegal acts, child sexual abuse material, as well as content that violates community norms such as profanity, inflammatory political speech, or pornography.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S1-3	subdomain	MITAIR-D01	1.0	Discrimination & Toxicity	1.3	Unequal performance across groups	Accuracy and effectiveness of AI decisions and actions is dependent on group membership, where decisions in AI system design and biased training data lead to unequal outcomes, reduced benefits, increased effort, and alienation of users.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-D02	domain	not_applicable	2.0	Privacy & Security				Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S2-1	subdomain	MITAIR-D02	2.0	Privacy & Security	2.1	Compromise of privacy by obtaining, leaking or correctly inferring sensitive information	AI systems that memorize and leak sensitive personal data or infer private information about individuals without their consent. Unexpected or unauthorized sharing of data and information can compromise user expectation of privacy, assist identity theft, or loss of confidential intellectual property.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S2-2	subdomain	MITAIR-D02	2.0	Privacy & Security	2.2	AI system security vulnerabilities and attacks	Vulnerabilities in AI systems, software development toolchains, and hardware that can be exploited, resulting in unauthorized access, data and privacy breaches, or system manipulation causing unsafe outputs or behavior.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-D03	domain	not_applicable	3.0	Misinformation				Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S3-1	subdomain	MITAIR-D03	3.0	Misinformation	3.1	False or misleading information	AI systems that inadvertently generate or spread incorrect or deceptive information, which can lead to inaccurate beliefs in users and undermine their autonomy. Humans that make decisions based on false beliefs can experience physical, emotional or material harms	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
MITAIR-S3-2	subdomain	MITAIR-D03	3.0	Misinformation	3.2	Pollution of information ecosystem and loss of consensus reality	Highly personalized AI-generated misinformation creating “filter bubbles” where individuals only see what matches their existing beliefs, undermining shared reality, weakening social cohesion and political processes.	Domain Taxonomy of AI Risks v1	Updated: 03 December 2025	https://airisk.mit.edu/risks	https://docs.google.com/spreadsheets/d/15LeHcpeuZC9txkvcaMoh3sUhkMvdMMry69xxXL46DT0/export?format=xlsx	2026-06-08T11:03:05Z	English	Global / framework-defined	MIT AI Risk Repository	Workbook export verified from public Google Sheets distribution; /risks JSON-LD states CC BY 4.0; do not overread structured taxonomy rows as incident evidence.	anonymous Google Sheets XLSX export, sheet Domain Taxonomy of AI Risks v1	taxonomy-definition workbook slice only	methods appendix / taxonomy heatmap / structured overlay audit
