category_code	category_label	review_priority	sample_case_ref	case_title	record_status	evidence_tier	jurisdictions	languages	source_family_or_surface	current_authority_signal	framework_anchor_profile_now	claim_ceiling_bucket_now	review_kind_now	case_specific_review_reason_now	next_stronger_source_needed_now	review_owner_now	linked_review_queue_ids	paper_use_now	provenance_refs_now	updated_at
surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	High	data/cases/authoritative-candidates.jsonl:LIMEN-000015	CNIL warns sports club over proposed facial-recognition checks for commercial stadium bans	authoritative_candidate	T3_authoritative_source	France	fr	Regulator and enforcement sources	authoritative	oecd	authority_led_but_context_insufficient	lawyer/source-authority review	Keep this row at CNIL warning-page legality posture only; do not restate it as public-authority deployment proof, sanction-depth equivalence, or completed implementation.	underlying notice/reprimand text, legal basis, technical specification, or official audit/procurement document	Lawyer/regulator review	LQ-002	Fundamental-rights review queue, public-authority map, and disclosure-comparison companion table	SRC-AUTH-0031	2026-06-08T19:20:16Z
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	High	data/cases/authoritative-candidates.jsonl:LIMEN-000002	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	authoritative	T3_authoritative_source	United States	en	Regulator and enforcement sources	authoritative	unesco	mixed_authority_context_insufficient	lawyer/source-authority review	Do not convert the EEOC allegation into a final judicial finding; the press release states the agency filed suit.	court complaint/decree, regulator notice text, police/court/platform authority source, or forensics/contract record tying the public event to a legal process	Lawyer/source-authority review	LQ-005; LQ-008	Legal-risk heatmap by category and evidence tier	SRC-AUTH-0002; SRC-AUTH-0005	2026-06-08T10:03:10+02:00
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	High	data/cases/authoritative-candidates.jsonl:LIMEN-000005	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	authoritative_charging_stage	T3_authoritative_source	United States	en	Court and tribunal records	authoritative_charging_stage	unesco	mixed_authority_context_insufficient	lawyer/source-authority review	Use this row as charging-stage authority only; do not convert the indictment allegations into adjudicated fact or liability.	court complaint/decree, regulator notice text, police/court/platform authority source, or forensics/contract record tying the public event to a legal process	Lawyer/source-authority review	LQ-005; LQ-008	Legal-risk heatmap by category and evidence tier	SRC-AUTH-0010; SRC-AUTH-0011	2026-06-08T10:03:10+02:00
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	High	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	authoritative	T3_authoritative_source	United States	en	Regulator and enforcement sources	authoritative	unesco	mixed_authority_context_insufficient	lawyer/source-authority review	Keep allegation-stage and consent-decree stages distinct: the May 2024 FCC Notice of Apparent Liability is not a final adjudication, while the August 2024 order resolves the matter through a Consent Decree and civil penalty.	court complaint/decree, regulator notice text, police/court/platform authority source, or forensics/contract record tying the public event to a legal process	Lawyer/source-authority review	LQ-005; LQ-008	Legal-risk heatmap by category and evidence tier	SRC-AUTH-0016; SRC-AUTH-0017; SRC-AUTH-0018	2026-06-08T10:03:10+02:00
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	High	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Crime suspicion: a man used AI to falsify nude images of relatives and co-workers in a small northern Finnish town	candidate	T1_single_public_source	Finland	fi	local_news	medium	unesco	mixed_authority_context_insufficient	lawyer/regulator plus language review	Public Kaleva article shell now supports a narrow claim that a dated regional-news article exists about a police-investigation-framed AI-modified intimate-image abuse case in Finland and that visible preview text on the article page itself names several women as injured parties/victims, one middle-aged male suspect, suspicion-stage offense framing, and six crime reports; full-body chronology, exact locality naming, adjudication, and legal interpretation remain unverified.	Use the preview-text-visible direct article shell for bounded route-state and suspicion-stage framing now; seek one clearly matching public police/document companion or fuller readable public surface before any publication-bucket promotion.	Lawyer/source-authority review	LQ-005; LQ-008	Legal-risk heatmap by category and evidence tier	none	2026-06-08T10:03:10+02:00
security_risk	Security risk	High	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	authoritative	T3_authoritative_source	Global	en	public vulnerability record	authoritative	nist	mixed_authority_context_insufficient	source-authority/postmortem review	This record supports a technical-security observation only; it does not by itself establish observed exploitation in the wild.	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	Technical + legal review	LQ-006	Security-to-governance edge list for graph/table views	LIMEN-S-006	2026-06-08T10:03:10+02:00
security_risk	Security risk	High	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	Langflow custom_component endpoint allowed remote code execution; GitHub reviewed advisory now exposes first patched version 1.0.15	authoritative	T3_authoritative_source	Global	en	public platform security advisory API; public vulnerability record; public vulnerability-record API	authoritative	nist	mixed_authority_context_insufficient	source-authority/postmortem review	Use the reviewed GitHub advisory plus CVE/OSV chain for bounded hazard and fixed-version wording only; do not treat the advisory chain as proof of realized exploitation, deployment context, or reportable-incident status.	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	Technical + legal review	LQ-006	Security-to-governance edge list for graph/table views	LIMEN-S-089; LIMEN-S-090; LIMEN-S-007	2026-06-08T17:51:42Z
security_risk	Security risk	High	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	authoritative	T3_authoritative_source	Global	en	public vulnerability record	authoritative	nist	mixed_authority_context_insufficient	source-authority/postmortem review	This supports a bounded argument that human-approval models for agent tools can fail through allowlist design.	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	Technical + legal review	LQ-006	Security-to-governance edge list for graph/table views	LIMEN-S-008	2026-06-08T10:03:10+02:00
security_risk	Security risk	High	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	authoritative	T3_authoritative_source	Global	en	public vulnerability record; public vendor release note	authoritative	nist	mixed_authority_context_insufficient	source-authority/postmortem review	No direct local AVID report or exact ATLAS case-study link was verified in the bounded pass; keep the row grounded in the public vulnerability record plus vendor release note, and do not narrate the case as realized exploitation in the wild or as broad MCP ecosystem prevalence.	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	Technical + legal review	LQ-006	Security-to-governance edge list for graph/table views	LIMEN-S-051; LIMEN-S-052	2026-06-08T10:03:10+02:00
agentic_control_failure	Agentic control failure	High	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	authoritative	T3_authoritative_source	Global	en	public vulnerability record	authoritative	nist	mixed_authority_context_insufficient	source-authority/postmortem review	This record supports a technical-security observation only; it does not by itself establish observed exploitation in the wild.	deployment-context incident report, architectural postmortem, formal vendor bulletin keyed to the exact failing control path, or reproducible public test	Technical + legal review	LQ-006	Agentic-control matrix linking case type to oversight evidence needs	LIMEN-S-006	2026-06-08T10:03:10+02:00
