as_of_utc	lane_id	audit_row_id	dataset_path	audit_scope	metric	value	evidence_or_basis	paper_thesis_use	dashboard_hook
2026-06-07T19:05:00Z	limen-boost-025	SFFM-025-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	field_materialization	families_total	15	join of source-family-coverage.tsv + source-family-figure1-register-v0.1.tsv + limen-boost-037 claim-role and negative-evidence registers	Shows which reviewer-safe source-family controls are now directly available in one dashboard/manuscript-ready table.	Figure 1 source-family coverage export; blocker tooltip completeness audit
2026-06-07T19:05:00Z	limen-boost-025	SFFM-025-002	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	field_materialization	figure1_role_filled	10	join of source-family-coverage.tsv + source-family-figure1-register-v0.1.tsv + limen-boost-037 claim-role and negative-evidence registers	Shows which reviewer-safe source-family controls are now directly available in one dashboard/manuscript-ready table.	Figure 1 source-family coverage export; blocker tooltip completeness audit
2026-06-07T19:05:00Z	limen-boost-025	SFFM-025-003	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	field_materialization	route_rank_filled	10	join of source-family-coverage.tsv + source-family-figure1-register-v0.1.tsv + limen-boost-037 claim-role and negative-evidence registers	Shows which reviewer-safe source-family controls are now directly available in one dashboard/manuscript-ready table.	Figure 1 source-family coverage export; blocker tooltip completeness audit
2026-06-07T19:05:00Z	limen-boost-025	SFFM-025-004	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	field_materialization	thin_family_flag_yes	2	join of source-family-coverage.tsv + source-family-figure1-register-v0.1.tsv + limen-boost-037 claim-role and negative-evidence registers	Shows which reviewer-safe source-family controls are now directly available in one dashboard/manuscript-ready table.	Figure 1 source-family coverage export; blocker tooltip completeness audit
2026-06-07T19:05:00Z	limen-boost-025	SFFM-025-005	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	field_materialization	claim_role_bucket_filled	15	join of source-family-coverage.tsv + source-family-figure1-register-v0.1.tsv + limen-boost-037 claim-role and negative-evidence registers	Shows which reviewer-safe source-family controls are now directly available in one dashboard/manuscript-ready table.	Figure 1 source-family coverage export; blocker tooltip completeness audit
2026-06-07T19:05:00Z	limen-boost-025	SFFM-025-006	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	field_materialization	safe_claim_posture_filled	15	join of source-family-coverage.tsv + source-family-figure1-register-v0.1.tsv + limen-boost-037 claim-role and negative-evidence registers	Shows which reviewer-safe source-family controls are now directly available in one dashboard/manuscript-ready table.	Figure 1 source-family coverage export; blocker tooltip completeness audit
2026-06-07T19:05:00Z	limen-boost-025	SFFM-025-007	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	field_materialization	unsafe_overread_filled	15	join of source-family-coverage.tsv + source-family-figure1-register-v0.1.tsv + limen-boost-037 claim-role and negative-evidence registers	Shows which reviewer-safe source-family controls are now directly available in one dashboard/manuscript-ready table.	Figure 1 source-family coverage export; blocker tooltip completeness audit
2026-06-07T19:05:00Z	limen-boost-025	SFFM-025-008	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	field_materialization	exact_upgrade_trigger_filled	15	join of source-family-coverage.tsv + source-family-figure1-register-v0.1.tsv + limen-boost-037 claim-role and negative-evidence registers	Shows which reviewer-safe source-family controls are now directly available in one dashboard/manuscript-ready table.	Figure 1 source-family coverage export; blocker tooltip completeness audit
2026-06-07T19:05:00Z	limen-boost-025	SFFM-025-009	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	field_materialization	negative_evidence_class_filled	4	join of source-family-coverage.tsv + source-family-figure1-register-v0.1.tsv + limen-boost-037 claim-role and negative-evidence registers	Shows which reviewer-safe source-family controls are now directly available in one dashboard/manuscript-ready table.	Figure 1 source-family coverage export; blocker tooltip completeness audit
2026-06-07T19:05:00Z	limen-boost-025	SFFM-025-010	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	field_materialization	best_negative_artifact_filled	4	join of source-family-coverage.tsv + source-family-figure1-register-v0.1.tsv + limen-boost-037 claim-role and negative-evidence registers	Shows which reviewer-safe source-family controls are now directly available in one dashboard/manuscript-ready table.	Figure 1 source-family coverage export; blocker tooltip completeness audit
2026-06-07T19:05:00Z	limen-boost-025	SFFM-025-011	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	field_materialization	must_travel_with_filled	15	join of source-family-coverage.tsv + source-family-figure1-register-v0.1.tsv + limen-boost-037 claim-role and negative-evidence registers	Shows which reviewer-safe source-family controls are now directly available in one dashboard/manuscript-ready table.	Figure 1 source-family coverage export; blocker tooltip completeness audit
2026-06-07T19:05:00Z	limen-boost-025	SFFM-025-012	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	field_materialization	route_b_blockers_with_negative_evidence	3	join of source-family-coverage.tsv + source-family-figure1-register-v0.1.tsv + limen-boost-037 claim-role and negative-evidence registers	Shows which reviewer-safe source-family controls are now directly available in one dashboard/manuscript-ready table.	Figure 1 source-family coverage export; blocker tooltip completeness audit
2026-06-07T19:05:00Z	limen-boost-025	SFFM-025-013	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	field_materialization	planned_frontier_without_negative_evidence	2	join of source-family-coverage.tsv + source-family-figure1-register-v0.1.tsv + limen-boost-037 claim-role and negative-evidence registers	Shows which reviewer-safe source-family controls are now directly available in one dashboard/manuscript-ready table.	Figure 1 source-family coverage export; blocker tooltip completeness audit
