as_of_utc	frontier_id	focus_route	queue_id_or_package	official_family	family_scope	evidence_refs	observed_outcome_class	best_current_read	threshold_value_now	next_safe_reopen_condition	publication_dashboard_hook	caution
2026-06-07T20:07:53Z	FOFFM-053-001	Yle official corroboration	LMWCS-20260606-001	Finnish Police / poliisi.fi	police search surface	results/multilingual/finland-official-route-outcome-matrix-v0.1.tsv:FORM-002; results/boost/limen-boost-005/finnish-threshold-public-route-probe.tsv:FTPRP-005-001; results/boost/limen-boost-053/kaleva-police-query-semantics-audit.tsv	visible_off_target_or_generic_results	Police surface is live, but Yle-shaped queries yield generic reports, annual-report material, or semantic drift rather than a same-phenomenon public companion.	closed_for_generic_replay	Reopen only if one exact institution-specific police page, bulletin, or identifier appears; do not reuse broad keyword variants as if the route were unexplored.	authority-upgrade funnel; Finland route-exhaustion matrix; procedural-contamination limitations note	Generic police search hits are not corroboration of AI-assisted administrative appeals.
2026-06-07T20:07:53Z	FOFFM-053-002	Yle official corroboration	LMWCS-20260606-001	Justice-family / oikeus.fi	court portal search surface	results/multilingual/finland-official-route-outcome-matrix-v0.1.tsv:FORM-001,FORM-003,FORM-004,FORM-005; results/boost/limen-multilingual-weird-case-scout/finland-justice-family-search-audit-2026-06-07T18-53-42Z.tsv:FJFS-001..006	positive_control_plus_semantic_mismatch	Justice-family search is demonstrably live via court-entity positive controls, but Yle-derived, actor-name, institution-specific, and quote-derived queries all stayed generic, false-positive, or empty.	closed_for_generic_replay	Reopen only if a concrete court document, docket-like identifier, or page-specific East Finland administrative-court lead appears.	route-validity panel; justice-vs-police mismatch splitter; reviewer-safe methods note	Live court search does not equal event support.
2026-06-07T20:07:53Z	FOFFM-053-003	Yle official corroboration	LMWCS-20260606-001	Supreme Administrative Court / KHO	content-bearing court search surface	results/boost/limen-boost-032/kho-dom-search-expansion-negative-evidence.tsv:KHO-DOM-032-001..003	visible_results_but_off_target_or_name_collision	KHO adds a stronger content-bearing court-family negative control: visible results exist, but they resolve to generic speeches, unrelated case law, or Mikko-name collision rather than the Yle phenomenon.	closed_for_keyword_replay	Reopen only with an exact case/document lead; do not spend another cycle on KHO query permutations.	court-depth blocker map; named-actor collision explainer	Visible KHO results are still semantically off-target.
2026-06-07T20:07:53Z	FOFFM-053-004	Yle official corroboration	LMWCS-20260606-001	Finlex legal database	legal-document search surface	results/boost/limen-boost-029/finland-finlex-search-audit-2026-06-07T19-19-58Z.tsv:FFSA-029-001..006	positive_control_plus_generic_legal_overmatch	Finlex is live and searchable, but Yle-oriented queries produce broad legislative/procedural overmatch or exact actor no-results, not a case-linked companion.	closed_for_broad_phrase_replay	Reopen only if one statute/case citation, document title, or later legal-record clue narrows the route.	false-positive query-match panel; legal-search friction panel	Generic legal-process hits should not be promoted into corroboration.
2026-06-07T20:07:53Z	FOFFM-053-005	Yle official corroboration	LMWCS-20260606-001	Courts portal API / tuomioistuimet.fi	judicial search endpoint	results/boost/limen-boost-005/finnish-threshold-public-route-probe.tsv:FTPRP-005-002; results/boost/limen-boost-005/finnish-oversight-prosecution-surface-probe.tsv:FOSP-005-005	empty_api_or_no_visible_results	Public court search endpoints have been rechecked and currently yield empty arrays or no visible result items for Yle-oriented queries.	closed_for_same_endpoint_replay	Reopen only if a different court-originating surface or exact case reference appears.	legal-search surface friction panel; official-query nonrecovery badge	Endpoint emptiness is not proof of institutional absence.
2026-06-07T20:07:53Z	FOFFM-053-006	Yle official corroboration	LMWCS-20260606-001	Public prosecutor / syyttäjälaitos	prosecution search surface	results/boost/limen-boost-005/finnish-oversight-prosecution-surface-probe.tsv:FOSP-005-001	exact_no_result	The prosecutor surface is publicly reachable but yielded an explicit no-result state for the core Yle query.	closed_for_same_query_family	Reopen only if a prosecution-facing document title, person, or proceeding clue appears.	negative-result route matrix; authority-upgrade funnel	A no-result search state bounds only this tested surface.
2026-06-07T20:07:53Z	FOFFM-053-007	Yle official corroboration	LMWCS-20260606-001	Justice Ministry / om.fi	ministry search surface	results/boost/limen-boost-005/finnish-oversight-prosecution-surface-probe.tsv:FOSP-005-002	exact_no_result	The justice-ministry surface returned an explicit no-result state and adds no public policy/guidance companion for the broadcaster-described phenomenon.	closed_for_same_query_family	Reopen only if a ministry report title, consultation, or guidance document is specifically linked to AI-assisted appeals.	methods-limitations matrix; ministry-route nonyield badge	No-hit ministry search is not a claim of institutional absence.
2026-06-07T20:07:53Z	FOFFM-053-008	Yle official corroboration	LMWCS-20260606-001	Oversight families / oikeuskansleri and oikeusasiamies	complaint and oversight search surfaces	results/boost/limen-boost-005/finnish-oversight-prosecution-surface-probe.tsv:FOSP-005-003..004; results/boost/limen-boost-041/finland-government-family-search-audit.tsv:FGFSA-041-003..006	generic_report_hits_or_shell_only_no_cards	Oversight-family expansion is real, but current results are only annual-report/report-shell material or shell pages with no parseable content-bearing result cards.	closed_for_generic_phrase_replay	Reopen only if a complaint/decision identifier or exact supervisory document lead appears.	oversight-family comparison panel; official-family expansion panel	Result counts or shells are not phenomenon confirmation.
2026-06-07T20:07:53Z	FOFFM-053-009	Yle official corroboration	LMWCS-20260606-001	General government portal / valtioneuvosto	government-wide search surface	results/boost/limen-boost-041/finland-government-family-search-audit.tsv:FGFSA-041-001..002	search_shell_no_parseable_result_cards	Government-portal search widened official-family coverage but currently yields only reachable search shells without parseable result cards for Yle-shaped queries.	closed_for_same_query_family	Reopen only if a concrete government publication or page-specific lead appears.	official-family expansion panel; Finland nonyield sparkline	A searchable shell is not substantive corroboration.
2026-06-07T20:07:53Z	FOFFM-053-010	Kaleva public-companion recovery	LMWCS-20260606-002	Finnish Police / poliisi.fi	police search and news-release surface	results/multilingual/finland-official-route-outcome-matrix-v0.1.tsv:FORM-007..008; results/boost/limen-boost-005/finnish-threshold-public-route-probe.tsv:FTPRP-005-003..005; results/boost/limen-boost-043/finland-companion-official-surface-audit.tsv:FCOA-043-002..003; results/boost/limen-boost-053/kaleva-police-query-semantics-audit.tsv:KPQSA-053-001..004	exact_no_result_plus_broad_false_positive_space	The police route is the most heavily tested Kaleva companion family: exact AI-intimate-image queries yield explicit no-results, while broader or metadata-derived phrases yield generic guidance, other sexual-offense material, or ruled-out false positives.	closed_for_same_police_keyword_family	Reopen only if a dated police release, region-specific press page, or exact event-linked public document appears; avoid more wording permutations.	blocker-retirement counter; false-positive collision panel; Finland queue-depth explainer	Broader police overlap is not safe evidence for the Kaleva event.
