as_of_utc	travel_id	surface_path	surface_id_or_slot	role_in_package	confirmed_live_state	must_travel_with	paper_thesis_use	dashboard_hook	caution_or_remaining_gate
2026-06-07T13:50:30Z	F6-TK-053-001	claims.md	LIMEN-C-013	atlas-level multilingual claim ceiling	already aligned to the live `1 / 2 / 3` multilingual package split and six-of-six translation-review-required contract	results/multilingual/multilingual-claim-ceiling-matrix-v0.1.tsv ; results/multilingual/multilingual-publication-routing-matrix-v0.1.tsv ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-016 ; results/boost/limen-boost-053/figure6-control-travel-kit.tsv:F6-TK-053-001..F6-TK-053-010	Lets manuscript/thesis claim maps point directly to the current multilingual evidence-maturity ladder, geography-control row, and blocked-export bundle instead of reconstructing shard-005 logic from scattered files.	Claim-support map, Figure 6 legend bundle, and reviewer-trace package.	Do not reuse as country ranking, non-English incident count, legal/compliance comparison, or proof that blocked high-undercovered rows are substantively resolved.
2026-06-07T13:50:30Z	F6-TK-053-002	results/boost/limen-boost-053/multilingual-figure6-visibility-overlay.tsv	LIMEN-VIS-006 row-level overlay	active source-of-truth TSV	6 overlay rows remain the current reusable multilingual geography contract: Slovenia default substantive, Finland caution-only, Lithuania/Estonia queue-only, all translation-caution-bearing	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-016 ; results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-012 ; results/boost/limen-boost-017/multilingual-visual-encoding-contract.tsv ; results/boost/limen-boost-041/multilingual-result-block-routing.tsv	Gives one machine-readable row-level map contract for manuscript, dashboard planning, and thesis reuse.	Figure 6 jurisdiction/language visibility layer, queue-only hiding logic, and rare-language caution overlay.	Preserve the one-default-geography rule and do not broaden default-visible substantive geography beyond Slovenia without a real authority upgrade.
2026-06-07T13:50:30Z	F6-TK-053-003	results/dashboard-paper/caption-control-register-v0.1.tsv	CCR-016	shared overread-control row	live and unique caption id for Figure 6 / LIMEN-VIS-006	results/boost/limen-boost-053/figure6-caption-control-candidate.tsv:CCR-016 ; results/boost/limen-boost-053/multilingual-figure6-visibility-overlay.tsv ; results/boost/limen-boost-041/multilingual-result-block-routing.tsv	Keeps caption-safe wording deterministic across manuscript, appendix, dashboard, and thesis reuse.	Caption-safe legend, tooltip bundle, and reviewer-control panel for LIMEN-VIS-006.	Do not let reuse hide Finland's mixed resolved-plus-unresolved state, the Lithuania/Estonia queue-only barriers, or six-of-six translation-review metadata.
2026-06-07T13:50:30Z	F6-TK-053-004	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv	exp-012	intended shared dashboard export stub	ready_but_not_promoted because `results/dashboard/` writes remain blocked on this host	results/boost/limen-boost-053/multilingual-export-bridge.tsv ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-016 ; dashboard/limen-dashboard-spec-v0.1.md	Makes dashboard-path references reviewer-safe by tying the intended shared multilingual ladder path back to the live boost-local source and current blocked-export state.	Dashboard export stub, promotion-governance note, and map-layer routing control.	Do not imply that `results/dashboard/multilingual-evidence-quality-ladder.tsv` already exists as a materialized shared file.
2026-06-07T13:50:30Z	F6-TK-053-005	results/dashboard-paper/figure-table-priority-register-v0.1.tsv	LIMEN-VIS-006	shared figure-priority register row	usable_but_bounded and already states the staged map plus safe-aggregate split with translation-dependent pressure	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-016 ; results/boost/limen-dashboard-paper-forge/jurisdiction-language-coverage.tsv ; results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv	Preserves one canonical machine-readable Figure 6 planning row for manuscript, dashboard, and thesis coordination.	Figure-plan card, bounded-visibility badge, and methods/limitations index entry.	Keep the figure framed as observability and translation-pressure infrastructure, not geographic prevalence or readiness evidence.
2026-06-07T13:50:30Z	F6-TK-053-006	results/multilingual/multilingual-reviewer-panels-v0.1.tsv	MWRP-001..MWRP-005	package-level count and route-order sidecar	live and still canonical for the current `1 / 2 / 3` publication split, authority split, six-of-six translation burden, and Finland-first route order	results/boost/limen-boost-053/multilingual-figure6-visibility-overlay.tsv ; results/boost/limen-boost-041/multilingual-route-impact-matrix.tsv ; next.md multilingual items	Lets later manuscript/dashboard/thesis reuse cite package-level multilingual counts and route priority without recomputing from row files or flattening high-undercovered blockers into absence.	Legend-side count badge, route-order footnote, and reviewer-response summary row.	Route order does not change any row's evidence tier by itself; Lithuania and Estonia remain blocked negative evidence unless a genuinely different compliant route appears.
2026-06-07T13:50:30Z	F6-TK-053-007	results/boost/limen-boost-041/multilingual-result-block-routing.tsv	MRBR-041-001..MRBR-041-006	manuscript sentence and slot bridge	live and already maps each multilingual row into Result block 6, Table 1D, Figure 6, or limitations-only reuse	results/boost/limen-boost-053/multilingual-figure6-visibility-overlay.tsv ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-016 ; papers/article-architecture-v0.1.md	Keeps Figure 6 reuse synchronized to the current result-block structure and row-level manuscript roles.	Result-block bridge, panel-routing note, and thesis exhibit map.	Slot reuse still requires the same one-default-geography logic and translation-caution constraints.
2026-06-07T13:50:30Z	F6-TK-053-008	results/boost/limen-boost-017/multilingual-visual-encoding-contract.tsv	mvec-017-001..006	row-rendering and glyph contract	live and already fixes glyph, badge, legend order, and default-visibility rank for all six multilingual rows	results/boost/limen-boost-053/multilingual-figure6-visibility-overlay.tsv ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-016	Preserves deterministic visual encoding for map, legend, appendix slice, and thesis figure reuse.	Glyph palette, badge family, queue-layer styling, and visibility-rank logic.	Do not let later visual cleanup erase the difference between default substantive, caution overlay, caution geography, and hidden queue-only states.
2026-06-07T13:50:30Z	F6-TK-053-009	dashboard/limen-dashboard-spec-v0.1.md	Figure 6 spec lines	dashboard placement prose	already aligned to the current Figure 6 bundle and blocked shared-export state	results/boost/limen-boost-053/multilingual-geography-shared-surface-drift-audit.tsv ; results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-012 ; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-016	Preserves manuscript-dashboard symmetry for multilingual geography logic without inventing a materialized shared export.	Dashboard map-plan line, legend/tooltip routing, and queue-mode display contract.	Dashboard prose must keep the blocked-export state explicit until filesystem promotion is truly available.
2026-06-07T13:50:30Z	F6-TK-053-010	papers/article-architecture-v0.1.md	Result block 6 / Figure 6 architecture lines	paper-architecture spine	already aligned to the current Figure 6 overlay and caption-control bundle	results/boost/limen-boost-053/multilingual-geography-shared-surface-drift-audit.tsv ; results/boost/limen-boost-041/multilingual-result-block-routing.tsv ; results/boost/limen-boost-053/figure6-control-travel-kit.tsv	Connects the shared multilingual geography package to first-article figure order and hostile-reviewer controls without re-deriving shard-005 logic from scattered notes.	Article-architecture spine, thesis exhibit routing, and reviewer-response memo support.	The substantive blocker stays external to architecture: one compliant Finland/Kaleva or official-corroboration threshold event is still needed before broader default-visible geography is safe.
