row_id	signal_id	translation_review_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
TH-00140	LIMEN-SIGNAL-47B7352106D47E45	candidate_for_url_extraction	en	https://moc.gov.gh/2026/04/24/ghana-launches-national-ai-strategy-to-drive-digital-transformation-and-economic-growth/	Ghana launches National AI Strategy	Named official English source exists in Atlas metadata, but local fetch timed out and no source body is available.	translation/source-surface review only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Extract/capture the named URL or archive, then rerun bounded source review.
TH-00153	LIMEN-SIGNAL-4D35DAA6D80F96C0	cross_project_duplicate	ar	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-100/language-delta.json:10	GAIA multilingual Arabic language-delta task	GAIA boost task artifact, not a LIMEN source surface; route/deduplicate upstream.	translation/source-surface review only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Deduplicate against GAIA Arabic shard before any LIMEN promotion.
TH-00155	LIMEN-SIGNAL-50A904FBC6C407A3	cross_project_duplicate	ja/en	https://www.digital.go.jp/en/policies/genai	Government AI GENAI / Japan Digital Agency	Derived GAIA observatory cell with archived English source metadata; route upstream instead of promoting here.	translation/source-surface review only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Deduplicate against GAIA Japan Digital Agency GENAI record.
TH-00157	LIMEN-SIGNAL-52A8DA87885822CC	cross_project_duplicate	es	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	T-323/24 / Corte Constitucional de Colombia	Derived Global Agent Atlas digest entry with Spanish source paraphrase; route upstream.	translation/source-surface review only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Deduplicate against GAIA PretorIA/T-323 source record.
TH-00166	LIMEN-SIGNAL-558C7FDD4E226994	needs_original_language_source	et/en	https://doi.org/10.3403/30405425	Health informatics. Public key infrastructure	Report row is an English standard lead for Estonian evidence work, not an Estonian original-language AI source.	translation/source-surface review only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Find the original Estonian/Baltic official source or mark as background only.
TH-00169	LIMEN-SIGNAL-5782E6E3265A6041	candidate_for_url_extraction	tr	https://tubitak.gov.tr/en/kurumsal/yapay-zeka/yapay-zeka-politika-belgesi	TÜBİTAK Artificial Intelligence Policy	Named Turkish source URL exists, but local fetch timed out and source text is absent.	translation/source-surface review only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Extract/capture the TÜBİTAK page before source-surface review.
TH-00170	LIMEN-SIGNAL-57DD259D40CACB87	candidate_for_url_extraction	el	https://www.gov.gr/info/politiki-xrisis-maigov	Gov.gr mAIgov usage policy	Named Greek public-sector agent policy exists, but local fetch returned 403 and text is absent.	translation/source-surface review only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Extract/capture the gov.gr page with an allowed reader/proxy route.
TH-00172	LIMEN-SIGNAL-58D587DAA9443826	cross_project_duplicate	es	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	T-323/24 / Corte Constitucional de Colombia	GAIA preprint package digest duplicate of the Spanish PretorIA/T-323 source.	translation/source-surface review only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Deduplicate against GAIA PretorIA/T-323 source record.
TH-00182	LIMEN-SIGNAL-5C3794E2CA450F67	cross_project_duplicate	es	http://www.corteconstitucional.gov.co/relatoria/2024/T-323-24.htm	T-323/24 / Corte Constitucional de Colombia	GAIA release digest duplicate of the Spanish PretorIA/T-323 source.	translation/source-surface review only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Deduplicate against GAIA PretorIA/T-323 source record.
TH-00188	LIMEN-SIGNAL-60BE4E89D294B32B	candidate_for_url_extraction	ko	https://doi.org/10.35979/alj.2025.11.78.279	Korean DOI lead for signed AI evidence	Lane report has Korean source/link and says translation needed, but no local source body.	translation/source-surface review only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	Extract the DOI landing/full text and keep translation-safe review bounded.
