timestamp_utc	surface	path	state_before	state_after	paper_safe_use	next_gate
2026-06-08T01:19:26Z	default_table1a_facet	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv	stale helper surfaces still described an 8-row 6/1/1 split	current facet is 10 rows: 7 direct-document + 1 follow-through + 1 partial-document + 1 summary-only	Table 1A denominator/caption control for reviewer-safe document-depth heterogeneity	keep Workado out of default Table 1A unless a synchronized denominator decision is made
2026-06-08T01:19:26Z	shared_authoritative_core	results/dashboard-paper/authoritative-package-state-panel-v0.1.tsv	several downstream notes still narrated a 10-row core with Workado frontier-only	current package-state core is 11 rows with 8 direct-document-grade rows; Workado is core/package-state but not default Table 1A	package-state companion for manuscript/dashboard/thesis wording about authoritative core breadth	preserve explicit split between package-state core and default Table 1A facet
2026-06-08T01:19:26Z	caption_control	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-009	stated 8 rows and 6 direct-document rows	patched to 10-row Table 1A language plus 11-row package-state caution	main caption-safe control for Table 1A	future promotions must update CCR-009 and the package-state panel together
2026-06-08T01:19:26Z	figure_table_registry	results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-007	stated 8-row table and no package-state companion	patched to 10-row Table 1A plus explicit 11-row core distinction	front-door visual registry for reviewer-visible table planning	keep Workado package-state-only until a deliberate facet revision
2026-06-08T01:19:26Z	shared_export_register	results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-018	old hash/bytes/line-count and 8-row note	patched to live hash 73d992fb..., 11 lines, 8929 bytes, 10-row semantic note	shared mirror provenance for dashboard-paper copy	if facet file changes again, recompute hash/bytes/line-count before narration
2026-06-08T01:19:26Z	shared_materialization_audit	results/dashboard-paper/shared-dashboard-materialization-audit-v0.1.tsv:exp-018	old 8-row / 6958-byte / 9-line state	patched to live 10-row / 8929-byte / 11-line state	materialization audit for shared Table 1A copy	keep package-state and facet denominators visibly distinct
2026-06-08T01:19:26Z	visual_route_bridge	results/dashboard-paper/publication-route-visual-bridge-v0.1.tsv:LIMEN-VIS-007	still described 8-row Table 1A	patched to 10-row Table 1A with explicit 11-row package-state caution	route-selection bridge for paper/dashboard packaging	carry this row with CCR-009 when Table 1A is reused
2026-06-08T01:19:26Z	next_route_notes	next.md	shard-009 and authoritative-scout notes still said 10-row core / Workado frontier-only	patched to 11-row core / 10-row default facet split	operational routing note for future cycles	avoid reopening wording-only FTC/Workado cycles unless synchronized surfaces drift again
2026-06-08T01:19:26Z	preprint_fragment	draft/preprint.md	front-door manuscript fragment still described 9-row geography and 8-row Table 1A	patched to 11-row package-state geography and 10-row Table 1A with Workado caution	paper-safe manuscript framing paragraph	article architecture and dashboard spec can stay narrower if they refer to different artifacts, but shared denominator claims must remain synchronized
2026-06-08T01:19:26Z	remaining_caution	papers/article-architecture-v0.1.md ; dashboard/limen-dashboard-spec-v0.1.md	not patched this cycle where lines referred to distinct non-Table-1A artifacts or posture ladders	left unchanged pending a case-specific need; no evidence that their current wording misstates the patched Table 1A denominator	avoid unnecessary prose churn on surfaces not making the stale Table 1A claim	if future reviewer-facing reuse cites these lines for Table 1A/package-state counts, patch with artifact-specific wording rather than flattening route distinctions
