as_of_utc	lane_id	visual_id	visual_kind	shared_slot	package_state	verified_current_state	current_source_path	control_bundle	paper_thesis_use	dashboard_hook	claim_ceiling	mandatory_caution	supersedes_lane_local_guides	next_smallest_publishability_move
2026-06-07T14:41:50Z	limen-boost-012	LIMEN-VIS-001	figure	Figure 1 source-family saturation map	ready_but_not_promoted	15 source-family rows; seeded=13; planned=2; grounded_now=13; thin-family blockers remain concentrated in sf08, sf09, sf11, sf13, and appendix-only/manual-overlay sf06	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	CCR-008; caption:CCR-008; export:exp-001	Methods/data figure on declared observability boundary, source-strategy breadth, and thin-family blocker concentration.	Use the boost-local source directly until a writable shared path exists; keep denominator and provenance labels visible.	Supports bounded claims about declared evidence coverage and readiness classes, not corpus completeness, prevalence, or equal evidentiary depth across seeded families.	Figure 1 reuse is safe only when the seeded/planned denominator is paired with the typed claim-ceiling table for `sf08`, `sf09`, `sf11`, `sf13`, and appendix-only/manual-overlay `sf06`; otherwise thin-family depth risks collapsing into generic readiness.	manuscript-integration-register.tsv, manuscript-wide-quant-control.tsv, reviewer-caption-register.tsv	Keep the corrected 13-seeded/2-planned denominator, route all Figure 1 reuse through `results/source-map/source-family-figure1-register-v0.1.tsv`, `results/source-map/source-family-evidence-policy-matrix-v0.1.tsv`, `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-008`, `results/boost/limen-boost-001/blocked-source-priority-register.tsv`, `results/boost/limen-boost-049/source-family-table1-claim-ceilings.tsv`, and `results/boost/limen-boost-037/route-b-blocker-register.tsv`, and pair the figure with Table 1 so claim ceilings, evidence-use bands, exact blocker forms, blocker order, and next verification moves travel together.
2026-06-07T14:41:50Z	limen-boost-012	LIMEN-VIS-002	figure	Figure 2 taxonomy support heatmap || Table 2 category support matrix	ready_but_not_promoted	15 category rows; authoritatively_seeded=11; candidate_only_seeded=1; zero_seed_local_gap=3; live_core_duplicate_taxonomy=40_review_rows/38_governed_records/28_stable_or_standalone_lineages; mechanical_figure_contract_still=35_visible_rows/27_lineages; frontier_overlay_ready_or_boxed=3 families (security=7/23, ai_misstatement=3/23, biometric=2/23); frontier_queue_or_singleton_watch=3 families	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv	CCR-001,CCR-002; caption:CCR-002; export:exp-005	Core novelty/gap figure for the first LIMEN paper.	Use the boost-local source together with `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-001` / `CCR-002`, `results/boost/limen-boost-034/taxonomy-promotion-frontier.tsv`, and `results/boost/limen-boost-058/taxonomy-authority-fragility-matrix.tsv`; keep the live `11 / 1 / 3` support-state contract on the `40 / 38 / 28` seeded core while marking the staged `35 / 27` figure mechanics separately, keep the `7/23`, `3/23`, and `2/23` overlay-ready split visible, and do not flatten queue-only or singleton-watch residual rows or hide fragility behind one flat seeded-category total.	Supports claims about uneven local support, visible gaps, bounded overlay-vs-queue routing, and explicit recurrence-versus-maturity fragility ceilings; not empirical incidence, completeness, or absence.	The staged boost-local heatmap still trails the live package, and overlay-ready slices can still be overpromoted if denominator repair hides authority-thin, translation-caution, sector-concentrated, or singleton-pressure fragility.	manuscript-integration-register.tsv, manuscript-wide-quant-control.tsv, reviewer-caption-register.tsv	Keep caption language explicit that zero-seed rows mark current local evidence gaps rather than real-world non-existence, cite the frontier so overlay-ready security, AI-misstatement, and biometric pressures stay visibly separate from queue-only or singleton-watch residuals, and carry the shard-058 fragility matrix so recurrent-but-fragile rows are not mistaken for equally mature seeded categories while the staged heatmap refresh is still pending.
2026-06-07T14:41:50Z	limen-boost-012	LIMEN-VIS-003	figure	Figure 3 legal uncertainty matrix	ready_but_not_promoted	15 rows; review_priority High=10; Medium=5; direct_local_EU_AI_Act_primary_text_anchor=1; no_direct_framework_anchor=1	results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv	CCR-019; caption:CCR-020; export:exp-006	Hostile-reviewer defense figure/table hybrid for conclusion limits.	Use the boost-local source together with `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-019`, keeping the stronger-source-needs, anchor-depth, and non-automation cautions visible.	Supports claims that LIMEN encodes stronger-source needs and legal/normative caution explicitly; not automated legal qualification.	Figure 3 now has dedicated caption control, but most categories still lack direct primary-text legal anchors and the matrix must stay limitation-forward rather than doctrine-forward.	manuscript-integration-register.tsv, reviewer-caption-register.tsv	Reuse through `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-019`, keep Figure 3 framed as a stronger-source-needs matrix rather than a legal conclusion engine, and refresh the row if the review-route split or direct-anchor counts change.
2026-06-08T15:53:22Z	limen-boost-012	LIMEN-VIS-004	figure	Figure 4 duplicate-review quality-control graph	ready_but_not_promoted	25 reviewed graph edges; identifier_collision_blocker=14; reviewed_not_duplicate=11; the graph now materializes every graph-eligible reviewed package in the live duplicate-control ledger, including the seeded-core trust-boundary overlay and the latest non-merge recurrence pair	results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv	CCR-018; caption:CCR-018; export:exp-007	Methods-quality figure on join safety and duplicate control.	Use the boost-local source together with `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-018`, keeping identifier-collision blockers, stable duplicate clusters, reviewed-not-duplicate edges, and graph-versus-ledger scope visibly separate.	Supports claims about namespace risk, subtype-preserving non-merges, and overcount prevention; not recurrence or repeated-event prevalence.	The graph export remains reviewer-safe only if shared prose keeps the graph-versus-ledger split explicit and preserves the non-recurrence ceiling for reviewed-not-duplicate overlays even though no graph-eligible package is currently missing.	manuscript-integration-register.tsv, manuscript-wide-quant-control.tsv, reviewer-caption-register.tsv	Reuse through `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-018`, keep file-qualified or normalized keys canonical, and preserve the distinction between the 25-edge graph and the fuller duplicate ledger whenever Figure 4 text travels.
2026-06-07T14:41:50Z	limen-boost-012	LIMEN-VIS-005	figure	Figure 5 publication-safe evidence-tier funnel	ready_but_not_promoted	21 publication-safe lineages: T3_authoritative_source=14; T3_authoritative_source_direct_url_resolved=1; T1_single_public_source=6; confidence caps high=15, medium=0, low=6	results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv	CCR-005; caption:CCR-005; export:exp-003	Bounded methods/results figure on evidence maturity under normalized lineage-safe joins.	Use the refreshed safe funnel, not the older staged file-qualified funnel, for headline figure logic.	Supports current denominator-aware maturity claims only; not completeness, prevalence, or flat equivalence across all included rows.	One newest high-cap row is still a bounded singleton ahead of duplicate-review catch-up; geography overlays remain separate.	manuscript-integration-register.tsv, manuscript-wide-quant-control.tsv, reviewer-caption-register.tsv	Use this as the headline funnel, keep the denominator/confidence banner explicit, and demote the older 17-record staged funnel to provenance/appendix status.
2026-06-07T14:41:50Z	limen-boost-012	LIMEN-VIS-006	figure	Figure 6 jurisdiction/language visibility map	ready_but_not_promoted	10 staged jurisdiction-language rows plus a 21-lineage safe aggregate with translation_dependent=6 and not_translation_dependent=15	results/boost/limen-dashboard-paper-forge/jurisdiction-language-coverage.tsv	CCR-016; caption:CCR-016; export:exp-004	Observability and language-bias figure for methods/limitations discussion.	Use the boost-local source together with `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-016`, keeping Slovenia default substantive, Finland caution-only, Lithuania/Estonia queue-only, and six-of-six translation-review-required metadata visible.	Supports claims about uneven visibility and translation-review pressure, not stable country ranking or geographic prevalence.	Coverage remains sparse and mixed-authority, all six multilingual rows still require translation review, and the staged map is weaker than the refreshed safe aggregate contract.	manuscript-integration-register.tsv, reviewer-caption-register.tsv	Use only through `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-016`, keeping Slovenia as the sole default substantive multilingual geography, Finland on a caution-only layer, Lithuania/Estonia queue-only, and six-of-six translation-review-required metadata visible.
2026-06-08T08:42:16Z	limen-boost-012	LIMEN-VIS-007	table	Table 1A authoritative document-depth facet	shared_or_direct_source	10 rows; direct_document=7; follow_through_grade=1; partial_document_grade=1; summary_grade=1	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv	CCR-009; caption:CCR-009; export:exp-018	Reviewer-facing table showing that T3 support is not procedurally uniform even inside the current authoritative package.	Use the listed primary source directly with the caption-control and claim-ceiling text from the shared priority register.	Supports narrow claims about document-depth heterogeneity, posture-aware reuse, and next-upgrade needs; not merits, severity ranking, or flat equivalence across all authoritative rows.	One EEOC-linked row remains summary-grade only, one Nate charging-stage row remains normalization-limited despite captured document presence, and the wider 11-row package-state core still remains distinct from this default facet.	manuscript-integration-register.tsv, manuscript-wide-quant-control.tsv, reviewer-caption-register.tsv	Keep the table in the main package with caption control `CCR-009`, preserve the seven direct-document rows as distinct from the Slovenian follow-through, Nate partial-document, and EEOC summary-only ceilings, and target one court-facing complaint/decree/order capture plus one cleaner Nate caption source before stronger court-depth rhetoric.
2026-06-08T09:53:02Z	limen-boost-012	LIMEN-VIS-008	table	Table 1B public-sector disclosure asymmetry comparison	shared_or_direct_source	6 rows across 4 surface classes: public_ai_register_entry=2; regulator_enforcement_package=2; official_project_page=1; regulator_decision_page_governance_anchor=1; Helsinki now has a family-level same-buyer procurement companion with IBM-consistent award metadata and EUR 270,992 value; Amsterdam now also has exact-row current+history CSV exports plus exact-name procurement non-hit and a threshold-neutral same-buyer Azure/Public Cloud procurement-family bridge below exact buyer-side or public-companion proof; Denmark adds a rare-language governance sidecar without buyer-side traceability	results/boost/limen-continuous-experiments/public-sector-disclosure-comparison-v0.1.tsv	CCR-015; caption:CCR-015; export:exp-009	Reviewer-facing table/panel on disclosure-surface heterogeneity in public-sector AI.	Use the listed primary source directly with the caption-control and claim-ceiling text from the shared priority register.	Supports bounded claims that project pages, regulator packages, register entries, and governance-anchor decision pages expose different reconstruction fields; not broad procurement-transparency or deployment-effectiveness conclusions.	Buyer-side public-sector traceability is still not exact row-linked procurement proof; Amsterdam's machine-readable export depth plus threshold-neutral family bridge improve row-provenance and route-maturity claims but not exact acquisition-trace claims, Helsinki remains family-level rather than exact row-linked procurement proof, the Danish row remains a governance-only sidecar with translation caution rather than a core-table promotion, exact UK ICO wording should stay routed through the authoritative claim-support register, and package-level denominator rhetoric should stay tied to Figure 7 authority-balance controls.	none	Reuse only through `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-015`, keep the five-row manuscript core versus six-row dashboard sidecar split explicit, keep Amsterdam below exact buyer-side or public-companion proof despite the visible threshold-neutral family bridge, keep Helsinki family-level rather than exact row-linked procurement proof, and preserve the Denmark sidecar plus Figure 7 denominator controls whenever the panel or caption is reused.
2026-06-07T14:41:50Z	limen-boost-012	LIMEN-VIS-009	table	Table 1C AI-washing posture ladder	ready_but_not_promoted	4 rows: 2 settled regulator-order exemplars; 1 authoritative charging-stage hidden-human row; 1 explicit final-authority queue row	results/dashboard-paper/ai-washing-posture-table-v0.1.tsv	CCR-003; caption:CCR-003; export:exp-010	Reviewer-facing table showing that LIMEN can separate settled AI-washing findings, charge-stage hidden-human allegations, and explicit negative/queue states inside one subtype package.	Keep settled SEC rows, the Nate charging-stage row, and the explicit queue row visibly separate.	Supports bounded claims about procedural posture, sanction visibility, and evidence ceilings within shard 009; not prevalence, adjudicated hidden-human deception, or cross-sector generalization.	No regulator-final or adjudicated hidden-human-as-AI exemplar is yet present, and the Nate row still depends on charging-stage materials with unresolved exact docket metadata.	none	Use as a main-text or appendix posture table while preserving accusation-stage caution, following `caption-control-register-v0.1.tsv:CCR-003`, and keeping the queue row visible until a final-authority hidden-human exemplar is captured.
2026-06-07T14:41:50Z	limen-boost-012	LIMEN-VIS-010	figure	Figure 7 authority-balance composition panel	ready_but_not_promoted	21 lineages split authority_anchor=7; technical_authority=7; translation_caution_authority=1; provisional_or_limitations_only=6	results/boost/limen-boost-011/source-authority-balance.tsv	CCR-014; caption:CCR-014; export:exp-008	Reviewer-facing denominator-control figure showing why current lineages are not narratively interchangeable.	Separate authority-anchor, technical-authority, translation-caution, and provisional rows in figure captions.	Supports bounded claims about evidence composition and caption discipline, not a ranking of social importance or severity.	Shared caption logic now exists and now reflects the current ORION-only translation-authority band; keep the figure-table row and caption-control row synchronized if shard-011 lineage-class counts change again.	none	Reuse Figure 7 only with `caption-control-register-v0.1.tsv:CCR-014`, keep the legacy-single-state warning attached, and do not promote the panel to either the 23-lineage multistate-safe projection, the broader 28-lineage seeded-core duplicate/taxonomy package, or the separate 33-lineage extended reviewed-local surface without an explicit sidecar-aware contract.
