normalized_record_key	authority_band	primary_review_state	additional_join_hazard_state	multistate_sidecar_required	count_admission_state	omitted_row_reason_if_any	source_path	record_title	evidence_tier	publication_confidence_cap	translation_flag	safe_join_scope	counting_rule	dashboard_hook	paper_thesis_use
data/cases/authoritative-candidates.jsonl:LIMEN-000001	authority_anchor	identifier_collision_blocker	identifier_collision_blocker	yes	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	Italian DPA orders urgent provisional limitation on ChatGPT personal-data processing in Italy	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	never join on bare local_id; count only by normalized_record_key until global namespace repair	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/authoritative-candidates.jsonl:LIMEN-000002	authority_anchor	identifier_collision_blocker	identifier_collision_blocker	yes	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	EEOC sues iTutorGroup over age-discriminatory automated tutor-screening software	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	never join on bare local_id; count only by normalized_record_key until global namespace repair	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/authoritative-candidates.jsonl:LIMEN-000005	authority_anchor	identifier_collision_blocker	identifier_collision_blocker	yes	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	DOJ charges Nate founder over alleged AI investment-fraud misstatements and hidden human transaction processing	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	never join on bare local_id; count only by normalized_record_key until global namespace repair	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/security-agentic-candidates.jsonl:LIMEN-000002	provisional_security	identifier_collision_blocker	identifier_collision_blocker	yes	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	Langflow custom_component endpoint allows public candidate record for remote code execution risk	T1_single_public_source	low	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	never join on bare local_id; count only by normalized_record_key until global namespace repair	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/security-agentic-candidates.jsonl:LIMEN-000003	technical_authority	identifier_collision_blocker	identifier_collision_blocker	yes	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	never join on bare local_id; count only by normalized_record_key until global namespace repair	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/authoritative-candidates.jsonl:LIMEN-000003	authority_anchor	reviewed_not_duplicate	identifier_collision_blocker	yes	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/authoritative-candidates.jsonl:LIMEN-000004	authority_anchor	reviewed_not_duplicate	identifier_collision_blocker	yes	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	UK ICO reprimands Essex school over facial-recognition canteen payments	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/security-agentic-candidates.jsonl:LIMEN-000001	technical_authority	reviewed_not_duplicate	identifier_collision_blocker	yes	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/security-agentic-candidates.jsonl:LIMEN-000004	technical_authority	reviewed_not_duplicate	identifier_collision_blocker	yes	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	CrewAI JSON loader allowed arbitrary local file read on the server	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
data/cases/security-agentic-candidates.jsonl:LIMEN-000005	technical_authority	reviewed_not_duplicate	identifier_collision_blocker	yes	admit_in_projected_multistate_export		/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/publication-safe-aggregate-matrix.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/source-authority-balance.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/clusters/duplicate-clusters-v0.1.tsv; /srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-011/normalized-join-key-ledger.tsv	CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition	T3_authoritative_source	high	not_translation_dependent	normalized_record_key_canonical; bare_local_id_provenance_only	count as separate lineage; reviewed non-merge confirms pattern overlap is not event identity	denominator_preflight_validator; figure5_figure7_warning_badge	methods/data appendix on duplicate-aware denominator control and source-authority composition
