control_id	artifact_path	line_ref	metric_id	historical_source_snapshot	live_replacement_source	historical_value_or_excerpt	current_live_value	consistency_state	paper_thesis_use	next_action
MWQC-012-001	draft/preprint.md	5	source_family_and_package_summary	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv	papers/article-architecture-v0.1.md; dashboard/limen-dashboard-spec-v0.1.md; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-008,CCR-005,CCR-009	Early-cycle checkpoint used the older `12 seeded / 1 queue_only / 2 planned`, `11-edge duplicate graph`, and `4-row authoritative facet` package.	Live package now uses `13 seeded / 0 queue_only / 2 planned`, `14-edge duplicate graph`, and `8-row authoritative facet` controls.	historical_provenance_only	Preserves an audit trail of an earlier manuscript-control sweep without pretending it is a live control file.	Do not reuse for caption or manuscript drafting; route count-bearing prose to the live shared controls.
MWQC-012-002	papers/article-architecture-v0.1.md	18	source_family_split	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	papers/article-architecture-v0.1.md; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-008	Earlier checkpoint recorded `15 rows; seeded=12; queue_only=1; planned=2`.	Live article architecture now states `15 declared source families: 13 seeded, 0 queue-only, 2 planned` plus the Figure 1 role split.	historical_provenance_only	Documents a superseded source-family snapshot for reviewer-traceability.	Treat this row as history only; use the live article architecture and CCR-008 for any current reuse.
MWQC-012-003	papers/article-architecture-v0.1.md	22	evidence_funnel	results/boost/limen-dashboard-paper-forge/evidence-funnel.tsv	papers/article-architecture-v0.1.md; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-005	Earlier checkpoint tracked the provisional staged funnel: `17 file-qualified local records; T1=6; T3=11`.	Live headline package now uses the refreshed safe funnel: `21 publication-safe lineages; T3=14; T3_direct_url_resolved=1; T1=6; confidence 15/0/6`.	historical_provenance_only	Keeps a provenance trail for the staged-funnel era.	Do not let this row drive headline figures; staged funnel is appendix/provenance only.
MWQC-012-004	papers/article-architecture-v0.1.md	23	jurisdiction_language_visibility	results/boost/limen-dashboard-paper-forge/jurisdiction-language-coverage.tsv	papers/article-architecture-v0.1.md; results/boost/limen-boost-029/multilingual-jurisdiction-language-overlay.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-006	Earlier checkpoint noted only the `10 rows; translation_review_needed_total=6` staged visibility layer.	Live geography control now requires the staged `10-row` map plus the multilingual `1 / 2 / 3` routing split and six-of-six translation-review-required caution.	historical_provenance_only	Shows how the geography surface was originally checked before multilingual routing controls were promoted.	For current reuse, pair the staged map with the overlay and CCR-006 rather than this old checkpoint.
MWQC-012-005	papers/article-architecture-v0.1.md	25	authoritative_document_depth	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv	papers/article-architecture-v0.1.md; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-009	Earlier checkpoint recorded a `4-row` authoritative facet with `3` document-grade and `1` summary-grade row.	Live authoritative package now contains `8 rows` split `6` direct-document, `1` partial-document/normalization-limited, and `1` summary-grade.	historical_provenance_only	Preserves the pre-promotion authority-depth state for provenance.	Use Table 1A plus CCR-009 for current manuscript or dashboard wording.
MWQC-012-006	dashboard/limen-dashboard-spec-v0.1.md	15,19,21,209	dashboard_quant_bundle	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv; results/boost/limen-dashboard-paper-forge/evidence-funnel.tsv; results/clusters/duplicate-clusters-v0.1.tsv; results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv	dashboard/limen-dashboard-spec-v0.1.md; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-008,CCR-005,CCR-014,CCR-009	Earlier checkpoint summarized `12/1/2` source families, a staged `17-record` funnel, a `12-row` duplicate ledger, and a `4-row` authoritative facet.	Live dashboard spec now states `13/0/2` source families, `17-row` duplicate ledger, `14-edge` duplicate graph, `21-lineage` safe funnel, and `8-row` authoritative facet.	historical_provenance_only	Makes the superseded dashboard-quant snapshot traceable.	Never cite this row as current state; follow the dashboard spec and shared caption controls instead.
MWQC-012-007	results/boost/limen-boost-012/paper-fragment.md	10,12	visual_package_summary	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv; results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/boost/limen-dashboard-paper-forge/evidence-funnel.tsv; results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv	results/boost/limen-boost-012/paper-fragment.md; results/boost/limen-boost-024/canonical-figure-table-registry.tsv	Earlier fragment described the older package as `11-edge duplicate graph`, `17 file-qualified funnel`, and `4-row authoritative document-depth facet`.	Live fragment now describes the `14-edge` duplicate graph, `21-lineage` safe funnel, `8-row` authoritative facet, and public-sector/authority-balance additions.	historical_provenance_only	Preserves the prior fragment state while marking it as superseded.	Use the refreshed fragment only; keep this row as a provenance checkpoint.
MWQC-012-008	results/boost/limen-boost-012/reviewer-caption-register.tsv	2,6,7	caption_register_bundle	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv; results/boost/limen-dashboard-paper-forge/evidence-funnel.tsv; results/boost/limen-dashboard-paper-forge/jurisdiction-language-coverage.tsv	results/boost/limen-boost-012/reviewer-caption-register.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-008,CCR-005,CCR-006,CCR-014	Earlier checkpoint tracked the older Figure 1 `12/1/2` split, staged Figure 5 funnel, and staged geography layer without the newer shared caption controls.	Live caption register now uses `13/0/2` Figure 1 language, the `21-lineage` Figure 5 contract, and the routed multilingual caution package.	historical_provenance_only	Documents the earlier lane-local caption-control checkpoint.	Current caption work should start from the live register plus the shared caption-control file, not this history row.
MWQC-012-009	results/boost/limen-boost-012/manuscript-integration-register.tsv	7,8	integration_register_bundle	results/boost/limen-dashboard-paper-forge/jurisdiction-language-coverage.tsv; results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv	results/boost/limen-boost-012/manuscript-integration-register.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-006,CCR-009,CCR-015	Earlier checkpoint captured only the staged `10-row` geography note and the older `4-row` authority facet.	Live integration register now aligns geography to the multilingual routing overlay and Table 1A to the `8-row` authority-depth package, with public-sector controls added elsewhere in the live package.	historical_provenance_only	Keeps the earlier integration sweep as traceable evidence of package evolution.	For active drafting, use the live manuscript integration register and caption controls.
MWQC-012-010	project-wide markdown sweep	search across /srv/tyche/projects/limen-ai-edge-case-atlas/*.md	stale_source_family_remnant_check	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-008; papers/article-architecture-v0.1.md; dashboard/limen-dashboard-spec-v0.1.md	Negative-result sweep originally checked only for the older `11 seeded / 2 queue_only / 2 planned` remnant.	Current control need is broader: distinguish live controls from superseded staged-count notes and keep Figure 1 language tied to CCR-008.	historical_provenance_only	Retains evidence that one specific stale pattern was cleared earlier in the cycle.	Keep as a negative-result provenance row only; do not treat it as sufficient live QA for the current package.
