row_id	signal_id	promotion_gate	promotion_priority	source_surface_class	source_review_role	shards	queries	source_path	source_line	title_or_snippet	source_review_reason	claim_ceiling	required_hardening_step	forbidden_overread
SRPH-01101	LIMEN-SIGNAL-07E5DD794EF81E6F	needs_named_url_extraction	P3	regulator_or_public_authority	paired_direct_surfaces	public-sector	algorithm register	/srv/tyche/projects/public-ai-procurement-gap/data/pilot/article-a-table-1-source-readiness-v0.2.csv	3	"article-a-t1-02,T1-02,Netherlands,TenderNed + Dutch Algorithm Register,""Buyer/owner names; notice metadata; register schema; query/detail field surfaces; sitemap lastmod metadata"",Primary method-QA pair,No probative authority-owner or ident"	Local readiness table names concrete Dutch source surfaces: TenderNed and the Dutch Algorithm Register.	surface existence/posture only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01102	LIMEN-SIGNAL-0EA54FD39BD19DE6	needs_named_url_extraction	P3	regulator_or_public_authority	official_legal_text	public-sector	automated decision	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/b7/b70dd85399aee62844e380d6.html	7097	"<p class=""oj-normal"">In order to ensure fair and transparent processing in respect of the data subject, taking into account the specific circumstances and context in which the personal data are processed, the controller should use appropria"	Local source file is the official EUR-Lex GDPR text.	must resolve direct public source before promotion	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01103	LIMEN-SIGNAL-25F846DD242BB1DC	needs_named_url_extraction	P3	regulator_or_public_authority	direct_source_surface	public-sector	automated decision	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/official/aesia/text/07-data-and-data-governance-guideline.txt	2325	recommendations made by an automated decision-making system over information	Local metadata names direct official/institutional surface 07-data-and-data-governance-guideline.txt suitable for bounded source-surface review.	named source-surface existence and bounded posture only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01104	LIMEN-SIGNAL-2862DDB6F3041D60	needs_named_url_extraction	P3	regulator_or_public_authority	direct_transparency_portal	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	24	HN,Honduras,high,D thin visibility,high,Honduras AI Act implementation competent authority; Honduras algorithm register public sector AI; Honduras AI regulatory sandbox; Honduras AI procurement public sector guidance; Honduras AI audit logs	row names Mexico Plataforma Nacional de Transparencia official portal	bounded source-surface existence only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01105	LIMEN-SIGNAL-2CA269296FDE4597	needs_named_url_extraction	P3	public_source_surface	named_direct_source_surface	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-route-tune-20260605T043422Z	4436	"why: ""India DPDP Act supplies statutory privacy/accountability hooks for AI evidence and DPI comparison."""	Local seed row names the official India DPDP Act source on India Code.	source-surface existence only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01106	LIMEN-SIGNAL-33FDC4399AB524B7	needs_named_url_extraction	P3	regulator_or_public_authority	official_legal_text	public-sector	automated decision	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/b7/b70dd85399aee62844e380d6.html	10347	"<p class=""oj-normal"">the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the en"	Cached local HTML is the official EUR-Lex GDPR text, a concrete legal source surface.	source-surface existence only; no legality or compliance inference	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01107	LIMEN-SIGNAL-4765B409F8C72B37	needs_named_url_extraction	P3	regulator_or_public_authority	direct_source_surface	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_REVIEW_LOAD.csv	38	"3,DZ,Algeria,Africa expansion B,10,3,4,10,1.1,18,High: candidate score decrease review,""I01: No official AI law, AI Act implementation measure, or equivalent AI governance statute found in checked offici; I03: No public official AI/general/"	Concrete official or institutional surface named locally: named source surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01108	LIMEN-SIGNAL-5392B80605BBCE52	needs_named_url_extraction	P3	regulator_or_public_authority	concrete_official_source_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	298	"3,ZM,,I03,,1,L,2,M,,true,,""BoZ regulatory sandbox page/guidelines evidence an operational financial-sector sandbox; AI Strategy separately promises AI regulatory/data sandboxes. Candidate +1 because sandbox evidence is now official/operatio"	Names a concrete official sandbox page/guidelines surface for bounded source review.	source surface existence/posture only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01109	LIMEN-SIGNAL-5CCF11F9E80E2E89	needs_named_url_extraction	P3	regulator_or_public_authority	direct_source_surface	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/seeds/hermes-v02-expansion-seeds.json	3249	"title: ""AESIA guides from the Spanish AI regulatory sandbox pilot"","	AESIA guides seed names a bounded official sandbox-guidance surface.	surface existence only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01110	LIMEN-SIGNAL-5DA1F28F3C9F7A6F	needs_named_url_extraction	P3	regulator_or_public_authority	official_policy_surface	identity-provenance	watermark	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/snapshots/source-witness-repair-20260607/law-au-voluntary-ai-safety-standard__1__www.industry.gov.au__direct_public_fetch__0610609eeb7b320e.html	3514	<p><strong>2.1.6.</strong> Where indicated by risk, decide whether to require AI system developers to implement technology solutions for specific risk mitigation, such as industry-standard labelling and watermarking approaches.</p>	row names a concrete official policy/guidance surface in local metadata	must resolve the underlying source before any reviewed example or paper claim	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
