row_id	signal_id	url_extraction_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
SRPH-01101	LIMEN-SIGNAL-07E5DD794EF81E6F	wrapper_needs_parent_source		TenderNed + Dutch Algorithm Register	source table line 3; source ledger sources.md lines 9-10	Readiness table is a paired source-family wrapper with multiple source IDs; parent ledger should choose route-specific URL first.	source-surface existence/posture only	Resolve src-014/src-008/src-026 parent ledger routes separately.
SRPH-01102	LIMEN-SIGNAL-0EA54FD39BD19DE6	url_extracted	http://data.europa.eu/eli/reg/2016/679/oj	EUR-Lex GDPR legal resource	source-cache b70dd85399aee62844e380d6.html lines 52-57	Cached official HTML carries explicit ELI legal-resource URL for Regulation 2016/679.	must resolve direct public source before promotion	Use ELI URL as named source; keep legal-text claims clause-bounded.
SRPH-01103	LIMEN-SIGNAL-25F846DD242BB1DC	url_extracted	https://aesia.digital.gob.es/en/present/resources/practical-guides-for-ai-act-compliance	AESIA practical guides for AI Act compliance	papers/01-estonia-sandbox-evidence-infrastructure-v0.5-submission-draft.md line 110	Local paper/reference metadata gives the AESIA practical-guides page for the extracted data-governance guideline.	named source-surface existence and bounded posture only	Bind guideline text to AESIA guide landing/resource page before any case hardening.
SRPH-01104	LIMEN-SIGNAL-2862DDB6F3041D60	url_extracted	https://www.plataformadetransparencia.org.mx/	Plataforma Nacional de Transparencia	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv line 3621	Local source-refresh metadata explicitly names Mexico PNT URL matching the row reason.	bounded source-surface existence only	Use as transparency-portal surface only; do not recode as algorithm register.
SRPH-01105	LIMEN-SIGNAL-2CA269296FDE4597	url_extracted	https://www.indiacode.nic.in/indiacode/handle/123456789/22037?view_type=browse	India Code DPDP Act source	hermes-v02-expansion-seeds.json.bak-arabic-official-route-tune-20260605T043422Z line 4435	Seed row contains explicit India Code URL for the DPDP Act source.	source-surface existence only	Use official India Code URL; no statutory interpretation beyond source identity.
SRPH-01106	LIMEN-SIGNAL-33FDC4399AB524B7	url_extracted	http://data.europa.eu/eli/reg/2016/679/oj	EUR-Lex GDPR legal resource	source-cache b70dd85399aee62844e380d6.html lines 52-57	Same cached official GDPR HTML exposes explicit ELI legal-resource URL.	source-surface existence only; no legality or compliance inference	Deduplicate with other GDPR rows and keep article-level citation discipline.
SRPH-01107	LIMEN-SIGNAL-4765B409F8C72B37	url_extracted	https://www.mpt.gov.dz/fr/	Ministry of Post and Telecommunications Algeria	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv line 596	Local DZ source-refresh row gives an official portal-bundle URL for the algorithm-register negative check.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	Use only as checked official-portal surface; no algorithm-register absence claim beyond bounded pass.
SRPH-01108	LIMEN-SIGNAL-5392B80605BBCE52	url_extracted	https://www.boz.zm/financial-stability/regulatory-sandbox	Bank of Zambia Regulatory Sandbox	PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv line 789	Local ZM source-refresh row gives explicit BoZ regulatory sandbox URL.	source surface existence/posture only	Use as sectoral financial-sandbox surface; do not treat as AI-specific.
SRPH-01109	LIMEN-SIGNAL-5CCF11F9E80E2E89	url_extracted	https://aesia.digital.gob.es/en/guides	AESIA guides	hermes-v02-expansion-seeds.json line 3250	Seed row explicitly lists AESIA guides URL for Spanish sandbox-guidance surface.	surface existence only	Use guide landing URL; keep sandbox-output claims non-binding and bounded.
SRPH-01110	LIMEN-SIGNAL-5DA1F28F3C9F7A6F	url_extracted	https://www.industry.gov.au/publications/voluntary-ai-safety-standard/10-guardrails	Australia Voluntary AI Safety Standard guardrails	snapshot HTML canonical line 16	Local snapshot HTML has explicit canonical URL for the official policy page.	must resolve the underlying source before any reviewed example or paper claim	Use canonical source URL; limit to policy/guidance surface posture.
SRPH-01111	LIMEN-SIGNAL-68E50BE96E50A491	duplicate_or_existing_core	https://adilet.zan.kz/rus/docs/V2600038422	Adilet / Ministry of Artificial Intelligence and Digital Development	source-reviewed-promotion-hardening-v0.1.tsv line 168; PALLAS_SECOND_PASS_SOURCE_REFRESH_ROLLUP.csv line 4569	Later reviewed-core/source-refresh lineage already resolves KZ I05 to an explicit Adilet URL; the queue card itself remains metadata-only.	source posture only	Point this row to existing core lineage rather than re-opening KZ queue seed.
SRPH-01112	LIMEN-SIGNAL-6FDE69E6105F3216	url_extracted	https://aesia.digital.gob.es/en/guides	AESIA guides from Spanish AI regulatory sandbox pilot	hermes-v02-expansion-seeds.json.bak-arabic-official-seeds-20260605T041340Z line 3250	Backup seed contains explicit AESIA guides URL; nearby line 3270 also lists the practical-guides resource page.	Source-surface existence only; no truth, legality, safety, compliance, or prevalence inference.	Use AESIA guide URL and optionally crosswalk to practical-guides page.
SRPH-01113	LIMEN-SIGNAL-72B5A4AE57D3DD22	url_extracted	https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai	AI Act | Shaping Europe’s digital future	analysis/verification/p0-source-packs/p0-verification-source-packs-v0.2.md line 33	Source-pack index maps the local raw text snapshot to the explicit Commission AI Act page URL.	surface existence only; no truth/compliance inference	Use index URL as parent source for the raw snapshot.
SRPH-01114	LIMEN-SIGNAL-774F1C8CAAE8D57C	url_extracted	http://data.europa.eu/eli/reg/2016/679/oj	EUR-Lex GDPR legal resource	source-cache b70dd85399aee62844e380d6.html lines 52-57	Cached official legal HTML exposes explicit ELI URL for Regulation 2016/679.	Surface existence/posture only from local metadata.	Deduplicate with other GDPR rows; do not promote to compliance/legal conclusions.
SRPH-01115	LIMEN-SIGNAL-7E120D57A1E90F3D	url_extracted	https://www.rbf.gov.fj/fintech-regulatory-sandbox-guideline/	Reserve Bank of Fiji FinTech Regulatory Sandbox Guideline	PALLAS_SECOND_PASS_SPRINT_5_SOURCE_REFRESH.csv line 117	Local Fiji source-refresh row gives explicit RBF sandbox guideline URL.	existence/posture only; no truth, legality, compliance, safety, prevalence, or ranking inference	Use as sectoral fintech-sandbox source; no AI-specific sandbox claim.
