signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-5FD9EE74305DDC7A	needs_named_source_extraction	source_pack_or_index_row	Scholarly/index metadata points toward sources but does not expose a named reviewable surface.	metadata points toward a source but no named surface is exposed yet	extract or name the underlying source surface first	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl
LIMEN-SIGNAL-5FF32782A4D52501	reject_noise	derived_internal_artifact	Derived internal prose/config/digest row is not a direct-source surface.	derived/internal artifact only; not a direct-source claim	remove from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/runtime/hermes/gaia-export/gaia-atlas-annex.json
LIMEN-SIGNAL-5FFA37CD33F7FB71	negative_evidence_candidate	negative_search_or_gap_anchor	Local row records bounded search-negative or absence evidence only.	absence/gap note only; not proof of non-existence	retain as bounded negative evidence anchor	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-60063A4FA06CC346	merge_existing_surface	existing_modeled_surface	Local registry-family row duplicates an already-modeled direct surface.	dedupe to existing modeled surface; no new substantive claim	link to existing modeled surface and drop duplicate	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-022/field-coding-subset-materialization-v0.1.csv
LIMEN-SIGNAL-6011B62C7F1A4A13	negative_evidence_candidate	negative_search_or_gap_anchor	Country/profile summary records absence or evidence-limit findings only.	absence/gap note only; not proof of non-existence	retain as bounded negative evidence anchor	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-6024803229C91396	negative_evidence_candidate	negative_search_or_gap_anchor	Local row records bounded search-negative or absence evidence only.	absence/gap note only; not proof of non-existence	retain as bounded negative evidence anchor	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-6026AD94010A5C66	merge_existing_surface	existing_modeled_surface	Local registry-family row duplicates an already-modeled direct surface.	dedupe to existing modeled surface; no new substantive claim	link to existing modeled surface and drop duplicate	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-all-record-source-summary-20260607.csv
LIMEN-SIGNAL-606305486301CCF9	source_reviewed_candidate	named_direct_surface	Names a concrete official or institutional surface suitable for bounded source review.	source-surface existence only; no incident or compliance inference	queue bounded source-surface review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv
LIMEN-SIGNAL-606A92D11554CA95	needs_named_source_extraction	source_pack_or_index_row	Scholarly/index metadata points toward sources but does not expose a named reviewable surface.	metadata points toward a source but no named surface is exposed yet	extract or name the underlying source surface first	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/data/lanes/articles-books-proceedings-latest.jsonl
LIMEN-SIGNAL-606C5D3AA23C6E86	negative_evidence_candidate	negative_search_or_gap_anchor	Local row records bounded search-negative or absence evidence only.	absence/gap note only; not proof of non-existence	retain as bounded negative evidence anchor	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_SOURCE_REFRESH.csv
LIMEN-SIGNAL-607270641D6CDB92	needs_named_source_extraction	source_pack_or_index_row	Scholarly/index metadata points toward sources but does not expose a named reviewable surface.	metadata points toward a source but no named surface is exposed yet	extract or name the underlying source surface first	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl
LIMEN-SIGNAL-60890FD95A81C7C6	needs_named_source_extraction	source_pack_or_index_row	Derived atlas/history row points toward a source but does not name the reviewable surface yet.	metadata points toward a source but no named surface is exposed yet	extract or name the underlying source surface first	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/gaia-agent-atlas/gaia-governanceMonitors-history.jsonl
LIMEN-SIGNAL-608B7769E40C3ABA	source_reviewed_candidate	named_direct_surface	Names a concrete official or institutional surface suitable for bounded source review.	source-surface existence only; no incident or compliance inference	queue bounded source-surface review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_SOURCE_PACK.csv
LIMEN-SIGNAL-6093E9587FF4D9F2	needs_named_source_extraction	source_pack_or_index_row	Proxy/index row points toward a source but does not expose one named reviewable surface yet.	metadata points toward a source but no named surface is exposed yet	extract or name the underlying source surface first	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-016/candidate-negative-source-table-v0.3.csv
LIMEN-SIGNAL-609720F5B32EA4F9	needs_named_source_extraction	source_pack_or_index_row	Derived atlas/history row points toward a source but does not name the reviewable surface yet.	metadata points toward a source but no named surface is exposed yet	extract or name the underlying source surface first	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/gaia-agent-atlas/gaia-governanceMonitors-history.jsonl
LIMEN-SIGNAL-6098AB2B5E5FEE16	reject_noise	derived_internal_artifact	Derived internal prose/config/digest row is not a direct-source surface.	derived/internal artifact only; not a direct-source claim	remove from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T193348Z/claim-support-digest.json
LIMEN-SIGNAL-60A180395ED0A17F	source_reviewed_candidate	named_direct_surface	Names a concrete direct source surface suitable for bounded source review.	source-surface existence only; no incident or compliance inference	queue bounded source-surface review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv
LIMEN-SIGNAL-60A393C6125F0A72	translation_review_needed	translation_sensitive_direct_surface	Dutch register surface is named, but the local evidence is translation-sensitive.	translation-safe surface review only; no legal or policy conclusion	route to translation-aware source review	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-012/complaints-field-split-recode-v0.1.csv
LIMEN-SIGNAL-60A3E1F39653EF20	needs_named_source_extraction	source_pack_or_index_row	Scholarly/index metadata points toward sources but does not expose a named reviewable surface.	metadata points toward a source but no named surface is exposed yet	extract or name the underlying source surface first	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl
