row_id	signal_id	translation_review_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
TH-00233	LIMEN-SIGNAL-7C6B04B767016DEE	translation_source_reviewed	finnish/english	https://ai.hel.fi/en/	City of Helsinki AI principles	Named municipal Helsinki AI transparency surface and local source-pack row are enough for bounded source-surface review.	translation-safe source review only; no legal or policy conclusion from machine translation	Keep as municipal transparency context only; do not treat as national register.
TH-00239	LIMEN-SIGNAL-7E73D4938FA2FC69	needs_original_language_source	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/standards-pki-digital-id-exception-cohort.csv:59	Guatemala world-matrix negative summary	World-matrix-only row has no original-language locator or named source surface for the register gap.	translation-safe source review only; no legal or policy conclusion from machine translation	Find exact Guatemala government/open-data/procurement source URLs before any translation-dependent use.
TH-00259	LIMEN-SIGNAL-8B68660EBA4471B4	cross_project_duplicate	korean	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-006/pilot-review-packets-v0.1.csv:5	South Korea pilot review packet	Pallas pilot-packet metadata is a derived bridge/review artifact, not an original Korean source surface.	translation-safe source review only; no legal or policy conclusion from machine translation	Route to the Pallas/GAIA packet and replace with exact Korean source locators if needed.
TH-00260	LIMEN-SIGNAL-8BCBD9FAE9A0ED65	translation_source_reviewed	lithuanian	https://data.gov.lt/	Public algorithm register negative check	Local source-refresh row names Lithuania open-data portal and negative register-check context.	translation-safe source review only; no legal or policy conclusion from machine translation	Retain as cautious adjacent/negative source-surface note; no absence claim beyond this pass.
TH-00262	LIMEN-SIGNAL-8E75BA93A1BBCBDF	translation_source_reviewed	english	https://knowledge4policy.ec.europa.eu/sites/default/files/cyprus_ai_strategy.pdf	Cyprus National Artificial Intelligence Strategy	Named official strategy PDF locator and local excerpt give enough procurement/data-governance source surface.	translation-safe source review only; no legal or policy conclusion from machine translation	Use only as strategy/procurement-adjacent context, not operational AI procurement rules.
TH-00266	LIMEN-SIGNAL-903976120A414116	machine_translation_hold	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-confidence-burden-typology-v0.1.json:5933	Pallas confidence-burden summary	Aggregated English summary lacks original-language source URLs and is not itself a reviewable source.	translation-safe source review only; no legal or policy conclusion from machine translation	Hold until exact government/source URLs behind the summary are extracted.
TH-00269	LIMEN-SIGNAL-9183207ED2FB1C6A	translation_source_reviewed	english	https://eur-lex.europa.eu/eli/reg/2024/1689/oj	Regulation (EU) 2024/1689 - AI sandbox provisions	EUR-Lex/OJ locator is named and source-pack row provides bounded EU sandbox baseline context.	translation-safe source review only; no legal or policy conclusion from machine translation	Use only for EU baseline context; separate Lithuania-specific implementation evidence.
TH-00276	LIMEN-SIGNAL-94F923C3A8D72220	reject_noise	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-019/negative-source-search-ledger-template-v0.1.json:78	negative-source-search ledger template	Template-pending bounded_search_scope text is workflow metadata, not a source document.	translation-safe source review only; no legal or policy conclusion from machine translation	Do not promote; wait for a completed ledger row with named source locators.
TH-00281	LIMEN-SIGNAL-966E3B5D73577FD7	translation_source_reviewed	english/local_metadata	https://nbe.gov.et/; https://www.eca.et/	Ethiopia sandbox targeted search result	Local source-refresh row names NBE/ECA loci and the bounded negative sandbox search surface.	translation-safe source review only; no legal or policy conclusion from machine translation	Retain as cautious negative-search note; do not infer no sandbox outside checked surfaces.
TH-00296	LIMEN-SIGNAL-9E182478834EDF45	translation_source_reviewed	english	https://statehouse.gov.sl/	Sierra Leone official public-source root	Named official government root is present with local source-pack negative transparency-register context.	translation-safe source review only; no legal or policy conclusion from machine translation	Use only as weak root-level gap evidence; harden with exact register/open-data searches.
TH-00299	LIMEN-SIGNAL-A0BF64CA450C662C	reject_noise	ar; en; fr	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-007/readiness-negative-route-protocol-v0.1.md:21	Bahrain readiness negative-route protocol row	Protocol table row describes planned search scope, not an original-language source surface.	translation-safe source review only; no legal or policy conclusion from machine translation	Do not promote; execute URL extraction/source search for Bahrain if still needed.
TH-00301	LIMEN-SIGNAL-A14D79F92E68D5C6	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/15583895	Module to screen for language bias	Public AI Registry accession row is an upstream Dutch registry corpus artifact and duplicate route.	translation-safe source review only; no legal or policy conclusion from machine translation	Deduplicate to public-ai-registry canonical record, not LIMEN translation promotion.
TH-00304	LIMEN-SIGNAL-A18AE3BA30595634	translation_source_reviewed	english/french	https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai	European Commission AI Act policy page	Named EU official page and France source-pack context are enough for bounded source-surface review.	translation-safe source review only; no legal or policy conclusion from machine translation	Use for EU/France sandbox timeline context only; avoid national implementation overclaim.
TH-00315	LIMEN-SIGNAL-A6CE9F84005343A2	reject_noise	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_WEAK_SOURCE_WARNINGS.md:624	Pallas weak-source warning on AI procurement governance	Warning prose is internal derivative synthesis with no named original source locator in the row.	translation-safe source review only; no legal or policy conclusion from machine translation	Replace with specific ANAP/SEAP or strategy source URLs before source review.
TH-00316	LIMEN-SIGNAL-A72A8CBB594D9C95	candidate_for_url_extraction	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_HARDENING_SUMMARY.csv:6	Ethiopia hardening summary	Aggregated hardening row lists source names but not the exact source URLs needed here.	translation-safe source review only; no legal or policy conclusion from machine translation	Extract the named Ethiopia source URLs from the underlying source-refresh ledger.
TH-00321	LIMEN-SIGNAL-A9328989A6C0F2EA	needs_original_language_source	hebrew	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv:573	Israel public AI/algorithm register gap lead	Candidate row says further Hebrew-language search is needed and gives only various/current locator.	translation-safe source review only; no legal or policy conclusion from machine translation	Acquire exact Hebrew/original government source URLs before any gap conclusion.
TH-00324	LIMEN-SIGNAL-AC005735B19FC013	translation_source_reviewed	english	https://knowledge4policy.ec.europa.eu/sites/default/files/cyprus_ai_strategy.pdf	Cyprus National Artificial Intelligence Strategy transparency language	Named official strategy PDF locator and local transparency/traceability excerpt are reviewable.	translation-safe source review only; no legal or policy conclusion from machine translation	Use as strategy transparency language only, not proof of an operational register.
TH-00327	LIMEN-SIGNAL-ADC693812F753914	translation_source_reviewed	english	https://mocti.gov.sl/sierra-leone-data-strategy-february-2023/	Sierra Leone Data Strategy - February 2023	Named MoCTI data-strategy page and local note are enough for bounded data-governance source review.	translation-safe source review only; no legal or policy conclusion from machine translation	Retain as data-governance/open-data context, not algorithm-register evidence.
TH-00331	LIMEN-SIGNAL-AF2502FC49240D81	translation_source_reviewed	lithuanian	https://data.gov.lt/	Lietuvos atviru duomenu portalas	Named Lithuanian open-data portal and local source-refresh row provide a bounded transparency surface.	translation-safe source review only; no legal or policy conclusion from machine translation	Retain as adjacent open-data infrastructure; do not treat as algorithm register.
TH-00332	LIMEN-SIGNAL-AF715E67CCBC4452	machine_translation_hold	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_REVIEW_LOAD.csv:64	Yemen country-review warning summary	Aggregated warning text has no named original MTIT source URL in this row.	translation-safe source review only; no legal or policy conclusion from machine translation	Hold until MTIT privacy/cyber source locators are extracted and reviewed.
TH-00333	LIMEN-SIGNAL-AFE92F6ED26F8514	candidate_for_url_extraction	chinese	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-confidence-burden-typology-v0.1.csv:11	China confidence-burden row	Row explicitly notes CAC/MIIT exact permalinks need harvest; local context is not the source surface.	translation-safe source review only; no legal or policy conclusion from machine translation	Extract CAC/MIIT permalinks before translation-source review.
TH-00340	LIMEN-SIGNAL-B4E3DC6CF4F9A1BF	translation_source_reviewed	english	https://bsl.gov.sl/BSL_Sandbox_Program.html	BSL Sandbox Program	Named Bank of Sierra Leone sandbox page and local excerpt are enough for bounded source-surface review.	translation-safe source review only; no legal or policy conclusion from machine translation	Use only as sectoral fintech sandbox evidence; do not generalize to AI sandbox.
TH-00341	LIMEN-SIGNAL-B529F23C22421D41	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/15583895	Module to screen for language bias	Duplicate public-ai-registry Dutch Algorithm Register accession for the same NL-ALG-15583895 record.	translation-safe source review only; no legal or policy conclusion from machine translation	Deduplicate to public-ai-registry canonical record.
TH-00349	LIMEN-SIGNAL-B82CDFB888CF3AEF	translation_source_reviewed	english/local_metadata	https://mint.gov.et/	Ministry of Innovation and Technology Ethiopia	Named Ethiopian digital-ministry locator and local negative register context are reviewable at source-surface level.	translation-safe source review only; no legal or policy conclusion from machine translation	Keep as weak transparency-anchor note; verify exact open-data/register searches separately.
TH-00352	LIMEN-SIGNAL-B96119D5FF241246	cross_project_duplicate	korean	/srv/tyche/pallas/pallas-ai-agent-observatory/results/pallas-gaia-bridge/paper-claim-signals.md:28	NAVER Cloud CLOVA CareCall bridge signal	Pallas-GAIA bridge claim-signal row is derived review metadata, not a Korean source surface.	translation-safe source review only; no legal or policy conclusion from machine translation	Route upstream to Pallas/GAIA packet and extract exact Korean locators there.
TH-00357	LIMEN-SIGNAL-BBFEC19ADE1351F5	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/82319377	Smart Language	Public AI Registry candidate row is an upstream Dutch registry artifact for the same canonical corpus.	translation-safe source review only; no legal or policy conclusion from machine translation	Deduplicate to public-ai-registry canonical record.
TH-00364	LIMEN-SIGNAL-BF8B9AF60B9DA210	cross_project_duplicate	ms	/srv/tyche/pallas/pallas-ai-agent-observatory/results/pallas-gaia-bridge/paper-claim-signals.md:29	AISHAH AI Chatbot bridge signal	Pallas-GAIA bridge claim-signal row is derived review metadata, not a Malaysian source surface.	translation-safe source review only; no legal or policy conclusion from machine translation	Route upstream to Pallas/GAIA packet and extract exact Malay/official locators there.
TH-00369	LIMEN-SIGNAL-C36049721006112A	candidate_for_url_extraction	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_4_COUNTRY_SCORE_DELTA.csv:26	Lesotho algorithm-register negative check	Score-delta row names gov.ls and AI policy checks but omits exact URLs in this row.	translation-safe source review only; no legal or policy conclusion from machine translation	Extract the specific gov.ls and AI policy locators before translation-source review.
TH-00378	LIMEN-SIGNAL-C844886B1F990C26	cross_project_duplicate	dutch	https://algoritmes.overheid.nl/en/algoritme/88456515	Sounding language	Public AI Registry accession row is upstream metadata for a Dutch register record.	translation-safe source review only; no legal or policy conclusion from machine translation	Deduplicate to public-ai-registry canonical record.
TH-00383	LIMEN-SIGNAL-CB5F97C3E6972C7C	machine_translation_hold	language_not_resolved	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/country-readiness-world-matrix.json:4412	World-readiness matrix summary	Aggregated readiness summary lacks exact source locators and is not a source document.	translation-safe source review only; no legal or policy conclusion from machine translation	Hold until underlying source rows are selected and reviewed.
