row_id	signal_id	translation_hold_class	review_priority	shards	queries	language_hint	source_path_family	source_url	source_path	source_line	title_or_snippet	claim_ceiling	next_action	forbidden_overread
TH-00233	LIMEN-SIGNAL-7C6B04B767016DEE	foreign_language_official_or_public_surface	P1_official_or_regulator_review	public-sector	AI register	finnish	srv/tyche/pallas	https://ai.hel.fi/en/	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	373	FI,Finland,I05,City of Helsinki AI principles,City of Helsinki,https://ai.hel.fi/en/,2026-05-30,municipal transparency website,Provides public-facing AI governance/transparency context linked to the Helsinki AI Register,M,Not a national register.	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00239	LIMEN-SIGNAL-7E73D4938FA2FC69	foreign_language_official_or_public_surface	P1_official_or_regulator_review	public-sector	algorithm register	language_not_resolved	srv/tyche/pallas		/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/standards-pki-digital-id-exception-cohort.csv	59	GT,Guatemala,weak,D thin visibility,31.6,0.68,2.0,0.5,2,2,2,1,0,0,1,17,4,world-matrix-only-no-language-column,,0,no enacted AI-specific law found; no AI regulator found; no AI sandbox found; no public algorithm register found; procurement AI governance not fou	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00259	LIMEN-SIGNAL-8B68660EBA4471B4	foreign_language_official_or_public_surface	P1_official_or_regulator_review	public-sector	algorithm register	korean	srv/tyche/pallas		/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-006/pilot-review-packets-v0.1.csv	5	pilot-packet-04-kr-006c,KR,South Korea,4,31,reserve_queue,2,2,0,0,B structured but incomplete,C fragmented governance route=2,PUBLIC_REGISTER_WEAK=2; AUDIT_PROVENANCE_WEAK=2; TRANSLATION_REVIEW=2; HIGH_IMPACT_VERTICAL=2; EU_AI_ACT_ROUTE_REVIEW=2; GAIA_HUMAN_RE	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00260	LIMEN-SIGNAL-8BCBD9FAE9A0ED65	foreign_language_official_or_public_surface	P1_official_or_regulator_review	public-sector	algorithm register	language_not_resolved	srv/tyche/pallas	https://data.gov.lt/	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_SOURCE_REFRESH.csv	201	LT,Lithuania,I05,Public algorithm register negative check,Official-source recrawl across data.gov.lt and national targets,https://data.gov.lt/,2026-05-31,negative evidence note,no public algorithm register found,M,No official Lithuania-wide public algorithm re	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00262	LIMEN-SIGNAL-8E75BA93A1BBCBDF	foreign_language_official_or_public_surface	P1_official_or_regulator_review	public-sector	AI procurement	language_not_resolved	srv/tyche/pallas	https://knowledge4policy.ec.europa.eu/sites/defa	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_SOURCE_REFRESH.csv	181	CY,Cyprus,I08,National Artificial Intelligence Strategy: public-contract software/API data provision language,Department of Electronic Communications / Republic of Cyprus via European Commission Knowledge4Policy,https://knowledge4policy.ec.europa.eu/sites/defa	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00266	LIMEN-SIGNAL-903976120A414116	foreign_language_official_or_public_surface	P1_official_or_regulator_review	public-sector	algorithm register	language_not_resolved	srv/tyche/pallas		/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-confidence-burden-typology-v0.1.json	5933	"summary: ""First-pass public evidence shows operational digital-government, electronic-signature, transparency/open-data, standards-body and procurement infrastructure, plus cybersecurity strategy language. AI-specific legal implementation, a named AI regulat"	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00269	LIMEN-SIGNAL-9183207ED2FB1C6A	foreign_language_official_or_public_surface	P1_official_or_regulator_review	public-sector	regulatory sandbox	language_not_resolved	srv/tyche/pallas	https://eur-lex.europa.eu/eli/reg/2024/1689/oj	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	613	LT,Lithuania,I03,Regulation (EU) 2024/1689 - AI regulatory sandbox provisions,EUR-Lex / Official Journal of the European Union,https://eur-lex.europa.eu/eli/reg/2024/1689/oj,2026-05-30,EU legal text,AI Act sandbox requirement baseline,H,Official requirement co	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00276	LIMEN-SIGNAL-94F923C3A8D72220	foreign_language_official_or_public_surface	P1_official_or_regulator_review	public-sector	algorithm register	language_not_resolved	srv/tyche/pallas		/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-019/negative-source-search-ledger-template-v0.1.json	78	"bounded_search_scope: ""seed source; original-language government or agency source; public service/program page; procurement/open-data or disclosure route if explicitly public; public AI/algorithm register or inventory route if any; translation note"","	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00281	LIMEN-SIGNAL-966E3B5D73577FD7	foreign_language_official_or_public_surface	P1_official_or_regulator_review	public-sector	regulatory sandbox	language_not_resolved	srv/tyche/pallas	https://nbe.gov.et/	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_SOURCE_REFRESH.csv	169	ET,Ethiopia,I03,Ethiopia sandbox targeted search result,National Bank of Ethiopia / Ethiopian Communications Authority,https://nbe.gov.et/; https://www.eca.et/,2026-05-31,negative_search,negative_evidence,M,Targeted public searches of NBE and ECA for regulator	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00296	LIMEN-SIGNAL-9E182478834EDF45	foreign_language_official_or_public_surface	P1_official_or_regulator_review	public-sector	algorithm register	language_not_resolved	srv/tyche/pallas	https://statehouse.gov.sl/	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_6_SOURCE_PACK.csv	393	SL,Sierra Leone,I05,Sierra Leone official public-source root,Sierra Leone official public-source root,https://statehouse.gov.sl/,2026-05-30,official_government_or_territorial_portal,negative check / gap evidence,L,Government and open-data portals were treated	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
