case_id	cve_id	platform	record_status	current_evidence_tier	role_bucket	source_id	source_kind	authority_character	supports	cannot_support	independence_level	exactness_level	reviewer_use	dashboard_hook	verification_gap
LIMEN-000001	CVE-2023-37274	Auto-GPT	authoritative	T3_authoritative_source	primary_cve_record	LIMEN-S-006	public_cve_or_cna_record	primary public vulnerability record for narrow technical claim and disclosed mitigation text	case existence, CVE identifier, bounded vulnerability summary, and any fix/workaround language explicitly present in the record	prevalence, exploit frequency, legal responsibility, or complete remediation certainty beyond the record text	semi_independent_registry_or_cna_disclosure	case_specific_primary_record	Base row for manuscript tables: every security case starts from a bounded primary public record rather than from framework taxonomy alone.	role=primary_cve_record	keep AVID linkage negative/indirect unless a canonical AVID report appears; do not narrate AML.CS0052 as a CVE-specific match
LIMEN-000001	CVE-2023-37274	Auto-GPT	authoritative	T3_authoritative_source	vendor_security_advisory	LIMEN-S-012	vendor_security_advisory	issuer-authored remediation notice with concrete timing metadata	issuer-side remediation visibility, acknowledgement timing, and public patch framing	independent validation, prevalence, or compliance conclusions	issuer_self_report	case_specific_notice	usable for remediation-timeline overlay and issuer-vs-CVE timing comparison	vendor_notice_status=yes; notice_type=vendor_security_advisory; remediation_visibility_bucket=strong	No immediate tier change needed; keep as remediation-visibility support and avoid converting notice depth into prevalence claims.
LIMEN-000001	CVE-2023-37274	Auto-GPT	authoritative	T3_authoritative_source	external_framework_negative_or_absent	AVID-local-snapshot-negative	AVID_snapshot_negative_evidence	negative evidence from the local AVID snapshot used in this project	a bounded statement that no canonical AVID report was present in the local checked snapshot	ecosystem absence or universal non-existence outside the local package state	independent_framework_database	negative_local_snapshot_only	Useful as hostile-reviewer-safe package-state evidence only.	role=framework_negative_evidence; framework=AVID	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.
LIMEN-000001	CVE-2023-37274	Auto-GPT	authoritative	T3_authoritative_source	external_framework_indirect_case_context	AML.CS0052	ATLAS_case_study_context	generalized framework case-study context rather than a CVE-specific join	technique-family context and reviewer-safe explanation of similar agent-tool boundary failures	exact case identity match, product-specific adjudication, or stronger evidence tier by itself	independent_framework_taxonomy	indirect_generalized_context	Keep manuscript language at context/comparator level rather than incident-ID equivalence.	role=indirect_framework_context; framework=ATLAS	Keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists.
LIMEN-000002	CVE-2024-37014	Langflow	candidate	T1_single_public_source	primary_cve_record	LIMEN-S-007	public_cve_or_cna_record	primary public vulnerability record for narrow technical claim and disclosed mitigation text	case existence, CVE identifier, bounded vulnerability summary, and any fix/workaround language explicitly present in the record	prevalence, exploit frequency, legal responsibility, or complete remediation certainty beyond the record text	semi_independent_registry_or_cna_disclosure	case_specific_primary_record	Base row for manuscript tables: every security case starts from a bounded primary public record rather than from framework taxonomy alone.	role=primary_cve_record	direct vendor advisory or release-note-grade remediation statement still needed before stronger comparative use; exact fixed-version language remains unavailable; keep ATLAS linkage indirect rather than CVE-specific
LIMEN-000002	CVE-2024-37014	Langflow	candidate	T1_single_public_source	vendor_repo_issue	LIMEN-S-014	vendor_repo_issue_not_formal_advisory	issuer-controlled repo discussion surface below formal advisory grade	provenance that a public issue/report exists	formal remediation completeness, fixed-version certainty, or tier upgrade by closure state alone	issuer_self_report	case_specific_but_low_notice_depth	usable as weak/partial notice-presence marker; do not treat as full remediation visibility	vendor_notice_status=partial; notice_type=repo_issue; remediation_visibility_bucket=weak	Seek a formal vendor advisory or release-note-grade remediation statement before promoting beyond candidate/T1.
LIMEN-000002	CVE-2024-37014	Langflow	candidate	T1_single_public_source	external_framework_direct_incident_id	AVID-2026-R1495	AVID_report	structured external incident/vulnerability database with exact local report identifier	exact external incident-ID interoperability and security taxonomy reuse	vendor remediation depth or stronger case authority than the underlying LIMEN evidence tier	independent_framework_database	exact_external_report_id	This is the cleanest interoperability row in the current package, but it still does not upgrade Langflow beyond candidate/T1.	role=direct_framework_join; framework=AVID	Patch canonical AVID report ID into candidate record; keep ATLAS case-study linkage indirect.
LIMEN-000002	CVE-2024-37014	Langflow	candidate	T1_single_public_source	external_framework_indirect_case_context	AML.CS0052	ATLAS_case_study_context	generalized framework case-study context rather than a CVE-specific join	technique-family context and reviewer-safe explanation of similar agent-tool boundary failures	exact case identity match, product-specific adjudication, or stronger evidence tier by itself	independent_framework_taxonomy	indirect_generalized_context	Keep manuscript language at context/comparator level rather than incident-ID equivalence.	role=indirect_framework_context; framework=ATLAS	Patch canonical AVID report ID into candidate record; keep ATLAS case-study linkage indirect.
LIMEN-000002	CVE-2024-37014	Langflow	candidate	T1_single_public_source	negative_vendor_advisory_listing_check	LIMEN-S-019	vendor_advisory_listing_negative_check	bounded negative check against the public Langflow advisory listing	a narrow package-state statement that no formal advisory keyed to the CVE was identified in the checked listing	ecosystem absence or proof that no advisory exists anywhere outside the bounded check	issuer_self_report	negative_bounded_listing_check	Hostile-reviewer-safe negative evidence for notice-depth asymmetry.	role=negative_notice_check; issuer=Langflow	Needs a direct vendor advisory or release-note-grade remediation statement before stronger comparative use or any fixed-version language.
LIMEN-000003	CVE-2025-55284	Claude Code	authoritative	T3_authoritative_source	primary_cve_record	LIMEN-S-008	public_cve_or_cna_record	primary public vulnerability record for narrow technical claim and disclosed mitigation text	case existence, CVE identifier, bounded vulnerability summary, and any fix/workaround language explicitly present in the record	prevalence, exploit frequency, legal responsibility, or complete remediation certainty beyond the record text	semi_independent_registry_or_cna_disclosure	case_specific_primary_record	Base row for manuscript tables: every security case starts from a bounded primary public record rather than from framework taxonomy alone.	role=primary_cve_record	keep framework linkage at technique/taxonomy level until a direct AVID report or ATLAS case-study exists
