row_type	subject_id	autonomy_level	mechanism_family	case_count	case_ids	platforms	record_status_profile	evidence_tier_profile	publication_bucket_profile	authority_shape_profile	external_interoperability_profile	control_surface_examples	reviewer_safe_reading	next_smallest_publishability_move	paper_thesis_use	dashboard_hook	access_date
autonomy_mechanism_group	AMPM-multi_step_agentic-unsafe_code_execution	multi_step_agentic	unsafe_code_execution	1	LIMEN-000001	Auto-GPT	authoritative:1	T3_authoritative_source:1	1_core_results:1	vendor_advisory_exact_fix_visible:1	indirect_atlas_context_only:1	execute_python_code	Useful for bounded methods/results comparison of autonomy level versus mechanism and publication bucket.	preserve current claim ceiling unless a direct same-case authority or interoperability event lands	Supports a shard-004 control-stack figure/table showing how autonomy mode, mechanism family, and publication bucket do not move together.	security_control_stack_sankey_or_matrix	2026-06-08
autonomy_mechanism_group	AMPM-tool_use_autonomous-exfiltration_or_credential_exposure	tool_use_autonomous	exfiltration_or_credential_exposure	2	LIMEN-000004; LIMEN-000005	CrewAI; CrewAI	authoritative:2	T3_authoritative_source:2	2_appendix_supporting_results:2	coordination_plus_vendor_release_note:2	technique_context_only:2	JSON loader tool; RAG search tools	Useful for bounded methods/results comparison of autonomy level versus mechanism and publication bucket.	preserve current claim ceiling unless a direct same-case authority or interoperability event lands	Supports a shard-004 control-stack figure/table showing how autonomy mode, mechanism family, and publication bucket do not move together.	security_control_stack_sankey_or_matrix	2026-06-08
autonomy_mechanism_group	AMPM-tool_use_autonomous-identity_boundary_abuse	tool_use_autonomous	identity_boundary_abuse	1	LIMEN-000009	PraisonAI Platform	authoritative:1	T3_authoritative_source:1	2_appendix_supporting_results:1	vendor_advisory_exact_fix_visible:1	no_external_join_visible:1	workspace membership management	Use as a bounded authorization-boundary exemplar only; current support is still vendor-advisory-centric.	one second non-framework identity/authorization row or one direct external interoperability join	Supports a shard-004 control-stack figure/table showing how autonomy mode, mechanism family, and publication bucket do not move together.	security_control_stack_sankey_or_matrix	2026-06-08
autonomy_mechanism_group	AMPM-tool_use_autonomous-memory_state_contamination	tool_use_autonomous	memory_state_contamination	1	LIMEN-000008	LangChain	authoritative:1	T3_authoritative_source:1	1_core_results:1	vendor_advisory_exact_fix_visible:1	no_external_join_visible:1	load() / loads()	Shows the package is not only about execution or exfiltration, but remains a singleton mechanism family.	one independent or scholarly attachment for the lone memory/state row	Supports a shard-004 control-stack figure/table showing how autonomy mode, mechanism family, and publication bucket do not move together.	security_control_stack_sankey_or_matrix	2026-06-08
autonomy_mechanism_group	AMPM-tool_use_autonomous-unsafe_code_execution	tool_use_autonomous	unsafe_code_execution	2	LIMEN-000006; LIMEN-000007	LangChain; LlamaIndex	authoritative:2	T3_authoritative_source:2	2_appendix_supporting_results:2	independent_lab_source_qualified_fix:2	technique_context_only:2	Python exec; safe_eval	Best current scholarly-gap closure surface because two autonomous framework rows already carry independent-lab support.	peer-reviewed or conference-grade attachment for CVE-2023-29374 first, with CVE-2024-3271 as fallback	Supports a shard-004 control-stack figure/table showing how autonomy mode, mechanism family, and publication bucket do not move together.	security_control_stack_sankey_or_matrix	2026-06-08
autonomy_mechanism_group	AMPM-tool_use_human_approved-exfiltration_or_credential_exposure	tool_use_human_approved	exfiltration_or_credential_exposure	1	LIMEN-000003	Claude Code	authoritative:1	T3_authoritative_source:1	1_core_results:1	vendor_advisory_exact_fix_visible:1	technique_context_only:1	file read	Useful for bounded methods/results comparison of autonomy level versus mechanism and publication bucket.	preserve current claim ceiling unless a direct same-case authority or interoperability event lands	Supports a shard-004 control-stack figure/table showing how autonomy mode, mechanism family, and publication bucket do not move together.	security_control_stack_sankey_or_matrix	2026-06-08
autonomy_mechanism_group	AMPM-tool_use_human_approved-supply_chain_or_plugin_extension	tool_use_human_approved	supply_chain_or_plugin_extension	2	LIMEN-000012; LIMEN-000016	Playwright MCP Server; ToolHive	authoritative:2	T3_authoritative_source:2	2_appendix_supporting_results:2	vendor_advisory_exact_fix_visible:1; vulnerability_record_plus_independent_registry_cluster_plus_vendor_release_note:1	exact_avid_join_present:1; no_external_join_visible:1	MCP server; MCP server deployment utility	Use as a bounded MCP/deployment trust-boundary slice, not as broad MCP-ecosystem prevalence evidence.	exact ATLAS or independent same-case attachment for Playwright MCP or ToolHive, or one non-MCP event-grade trust-boundary row	Supports a shard-004 control-stack figure/table showing how autonomy mode, mechanism family, and publication bucket do not move together.	security_control_stack_sankey_or_matrix	2026-06-08
autonomy_mechanism_group	AMPM-tool_use_human_approved-unsafe_code_execution	tool_use_human_approved	unsafe_code_execution	1	LIMEN-000002	Langflow	candidate:1	T1_single_public_source:1	3_limitations_queue_only:1	candidate_exact_join_notice_gap:1	exact_avid_join_present:1	custom components	Visible as a cautionary slice: autonomy and mechanism are observable, but at least one row still fails notice-depth or authority thresholds.	threshold-changing vendor-notice or authority upgrade for the limitations-held row before treating this slice as manuscript-balanced	Supports a shard-004 control-stack figure/table showing how autonomy mode, mechanism family, and publication bucket do not move together.	security_control_stack_sankey_or_matrix	2026-06-08
autonomy_summary	AMPM-SUM-multi_step_agentic	multi_step_agentic	summary	1	LIMEN-000001	Auto-GPT			1_core_results:1			unsafe_code_execution:1	Autonomy level is a useful routing variable for paper figures, but not a proxy for severity, prevalence, or governance maturity by itself.	Use together with mechanism-level and authority-level controls; do not narrate autonomy alone as risk ranking.	Supports a paper/thesis subplot on where human-approved, autonomous, and multi-step-agentic rows currently sit in the evidence package.	security_control_stack_autonomy_panel	2026-06-08
autonomy_summary	AMPM-SUM-tool_use_autonomous	tool_use_autonomous	summary	6	LIMEN-000004; LIMEN-000005; LIMEN-000006; LIMEN-000007; LIMEN-000008; LIMEN-000009	CrewAI; LangChain; LlamaIndex; PraisonAI Platform			1_core_results:1; 2_appendix_supporting_results:5			exfiltration_or_credential_exposure:2; identity_boundary_abuse:1; memory_state_contamination:1; unsafe_code_execution:2	Autonomy level is a useful routing variable for paper figures, but not a proxy for severity, prevalence, or governance maturity by itself.	Use together with mechanism-level and authority-level controls; do not narrate autonomy alone as risk ranking.	Supports a paper/thesis subplot on where human-approved, autonomous, and multi-step-agentic rows currently sit in the evidence package.	security_control_stack_autonomy_panel	2026-06-08
autonomy_summary	AMPM-SUM-tool_use_human_approved	tool_use_human_approved	summary	4	LIMEN-000002; LIMEN-000003; LIMEN-000012; LIMEN-000016	Claude Code; Langflow; Playwright MCP Server; ToolHive			1_core_results:1; 2_appendix_supporting_results:2; 3_limitations_queue_only:1			exfiltration_or_credential_exposure:1; supply_chain_or_plugin_extension:2; unsafe_code_execution:1	Autonomy level is a useful routing variable for paper figures, but not a proxy for severity, prevalence, or governance maturity by itself.	Use together with mechanism-level and authority-level controls; do not narrate autonomy alone as risk ranking.	Supports a paper/thesis subplot on where human-approved, autonomous, and multi-step-agentic rows currently sit in the evidence package.	security_control_stack_autonomy_panel	2026-06-08
