source_cluster_key	packet_rows	signal_ids	source_lanes	source_host	source_url_or_locator	source_name	queries	representative_title_or_snippet	public_disposition	completion_status	destination	rationale	required_before_reviewed_core	required_before_obscure_ai	boundary
https://doi.org/10.1093/9780191996030.003.0021	1	LIMEN-SIGNAL-C17E97032A64746D	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1093/9780191996030.003.0021	doi.org	regulatory sandbox	Row points toward a possible source family, but the underlying named direct surface is not extracted in local metadata.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1093/9780198919575.003.0003	2	LIMEN-SIGNAL-000DA10785246734; LIMEN-SIGNAL-D2A8B5DED7E61AE6	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1093/9780198919575.003.0003	doi.org	automated decision	wrapper or adjacent artifact points toward a source family without exposing one named reviewable surface	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1093/acprof:oso/9780198724506.003.0008	1	LIMEN-SIGNAL-62DB59278AD5D803	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1093/acprof:oso/9780198724506.003.0008	doi.org	regulatory sandbox	Scholarly/index metadata points toward sources but does not expose a named reviewable surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1093/law/9780198925705.003.0004	1	LIMEN-SIGNAL-F80EAA11A8283E1B	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1093/law/9780198925705.003.0004	doi.org	regulatory sandbox	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1093/oso/9780198262329.003.0001	1	LIMEN-SIGNAL-606A92D11554CA95	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1093/oso/9780198262329.003.0001	doi.org	public sector AI	Scholarly/index metadata points toward sources but does not expose a named reviewable surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1108/sl-01-2026-0020	2	LIMEN-SIGNAL-EB92D4AE7DED2A97; LIMEN-SIGNAL-FFBA5E5188029373	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1108/sl-01-2026-0020	doi.org	regulatory sandbox	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1109/aiars63200.2024.00161	1	LIMEN-SIGNAL-D03982E9BF2B7603	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1109/aiars63200.2024.00161	doi.org	algorithm register	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1109/atscm67505.2025.11473906	1	LIMEN-SIGNAL-EA73C700A9592A16	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1109/atscm67505.2025.11473906	doi.org	algorithm register	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1109/cloud60044.2023.00073	1	LIMEN-SIGNAL-E79034F2AC6005B8	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1109/cloud60044.2023.00073	doi.org	public sector AI	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1109/codit66093.2025.11321692	1	LIMEN-SIGNAL-FDF957F8FEE39A1C	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1109/codit66093.2025.11321692	doi.org	algorithm register	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1109/iccsai59793.2023.10421582	1	LIMEN-SIGNAL-F17BA556381E9999	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1109/iccsai59793.2023.10421582	doi.org	regulatory sandbox	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1109/icdacai59742.2023.00117	1	LIMEN-SIGNAL-DFCAD7A7F772EA9E	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1109/icdacai59742.2023.00117	doi.org	algorithm register	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1109/jcai.2009.143	1	LIMEN-SIGNAL-D15241492B698C5E	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1109/jcai.2009.143	doi.org	automated decision	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1109/meco66322.2025.11049196	1	LIMEN-SIGNAL-CC7215554E223A05	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1109/meco66322.2025.11049196	doi.org	regulatory sandbox	index/proxy row points toward sources but does not name a reviewable direct surface	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1111/capa.12587	2	LIMEN-SIGNAL-4D29D7E8D92A6802; LIMEN-SIGNAL-CFCE98C6CF866FBE	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1111/capa.12587	doi.org	algorithm register	Internal claim-support row cites an example source but is not itself the source surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.1111/j.1467-9299.1972.tb00120.x	1	LIMEN-SIGNAL-013A3B05AC342635	bulk_named_source_autoresolve	doi.org	https://doi.org/10.1111/j.1467-9299.1972.tb00120.x	doi.org	automated decision	wrapper or adjacent artifact points toward a source family without exposing one named reviewable surface	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
