source_cluster_key	packet_rows	signal_ids	source_lanes	source_host	source_url_or_locator	source_name	queries	representative_title_or_snippet	public_disposition	completion_status	destination	rationale	required_before_reviewed_core	required_before_obscure_ai	boundary
https://talgildu.fo/talgildu-foeroyar/heildaraetlanir-um-talgilding/heildaraetlanin-2025-2027	1	LIMEN-SIGNAL-42B656C6F40D6D50	bulk_translation_source_review	talgildu.fo	https://www.talgildu.fo/talgildu-foeroyar/heildaraetlanir-um-talgilding/heildaraetlanin-2025-2027	Heildarætlanin 2025-2027 / Talgildu Føroyar	AI procurement	Faroese official digital-strategy row supports public-service digitalization context and notes AI as potentially relevant, not controls.	noncase_policy_or_law_surface	closed_noncase_source_surface	source_family_accounting	Policy/legal-text surface; it supports context, not an incident/finding by itself.	A concrete source passage, event/entity and claim ceiling would be required.	Not ObscureAI material without a reviewed case-level claim.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://telecom.gouv.ci	1	LIMEN-SIGNAL-1CEBCBEC4AFB72B9	bulk_parent_source_extraction	telecom.gouv.ci	https://www.telecom.gouv.ci/	Ministry of Digital Transition and Technological Innovation	public sector AI	Ivory Coast source-pack names digital ministry URL as primary source lead.	noncase_policy_or_law_surface	closed_noncase_source_surface	source_family_accounting	Policy/legal-text surface; it supports context, not an incident/finding by itself.	A concrete source passage, event/entity and claim ceiling would be required.	Not ObscureAI material without a reviewed case-level claim.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://transparencia.ad/web/guest/contractacio-publica	1	LIMEN-SIGNAL-51F553D0E104F1F1	bulk_parent_source_extraction	transparencia.ad	https://www.transparencia.ad/web/guest/contractacio-publica	Contractació pública section	AI procurement	AD atlas I08 wrapper resolves to single local I08 procurement source URL.	noncase_policy_or_law_surface	closed_noncase_source_surface	source_family_accounting	Policy/legal-text surface; it supports context, not an incident/finding by itself.	A concrete source passage, event/entity and claim ceiling would be required.	Not ObscureAI material without a reviewed case-level claim.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://ttja.ee/ariklient/ettevotlus/tarbijakaitsenouded-tegevusalale/digiteenused	1	LIMEN-SIGNAL-3C879B860DA8A0D9	bulk_named_source_autoresolve	ttja.ee	https://ttja.ee/ariklient/ettevotlus/tarbijakaitsenouded-tegevusalale/digiteenused	ttja.ee	automated decision	why-it-matters prose points toward an underlying regulator guidance source but does not name one stable surface here	noncase_policy_or_law_surface	closed_noncase_source_surface	source_family_accounting	Policy/legal-text surface; it supports context, not an incident/finding by itself.	A concrete source passage, event/entity and claim ceiling would be required.	Not ObscureAI material without a reviewed case-level claim.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://tubitak.gov.tr/en/kurumsal/yapay-zeka/yapay-zeka-politika-belgesi	3	LIMEN-SIGNAL-DD8AA040341E05EC; LIMEN-SIGNAL-CEAFD817CA72A3A6; LIMEN-SIGNAL-D5DD33C14591E47A	bulk_parent_source_extraction; hardening_translation_source_review	tubitak.gov.tr	https://tubitak.gov.tr/en/kurumsal/yapay-zeka/yapay-zeka-politika-belgesi	TÜBİTAK Artificial Intelligence Policy	AI evidence	Local seed entry explicitly provides the TÜBİTAK policy URL.	noncase_policy_or_law_surface	closed_noncase_source_surface	source_family_accounting	Policy/legal-text surface; it supports context, not an incident/finding by itself.	A concrete source passage, event/entity and claim ceiling would be required.	Not ObscureAI material without a reviewed case-level claim.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://uodo.gov.pl/589	4	LIMEN-SIGNAL-B49FFCDD767A0D4C; LIMEN-SIGNAL-DD98DD14DB8F981F; LIMEN-SIGNAL-EF9DB3059DBA95F5; LIMEN-SIGNAL-152A3E5DB3BB18D1	bulk_named_source_autoresolve; bulk_translation_source_review	uodo.gov.pl	https://uodo.gov.pl/589	uodo.gov.pl	AI evidence	Local record flags a direct multilingual official source, but the named source surface is not surfaced in this row.	noncase_policy_or_law_surface	closed_noncase_source_surface	source_family_accounting	Policy/legal-text surface; it supports context, not an incident/finding by itself.	A concrete source passage, event/entity and claim ceiling would be required.	Not ObscureAI material without a reviewed case-level claim.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://w3.org/TR/did-core	1	LIMEN-SIGNAL-E01C62FBADE31EDA	bulk_named_source_autoresolve	w3.org	https://www.w3.org/TR/did-core/	w3.org	AI evidence	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_policy_or_law_surface	closed_noncase_source_surface	source_family_accounting	Policy/legal-text surface; it supports context, not an incident/finding by itself.	A concrete source passage, event/entity and claim ceiling would be required.	Not ObscureAI material without a reviewed case-level claim.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://w3.org/TR/vc-data-model-2.0	9	LIMEN-SIGNAL-06A45FB6FA179896; LIMEN-SIGNAL-10C5838E5DC4717E; LIMEN-SIGNAL-24760A99DA8F5D5B; LIMEN-SIGNAL-2B3B05FB0F1DC967; LIMEN-SIGNAL-3CB3D195F44DEE87; LIMEN-SIGNAL-8645963A1116C9E0; LIMEN-SIGNAL-92851E354F2F2784; LIMEN-SIGNAL-A170735075199FC9; LIMEN-SIGNAL-FD903391EFE2E0D0	bulk_named_source_autoresolve	w3.org	https://www.w3.org/TR/vc-data-model-2.0/	w3.org	C2PA; content provenance	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	noncase_policy_or_law_surface	closed_noncase_source_surface	source_family_accounting	Policy/legal-text surface; it supports context, not an incident/finding by itself.	A concrete source passage, event/entity and claim ceiling would be required.	Not ObscureAI material without a reviewed case-level claim.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/reports/lanes/dutch-belgian-language-latest.md:58	1	LIMEN-SIGNAL-165B8BF7D9738CEA	hardening_translation_source_review		/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/reports/lanes/dutch-belgian-language-latest.md:58	The Algorithm Register of the Dutch government		1. **The Algorithm Register of the Dutch government**	noncase_register_or_transparency_surface	closed_noncase_source_surface	source_family_accounting	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific authority action or concrete edge-case event before reviewed-core consideration.	Not ObscureAI material until converted into a bounded case-level record.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
/srv/tyche/pallas/pallas-ai-agent-observatory/reports/pallas_second_pass_sprint_14_country_score_delta.csv:36	1	LIMEN-SIGNAL-39FD02CD53712CEE	hardening_translation_source_review		/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_COUNTRY_SCORE_DELTA.csv:36	PALLAS second-pass France I05 delta; statutory/circular and data.gouv governance dataset notes		"FR,I05,2,M,2,H,""No score change, confidence hardened. Official statutory/circular and data.gouv governance datasets support algorithm-transparency infrastructure; no single official comprehensive algorithm register was confirmed, so retain conservative score."""	noncase_register_or_transparency_surface	closed_noncase_source_surface	source_family_accounting	Register/transparency surface; it may inventory systems, but the current row is not a harm/finding/event.	Extract a specific authority action or concrete edge-case event before reviewed-core consideration.	Not ObscureAI material until converted into a bounded case-level record.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
