row_id	signal_id	translation_review_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
TH-00515	LIMEN-SIGNAL-ED9EDB3BC8DE6AD0	cross_project_duplicate	chinese	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1635EEST/daily/gaia-foreign-language-digest-latest.json:7636	cross_project_atlas_or_gaia	local metadata identifies a derived cross-project language artifact	translation-safe source review only; no legal or policy conclusion from machine translation	route_upstream_or_deduplicate
TH-00516	LIMEN-SIGNAL-EE05DE6FC2491F9C	cross_project_duplicate	language_not_resolved	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl:45	global_agent_atlas	local metadata identifies a derived cross-project language artifact	translation-safe source review only; no legal or policy conclusion from machine translation	route_upstream_or_deduplicate
TH-00520	LIMEN-SIGNAL-F00D32C107769927	cross_project_duplicate	language_not_resolved	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl:217	global_agent_atlas	local metadata identifies a derived cross-project language artifact	translation-safe source review only; no legal or policy conclusion from machine translation	route_upstream_or_deduplicate
TH-00529	LIMEN-SIGNAL-F2778FB22DD21123	cross_project_duplicate	language_not_resolved	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl:40	global_agent_atlas	local metadata identifies a derived cross-project language artifact	translation-safe source review only; no legal or policy conclusion from machine translation	route_upstream_or_deduplicate
TH-00536	LIMEN-SIGNAL-F621E3445A8A6D4A	cross_project_duplicate	language_not_resolved	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl:40	global_agent_atlas	local metadata identifies a derived cross-project language artifact	translation-safe source review only; no legal or policy conclusion from machine translation	route_upstream_or_deduplicate
TH-00505	LIMEN-SIGNAL-E804FB26BBC30768	cross_project_duplicate	language_not_resolved	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/persian-urdu-language-latest.jsonl:4	thesis_atlas_factory	local metadata identifies a derived cross-project language artifact	translation-safe source review only; no legal or policy conclusion from machine translation	route_upstream_or_deduplicate
TH-00507	LIMEN-SIGNAL-E8A8C916AA672CFD	cross_project_duplicate	language_not_resolved	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/african-multilingual-language-history.jsonl:46	thesis_atlas_factory	local metadata identifies a derived cross-project language artifact	translation-safe source review only; no legal or policy conclusion from machine translation	route_upstream_or_deduplicate
TH-00514	LIMEN-SIGNAL-ED17ABFB9F71E2BC	cross_project_duplicate	language_not_resolved	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/south-asian-language-latest.jsonl:2	thesis_atlas_factory	local metadata identifies a derived cross-project language artifact	translation-safe source review only; no legal or policy conclusion from machine translation	route_upstream_or_deduplicate
TH-00532	LIMEN-SIGNAL-F3FFE220F689E5C0	cross_project_duplicate	language_not_resolved	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-118/country-gap-citation-cards.json:149	cross_project_atlas_or_gaia	local metadata identifies a derived cross-project language artifact	translation-safe source review only; no legal or policy conclusion from machine translation	route_upstream_or_deduplicate
TH-00540	LIMEN-SIGNAL-F8F5E39625F42559	cross_project_duplicate	estonian	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/reports/lanes/estonian-baltic-language-latest.md:151	thesis_atlas_factory	local metadata identifies a derived cross-project language artifact	translation-safe source review only; no legal or policy conclusion from machine translation	route_upstream_or_deduplicate
