category_code	sample_case_ref	old_signal	new_signal
ai_washing_or_false_ai_claim	data/cases/authoritative-candidates.jsonl:LIMEN-000010	authority_summary_only	document_grade_local_text_present
ai_washing_or_false_ai_claim	data/cases/authoritative-candidates.jsonl:LIMEN-000011	authority_summary_only	document_grade_local_text_present
education_workplace_or_hr	data/cases/authoritative-candidates.jsonl:LIMEN-000002	authority_summary_only	authority_summary_only
education_workplace_or_hr	data/cases/authoritative-candidates.jsonl:LIMEN-000011	authority_summary_only	document_grade_local_text_present
education_workplace_or_hr	data/cases/authoritative-candidates.jsonl:LIMEN-000012	authority_summary_only	authority_summary_only
legal_procedural_contamination	data/cases/authoritative-candidates.jsonl:LIMEN-000010	authority_summary_only	document_grade_local_text_present
public_sector_misuse_or_gap	data/cases/authoritative-candidates.jsonl:LIMEN-000012	authority_summary_only	authority_summary_only
unlawful_or_allegedly_unlawful_use	data/cases/authoritative-candidates.jsonl:LIMEN-000002	authority_summary_only	authority_summary_only
agentic_control_failure	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	document_grade_local_text_present	no_local_authority_refs_in_case_board_row
agentic_control_failure	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	authority_summary_only	no_local_authority_refs_in_case_board_row
agentic_control_failure	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	document_grade_local_text_present	no_local_authority_refs_in_case_board_row
agentic_control_failure	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	no_local_authority_refs_in_case_board_row	no_local_authority_refs_in_case_board_row
deepfake_or_synthetic_identity	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	no_local_authority_refs_in_case_board_row	no_local_authority_refs_in_case_board_row
institutional_absurdity	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	no_local_authority_refs_in_case_board_row	no_local_authority_refs_in_case_board_row
legal_procedural_contamination	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-001	no_local_authority_refs_in_case_board_row	no_local_authority_refs_in_case_board_row
normative_or_moral_outlier	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	no_local_authority_refs_in_case_board_row	no_local_authority_refs_in_case_board_row
normative_or_moral_outlier	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	authoritative	official_companion_pair_only
security_risk	data/cases/security-agentic-candidates.jsonl:LIMEN-000001	document_grade_local_text_present	no_local_authority_refs_in_case_board_row
security_risk	data/cases/security-agentic-candidates.jsonl:LIMEN-000002	authority_summary_only	no_local_authority_refs_in_case_board_row
security_risk	data/cases/security-agentic-candidates.jsonl:LIMEN-000003	document_grade_local_text_present	no_local_authority_refs_in_case_board_row
security_risk	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	no_local_authority_refs_in_case_board_row	no_local_authority_refs_in_case_board_row
surveillance_biometrics_or_policing	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-004	authoritative	official_companion_pair_only
unlawful_or_allegedly_unlawful_use	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	no_local_authority_refs_in_case_board_row	no_local_authority_refs_in_case_board_row
