category_code	category_label	review_priority	linked_review_queue_ids	allowed_statement	forbidden_overread	strongest_local_support_surface	minimum_stronger_source_needed	review_route	paper_use_hint
deepfake_or_synthetic_identity	Deepfake or synthetic identity	High	LQ-005	Current public evidence maps this category to Article 50-style transparency/provenance duties and deception-review questions, but final legal characterization still requires case-specific authority.	Do not say that public deepfake evidence alone proves illegality, election-law violation, fraud, or AI Act breach.	FCC allegation-to-consent-decree package for Lingo Telecom plus two multilingual title-level Finnish/Lithuanian deepfake or AI-deception leads	authoritative police/court/platform source for the Finnish or Lithuanian leads, election-authority notice, or forensics/contract record tying content provenance to a legal process	document_grade_legal_authority_needed	legal uncertainty matrix / review frontier / dashboard filter
agentic_control_failure	Agentic control failure	High	LQ-006	Current public CVE/advisory evidence maps this category to governance, control-surface, and oversight questions; it can support bounded risk-management discussion.	Do not say that CVE/advisory visibility alone proves realized harm, reportable incident status, non-compliance, or unlawful deployment.	Ten CVE/advisory-linked rows now span approval-bypass, local-file-read, SSRF, prompt-injection-to-code-execution, command-injection, memory/state contamination, identity/authorization-boundary abuse, and one MCP/browser-control trust-boundary row with mixed vendor, coordination, independent-lab, repo-issue, GitHub-security-advisory, and NVD-plus-release-note notice depth.	deployment-context incident report, architectural postmortem, or provider/deployer documentation of the failing control path	stronger_authority_or_postmortem_needed	legal uncertainty matrix / review frontier / dashboard filter
security_risk	Security risk	High	LQ-006	Current public CVE/advisory evidence maps this category to governance, control-surface, and oversight questions; it can support bounded risk-management discussion.	Do not say that CVE/advisory visibility alone proves realized harm, reportable incident status, non-compliance, or unlawful deployment.	Ten CVE/advisory-linked rows now span 3 direct vendor-advisory rows (Auto-GPT, Claude Code, LangChain `CVE-2026-44843`), 2 CERT/CC-coordination-plus-release-note rows (CrewAI), 2 independent-lab public-advisory rows (LangChain `CVE-2023-29374`; LlamaIndex `CVE-2024-3271`), 1 repo-issue-only row (Langflow), 1 GitHub security-advisory identity-boundary row (PraisonAI), and 1 NVD-plus-release-note MCP trust-boundary row (Playwright MCP `CVE-2025-9611`).	provider/deployer incident report, formal vendor bulletin keyed to the exact CVE, or reproducible public postmortem	stronger_authority_or_postmortem_needed	legal uncertainty matrix / review frontier / dashboard filter
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	High	LQ-001; LQ-002	Current public evidence supports a bounded claim about public-sector observability gaps, procurement opacity, and governance-document scarcity.	Do not say that missing records or weak registers prove unlawful deployment, high-risk classification, or undisclosed public-sector use.	Two ICO regulator-record packages, one FCC Lingo Telecom election-protection enforcement/disposition package, one Danish Datatilsynet public-authority opinion page, one direct official Slovenian police project page, and three weaker public-reporting leads	procurement file, register entry, DPIA/FRIA-equivalent, project specification, election-operations record, or official deployment statement that narrows public-authority role and legal basis	public_authority_document_needed	legal uncertainty matrix / review frontier / dashboard filter
education_workplace_or_hr	Education, workplace, or HR	High	LQ-004	Current rows may implicate contestability, fairness, oversight, and institutional-review questions in education/workplace settings.	Do not say that current public reporting alone proves discriminatory treatment, unlawful employment action, or Annex-style category fit.	One EEOC agency-to-court progression package, two ICO regulator-record packages, one FTC final-order/complaint detector-claims package, one Danish Datatilsynet public-authority opinion page, and one Estonian title-level lead	court complaint/decree, school/employer policy, official redress record, or regulator notice text	document_grade_legal_authority_needed	legal uncertainty matrix / review frontier / dashboard filter
surveillance_biometrics_or_policing	Surveillance, biometrics, or policing	High	LQ-002	Current rows may implicate biometric, policing, or fundamental-rights governance questions and justify routing to stricter legal review.	Do not say that current sources alone establish prohibited-practice status, unlawful surveillance, or final legal basis failure.	two ICO regulator-record packages plus one direct official Slovenian police project page	underlying notice/reprimand text, legal basis, technical specification, or official audit/procurement document	public_authority_document_needed	legal uncertainty matrix / review frontier / dashboard filter
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	High	LQ-005; LQ-008	Current rows may be described as allegations or authority-stated unlawful-use concerns that warrant legal and source-authority review.	Do not convert allegations, charging-stage records, or mixed-source narratives into settled unlawfulness or final liability findings.	EEOC lawsuit/settlement package, DOJ charging-stage Nate package with captured indictment PDF, FCC Lingo Telecom allegation/disposition package, plus two multilingual fraud/deepfake leads	court complaint/decree text, police or election-authority notice, or platform/police enforcement rationale that narrows actor role and legal threshold	document_grade_legal_authority_needed	legal uncertainty matrix / review frontier / dashboard filter
legal_procedural_contamination	Legal/procedural contamination	High	LQ-007	Current rows support bounded claims about process contamination, false-citation, or record-integrity risks in legal/administrative workflows.	Do not say that visible contamination alone proves sanctionable misconduct, legal invalidity, or vendor responsibility.	Italian DPA regulator order text, FTC complaint-plus-final-order DoNotPay package, and one direct-source-resolved Finnish public-broadcaster extraction	court filing/order, institutional correction notice, or official Finnish police/court process-integrity statement for a second document-grade family	document_grade_legal_authority_needed	legal uncertainty matrix / review frontier / dashboard filter
health_medical_or_mental_health	Health, medical, or mental-health misuse	High	LQ-003	This row should currently be used only as a high-caution placeholder showing that health-specific legal review would be required before substantive claims.	Do not infer certification status, medical-device scope, standard-of-care breach, or health-law violation without a seeded authoritative case.	no seeded cases yet	official safety notice, clinical guidance, court/regulator record, or provider documentation with intended-use detail	sector_specific_health_law_review	legal uncertainty matrix / review frontier / dashboard filter
residual_unclassified	Residual/unclassified	High	LQ-009	This row can be used to show explicit taxonomy limits and the need for framework review rather than forced classification.	Do not present residual status as proof of novelty, legality, or a stable new doctrine without stronger authority.	no seeded cases yet	taxonomy review memo plus a stronger authoritative source package for the first residual case admitted to the matrix	taxonomy_or_framework_review	legal uncertainty matrix / review frontier / dashboard filter
ai_washing_or_false_ai_claim	AI washing or false AI claim	Medium	LQ-008; LQ-009	Current rows support bounded discussion of capability-claim verification problems and sector-concentrated enforcement signals.	Do not generalize from SEC/FTC/DOJ rows to broad prevalence, procurement fraud, or final deception findings outside the documented authorities.	Two SEC settlement/order packages, one DOJ charging-stage package with captured indictment PDF, two FTC complaint-plus-final-order packages (DoNotPay and Workado), and one Slovenian title-level public-administration lead	procurement challenge, contract text, technical audit, or official correction outside regulated-finance enforcement	public_authority_document_needed	legal uncertainty matrix / review frontier / dashboard filter
normative_or_moral_outlier	Normative or moral outlier	Medium	LQ-009	Current rows support bounded normative-salience discussion with explicit uncertainty about framework fit.	Do not convert moral salience or discomfort into legal breach, prohibited-practice status, or formal ethical fault.	mixed package: one regulator order text, one ICO regulator-record package, one official Slovenian police page, and two weaker title-level leads	authoritative follow-up that narrows the framework fit instead of leaving the row as broad salience only	stronger_authority_or_postmortem_needed	legal uncertainty matrix / review frontier / dashboard filter
finance_insurance_or_market	Finance, insurance, or market	Medium	LQ-005; LQ-008	Current rows support a narrow finance/market governance discussion anchored in regulator findings and source-bounded marketing-claim evidence.	Do not generalize beyond regulated-finance support or infer discriminatory/consumer-harm findings from sector label alone.	two SEC settlement/order packages with direct findings about AI-related marketing claims	consumer-complaint record, contract/prospectus text, or non-SEC sectoral comparator before generalizing beyond regulated finance	stronger_authority_or_postmortem_needed	legal uncertainty matrix / review frontier / dashboard filter
institutional_absurdity	Institutional absurdity	Medium	LQ-001; LQ-004; LQ-009	Current rows support a bounded claim that some public AI cases surface irrational or disproportionate institutional process before legal fit is resolved.	Do not treat absurdity alone as proof of unlawfulness, public-sector misuse, or AI-specific duty breach.	one direct-source-resolved Finnish public-broadcaster row plus two unresolved non-English public-reporting leads	official institutional response, underlying administrative record, or additional direct-source capture for the unresolved leads	direct_source_capture_needed	legal uncertainty matrix / review frontier / dashboard filter
research_integrity	Research integrity	Medium	LQ-009	Current shadow-package material supports methods/limitations discussion about scientific-integrity anomalies and evidence-depth heterogeneity.	Do not present the shadow package as a seeded prevalence count, formal misconduct finding, or resolved legal category.	seven-row local shadow package: two Springer direct notices, one DOI-pair row, one mediated-editor-statement row, and one mixed residual bucket with one archived SSRN platform-action exemplar plus two still-weak residual rows	one non-Springer direct publisher or institutional notice before broader package language or any seeded-count reconsideration	stronger_authority_or_postmortem_needed	legal uncertainty matrix / review frontier / dashboard filter
