panel_id	panel_type	bucket	count	category_codes	observatory_hook
LPP-001	review_priority	High	10	deepfake_or_synthetic_identity; agentic_control_failure; security_risk; public_sector_misuse_or_gap; education_workplace_or_hr; surveillance_biometrics_or_policing; unlawful_or_allegedly_unlawful_use; legal_procedural_contamination; health_medical_or_mental_health; residual_unclassified	dashboard legal-uncertainty matrix and paper limitations panel
LPP-002	review_priority	Medium	5	ai_washing_or_false_ai_claim; normative_or_moral_outlier; finance_insurance_or_market; institutional_absurdity; research_integrity	dashboard legal-uncertainty matrix and paper limitations panel
LPP-003	review_route	direct_source_capture_needed	1	institutional_absurdity	next-route board and thesis review-work queue
LPP-004	review_route	document_grade_legal_authority_needed	4	deepfake_or_synthetic_identity; education_workplace_or_hr; unlawful_or_allegedly_unlawful_use; legal_procedural_contamination	next-route board and thesis review-work queue
LPP-005	review_route	public_authority_document_needed	3	public_sector_misuse_or_gap; surveillance_biometrics_or_policing; ai_washing_or_false_ai_claim	next-route board and thesis review-work queue
LPP-006	review_route	sector_specific_health_law_review	1	health_medical_or_mental_health	next-route board and thesis review-work queue
LPP-007	review_route	stronger_authority_or_postmortem_needed	5	agentic_control_failure; security_risk; normative_or_moral_outlier; finance_insurance_or_market; research_integrity	next-route board and thesis review-work queue
LPP-008	review_route	taxonomy_or_framework_review	1	residual_unclassified	next-route board and thesis review-work queue
LPP-009	framework_anchor_depth_now	direct_official_unesco_recommendation_text_anchor	5	education_workplace_or_hr; unlawful_or_allegedly_unlawful_use; health_medical_or_mental_health; institutional_absurdity; research_integrity	framework-anchor depth figure and methods appendix
LPP-010	framework_anchor_depth_now	eu_ai_act_direct_plus_oecd_direct_policy_anchor	1	deepfake_or_synthetic_identity	framework-anchor depth figure and methods appendix
LPP-011	framework_anchor_depth_now	nist_direct_only	2	agentic_control_failure; security_risk	framework-anchor depth figure and methods appendix
LPP-012	framework_anchor_depth_now	nist_direct_plus_oecd_direct_policy_anchor	2	public_sector_misuse_or_gap; legal_procedural_contamination	framework-anchor depth figure and methods appendix
LPP-013	framework_anchor_depth_now	no_direct_framework_text_anchor_in_row_package	1	residual_unclassified	framework-anchor depth figure and methods appendix
LPP-014	framework_anchor_depth_now	oecd_direct_policy_anchor_only	4	surveillance_biometrics_or_policing; ai_washing_or_false_ai_claim; normative_or_moral_outlier; finance_insurance_or_market	framework-anchor depth figure and methods appendix
LPP-015	local_support_profile	authority_only_seeded	2	surveillance_biometrics_or_policing; finance_insurance_or_market	evidence posture panel and reviewer-safe claim ceiling legend
LPP-016	local_support_profile	candidate_only_public_reporting	1	institutional_absurdity	evidence posture panel and reviewer-safe claim ceiling legend
LPP-017	local_support_profile	mixed_tier_authority_led	9	deepfake_or_synthetic_identity; agentic_control_failure; security_risk; public_sector_misuse_or_gap; education_workplace_or_hr; unlawful_or_allegedly_unlawful_use; legal_procedural_contamination; ai_washing_or_false_ai_claim; normative_or_moral_outlier	evidence posture panel and reviewer-safe claim ceiling legend
LPP-018	local_support_profile	zero_seed_but_locally_non_empty_shadow_package	1	research_integrity	evidence posture panel and reviewer-safe claim ceiling legend
LPP-019	local_support_profile	zero_seed_placeholder	2	health_medical_or_mental_health; residual_unclassified	evidence posture panel and reviewer-safe claim ceiling legend
