audit_id	target_file	metric_name	stale_value	current_value	source_path	source_method	note
LNC-CUR-001	results/crosswalks/status.md	case_review_rows	39	30	results/crosswalks/legal-case-review-board-v0.1.tsv	line_count_minus_header	Shared front door overstated the live extracted legal case-board denominator.
LNC-CUR-002	results/crosswalks/status.md	unique_sample_case_refs	18	17	results/crosswalks/legal-case-review-board-v0.1.tsv	unique_sample_case_ref_count	Shared front door overstated the live unique sampled case-ref count.
LNC-CUR-003	results/crosswalks/legal-status-v0.1.md	case_review_rows	39	30	results/crosswalks/legal-case-review-board-v0.1.tsv	line_count_minus_header	Primary legal front door overstated the live extracted legal case-board denominator.
LNC-CUR-004	results/crosswalks/legal-status-v0.1.md	unique_sample_case_refs	18	17	results/crosswalks/legal-case-review-board-v0.1.tsv	unique_sample_case_ref_count	Primary legal front door overstated the live unique sampled case-ref count.
LNC-CUR-005	results/crosswalks/legal-uncertainty-queue.md	case_review_rows	39	30	results/crosswalks/legal-case-review-board-v0.1.tsv	line_count_minus_header	Queue front door overstated the live extracted legal case-board denominator.
LNC-CUR-006	results/crosswalks/legal-uncertainty-queue.md	unique_sample_case_refs	18	17	results/crosswalks/legal-case-review-board-v0.1.tsv	unique_sample_case_ref_count	Queue front door overstated the live unique sampled case-ref count.
LNC-CUR-007	results/crosswalks/legal-uncertainty-queue.md	queue_rows_LQ-008	10	6	results/crosswalks/legal-case-review-board-v0.1.tsv	count_rows_by_linked_review_queue_id	Charging-stage and settlement/procurement-facing queue pressure was overstated in the queue memo.
LNC-CUR-008	results/crosswalks/legal-uncertainty-queue.md	queue_rows_LQ-009	9	1	results/crosswalks/legal-case-review-board-v0.1.tsv	count_rows_by_linked_review_queue_id	Normative residual/research-integrity queue pressure was overstated in the queue memo.
LNC-CUR-009	results/crosswalks/legal-uncertainty-queue.md	queue_rows_LQ-002	7	6	results/crosswalks/legal-case-review-board-v0.1.tsv	count_rows_by_linked_review_queue_id	Public-authority surveillance/policing queue pressure needed denominator repair.
LNC-CUR-010	results/crosswalks/legal-uncertainty-queue.md	case_board_language_distribution	da=2; en=28; fi=5; it=2; sl=2	da=2; en=23; fi=4; it=1	results/crosswalks/legal-case-review-board-v0.1.tsv	count_rows_by_languages_field	Case-board extraction currently materializes en/fi/da/it rows only; Slovenia remains visible at matrix level but not in the live extracted case board.
