category_code	crosswalk_seed_case_count	frontier_seed_case_count	anchor_seed_case_count	crosswalk_support_profile	frontier_support_profile	anchor_support_profile	crosswalk_anchor_depth	frontier_anchor_depth	anchor_anchor_depth	sync_status	mismatch_fields
agentic_control_failure	10	10	10	mixed_tier_authority_led	mixed_tier_authority_led	mixed_tier_authority_led	nist_direct_only	nist_direct_only	nist_direct_only	in_sync	none
ai_washing_or_false_ai_claim	6	6	6	mixed_tier_authority_led	mixed_tier_authority_led	mixed_tier_authority_led	oecd_direct_policy_anchor_only	oecd_direct_policy_anchor_only	oecd_direct_policy_anchor_only	in_sync	none
deepfake_or_synthetic_identity	3	3	3	mixed_tier_authority_led	mixed_tier_authority_led	mixed_tier_authority_led	eu_ai_act_direct_plus_oecd_direct_policy_anchor	eu_ai_act_direct_plus_oecd_direct_policy_anchor	eu_ai_act_direct_plus_oecd_direct_policy_anchor	in_sync	none
education_workplace_or_hr	6	6	6	mixed_tier_authority_led	mixed_tier_authority_led	mixed_tier_authority_led	direct_official_unesco_recommendation_text_anchor	direct_official_unesco_recommendation_text_anchor	direct_official_unesco_recommendation_text_anchor	in_sync	none
finance_insurance_or_market	2	2	2	authority_only_seeded	authority_only_seeded	authority_only_seeded	oecd_direct_policy_anchor_only	oecd_direct_policy_anchor_only	oecd_direct_policy_anchor_only	in_sync	none
health_medical_or_mental_health	0	0	0	zero_seed_placeholder	zero_seed_placeholder	zero_seed_placeholder	direct_official_unesco_recommendation_text_anchor	direct_official_unesco_recommendation_text_anchor	direct_official_unesco_recommendation_text_anchor	in_sync	none
institutional_absurdity	3	3	3	candidate_only_public_reporting	candidate_only_public_reporting	candidate_only_public_reporting	direct_official_unesco_recommendation_text_anchor	direct_official_unesco_recommendation_text_anchor	direct_official_unesco_recommendation_text_anchor	in_sync	none
legal_procedural_contamination	3	3	3	mixed_tier_authority_led	mixed_tier_authority_led	mixed_tier_authority_led	nist_direct_plus_oecd_direct_policy_anchor	nist_direct_plus_oecd_direct_policy_anchor	nist_direct_plus_oecd_direct_policy_anchor	in_sync	none
normative_or_moral_outlier	5	5	5	mixed_tier_authority_led	mixed_tier_authority_led	mixed_tier_authority_led	oecd_direct_policy_anchor_only	oecd_direct_policy_anchor_only	oecd_direct_policy_anchor_only	in_sync	none
public_sector_misuse_or_gap	8	8	8	mixed_tier_authority_led	mixed_tier_authority_led	mixed_tier_authority_led	nist_direct_plus_oecd_direct_policy_anchor	nist_direct_plus_oecd_direct_policy_anchor	nist_direct_plus_oecd_direct_policy_anchor	in_sync	none
research_integrity	0	0	0	zero_seed_but_locally_non_empty_shadow_package	zero_seed_but_locally_non_empty_shadow_package	zero_seed_but_locally_non_empty_shadow_package	direct_official_unesco_recommendation_text_anchor	direct_official_unesco_recommendation_text_anchor	direct_official_unesco_recommendation_text_anchor	in_sync	none
residual_unclassified	0	0	0	zero_seed_placeholder	zero_seed_placeholder	zero_seed_placeholder	no_direct_framework_text_anchor_in_row_package	no_direct_framework_text_anchor_in_row_package	no_direct_framework_text_anchor_in_row_package	in_sync	none
security_risk	10	10	10	mixed_tier_authority_led	mixed_tier_authority_led	mixed_tier_authority_led	nist_direct_only	nist_direct_only	nist_direct_only	in_sync	none
surveillance_biometrics_or_policing	3	3	3	authority_only_seeded	authority_only_seeded	authority_only_seeded	oecd_direct_policy_anchor_only	oecd_direct_policy_anchor_only	oecd_direct_policy_anchor_only	in_sync	none
unlawful_or_allegedly_unlawful_use	5	5	5	mixed_tier_authority_led	mixed_tier_authority_led	mixed_tier_authority_led	direct_official_unesco_recommendation_text_anchor	direct_official_unesco_recommendation_text_anchor	direct_official_unesco_recommendation_text_anchor	in_sync	none
