category_code	highest_depth_available_now	document_grade_rows	summary_only_rows	no_local_authority_rows	main_tsv_frontdoor_state_now	main_tsv_document_grade_case_rows_now	main_tsv_summary_only_case_rows_now	main_tsv_no_local_authority_case_rows_now	frontier_interpretation_now	updated_at
unlawful_or_allegedly_unlawful_use	document_grade_present	1	1	1	document_grade_present	1	1	1	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	2026-06-08T14:07:47+02:00
security_risk	no_local_authority_refs	0	0	4	no_local_authority_refs	0	0	4	Current sampled rows still lack local authoritative document depth; stronger legal prose would require one authoritative public record or official companion surface.	2026-06-08T14:07:47+02:00
agentic_control_failure	no_local_authority_refs	0	0	4	no_local_authority_refs	0	0	4	Current sampled rows still lack local authoritative document depth; stronger legal prose would require one authoritative public record or official companion surface.	2026-06-08T14:07:47+02:00
institutional_absurdity	no_local_authority_refs	0	0	1	no_local_authority_refs	0	0	1	Current sampled rows still lack local authoritative document depth; stronger legal prose would require one authoritative public record or official companion surface.	2026-06-08T14:07:47+02:00
public_sector_misuse_or_gap	document_grade_present	3	1	0	document_grade_present	3	1	0	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	2026-06-08T14:07:47+02:00
deepfake_or_synthetic_identity	document_grade_present	1	0	1	document_grade_present	1	0	1	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	2026-06-08T14:07:47+02:00
legal_procedural_contamination	document_grade_present	2	0	1	document_grade_present	2	0	1	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	2026-06-08T14:07:47+02:00
health_medical_or_mental_health	zero_seed_placeholder	0	0	0	zero_seed_placeholder	0	0	0	Zero-seed health-law placeholder remains visible until a first authoritative case lands.	2026-06-08T14:07:47+02:00
education_workplace_or_hr	document_grade_present	2	2	0	document_grade_present	2	2	0	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	2026-06-08T14:07:47+02:00
finance_insurance_or_market	document_grade_present	2	0	0	document_grade_present	2	0	0	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	2026-06-08T14:07:47+02:00
surveillance_biometrics_or_policing	document_grade_present	2	0	0	document_grade_present	2	0	0	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	2026-06-08T14:07:47+02:00
research_integrity	zero_seed_but_locally_non_empty_shadow_package	0	0	0	zero_seed_but_locally_non_empty_shadow_package	0	0	0	Shadow-package row remains locally non-empty but outside seeded case-board admission.	2026-06-08T14:07:47+02:00
ai_washing_or_false_ai_claim	document_grade_present	3	0	0	document_grade_present	3	0	0	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	2026-06-08T14:07:47+02:00
normative_or_moral_outlier	document_grade_present	2	0	1	document_grade_present	2	0	1	At least one sampled case already has direct public document text; the remaining burden is doctrinal fit, actor-role separation, or companion-context interpretation rather than raw document absence.	2026-06-08T14:07:47+02:00
residual_unclassified	zero_seed_placeholder	0	0	0	zero_seed_placeholder	0	0	0	Residual mismatch remains an explicit methods placeholder until a first authoritative residual case is admitted.	2026-06-08T14:07:47+02:00
