audit_type	framework_family	category_row_count	seed_case_slot_count	category_codes	paper_use_hint
framework_family_coverage	eu_ai_act	1	3	deepfake_or_synthetic_identity	direct framework-family scarcity / support panel
framework_family_coverage	nist_ai_rmf	4	31	agentic_control_failure ; security_risk ; public_sector_misuse_or_gap ; legal_procedural_contamination	direct framework-family scarcity / support panel
framework_family_coverage	iso_42001_overview	15	64	agentic_control_failure ; security_risk ; public_sector_misuse_or_gap ; education_workplace_or_hr ; unlawful_or_allegedly_unlawful_use ; deepfake_or_synthetic_identity ; legal_procedural_contamination ; surveillance_biometrics_or_policing ; health_medical_or_mental_health ; residual_unclassified ; ai_washing_or_false_ai_claim ; normative_or_moral_outlier ; institutional_absurdity ; finance_insurance_or_market ; research_integrity	direct framework-family scarcity / support panel
framework_family_coverage	oecd_ai_principles	7	30	public_sector_misuse_or_gap ; deepfake_or_synthetic_identity ; legal_procedural_contamination ; surveillance_biometrics_or_policing ; ai_washing_or_false_ai_claim ; normative_or_moral_outlier ; finance_insurance_or_market	direct framework-family scarcity / support panel
framework_family_coverage	unesco_recommendation	5	14	education_workplace_or_hr ; unlawful_or_allegedly_unlawful_use ; health_medical_or_mental_health ; institutional_absurdity ; research_integrity	direct framework-family scarcity / support panel
exclusive_gap_bucket	iso_overview_only_no_non_iso_direct_family	1	0	residual_unclassified	claim-ceiling / blocker facet for dashboard or appendix
exclusive_gap_bucket	multi_non_iso_direct_family	3	14	public_sector_misuse_or_gap ; deepfake_or_synthetic_identity ; legal_procedural_contamination	claim-ceiling / blocker facet for dashboard or appendix
exclusive_gap_bucket	single_non_iso_direct_family:nist_ai_rmf	2	20	agentic_control_failure ; security_risk	claim-ceiling / blocker facet for dashboard or appendix
exclusive_gap_bucket	single_non_iso_direct_family:oecd_ai_principles	4	16	surveillance_biometrics_or_policing ; ai_washing_or_false_ai_claim ; normative_or_moral_outlier ; finance_insurance_or_market	claim-ceiling / blocker facet for dashboard or appendix
exclusive_gap_bucket	single_non_iso_direct_family:unesco_recommendation	5	14	education_workplace_or_hr ; unlawful_or_allegedly_unlawful_use ; health_medical_or_mental_health ; institutional_absurdity ; research_integrity	claim-ceiling / blocker facet for dashboard or appendix
