panel_id	panel_type	panel_label	category_count	seeded_category_count	high_priority_count	seed_case_total	authoritative_seed_total	direct_framework_anchor_rows	category_codes	interpretation_boundary	observatory_hook	source_files
LRP-001	review_route_summary	direct_source_capture_needed	1	1	0	3	0	1	institutional_absurdity	Shows where stronger public evidence is needed next; does not itself justify legal conclusions.	review-route board / legal uncertainty matrix / methods appendix panel	results/crosswalks/legal-review-frontier-v0.1.tsv; results/crosswalks/framework-anchor-coverage-v0.1.tsv
LRP-002	review_route_summary	document_grade_legal_authority_needed	4	4	4	17	11	4	deepfake_or_synthetic_identity; education_workplace_or_hr; unlawful_or_allegedly_unlawful_use; legal_procedural_contamination	Shows where stronger public evidence is needed next; does not itself justify legal conclusions.	review-route board / legal uncertainty matrix / methods appendix panel	results/crosswalks/legal-review-frontier-v0.1.tsv; results/crosswalks/framework-anchor-coverage-v0.1.tsv
LRP-003	review_route_summary	public_authority_document_needed	3	3	2	17	13	3	public_sector_misuse_or_gap; surveillance_biometrics_or_policing; ai_washing_or_false_ai_claim	Shows where stronger public evidence is needed next; does not itself justify legal conclusions.	review-route board / legal uncertainty matrix / methods appendix panel	results/crosswalks/legal-review-frontier-v0.1.tsv; results/crosswalks/framework-anchor-coverage-v0.1.tsv
LRP-004	review_route_summary	sector_specific_health_law_review	1	0	1	0	0	1	health_medical_or_mental_health	Shows where stronger public evidence is needed next; does not itself justify legal conclusions.	review-route board / legal uncertainty matrix / methods appendix panel	results/crosswalks/legal-review-frontier-v0.1.tsv; results/crosswalks/framework-anchor-coverage-v0.1.tsv
LRP-005	review_route_summary	stronger_authority_or_postmortem_needed	5	4	2	27	23	5	agentic_control_failure; security_risk; normative_or_moral_outlier; finance_insurance_or_market; research_integrity	Shows where stronger public evidence is needed next; does not itself justify legal conclusions.	review-route board / legal uncertainty matrix / methods appendix panel	results/crosswalks/legal-review-frontier-v0.1.tsv; results/crosswalks/framework-anchor-coverage-v0.1.tsv
LRP-006	review_route_summary	taxonomy_or_framework_review	1	0	1	0	0	0	residual_unclassified	Shows where stronger public evidence is needed next; does not itself justify legal conclusions.	review-route board / legal uncertainty matrix / methods appendix panel	results/crosswalks/legal-review-frontier-v0.1.tsv; results/crosswalks/framework-anchor-coverage-v0.1.tsv
LAP-001	framework_anchor_depth_summary	direct_official_unesco_recommendation_text_anchor	5	3	3	14	8	5	education_workplace_or_hr; unlawful_or_allegedly_unlawful_use; health_medical_or_mental_health; institutional_absurdity; research_integrity	Summarizes depth of direct framework/policy anchoring per category family; row-level fit can still remain interpretive.	framework-anchor heatmap / dashboard legend / reviewer-safe anchor-depth panel	results/crosswalks/framework-anchor-coverage-v0.1.tsv; results/crosswalks/legal-review-frontier-v0.1.tsv
LAP-002	framework_anchor_depth_summary	eu_ai_act_direct_plus_oecd_direct_policy_anchor	1	1	1	3	1	1	deepfake_or_synthetic_identity	Summarizes depth of direct framework/policy anchoring per category family; row-level fit can still remain interpretive.	framework-anchor heatmap / dashboard legend / reviewer-safe anchor-depth panel	results/crosswalks/framework-anchor-coverage-v0.1.tsv; results/crosswalks/legal-review-frontier-v0.1.tsv
LAP-003	framework_anchor_depth_summary	nist_direct_only	2	2	2	20	18	2	agentic_control_failure; security_risk	Summarizes depth of direct framework/policy anchoring per category family; row-level fit can still remain interpretive.	framework-anchor heatmap / dashboard legend / reviewer-safe anchor-depth panel	results/crosswalks/framework-anchor-coverage-v0.1.tsv; results/crosswalks/legal-review-frontier-v0.1.tsv
LAP-004	framework_anchor_depth_summary	nist_direct_plus_oecd_direct_policy_anchor	2	2	2	11	7	2	public_sector_misuse_or_gap; legal_procedural_contamination	Summarizes depth of direct framework/policy anchoring per category family; row-level fit can still remain interpretive.	framework-anchor heatmap / dashboard legend / reviewer-safe anchor-depth panel	results/crosswalks/framework-anchor-coverage-v0.1.tsv; results/crosswalks/legal-review-frontier-v0.1.tsv
LAP-005	framework_anchor_depth_summary	no_direct_framework_text_anchor_in_row_package	1	0	1	0	0	0	residual_unclassified	Summarizes depth of direct framework/policy anchoring per category family; row-level fit can still remain interpretive.	framework-anchor heatmap / dashboard legend / reviewer-safe anchor-depth panel	results/crosswalks/framework-anchor-coverage-v0.1.tsv; results/crosswalks/legal-review-frontier-v0.1.tsv
LAP-006	framework_anchor_depth_summary	oecd_direct_policy_anchor_only	4	4	1	16	13	4	surveillance_biometrics_or_policing; ai_washing_or_false_ai_claim; normative_or_moral_outlier; finance_insurance_or_market	Summarizes depth of direct framework/policy anchoring per category family; row-level fit can still remain interpretive.	framework-anchor heatmap / dashboard legend / reviewer-safe anchor-depth panel	results/crosswalks/framework-anchor-coverage-v0.1.tsv; results/crosswalks/legal-review-frontier-v0.1.tsv
LCP-001	high_priority_route_anchor_combo	document_grade_legal_authority_needed x direct_official_unesco_recommendation_text_anchor	2	2	2	11	8	2	education_workplace_or_hr; unlawful_or_allegedly_unlawful_use	High-priority bottleneck clusters for figure captions and route selection; categories still require row-level human review.	priority heatmap / blocker-cluster figure / next-route board	results/crosswalks/legal-review-frontier-v0.1.tsv
LCP-002	high_priority_route_anchor_combo	document_grade_legal_authority_needed x eu_ai_act_direct_plus_oecd_direct_policy_anchor	1	1	1	3	1	1	deepfake_or_synthetic_identity	High-priority bottleneck clusters for figure captions and route selection; categories still require row-level human review.	priority heatmap / blocker-cluster figure / next-route board	results/crosswalks/legal-review-frontier-v0.1.tsv
LCP-003	high_priority_route_anchor_combo	document_grade_legal_authority_needed x nist_direct_plus_oecd_direct_policy_anchor	1	1	1	3	2	1	legal_procedural_contamination	High-priority bottleneck clusters for figure captions and route selection; categories still require row-level human review.	priority heatmap / blocker-cluster figure / next-route board	results/crosswalks/legal-review-frontier-v0.1.tsv
LCP-004	high_priority_route_anchor_combo	public_authority_document_needed x nist_direct_plus_oecd_direct_policy_anchor	1	1	1	8	5	1	public_sector_misuse_or_gap	High-priority bottleneck clusters for figure captions and route selection; categories still require row-level human review.	priority heatmap / blocker-cluster figure / next-route board	results/crosswalks/legal-review-frontier-v0.1.tsv
LCP-005	high_priority_route_anchor_combo	public_authority_document_needed x oecd_direct_policy_anchor_only	1	1	1	3	3	1	surveillance_biometrics_or_policing	High-priority bottleneck clusters for figure captions and route selection; categories still require row-level human review.	priority heatmap / blocker-cluster figure / next-route board	results/crosswalks/legal-review-frontier-v0.1.tsv
LCP-006	high_priority_route_anchor_combo	sector_specific_health_law_review x direct_official_unesco_recommendation_text_anchor	1	0	1	0	0	1	health_medical_or_mental_health	High-priority bottleneck clusters for figure captions and route selection; categories still require row-level human review.	priority heatmap / blocker-cluster figure / next-route board	results/crosswalks/legal-review-frontier-v0.1.tsv
LCP-007	high_priority_route_anchor_combo	stronger_authority_or_postmortem_needed x nist_direct_only	2	2	2	20	18	2	agentic_control_failure; security_risk	High-priority bottleneck clusters for figure captions and route selection; categories still require row-level human review.	priority heatmap / blocker-cluster figure / next-route board	results/crosswalks/legal-review-frontier-v0.1.tsv
LCP-008	high_priority_route_anchor_combo	taxonomy_or_framework_review x no_direct_framework_text_anchor_in_row_package	1	0	1	0	0	0	residual_unclassified	High-priority bottleneck clusters for figure captions and route selection; categories still require row-level human review.	priority heatmap / blocker-cluster figure / next-route board	results/crosswalks/legal-review-frontier-v0.1.tsv
