queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-03177	LIMEN-SIGNAL-71BA0AE3F66EAD97	research_queue_search_pack	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	192	Research-queue row lists country/query targets but no named reviewable source surface.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03178	LIMEN-SIGNAL-72583693D462D1D0	research_queue_search_pack	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	213	Research-queue row lists country/query targets but no named reviewable source surface.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03179	LIMEN-SIGNAL-726B9591E4DD6648	research_queue_search_pack	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	195	Research-queue row lists country/query targets but no named reviewable source surface.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03180	LIMEN-SIGNAL-72CF7E777A12A445	research_queue_search_pack	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	192	Research-queue row lists country/query targets but no named reviewable source surface.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03181	LIMEN-SIGNAL-739101F84EF68532	atlas_country_profile_indicator	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	30484	Atlas country-profile indicator label does not expose a named reviewable source surface in this row.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	extract the named underlying source URL/title from nearby sources before review
BPSE-03182	LIMEN-SIGNAL-73F14A37D64502D7	atlas_country_profile_indicator	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	25589	Atlas country-profile indicator label does not expose a named reviewable source surface in this row.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	extract the named underlying source URL/title from nearby sources before review
BPSE-03183	LIMEN-SIGNAL-73FA6D83C1A105D0	research_queue_search_pack	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	192	Research-queue row lists country/query targets but no named reviewable source surface.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03184	LIMEN-SIGNAL-7411707794E2B737	research_queue_search_pack	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	187	Research-queue row lists country/query targets but no named reviewable source surface.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03185	LIMEN-SIGNAL-7422BB788C769EB9	atlas_country_profile_indicator	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	36108	Atlas country-profile indicator label does not expose a named reviewable source surface in this row.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	extract the named underlying source URL/title from nearby sources before review
BPSE-03186	LIMEN-SIGNAL-7454BE76C9483111	research_queue_search_pack	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	206	Research-queue row lists country/query targets but no named reviewable source surface.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
