source_id	case_id	record_status	evidence_tier	issuing_body	jurisdiction	language	source_type	authority_level	document_depth_status	published_date	access_date	source_url	source_family	rights_terms_note	cautious_summary	observatory_hook	content_sha256
SRC-AUTH-0001	LIMEN-000001	authoritative	T3_authoritative_source	Garante per la protezione dei dati personali	Italy	it	data protection authority order	high	document_text_on_regulator_site	2023-03-30	2026-06-06	https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/9870832	Regulator and enforcement sources	Public regulator page; no bulk mirroring assessed this cycle; quote sparingly and preserve Italian original for legal nuance.	The Italian DPA ordered an urgent provisional limitation on OpenAI's processing of personal data of data subjects in Italy via ChatGPT, citing lack of information to users/data subjects, lack of suitable legal basis for training-related processing, accuracy concerns, and absence of age verification in the order text.	Feeds regulator-action timeline, jurisdiction map, and privacy/data-protection enforcement matrix for generative AI cases.	b9d00f8c5fbd8c887147b062acb0b0f392cdd5b6c033ac35c987ebf6258193a1
SRC-AUTH-0002	LIMEN-000002	authoritative	T3_authoritative_source	U.S. Equal Employment Opportunity Commission	United States	en	federal agency lawsuit press release	high	agency_press_release_summary	2022-05-05	2026-06-06	https://www.eeoc.gov/newsroom/eeoc-sues-itutorgroup-age-discrimination	Regulator and enforcement sources	Public federal agency page; quote sparingly; underlying complaint/case docket should be added separately for court-grade support.	The EEOC stated that iTutorGroup programmed online recruitment software to automatically reject female applicants aged 55 or older and male applicants aged 60 or older, rejected more than 200 qualified U.S.-based applicants, and filed suit in federal court alleging age discrimination.	Feeds workplace/HR enforcement matrix, algorithmic-discrimination case table, and regulator-to-court escalation view.	85126e80c91dc1bbbe67bda6e0f6d00bdb8229ac29539450757d2939e0742a3a
SRC-AUTH-0003	LIMEN-000003	authoritative	T3_authoritative_source	Information Commissioner's Office	United Kingdom	en	data protection authority enforcement news page	high	regulator_newsroom_summary	2024-02-23	2026-06-06	https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/02/ico-orders-serco-leisure-to-stop-using-facial-recognition-technology/	Regulator and enforcement sources	Public regulator page; no reuse-license review beyond ordinary citation performed this cycle.	The ICO said it issued enforcement notices ordering Serco Leisure, Serco Jersey, and associated community leisure trusts to stop using facial recognition technology and fingerprint scanning to monitor worker attendance and to destroy biometric data not legally required to be retained.	Feeds biometric-surveillance enforcement matrix, public-service provider oversight timeline, and workplace biometric proportionality figure.	3a701022cdd3d080c5963ced10ffe54336187d03365d3d7bd5fce0184cd98044
SRC-AUTH-0004	LIMEN-000004	authoritative	T3_authoritative_source	Information Commissioner's Office	United Kingdom	en	data protection authority reprimand news page	high	regulator_newsroom_summary	2024-07-23	2026-06-06	https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2024/07/essex-school-reprimanded-after-using-facial-recognition-technology-for-canteen-payments/	Regulator and enforcement sources	Public regulator page; school and pupil context requires metadata-first treatment and no personal-detail expansion.	The ICO said Chelmer Valley High School was reprimanded after introducing facial recognition technology for cashless canteen payments without first carrying out a DPIA and without properly obtaining explicit consent to process students' biometric information.	Feeds children/school biometric governance matrix and dashboard filters for public-interest technology use involving minors.	dc923ede73157afa82f11f50b8a9876882380b394aad19c239167b5f8c102d2a
SRC-AUTH-0005	LIMEN-000002	authoritative_followup	T3_authoritative_source	U.S. Equal Employment Opportunity Commission	United States	en	federal agency settlement press release	high	agency_settlement_summary	2023-09-11	2026-06-07	https://www.eeoc.gov/newsroom/itutorgroup-pay-365000-settle-eeoc-discriminatory-hiring-suit	Regulator and enforcement sources	Public federal agency page; summarizes settlement/decree terms from the agency perspective and should not be overstated as a full judicial merits finding.	The EEOC stated that iTutorGroup would pay $365,000 to settle the discriminatory hiring suit and that the decree requires non-monetary relief including anti-discrimination policy changes, hiring-related training, injunctions against age- or sex-based discriminatory hiring and birth-date requests, and EEOC compliance monitoring if U.S. operations resume.	Feeds regulator-to-settlement escalation matrix, HR enforcement lifecycle view, and contestability/remediation timeline for automated hiring cases.	998aa4887e2b35d09f534f6035b5cd3f51d280d1cf9573977ce2b98af7ec5f0f
SRC-AUTH-0006	LIMEN-000003	authoritative_followup	T3_authoritative_source	Information Commissioner's Office	United Kingdom	en	ICO enforcement-action record	high	regulator_enforcement_record_summary	2024-02-23	2026-06-07	https://ico.org.uk/action-weve-taken/enforcement/2024/02/serco-leisure-operating-limited-and-relevant-associated-trusts/	Regulator and enforcement sources	Public regulator enforcement-action page; citation-safe metadata/details only; no bulk mirroring or notice-PDF capture performed this cycle.	The ICO enforcement-action record classifies the Serco matter as enforcement notices in the transport and leisure sector and states that the regulator found unlawful processing of biometric data of more than 2,000 employees at 38 leisure facilities for attendance monitoring.	Feeds regulator-action detail table, biometric workplace scale note, and regulator-to-public-record escalation matrix.	2a3c7e92ec72edb73ce4ab45dd054bebb2c3d705aaa59e98bc7697194ad485a1
SRC-AUTH-0007	LIMEN-000004	authoritative_followup	T3_authoritative_source	Information Commissioner's Office	United Kingdom	en	ICO enforcement-action record	high	regulator_enforcement_record_summary	2024-07-22	2026-06-07	https://ico.org.uk/action-weve-taken/enforcement/2024/07/chelmer-valley-high-school/	Regulator and enforcement sources	Public regulator enforcement-action page; pupil context kept metadata-first; note one-day date difference versus the linked newsroom story.	The ICO enforcement-action record classifies the Chelmer Valley High School matter as a reprimand in the education and childcare sector and states that the school was reprimanded in respect of Article 35(1) for failing to complete a DPIA before introducing facial recognition for cashless catering.	Feeds school-biometric governance matrix, public-record type facet, and regulator-to-public-record escalation matrix.	c1fc9bd30cedea77bee8083f28a9f1919f8924d2297540b2940035a90cf56b64
SRC-AUTH-0008	LIMEN-000003	authoritative_followup	T3_authoritative_source	Information Commissioner's Office	United Kingdom	en	ICO enforcement notice PDF	high	notice_pdf_text_present	2024-02-19	2026-06-07	https://ico.org.uk/media2/woalogoc/20240219-serco-leisure-operating-limited-en.pdf	Regulator and enforcement sources	Public ICO PDF linked from the enforcement-action record; retain as citation metadata and short excerpts only.	The ICO enforcement notice to Serco Leisure Operating Limited states that the Commissioner issued the notice under Data Protection Act 2018 section 149(2)(a) and (c) in relation to contraventions of Articles 5(1)(a), 6, and 9 UK GDPR, and Annex 1 requires Serco within three months to cease processing biometric data for employment attendance checks at relevant facilities and destroy biometric and other personal/special-category data not legally required to be retained.	Feeds direct notice-text facet, biometric-workplace enforcement table, and regulator-action remedy-detail view for document-grade comparison.	957f7eadc44621a5b164b2dbfdfd7447b11b9a3f77bd3ccbeb0439fdf51dca31
SRC-AUTH-0009	LIMEN-000004	authoritative_followup	T3_authoritative_source	Information Commissioner's Office	United Kingdom	en	ICO reprimand PDF	high	reprimand_pdf_text_present	2024-07-02	2026-06-07	https://ico.org.uk/media2/migrated/4030350/20240702-cvhs-reprimand.pdf	Regulator and enforcement sources	Public ICO PDF linked from the enforcement-action record; keep use metadata-first and quote sparingly because the case concerns schoolchildren.	The ICO reprimand to Chelmer Valley High School states that the Commissioner issued a reprimand under Article 58(2)(b) UK GDPR in respect of Article 35(1), records that the school introduced facial recognition for cashless catering in March 2023 without a prior DPIA, and states that from March to November 2023 the controller relied on assumed opt-out consent that would not have been valid or lawful consent for the processing.	Feeds direct reprimand-text facet, school-biometric governance table, and minors/data-protection process-failure view for document-grade comparison.	e224efce1f81da500895bc306bb145d597c71bc9c3be754139bf3425fcaf9092
SRC-AUTH-0010	LIMEN-000005	authoritative_charging_stage	T3_authoritative_source	U.S. Attorney's Office, Southern District of New York	United States	en	federal prosecutor press release	high	charging_stage_summary_with_linked_indictment	2025-04-09	2026-06-07	https://www.justice.gov/usao-sdny/pr/tech-ceo-charged-artificial-intelligence-investment-fraud-scheme	Court and tribunal records	Public DOJ page; use as charging-stage allegations only and preserve the stated presumption-of-innocence boundary.	The U.S. Attorney's Office for the Southern District of New York announced an indictment charging former Nate CEO Albert Saniger with allegedly making false and misleading statements to investors about nate's proprietary AI technology and operational capabilities, and stated that the charges are accusations only.	Feeds charge-stage court/enforcement facet, AI-washing versus hidden-human posture table, and regulator-to-court source-family saturation view.	6ae133d43479d7bc6d5ce404b2c46448dd1dcf4cd172f0fe9052516e95d1566e
SRC-AUTH-0011	LIMEN-000005	authoritative_charging_stage_followup	T3_authoritative_source	U.S. Attorney's Office, Southern District of New York	United States	en	DOJ-linked indictment PDF	high	indictment_pdf_captured	2025-04-09	2026-06-07	https://www.justice.gov/usao-sdny/media/1396131/dl?inline	Court and tribunal records	Public DOJ-hosted PDF linked from the press release; local package currently treats it as a captured charging document and avoids unsupported quote-level claims until text extraction/caption normalization is added.	A DOJ-hosted indictment PDF for the Nate matter was publicly captured and hashed as the underlying charging document, giving LIMEN one official court-facing artifact in addition to the DOJ summary page.	Feeds court-record presence facet, document-depth ladder, and source-family saturation update for official charging documents.	48ca561e589094fde765473c0039ad1d3eee66ea1845430861c053676ef81caf
SRC-AUTH-0012	LIMEN-000006	authoritative	T3_authoritative_source	U.S. Securities and Exchange Commission	United States	en	federal regulator settlement press release	high	agency_press_release_summary	2024-03-18	2026-06-07	https://www.sec.gov/newsroom/press-releases/2024-36	Regulator and enforcement sources	Public SEC page; quote sparingly; use press-release framing only where the later administrative order is not the narrower or stronger source.	The SEC announced settled charges against Delphia for making false and misleading statements about its purported use of AI and machine learning and said the firms in the batch agreed to pay civil penalties.	Feeds posture-aware AI-washing matrix, regulator-final enforcement table, and finance-sector misstatement comparator view.	c28885211f76d00acbb39e8470f74eb8af18300ce7816754a548d818a9021d36
SRC-AUTH-0013	LIMEN-000006	authoritative_followup	T3_authoritative_source	U.S. Securities and Exchange Commission	United States	en	SEC administrative order	high	administrative_order_pdf_text_present	2024-03-18	2026-06-07	https://www.sec.gov/files/litigation/admin/2024/ia-6573.pdf	Regulator and enforcement sources	Public SEC PDF; settlement-order posture should be preserved as SEC findings accepted for settlement context, not independent judicial fact-finding.	The SEC administrative order states that from at least August 2019 to August 2023 Delphia represented that it used artificial intelligence and machine learning to analyze retail clients' spending and social media data to inform investment advice when no such data was being used in its investment process, and orders a $225,000 civil money penalty.	Feeds direct-order-text facet, settled AI-washing sanctions table, and reviewer-safe regulated-finance exemplar panel.	470fb46bb7f2f1f15d7bd42d236fd5f0c371fbb9aacb331687d9270d4349463c
SRC-AUTH-0014	LIMEN-000007	authoritative	T3_authoritative_source	U.S. Securities and Exchange Commission	United States	en	federal regulator settlement press release	high	agency_press_release_summary	2024-03-18	2026-06-07	https://www.sec.gov/newsroom/press-releases/2024-36	Regulator and enforcement sources	Public SEC page; shared batch press release duplicated here case-specifically so the authoritative ledger keeps per-case provenance.	The SEC announced settled charges against Global Predictions for making false and misleading statements about its purported use of AI and said the firms in the batch agreed to pay civil penalties.	Feeds posture-aware AI-washing matrix, regulator-final enforcement table, and finance-sector misstatement comparator view.	c28885211f76d00acbb39e8470f74eb8af18300ce7816754a548d818a9021d36
SRC-AUTH-0015	LIMEN-000007	authoritative_followup	T3_authoritative_source	U.S. Securities and Exchange Commission	United States	en	SEC administrative order	high	administrative_order_pdf_text_present	2024-03-18	2026-06-07	https://www.sec.gov/files/litigation/admin/2024/ia-6574.pdf	Regulator and enforcement sources	Public SEC PDF; settlement-order posture should remain explicit and should not be generalized into sector-wide prevalence or broader fraud findings.	The SEC administrative order states that Global Predictions made false and misleading claims about its use of AI, including claims about expert AI-driven forecasts, first-regulated-AI-financial-advisor status, and service features, and orders a $175,000 civil money penalty.	Feeds direct-order-text facet, settled AI-washing sanctions table, and reviewer-safe regulated-finance exemplar panel.	3e1013412c0cb16f94a995fae5f36e0a7fd7e7dca1a86895548c8edf977f0644
SRC-AUTH-0016	LIMEN-000008	authoritative_allegation_stage	T3_authoritative_source	Federal Communications Commission	United States	en	FCC notice of apparent liability	high	allegation_stage_document_text_present	2024-05-28	2026-06-07	https://docs.fcc.gov/public/attachments/FCC-24-60A1.txt	Regulator and enforcement sources	Public FCC document text; small single-document retrieval only; use as allegation-stage enforcement text and do not treat the apparent-liability findings as final adjudication.	The FCC Notice of Apparent Liability proposes a $2,000,000 penalty against Lingo Telecom for applying incorrect STIR/SHAKEN attestations to spoofed robocalls carrying a deepfake generative-AI voice message purporting to be from the President of the United States and targeting New Hampshire primary voters.	Feeds deepfake/synthetic-identity enforcement panel, telecom-authentication lifecycle table, election-interference authority slice, and authority-depth dashboard view.	41883690799a4c59eb6ffc7eaf8ccbbc3a244b4f3a75d961032f2766b7e80601
SRC-AUTH-0017	LIMEN-000008	authoritative_followup	T3_authoritative_source	Federal Communications Commission	United States	en	FCC consent-decree order	high	consent_decree_order_text_present	2024-08-21	2026-06-07	https://docs.fcc.gov/public/attachments/DA-24-790A1.txt	Regulator and enforcement sources	Public FCC order text; small single-document retrieval only; use as disposition-stage settlement/order text and keep consent-decree posture explicit.	The FCC Enforcement Bureau order states that Lingo Telecom entered into a Consent Decree to resolve the investigation, agreed to implement a robust compliance plan, and agreed to pay a $1,000,000 civil penalty in connection with STIR/SHAKEN attestation violations tied to the spoofed New Hampshire deepfake robocalls.	Feeds deepfake/synthetic-identity enforcement panel, telecom-authentication lifecycle table, election-interference authority slice, and authority-depth dashboard view.	6ca6263191fcbd9fd9fceacecd04dded9abe3f9bacfb92fe1c5f0472d79ea6f7
SRC-AUTH-0018	LIMEN-000008	authoritative_followup	T3_authoritative_source	Federal Communications Commission	United States	en	FCC media release	high	agency_release_summary	2024-08-21	2026-06-07	https://docs.fcc.gov/public/attachments/DOC-404951A1.txt	Regulator and enforcement sources	Public FCC release text; small single-document retrieval only; useful for public-facing wording, but the operative action remains the FCC order text.	The FCC media release states that the settlement concerns spoofed robocalls using generative AI voice cloning technology to spread disinformation in connection with the New Hampshire presidential primary and describes the compliance plan as the first of its kind secured by the FCC.	Feeds deepfake/synthetic-identity enforcement panel, telecom-authentication lifecycle table, election-interference authority slice, and authority-depth dashboard view.	3bd7bce8d25c2b70fb6f861bad6b3657645ea6279f3f698f3b0e4976fb4e2e31
