row_id	signal_id	translation_hold_class	review_priority	shards	queries	language_hint	source_path_family	source_url	source_path	source_line	title_or_snippet	claim_ceiling	next_action	forbidden_overread
TH-00298	LIMEN-SIGNAL-A02EAE7EBA94F599	cross_project_language_artifact	P1_official_or_regulator_review	legal-research	AI evidence	arabic	cross_project_atlas_or_gaia		/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-016/language-delta.json	10	"task: ""Target Arabic/Gulf government services, smart-city, healthcare, and public-sector AI evidence with careful legal cautions."""	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00302	LIMEN-SIGNAL-A15121A15AA3A4AE	cross_project_language_artifact	P1_official_or_regulator_review	legal-research	AI evidence	language_not_resolved	thesis_atlas_factory		/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/south-asian-language-latest.jsonl	2	"{""access_method"": ""direct"", ""already_in_main_dataset"": false, ""category"": ""multilingual-official-source"", ""content_hash"": null, ""content_type"": null, ""corpus_version"": ""v0.2-working"", ""dates_found"": [], ""domain"": ""aiweek.pakistan.gov.pk"", ""error"": ""URLError(OS"	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00303	LIMEN-SIGNAL-A1686DB651368619	cross_project_language_artifact	P1_official_or_regulator_review	legal-research	court AI	language_not_resolved	cross_project_atlas_or_gaia		/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-029/observatory-public-sector-matrix.json	1303	"plain_language_use: ""This is a citation-magnet justice-sector source: the same court document both names a court AI selection-support system and articulates due-process guardrails for judicial AI use."""	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00305	LIMEN-SIGNAL-A1C1762042DE7495	cross_project_language_artifact	P1_official_or_regulator_review	legal-research	AI evidence	arabic	cross_project_atlas_or_gaia		/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-064/country-language-overlay.json	10	"task: ""Target Arabic/Gulf government services, smart-city, healthcare, and public-sector AI evidence with careful legal cautions. Expansion shard 064; avoid duplicating earlier gaia boost 004 work, prefer unresolved gaps and leave a negative result if the sh"	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00306	LIMEN-SIGNAL-A2108CE960762FBF	cross_project_language_artifact	P1_official_or_regulator_review	legal-research	AI evidence	language_not_resolved	thesis_atlas_factory		/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.3-preprint-20260605T050732Z/corpus/v0.2-working/records/south-asian-language-history.jsonl	1	"{""access_method"": ""direct"", ""already_in_main_dataset"": false, ""category"": ""multilingual-official-source"", ""content_hash"": null, ""content_type"": null, ""corpus_version"": ""v0.2-working"", ""dates_found"": [], ""domain"": ""moitt.gov.pk"", ""error"": ""URLError(OSError(101,"	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00312	LIMEN-SIGNAL-A57C9EC8F4FDD87B	cross_project_language_artifact	P1_official_or_regulator_review	legal-research	court AI	language_not_resolved	cross_project_atlas_or_gaia		/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1516EEST/daily/gaia-foreign-language-digest-latest.json	8739	A constitutional court judgment is itself a public evidence surface for an internal court AI project.,	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00314	LIMEN-SIGNAL-A6BBA723AC2E1205	cross_project_language_artifact	P1_official_or_regulator_review	legal-research	court AI	language_not_resolved	global_agent_atlas		/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	8367	Names PretorIA as a Colombian Constitutional Court AI project.,	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00317	LIMEN-SIGNAL-A7678E7A7B4FFF40	cross_project_language_artifact	P1_official_or_regulator_review	legal-research	AI evidence	language_not_resolved	thesis_atlas_factory		/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/south-asian-language-records.jsonl	1	"{""access_method"": ""direct"", ""already_in_main_dataset"": false, ""category"": ""multilingual-official-source"", ""content_hash"": null, ""content_type"": null, ""dates_found"": [], ""domain"": ""moitt.gov.pk"", ""error"": ""URLError(OSError(101, 'Network is unreachable'))"", ""htt"	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00318	LIMEN-SIGNAL-A81E6C2A97FDD5C6	cross_project_language_artifact	P1_official_or_regulator_review	legal-research	court AI	language_not_resolved	cross_project_atlas_or_gaia		/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/site/gaia-agent-atlas/public/data/foreign-language-digest.json	8407	"why_it_matters: ""This is a citation-magnet justice-sector source: the same court document both names a court AI selection-support system and articulates due-process guardrails for judicial AI use."""	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
TH-00330	LIMEN-SIGNAL-AED057537B15B830	cross_project_language_artifact	P1_official_or_regulator_review	legal-research	court AI	language_not_resolved	cross_project_atlas_or_gaia		/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1635EEST/daily/gaia-foreign-language-digest-latest.json	8742	"why_it_matters: ""This is a citation-magnet justice-sector source: the same court document both names a court AI selection-support system and articulates due-process guardrails for judicial AI use."""	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	Do not promote, translate by guess, infer legality, or count as reviewed-core until human translation/source review is complete.
