objective_or_boundary	current_profile_support	primary_artifact	status	paper_use	next_gap
build_attestation_profile	Canonical profile exists with purpose, claim boundary, lifecycle actions, subject model, assertion model, validation rules, live corpus references, and v0.2 gaps.	attestation/limen-envelope-profile-v0.1.md	complete	Methods/provenance companion note and thesis appendix	Future work only if stronger external witness layers are added
optional_machine_schema	Machine-checkable JSON Schema exists with action-sensitive, state-sensitive, and explicit supersession-chain guards.	schema/limen-envelope.schema.json	complete	Reproducibility appendix and validator contract	Future work only if a stronger external witness layer changes the correction model
observation_extraction_classification_review_clustering_publication_coverage	Live receipt set covers observed extracted classified reviewed clustered published and superseded states.	results/attestation/lifecycle-live-coverage-v0.1.tsv	complete	Lifecycle coverage table and attestation timeline figure	Still local-only; no external witness layer
rats_style_role_mapping	Bounded role analogues are documented for attester evidence verifier appraisal result and result packaging.	results/attestation/limen-attestation-role-crosswalk-v0.1.tsv	complete	Standards crosswalk table	Avoid hardware-root or secure-enclave rhetoric
verifiable_credential_mapping	VC block is defined as optional portable wrapper with explicit non-live caution and issuer/status minimum fields when populated.	results/attestation/external-trust-readiness-matrix-v0.1.tsv	bounded_complete	Interoperability / future-work standards section	No issued or verified VC yet
scitt_or_transparency_receipt_mapping	Transparency block defines receipt/log fields and proof-state guards, with current local-bundle-only readiness called out separately from absent external witness layers.	results/attestation/route-c-readiness-audit-v0.1.tsv	bounded_complete	Publication-route methods note	No real transparency receipt or inclusion proof yet
c2pa_content_provenance_mapping	Profile treats C2PA as optional source-side provenance context for synthetic-media cases, not as final authenticity or legality proof.	attestation/limen-envelope-profile-v0.1.md	complete	Synthetic-media provenance methods note	Needs live C2PA-bearing source only when a case actually turns on that evidence
explicit_non_claims	Profile and schema fix the scope to observation_and_processing_only, hard-require the six baseline non-claims, and conditionally require authenticity_finality for media-provenance/C2PA pressure states.	schema/limen-envelope.schema.json	complete	Hostile-reviewer boundary box and dashboard legend	Need to preserve translation-review caution on non-English cases
attestation_not_truth_or_legality_decider	Shared claims layer and status note explicitly block overread into truth legality compliance certification or safety validation.	results/attestation/attestation-claim-support-register-v0.1.tsv	complete	Shared manuscript/dashboard/thesis claim sentence	Must remain bounded if external witness layers are later added
shared_local_publication_object	One current local release-bundle manifest plus schema-valid published receipt now gives the package a real publication object without claiming external publication witness, while earlier manifests remain chronology only.	results/attestation/shared-release-bundle-manifest-v0.10.tsv	bounded_complete	Companion methods note and release-manifest appendix	Strongest next delta is detached-signature or transparency receipt binding
